iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,0.25996204933586337,527,97.27937903285148,205.59341762703843,5,0.6,5,284.7907525616236,2.4544336278922856
2,40000,0.24436090225563908,532,44.51852107221454,449.2512221499346,10,0.0,5,251.1718375539369,49.683117826934904
3,60000,0.2533081285444234,529,43.051774974795656,464.556920398958,15,0.2,5,267.0294820707272,46.7439022208564
4,80000,0.2570888468809074,529,42.97148523055576,465.4249182380736,20,0.0,5,245.4835539929345,50.88324572797865
5,100000,0.23933209647495363,539,42.91877378941266,465.9965379750356,25,0.0,5,241.88890387568952,51.631140576908365
6,120000,0.22344322344322345,546,42.203912856594265,473.8897094200365,30,0.0,5,233.4827341787859,53.50288553000428
7,140000,0.2976190476190476,504,42.880584058176844,466.41155756800435,35,0.0,5,232.77848702882335,53.613201800966635
8,160000,0.27431906614785995,514,42.317677568450506,472.6157282060012,40,0.0,5,226.51720111909194,55.13488573185168
9,180000,0.23694029850746268,536,42.611298843130676,469.35907946922816,45,0.0,5,238.8015017319274,52.2819157729391
10,200000,0.27485380116959063,513,42.07095738094582,475.3873276261147,50,0.0,5,241.14403647649414,51.79477038909681
11,220000,0.2730844793713163,509,41.82617112149127,478.1695159689989,55,0.0,5,238.682776239884,52.31211148411967
12,240000,0.26003824091778205,523,41.79225925329656,478.5575213530101,60,0.0,5,238.6271928439531,52.31591526186094
13,260000,0.28994082840236685,507,41.61727575536347,480.569658561144,65,0.0,5,247.1637599720786,50.55352775589563
14,280000,0.38209606986899564,458,41.71845389471642,479.404151708819,70,2.8,5,241.18717435869323,43.513922445941716
15,300000,0.4360730593607306,438,41.41221670528106,482.94927417999133,75,0.0,5,244.7766810175935,51.00976101192646
16,320000,0.5757575757575758,396,41.74264020174131,479.1263778079301,80,5.6,5,248.16874868348518,50.33671671501361
17,340000,0.6747967479674797,369,41.59685040660291,480.80563322710805,85,0.0,5,235.40284855196492,53.057981570018455
18,360000,0.75,360,41.938623599958454,476.8873721458949,90,14.0,5,214.87219298960704,10.997234994079918
19,380000,0.710455764075067,373,41.79482489566812,478.5281443318818,95,15.2,5,232.03588989731924,13.3212150989566
20,400000,0.8108882521489972,349,42.06391338243986,475.4669357119128,100,10.8,5,233.23666580775244,18.38475946802646
21,420000,0.887905604719764,339,41.16610964882287,485.8365332700778,105,18.4,5,235.0626310127957,14.353621353860945
22,440000,0.9535603715170279,323,41.48656060923017,482.08382922806777,110,17.0,5,220.65907724980738,15.313215491129085
23,460000,0.8396501457725948,343,41.381487108490234,483.3079088618979,115,18.4,5,244.36887151291194,12.644818388158455
24,480000,0.9027355623100304,329,40.69553489811814,491.4544077150058,120,19.6,5,220.72757188874465,15.974442929029465
25,500000,0.91875,320,41.50077918347287,481.9186625769362,125,17.6,5,243.8907804912823,13.752057348145172
26,520000,0.8613569321533924,339,40.70481792259798,491.34232802689075,130,0.0,5,239.93770909133892,52.042674106080085
27,540000,1.038709677419355,310,39.05617075407209,512.0829721360933,135,22.0,5,212.79580664549945,17.75410925410688
28,560000,0.9968253968253968,315,37.82677031004754,528.7260803941172,140,19.6,5,220.97217119683623,17.047395514091477
29,580000,1.0258064516129033,310,38.6572627214324,517.3672058500815,145,27.8,5,240.1829091193988,18.12368755112402
30,600000,0.9840255591054313,313,40.1463582940614,498.1771909049712,150,23.0,5,227.46722034702938,16.301249887095764
31,620000,1.1144781144781144,297,40.64540088242638,492.060591500951,155,19.6,5,270.76285518834055,13.495204124134034
32,640000,1.1604095563139931,293,40.25636288364734,496.81587126501836,160,0.0,5,272.1971059367459,45.86382341221906
33,660000,1.1033333333333333,300,40.638417578326845,492.1451471738983,165,0.0,5,244.4755000200683,51.10123508889228
34,680000,1.3782771535580525,267,41.184835026913106,485.61563951708376,170,27.6,5,255.62662265326958,16.449773330939934
35,700000,1.0921052631578947,304,40.77641499253526,490.47960699000396,175,26.2,5,250.0062168322295,16.991577464854345
36,720000,1.1557093425605536,289,40.328184237670655,495.93108090688474,180,31.0,5,253.02721556136245,17.227395836962387
37,740000,1.3383458646616542,266,40.75210439109098,490.7722018000204,185,18.8,5,253.57682409663602,11.98847730201669
38,760000,1.4396887159533074,257,40.919043101761055,488.76998297008686,190,27.0,5,258.99334857643083,16.382660108152777
39,780000,1.5118110236220472,254,41.25664910891088,484.77034446503967,195,13.4,5,249.1245870717449,10.143519070930779
40,800000,1.4401544401544402,259,40.66397027591686,491.83588971500285,200,25.8,5,227.90248988842652,16.51583535503596
41,820000,1.7324561403508771,228,41.4222773909082,482.8319749601651,205,28.6,5,232.39880801196483,18.679097526939586
42,840000,1.6437768240343347,233,40.87754051872933,489.2662265440449,210,0.0,5,235.20722118348587,53.068098577903584
43,860000,1.771551724137931,232,40.817063827638144,489.9911489090882,215,23.8,5,256.6289353024067,15.921821111813188
44,880000,1.6401673640167365,239,40.67067496573369,491.75480900797993,220,40.4,5,238.73873127128957,21.852340306155384
45,900000,1.6024590163934427,244,41.119838734833024,486.3832304638345,225,37.8,5,241.88973655202588,21.14599847397767
46,920000,1.8602620087336244,229,40.75062331141656,490.79003889486194,230,36.6,5,242.99732888438888,21.345913651864976
47,940000,1.8475336322869955,223,40.52561826584467,493.5149876999203,235,37.8,5,242.52414476960678,27.374594007153064
48,960000,1.9495412844036697,218,40.630463698988,492.2414902318269,240,36.4,5,237.95925686241614,20.14210358192213
49,980000,1.706140350877193,228,40.734783164327524,490.9808877420146,245,36.4,5,236.8930624916272,23.390300845960155
50,1000000,1.8894009216589862,217,41.2849331901845,484.43823096109554,250,23.6,5,249.84210206700646,16.2462610041257
51,1020000,1.8475336322869955,223,40.59863011281382,492.6274592129048,255,30.4,5,234.54389532108837,18.248183326795697
52,1040000,1.963302752293578,218,41.26682493869948,484.6508067850955,260,26.2,5,247.0833025822497,15.824622542830184
53,1060000,2.4263959390862944,197,40.38219559171517,495.2677710298449,265,29.4,5,242.01763929248568,19.399412430124357
54,1080000,2.0673076923076925,208,41.01794327126664,487.59148813807406,270,30.4,5,268.11881288902543,16.99619639106095
55,1100000,2.5297297297297296,185,40.13857453353149,498.2737985199783,275,0.0,5,254.39495485957877,49.08509292919189
56,1120000,2.3229166666666665,192,40.53133738810972,493.4453509019222,280,40.6,5,242.62544210990697,23.29516620701179
57,1140000,2.1884057971014492,207,40.550985871228754,493.20625800592825,285,33.0,5,266.752984154087,18.548995864810422
58,1160000,2.5585106382978724,188,40.71590559440284,491.2085266930517,290,42.0,5,265.6995302791524,20.033908206038177
59,1180000,2.228855721393035,201,40.31419908070887,496.10312138311565,295,49.4,5,256.6468012325265,22.59915172192268
60,1200000,2.730337078651685,178,40.3539979623438,495.61384273902513,300,0.0,5,260.369053318854,47.951167163904756
61,1220000,2.5425531914893615,188,39.929117179704186,500.8876081579365,305,0.0,5,259.10046952748195,48.21681729401462
62,1240000,2.357894736842105,190,40.373428463852505,495.37531889090315,310,42.0,5,257.65504644580955,20.20142850605771
63,1260000,2.389473684210526,190,40.43163901659053,494.66211329679936,315,37.4,5,227.10764454649484,21.069303983822465
64,1280000,2.306878306878307,189,40.27335806584805,496.60621712496504,320,33.6,5,262.55484174454955,18.18667661305517
65,1300000,2.4644808743169397,183,40.00094033114157,499.98824613704346,325,0.0,5,244.27144667002383,51.09889088617638
66,1320000,2.6864864864864866,185,40.6895752176691,491.52638957300223,330,29.0,5,243.98793360102465,18.21811404521577
67,1340000,2.793296089385475,179,40.08024779871267,498.9989108960144,335,37.0,5,273.07994787786674,18.847960240207613
68,1360000,2.505434782608696,184,40.14990330525782,498.13320465409197,340,0.0,5,255.37344337734658,48.87743938807398
69,1380000,2.9289940828402368,169,40.615196404402006,492.42652432015166,345,46.4,5,252.67235832436833,23.09314734186046
70,1400000,2.988372093023256,172,40.63761438246561,492.1548743429594,350,30.6,5,239.0530578565514,17.78266313811764
71,1420000,3.1124260355029585,169,40.354476849126556,495.6079612870235,355,54.8,5,268.6534049936882,22.35966449091211
72,1440000,3.191358024691358,162,39.807111862928956,502.4227848749142,360,69.2,5,308.1047758772164,21.33040612982586
73,1460000,3.0625,160,40.61095599796523,492.477941198973,365,48.2,5,290.02153427390994,19.777841719100252
74,1480000,3.253086419753086,162,40.128785570684144,498.39534677099437,370,39.4,5,290.07127673196874,16.65797473792918
75,1500000,3.481012658227848,158,40.12108217079402,498.49104056716897,375,51.2,5,258.2340111162301,24.446818498894572
76,1520000,4.27906976744186,129,40.21572142856234,497.31794655299746,380,0.0,5,253.74940247017042,49.2257316801697
77,1540000,4.239130434782608,138,40.408174330223346,494.9493594181258,385,29.4,5,258.5909964456039,17.351725549902767
78,1560000,3.6066666666666665,150,40.34970025009197,495.66663137613796,390,50.4,5,233.05397106159134,24.337710162857547
79,1580000,4.0,141,40.14579920026355,498.18412881088443,395,45.2,5,246.66031939564851,21.843805331969634
80,1600000,4.1231884057971016,138,40.030145898981026,499.62346004112624,400,0.0,5,253.11219199311032,49.33780511189252
81,1620000,4.301470588235294,136,40.45434990253172,494.38441226189025,405,52.6,5,235.14142495609977,27.566389041021466
82,1640000,3.831081081081081,148,40.28490864817086,496.4638290400617,410,55.0,5,244.50272187745054,25.112194878049195
83,1660000,4.33587786259542,131,40.49668457623558,493.8675896381028,415,47.2,5,250.73276410629384,22.334536214126274
84,1680000,4.41726618705036,139,40.15222476779198,498.1044043179136,420,48.4,5,263.7728362194148,23.516447291942313
85,1700000,4.0344827586206895,145,39.79337610407628,502.59620967297815,425,0.0,5,263.267070100157,47.434720929013565
86,1720000,4.42962962962963,135,39.81205068967976,502.3604575381614,430,41.4,5,259.82492252920156,21.237377639859915
87,1740000,4.448529411764706,136,39.92475864235155,500.9422894490417,435,37.0,5,311.0248313728067,14.799461443908513
88,1760000,4.286764705882353,136,40.4185337011205,494.82250266405754,440,55.8,5,262.6277925622897,24.746048148954287
89,1780000,4.127659574468085,141,40.06945508315638,499.1333163501695,445,51.8,5,256.3928786015989,23.198772260919213
90,1800000,5.483333333333333,120,40.047731093815045,499.40407243417576,450,37.6,5,271.7393695590168,18.16078401892446
91,1820000,4.432624113475177,141,40.285538323999816,496.4560691518709,455,48.6,5,261.2881116997628,22.35080640297383
92,1840000,5.68141592920354,113,40.07028951515145,499.12292229477316,460,57.8,5,255.863944930738,23.55939599708654
93,1860000,5.524193548387097,124,40.12315873283174,498.46524131298065,465,68.6,5,256.1063288827739,27.414394757943228
94,1880000,5.237704918032787,122,40.005672953396314,499.92909813812,470,48.8,5,249.87427085305004,22.05108985886909
