iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,22.482758620689655,145,450.34242005854986,44.41065089404583,5,80.0,5,780.9879631542572,3.979574777884409
2,40000,20.13605442176871,147,205.88130895976553,97.14334973413497,10,136.0,5,626.6499832877938,4.809702513972297
3,60000,25.555555555555557,144,189.99369600075653,105.26665053097531,15,336.0,5,575.6381326507205,9.92984945885837
4,80000,28.14814814814815,135,187.33225570994244,106.76217997912318,20,296.0,5,605.6558676346154,8.049125354038551
5,100000,29.70149253731343,134,183.48275067308495,109.00207200204022,25,308.0,5,560.0615011903059,9.336474635172635
6,120000,28.235294117647058,136,181.16133702423764,110.3988319390919,30,280.0,5,551.988091443793,7.89690949418582
7,140000,31.09375,128,182.22881186909888,109.75212862808257,35,168.0,5,598.830963905439,5.133335090009496
8,160000,34.883720930232556,129,178.35083988461344,112.1385243430268,40,192.0,5,561.221261144724,6.288072538096458
9,180000,38.65546218487395,119,176.68566793221598,113.19537251698785,45,292.0,5,505.29165287355477,9.315412145107985
10,200000,38.13559322033898,118,179.16433187213062,111.62936166487634,50,248.0,5,624.1789746342024,6.632713000988588
11,220000,42.016806722689076,119,177.74460675688508,112.520994954044,55,288.0,5,642.6767224326492,6.8992696409113705
12,240000,39.83606557377049,122,177.943926730274,112.39495703787543,60,344.0,5,625.3085164969546,7.148471325868741
13,260000,46.35514018691589,107,179.44204187319087,111.45660064509138,65,248.0,5,567.9925742838477,6.390928621869534
14,280000,54.8,100,176.34483270734825,113.41415392188355,70,280.0,5,535.8194275613669,8.312501881970093
15,300000,50.0,110,175.50262196147642,113.95841142698191,75,220.0,5,538.2790815148284,6.803162385011092
16,320000,54.862385321100916,109,175.32690968972935,114.07262031477876,80,292.0,5,474.94011607104125,9.805446712998673
17,340000,46.36363636363637,110,176.79935873274846,113.12258225004189,85,260.0,5,556.8534451592044,7.783017304958776
18,360000,52.69230769230769,104,177.69383619365556,112.55314437695779,90,244.0,5,537.1570067401735,7.050080241868272
19,380000,50.825688073394495,109,176.4163026162502,113.36820749216713,95,244.0,5,589.0571544186987,6.2421786619815975
20,400000,53.8,100,174.50314829551206,114.61111272405833,100,300.0,5,576.8913008607666,8.424464006908238
21,420000,47.706422018348626,109,174.14174100714288,114.8489723620005,105,288.0,5,509.4040376388793,9.70938515313901
22,440000,47.19298245614035,114,174.00035714044566,114.94229281297885,110,332.0,5,574.8573018148043,9.618039089953527
23,460000,52.264150943396224,106,175.8225365753302,113.75106052705087,115,284.0,5,576.2918599902503,8.526929393177852
24,480000,65.16129032258064,93,180.52832186824546,110.78594091511331,120,300.0,5,595.1376984351358,6.868998570833355
25,500000,57.95918367346939,98,178.93449252317836,111.77274832804687,125,380.0,5,503.4288152418499,9.57831545197405
26,520000,57.916666666666664,96,177.7275651433061,112.53178416006267,130,276.0,5,569.277307953862,7.813415250973776
27,540000,54.80769230769231,104,180.44892587712957,110.83468578592874,135,208.0,5,552.8779531563218,7.23306107101962
28,560000,52.15686274509804,102,180.30722716555493,110.92178785288706,140,232.0,5,583.1716225563432,7.695847716880962
29,580000,52.15686274509804,102,180.74706710230546,110.65186462295242,145,220.0,5,481.90150618442095,7.381176349008456
30,600000,55.04950495049505,101,175.4975860067284,113.96168149705045,150,336.0,5,554.2681716444592,9.231993215158582
31,620000,54.42307692307692,104,172.81901484637388,115.72800607490353,155,228.0,5,572.3726374996617,6.51149226189591
32,640000,61.276595744680854,94,174.91563629657298,114.34083552192897,160,216.0,5,551.8358508558229,7.846536235883832
33,660000,54.02061855670103,97,165.46304603413745,120.87291077594273,165,288.0,5,543.9019204704282,7.903998567024246
34,680000,58.46153846153846,91,165.87570109201656,120.57221080805175,170,372.0,5,523.3890346347177,11.968152913963422
35,700000,60.8421052631579,95,167.8729312395695,119.13773026014678,175,236.0,5,548.3453184499564,7.8983076070435345
36,720000,61.1764705882353,85,171.37680807025762,116.70190514810383,180,364.0,5,549.334971256205,10.307008103001863
37,740000,60.0,96,178.6867222416259,111.92773446789943,185,348.0,5,605.1847495110077,9.679688730975613
38,760000,51.34020618556701,97,175.32636980066076,114.07297158287838,190,172.0,5,564.8818656620783,8.019375864882022
39,780000,52.62135922330097,103,172.33757020762903,116.05130544607528,195,276.0,5,537.4080487214188,9.958912994945422
40,800000,46.0,100,170.61926402490508,117.22005785396323,200,368.0,5,541.1625611950658,10.198414294980466
