iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,20.662251655629138,151,466.500198690163,42.87243618792854,5,0.0,5,825.693515629238,15.120622559916228
2,40000,18.69281045751634,153,281.9400793551532,70.93705884506926,10,80.0,5,747.7336805866884,3.4851980961393565
3,60000,21.32450331125828,151,271.21331822317234,73.74269129196182,15,256.0,5,760.2016582088345,5.34594992804341
4,80000,26.956521739130434,138,259.45014003938434,77.08610215806402,20,340.0,5,763.7820211587205,7.6854388259816915
5,100000,23.586206896551722,145,258.9086481713504,77.24732310511172,25,484.0,5,746.1877367152887,9.911714754998684
6,120000,33.6,125,255.77904271484556,78.19248906290159,30,316.0,5,740.6991516462963,6.560018314048648
7,140000,36.69421487603306,121,249.917878250282,80.02628759504296,35,248.0,5,723.4561513879905,6.160705097950995
8,160000,30.21897810218978,137,248.16811227379384,80.59053121996112,40,428.0,5,741.6504736229407,8.61187341902405
9,180000,41.84873949579832,119,246.66924443562718,81.08023375901394,45,288.0,5,720.7220164047542,6.012026691809297
10,200000,42.857142857142854,112,248.91150859781646,80.34984044195153,50,196.0,5,723.3778014934495,4.444427232025191
11,220000,39.36507936507937,126,249.4830575609425,80.1657643429935,55,292.0,5,729.8517474385603,6.043693141080439
12,240000,40.51724137931034,116,248.89511557060314,80.3551325390581,60,276.0,5,726.4449060755292,5.866928055183962
13,260000,49.345794392523366,107,247.0138922379875,80.96710601495579,65,256.0,5,739.614646054913,5.5799327690619975
14,280000,46.91588785046729,107,250.4363275066916,79.86061846185476,70,348.0,5,741.0889670975968,6.603795518865809
15,300000,53.26923076923077,104,248.9354274296442,80.3421200690791,75,228.0,5,732.2862315369251,5.056765838991851
16,320000,44.58715596330275,109,251.61565619678476,79.48630980402231,80,248.0,5,736.081443096838,5.117640222189948
17,340000,45.714285714285715,112,253.94626953814128,78.75681748101488,85,272.0,5,751.8009386621965,6.0015886758919805
18,360000,57.17171717171717,99,251.68453131958145,79.46455785399303,90,216.0,5,715.3040573476034,4.919586242875084
