iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,20.38961038961039,154,396.2134521216246,50.47784191300161,5,0.0,5,704.4589516195853,17.722821139963344
2,40000,21.655172413793103,145,196.7883060622588,101.63205527910031,10,24.0,5,518.2088408380386,3.5815676108468324
3,60000,19.59731543624161,149,100.23449700258034,199.53210319881327,15,364.0,5,487.3972996252542,11.67425425699912
4,80000,29.76,125,120.97148992905859,165.32821090100333,20,264.0,5,484.1999065524307,9.248246311908588
5,100000,30.153846153846153,130,121.67414946244274,164.37345227692276,25,272.0,5,497.8600883853766,8.594784156884998
6,120000,31.25,128,120.08935388534495,166.54265638813376,30,256.0,5,457.1680203185216,9.252615694887936
7,140000,27.555555555555557,135,121.97171538782905,163.9724417780526,35,228.0,5,487.2555876527176,7.168722306145355
8,160000,31.666666666666668,132,120.32278555250917,166.21955607295968,40,268.0,5,480.2860033353823,7.918198684928939
9,180000,33.80952380952381,126,122.2070981733378,163.65661486890167,45,252.0,5,469.7548254873655,8.736472256015986
10,200000,39.5,120,119.80602551060117,166.93651187210344,50,236.0,5,476.0451819065415,8.534904152853414
11,220000,37.833333333333336,120,122.46729930653844,163.3089005248621,55,176.0,5,505.7687906999134,6.216279173037037
12,240000,36.09756097560975,123,121.73057805781421,164.29725644201972,60,288.0,5,488.0617471537177,9.797940584132448
13,260000,35.36,125,121.25809174362924,164.93744633789174,65,212.0,5,499.05844052078294,7.720538692781702
14,280000,35.87301587301587,126,122.54840486614923,163.20081866299734,70,240.0,5,486.47319933936274,8.356061558006331
15,300000,41.69491525423729,118,121.83236012619125,164.15999804390594,75,328.0,5,485.15665539912817,11.043855505995452
16,320000,42.9059829059829,117,122.22039419161938,163.63881111890078,80,208.0,5,517.6923591722982,6.853491146117449
17,340000,38.48739495798319,119,121.21435781916547,164.99695547483861,85,260.0,5,502.6253264219744,7.8706738241016865
18,360000,40.50420168067227,119,121.06254984925806,165.20385556807742,90,176.0,5,523.351547812847,6.131633723853156
19,380000,36.8,125,121.4396539311571,164.69085140293464,95,284.0,5,491.8715818809663,8.048848817124963
20,400000,36.39344262295082,122,121.21370053787797,164.99785017082468,100,236.0,5,456.3912440560919,7.2218738701194525
21,420000,30.51851851851852,135,121.08302546462933,165.17591894697398,105,220.0,5,473.5147701862279,8.648093486903235
22,440000,39.50819672131148,122,120.1158731359814,166.5058870059438,110,272.0,5,489.73919836528773,9.100762231973931
23,460000,38.30508474576271,118,121.33622664252267,164.8312342769932,115,212.0,5,484.1957993210697,7.100433347048238
24,480000,43.07692307692308,117,120.1103823920447,166.51349868089892,120,172.0,5,483.3105384839644,5.917520459974185
25,500000,47.407407407407405,108,119.80749375144427,166.93446606514044,125,284.0,5,496.3097216753563,9.153558355988935
26,520000,42.26086956521739,115,119.17372897699354,167.82222199207172,130,180.0,5,498.65552876690265,7.255509648006409
27,540000,42.54237288135593,118,120.59272265827754,165.84748697211035,135,224.0,5,509.5242854049132,7.410834199981764
28,560000,43.27272727272727,110,120.28718643644537,166.26874892087653,140,188.0,5,471.8755902921964,9.502504669129848
29,580000,52.323232323232325,99,120.16158176628365,166.44254932412878,145,256.0,5,476.9674698199443,9.956653861096129
30,600000,49.8,100,122.03083999290232,163.89299623901024,150,260.0,5,505.10865313654415,9.471229546936229
31,620000,51.80952380952381,105,119.3787116479912,167.53405798994936,155,168.0,5,470.48871110408453,7.432696932926774
32,640000,43.81818181818182,110,120.91532100168646,165.4050109970849,160,292.0,5,485.42704298803466,10.559774273075163
33,660000,46.73267326732673,101,119.33381727558827,167.5970856929198,165,284.0,5,458.11356129695173,9.595873974030837
34,680000,43.27272727272727,110,119.25731402843526,167.70459877396934,170,248.0,5,507.0427635007993,8.8454077700153
