iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,-23.727272727272727,11,83.2448800029696,240.2550162759144,5,-19.6,5,229.09867578124133,40.908136932877824
2,40000,-22.833333333333332,12,47.75833462470525,418.7750715590082,10,-19.2,5,236.32132140247964,41.48588854284026
3,60000,-23.363636363636363,11,47.81618142994255,418.2684480838943,15,-24.0,5,229.83728716695543,35.46421949402429
4,80000,-22.5,12,48.06250279812119,416.1248132251203,20,-1.8,5,240.8679053512414,51.8582996011246
5,100000,-22.0,12,47.66988130257561,419.5521250211168,25,-19.6,5,231.90267770741906,38.912875388981774
6,120000,-22.416666666666668,12,47.019466653199935,425.3557393050287,30,-19.6,5,292.00417895423016,29.687931285938248
7,140000,-22.307692307692307,13,46.231209632791455,432.6081917141564,35,-24.0,5,243.50599132238818,35.39543299609795
8,160000,-23.75,12,47.53457466919923,420.7463754368946,40,-24.0,5,227.1158346572812,35.669023307971656
9,180000,-23.636363636363637,11,48.30960769583423,413.9963240008801,45,-19.2,5,234.42727530727913,36.97095394995995
10,200000,-22.23076923076923,13,48.00210981745625,416.6483530839905,50,-18.6,5,249.03529159913634,42.981859845109284
11,220000,-23.916666666666668,12,47.11735521003458,424.4720424320549,55,-21.0,5,245.31407949396248,37.93096596491523
12,240000,-23.666666666666668,12,46.99545914172508,425.5730312089436,60,0.0,5,266.08840351832424,46.91673832805827
13,260000,-23.545454545454547,11,46.65433930337077,428.68466896400787,65,-9.0,5,306.7817226873707,36.40699290088378
14,280000,-22.833333333333332,12,46.30098833911483,431.95622204686515,70,-23.8,5,253.74899548886097,32.382394200889394
15,300000,-23.0,11,45.904925398949345,435.6830955760088,75,-14.2,5,255.54815286540935,41.96860701101832
16,320000,-21.727272727272727,11,46.33907247580593,431.6012153769843,80,-5.6,5,254.11518859849187,49.158808920066804
17,340000,-22.333333333333332,12,46.811464402450895,427.2457667218987,85,-23.6,5,242.01227399325666,34.59741880791262
18,360000,-22.272727272727273,11,47.853421260830316,417.9429489688482,90,-11.6,5,247.39198838699141,47.13976420997642
19,380000,-22.363636363636363,11,46.11765645677645,433.6733810128644,95,-23.4,5,256.40743854913654,32.627758567919955
