iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,-23.727272727272727,11,91.91365125086998,217.5955337190535,5,-24.0,5,238.2545386785872,31.781136434990913
2,40000,-22.75,12,43.60025408543402,458.71292311302386,10,-24.0,5,227.28718159483248,37.35362434620038
3,60000,-23.166666666666668,12,43.90952680515673,455.48202076391317,15,-24.0,5,224.80245627647463,37.77538795908913
4,80000,-23.25,12,43.36203716518166,461.2329426270444,20,-24.0,5,234.51285605396473,32.36496338713914
5,100000,-23.727272727272727,11,43.39717758325618,460.8594639969524,25,-24.0,5,236.7588760140554,31.94389214599505
6,120000,-22.0,12,42.96721829888908,465.4711380400695,30,0.0,5,274.650249690793,45.483301085885614
7,140000,-22.5,12,42.3741569343082,471.9857915050816,35,0.0,5,234.97027690279208,53.113100790884346
8,160000,-21.75,12,42.51646679379459,470.4059746309649,40,0.0,5,233.9881171742662,53.37450529891066
9,180000,-22.333333333333332,12,42.22777802530002,473.6218890801538,45,0.0,5,230.94035664193203,54.06157754990272
10,200000,-23.90909090909091,11,43.054787379628166,464.5244168471545,50,-24.0,5,218.58860027868656,34.66786461113952
11,220000,-22.53846153846154,13,42.90248882659939,466.1734213330783,55,0.0,5,236.3225237698597,52.83457455015741
12,240000,-23.666666666666668,12,43.10121730084644,464.0240172429476,60,0.0,5,242.22488376979922,51.53888322995044
13,260000,-24.0,11,42.4382088500947,471.2734241599683,65,-24.0,5,237.77966733487196,31.895073641091585
14,280000,-22.833333333333332,12,42.240151359282045,473.4831518449355,70,-23.2,5,249.17262365503004,37.5763591628056
15,300000,-22.416666666666668,12,41.60556728678113,480.7048985089641,75,-24.0,5,257.73275152432416,29.38702960801311
16,320000,-22.181818181818183,11,41.905431562664134,477.2651003508363,80,0.0,5,256.28976453819706,48.74170461902395
17,340000,-21.181818181818183,11,42.006288354084866,476.1191903320141,85,-24.0,5,245.91504479513222,30.721991841914132
18,360000,-22.75,12,41.69183379744249,479.71024966589175,90,0.0,5,268.52302492348934,46.51742621907033
19,380000,-22.636363636363637,11,41.735595861261295,479.2072471298743,95,0.0,5,272.86121755885875,45.77052067616023
20,400000,-23.0,10,41.20726836164278,485.3512692099903,100,-24.0,5,259.1594425009206,29.190524284960702
21,420000,-22.416666666666668,12,42.02896148918299,475.86234090384096,105,-24.0,5,246.00152214890173,30.772167317802086
22,440000,-22.6,10,41.9058803669775,477.2599889289122,110,-24.0,5,226.8185851510046,33.47168396692723
23,460000,-22.25,12,41.723009862758204,479.3518028969411,115,-24.0,5,246.1774888091145,30.766419938066974
24,480000,-22.90909090909091,11,41.6811106913149,479.83366249804385,120,-23.4,5,232.12555932090868,40.00851964415051
25,500000,-22.23076923076923,13,41.75361916050112,479.0003933100961,125,0.0,5,274.4338032213525,45.519173853099346
26,520000,-23.181818181818183,11,41.10547611778192,486.55317706801,130,-24.0,5,258.8126689981508,29.272137369960546
27,540000,-21.2,10,41.640691527912814,480.2994202580303,135,0.0,5,238.55592397989716,52.32316092494875
28,560000,-22.833333333333332,12,41.66415015850152,480.0289919250645,140,0.0,5,233.65907066239257,53.46250828006305
