iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,-23.727272727272727,11,384.13604955475125,52.064886966953054,5,-24.0,5,519.1894862061768,14.584270677994937
2,40000,-22.75,12,52.274816537251176,382.59340395289473,10,-24.0,5,230.150121658215,32.926334973890334
3,60000,-22.5,12,39.230990499819484,509.8010461931117,15,-17.8,5,226.18812887433492,43.459398373030126
4,80000,-22.25,12,37.3801249233102,535.0436907589901,20,-9.0,5,276.42518526766986,42.13798387697898
5,100000,-22.583333333333332,12,36.00157127875248,555.5313084849622,25,-17.6,5,231.1579325115198,46.293025221908465
6,120000,-21.666666666666668,12,35.04467691575812,570.700082299998,30,-13.4,5,277.3558092116342,38.69397951499559
7,140000,-23.666666666666668,12,35.43506086013964,564.4127458659932,35,-12.0,5,227.94713990278598,50.83196044899523
8,160000,-23.727272727272727,11,34.96114994319058,572.0635629119352,40,-16.8,5,255.33091999532004,38.49905839911662
9,180000,-21.25,12,35.45681576095746,564.066444511991,45,-12.2,5,251.28689139727246,42.38581623090431
10,200000,-23.916666666666668,12,35.53323179106483,562.8533908089157,50,-14.8,5,238.8186319393689,45.017425619997084
11,220000,-23.272727272727273,11,35.48147463029967,563.674430344021,55,-5.8,5,232.24830418470964,53.761425917968154
12,240000,-22.916666666666668,12,35.274922164668524,566.9750285099726,60,-8.8,5,247.39340867402277,50.462136670947075
13,260000,-23.166666666666668,12,36.115802600410106,553.7742085170466,65,-24.0,5,248.2229404140996,31.53213795204647
14,280000,-22.75,12,34.89755953585571,573.1059783550445,70,-13.6,5,224.01969909242737,47.38868966884911
15,300000,-22.166666666666668,12,34.87397468076532,573.49356312491,75,-23.4,5,222.48659208464034,40.52379029011354
16,320000,-22.5,12,35.46062976077204,564.0057758400217,80,-24.0,5,226.3831305646921,37.343771944986656
17,340000,-22.083333333333332,12,35.1212438715781,569.4559131541755,85,-15.2,5,234.01885228529838,42.07780656917021
18,360000,-22.333333333333332,12,35.56240430233248,562.39167155209,90,-23.6,5,234.08555908589213,37.7554259840399
19,380000,-23.25,12,34.61905594256974,577.7165048399474,95,-23.8,5,248.28663747027207,35.398602556902915
20,400000,-23.545454545454547,11,34.76429564228011,575.3028971389867,100,-23.8,5,213.82938196260235,43.84804330416955
21,420000,-22.5,12,35.086310383571096,570.0228887379635,105,-23.6,5,232.42744186294038,38.79490273492411
22,440000,-23.727272727272727,11,34.93281859545148,572.5275200840551,110,-23.6,5,242.6696189086006,41.084665006026626
23,460000,-22.545454545454547,11,35.208032135567926,568.0521968109533,115,-23.6,5,243.00893851699993,41.86677272897214
24,480000,-22.083333333333332,12,34.76880840618738,575.2282265860122,120,-23.4,5,221.22638894852568,48.615357558010146
25,500000,-22.833333333333332,12,34.844951280251266,573.9712430401705,125,-20.0,5,218.68718232085357,44.35559458518401
26,520000,-23.545454545454547,11,34.981983982377756,571.7228619758971,130,-20.2,5,284.293195508283,35.99453015998006
27,540000,-23.181818181818183,11,35.25156498195084,567.3506980538368,135,-22.4,5,240.58524030115075,43.15310443402268
28,560000,-22.083333333333332,12,34.81300231961358,574.4979940650519,140,-23.4,5,226.47839842828478,44.68417328200303
29,580000,-23.1,10,35.125994547973384,569.3788960960228,145,-23.2,5,252.51390876385608,39.728504655882716
30,600000,-22.083333333333332,12,35.17943230973062,568.5140062498394,150,-22.0,5,238.70251146095995,47.452370445011184
31,620000,-23.6,10,35.66542685508531,560.7671564191114,155,-24.0,5,234.22477680741062,41.64375832886435
32,640000,-21.818181818181817,11,34.692344072517585,576.4960695130285,160,-23.4,5,235.20075391766497,48.53300769603811
33,660000,-21.727272727272727,11,35.00851386092677,571.2896034219302,165,-22.2,5,240.4615811965646,45.425135880941525
34,680000,-22.272727272727273,11,35.150542454352106,568.981261838926,170,-23.2,5,243.57137369089,48.737254383042455
35,700000,-22.818181818181817,11,34.88862127416075,573.2528047708329,175,-23.8,5,251.4925139252895,43.937689546030015
36,720000,-22.90909090909091,11,35.118331825428456,569.5031329910271,180,-23.8,5,227.16310546517545,47.68379961093888
37,740000,-22.9,10,35.166183871115116,568.7281870930456,185,-23.8,5,255.55183825283743,39.65144633385353
38,760000,-22.454545454545453,11,35.27689850828921,566.9432644511107,190,-23.6,5,233.4008106386237,46.735056190053
39,780000,-23.4,10,35.08501955405903,570.0438607190736,195,-23.4,5,264.9857998151617,39.58702695509419
40,800000,-22.0,10,34.901860297974245,573.0353576929774,200,-14.2,5,250.28911661288254,45.61924287606962
41,820000,-22.09090909090909,11,34.5722963330812,578.4978760830127,205,-23.2,5,252.0025889102138,45.24556691781618
42,840000,-22.9,10,34.870801057000314,573.5457573030144,210,-22.8,5,228.28791093326427,52.087734087137505
43,860000,-22.727272727272727,11,34.70341479960422,576.3121616558637,215,-23.6,5,242.7240026730895,42.3691101281438
44,880000,-23.8,10,35.19066361780558,568.3325616479851,220,-23.2,5,247.68554513805026,44.77451436989941
45,900000,-22.454545454545453,11,35.474097153569254,563.7916565830819,225,-23.6,5,245.31079492899542,44.25814201589674
46,920000,-22.545454545454547,11,35.09015863747358,569.9603756889701,230,-23.6,5,227.3165877038106,50.45386311598122
47,940000,-22.333333333333332,9,34.77322651471422,575.1551410260145,235,-21.6,5,225.407675377106,55.32198483985849
48,960000,-21.818181818181817,11,34.66519946428287,576.9474951559678,240,-23.2,5,263.0559870270504,43.26075269607827
49,980000,-23.4,10,35.39521630516794,565.0481078450102,245,-23.6,5,257.9745265076767,45.43084217910655
50,1000000,-20.0,10,35.08655170324668,570.0189682119526,250,-20.0,5,269.1597501624552,42.16826621792279
51,1020000,-21.0,11,34.992399784587796,571.5526835289784,255,-23.8,5,222.544695624792,47.127611694158986
52,1040000,-22.5,10,34.91169965797863,572.8738559260964,260,-23.4,5,256.1462096323095,42.77244631387293
53,1060000,-23.0,10,35.653964987766976,560.9474291810766,265,-23.8,5,232.85495024361657,49.22377638099715
54,1080000,-23.0,9,34.64765645404102,577.2396186890546,270,-23.6,5,247.82838867461524,44.244325916981325
55,1100000,-21.7,10,34.531842463601606,579.1755832629278,275,-20.8,5,231.67011383205474,47.82230999390595
56,1120000,-21.1,10,35.123989880145054,569.4113928470761,280,-19.2,5,302.68610576047394,36.16287563811056
57,1140000,-21.727272727272727,11,34.97642551820352,571.8137203468941,285,-20.6,5,245.6874423957224,47.36098795500584
58,1160000,-23.4,10,34.73704208903078,575.7542610778473,290,-18.0,5,233.56965228265318,47.63033164315857
59,1180000,-23.0,10,34.66556966671074,576.9413337870501,295,-23.6,5,260.18738220490053,36.850364989833906
60,1200000,-23.3,10,34.30567223119417,582.9939686129801,300,-22.8,5,253.4608987280507,44.87477183691226
61,1220000,-22.6,10,34.6680010135508,576.9008715611417,305,-23.4,5,283.09670167228865,40.1735517680645
62,1240000,-22.7,10,35.262680326972685,567.1718602939509,310,-23.4,5,235.04982888742705,50.36378905712627
63,1260000,-23.0,10,34.902458035793835,573.0255439169705,315,-4.6,5,248.99844870540088,49.20512582990341
64,1280000,-23.444444444444443,9,34.99950342061794,571.4366789620835,320,-22.8,5,244.01402475524057,49.80451436014846
65,1300000,-20.7,10,34.17681988546899,585.1919536991045,325,-20.8,5,231.51246062915124,48.10540205799043
66,1320000,-18.444444444444443,9,34.62046333092283,577.693019554019,330,-23.2,5,267.5021943400118,42.85946150193922
67,1340000,-20.666666666666668,9,34.88181661448945,573.3646335292142,335,-23.4,5,227.4077514315639,49.16718946304172
68,1360000,-22.6,10,35.300631153700664,566.5621079951525,340,-22.4,5,246.6253788242216,49.02171892300248
69,1380000,-22.5,10,34.63580294694262,577.437169007957,345,-22.8,5,225.80492161283252,53.803078840021044
70,1400000,-18.333333333333332,9,34.3112389300597,582.899382933043,350,-23.2,5,252.6119631951511,45.27101509901695
71,1420000,-22.7,10,34.4837663124392,579.9830511200707,355,-24.0,5,260.63517327145007,37.51604158896953
72,1440000,-22.4,10,35.19330386808117,568.2899245540611,360,-22.2,5,275.64843881187767,42.98954150103964
73,1460000,-23.7,10,34.22703761635718,584.3333631199785,365,-19.6,5,231.41234643346027,53.95131328306161
74,1480000,-23.333333333333332,9,34.49216893716107,579.8417616600636,370,-23.0,5,244.52472501174753,48.52270051394589
75,1500000,-21.88888888888889,9,34.17053276614448,585.2996245881077,375,-23.8,5,263.68654097688886,34.52584256394766
76,1520000,-21.2,10,34.6102153348451,577.8640729768667,380,-24.0,5,228.86205477371985,48.61443724692799
77,1540000,-22.2,10,34.922213826804935,572.7013785319868,385,-18.0,5,234.20557936045702,52.112336663063616
78,1560000,-21.9,10,34.787597200418574,574.9175456061494,390,-23.2,5,245.9551527712146,49.35452607204206
79,1580000,-22.3,10,35.234462216941914,567.6260893910658,395,-23.0,5,255.79838864706238,46.42327914107591
80,1600000,-22.11111111111111,9,34.82931946698572,574.2288481679279,400,-8.4,5,238.1088978410015,52.44659109017812
81,1620000,-21.7,10,34.59993760999008,578.0357243830804,405,-24.0,5,241.01211916306593,41.852667139843106
