iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,-23.727272727272727,11,191.626076828537,104.36992882704362,5,-24.0,5,340.47362474450114,22.207300215028226
2,40000,-23.0,12,48.22090692859248,414.7578565790318,10,0.0,5,240.3158036920651,51.927504593040794
3,60000,-23.25,12,44.828813218644484,446.14163445401937,15,0.0,5,242.66400229629394,51.437377945985645
4,80000,-23.0,12,43.85382380339637,456.06057272595353,20,-24.0,5,277.3323804284382,27.324613116914406
5,100000,-23.636363636363637,11,44.00127828931797,454.53224946092814,25,-24.0,5,236.82129761596394,31.935472341952845
6,120000,-22.75,12,44.46601040387485,449.7817505628336,30,-24.0,5,249.42581828059517,30.333668150939047
7,140000,-23.0,12,44.40195192722656,450.43064847192727,35,0.0,5,237.09182107643826,52.637834334978834
8,160000,-23.583333333333332,12,44.59469403705904,448.48384840087965,40,-24.0,5,228.42704294027308,36.926450964063406
9,180000,-22.916666666666668,12,43.89926897428142,455.58845209283754,45,0.0,5,265.5639037560982,47.0131664108485
10,200000,-23.0,12,43.98868947928202,454.66232881112956,50,0.0,5,237.85182361438797,52.511684838915244
11,220000,-23.166666666666668,12,43.74065016272443,457.24057428492233,55,0.0,5,248.34361790609026,50.277112435083836
12,240000,-23.666666666666668,12,44.44102307209857,450.03464406193234,60,0.0,5,252.0001281408149,49.539657348999754
13,260000,-23.181818181818183,11,44.356552628955725,450.8916679639369,65,0.0,5,282.92943938754763,44.16295464709401
14,280000,-22.416666666666668,12,43.751251760701365,457.12977789505385,70,0.0,5,269.03754531524794,46.417313187150285
15,300000,-22.083333333333332,12,43.65957910108736,458.08962000510655,75,-24.0,5,254.86356712673384,33.08436782495119
16,320000,-23.833333333333332,12,43.94770849335832,455.0862988231238,80,-24.0,5,271.03680338387693,27.966681665973738
17,340000,-23.818181818181817,11,43.66421538313024,458.04097988503054,85,0.0,5,274.0221269769121,45.58026075409725
18,360000,-22.166666666666668,12,43.31927898534006,461.6882013841532,90,0.0,5,268.44531227314815,46.530892621027306
19,380000,-21.666666666666668,12,43.30168306981809,461.8758113340009,95,0.0,5,285.83825491193164,43.692542147124186
20,400000,-23.636363636363637,11,43.54798362814161,459.26351426006295,100,-24.0,5,262.36184128844576,28.834223615936935
21,420000,-22.727272727272727,11,43.521875602856284,459.5390185501892,105,-24.0,5,245.16991172532337,36.69292017398402
22,440000,-22.0,11,43.88600044442559,455.7261950841639,110,0.0,5,238.9934361951902,52.27340214396827
23,460000,-22.0,11,43.32064596221002,461.6736328781117,115,0.0,5,246.18428032820333,50.714042274979874
24,480000,-23.083333333333332,12,43.100369968214224,464.03313973289914,120,-24.0,5,252.6791600306326,29.863958701957017
25,500000,-22.9,10,43.73284391966159,457.32219099998474,125,-23.6,5,240.4924451500669,37.98871933086775
26,520000,-21.90909090909091,11,43.17570260490314,463.2234982489608,130,-24.0,5,239.4015064913195,31.649759063962847
27,540000,-22.09090909090909,11,44.16675465195813,452.8292865890544,135,-24.0,5,242.90370321337863,31.074042512103915
28,560000,-23.083333333333332,12,44.02294446380746,454.30854849889874,140,0.0,5,248.87445991559986,50.19398135202937
29,580000,-21.5,10,44.103260761149,453.48120875493623,145,-24.0,5,240.43941908439345,31.4590678550303
30,600000,-20.727272727272727,11,43.76728163110906,456.9623530327808,150,-24.0,5,258.05577961897495,34.87230556621216
31,620000,-22.4,10,42.63360550125815,469.1135024789255,155,0.0,5,285.3011664905948,43.750259255990386
32,640000,-21.6,10,42.99480929842119,465.17243189015426,160,0.0,5,302.7960025872627,41.22907797107473
33,660000,-20.363636363636363,11,43.244578714556276,462.4857171580661,165,0.0,5,258.0080680896522,48.420966415898874
34,680000,-23.0,10,43.85824966704558,456.0145503259264,170,0.0,5,258.6148659455972,48.26868693088181
35,700000,-22.636363636363637,11,43.558976350464,459.1476126317866,175,-24.0,5,251.4584709855657,30.140165770892054
36,720000,-21.818181818181817,11,43.35926618855093,461.26241881097667,180,0.0,5,272.9444929058851,45.723582356004044
37,740000,-23.454545454545453,11,42.455955810408256,471.0764277528506,185,-24.0,5,271.4934915760567,31.072568078991026
38,760000,-22.9,10,42.93287556596409,465.8434762719553,190,0.0,5,279.5482555721641,44.675649913959205
39,780000,-20.2,10,42.86899058385979,466.53769374103285,195,-24.0,5,303.43539835241995,29.614211291074753
40,800000,-21.818181818181817,11,42.64620959598534,468.97485590097494,200,-23.2,5,278.5485255134496,33.72123396699317
41,820000,-16.555555555555557,9,43.317410434960834,461.7081168789882,205,-24.0,5,264.94920412890156,28.529997003963217
42,840000,-20.0,10,43.220000317181075,462.7487240449991,210,-24.0,5,251.77538578702428,30.01882005413063
43,860000,-20.4,10,43.89653096232214,455.61686906800605,215,0.0,5,238.68042673157532,52.312626430997625
44,880000,-19.7,10,43.757794229825734,457.06142990104854,220,-23.2,5,232.518907466064,40.40531629184261
45,900000,-22.333333333333332,9,44.0708211983596,453.81500630499795,225,0.0,5,234.91537400089905,53.16382571007125
46,920000,-17.444444444444443,9,44.18435501126051,452.64890694688074,230,-24.0,5,251.85500095996187,35.897639377973974
47,940000,-22.0,10,42.92791439312025,465.89731373498216,235,0.0,5,289.57241654689955,43.13256127410568
48,960000,-21.9,10,42.45839379008142,471.0493783368729,240,-24.0,5,252.99870722447648,29.93295927508734
49,980000,-22.11111111111111,9,43.31678697539801,461.71476225508377,245,-24.0,5,245.7011732830703,30.88711339305155
