Wall time,Step,Value
1704108629.6526334,1752,80.0
1704108631.024362,2216,60.0
1704109018.2924206,7628,280.0
1704109028.72125,11753,380.0
1704109218.37639,12842,260.0
1704109226.7605944,15701,220.0
1704109229.6337214,16700,280.0
1704109421.7551548,17651,280.0
1704109428.6228743,20146,320.0
1704109430.8480072,21053,220.0
1704109623.189416,23351,220.0
1704109626.7560213,24619,380.0
1704110025.443986,33500,180.0
1704110218.6539273,35098,180.0
1704110423.4043636,40882,180.0
1704110425.1755257,41611,260.0
1704110427.6458478,42616,300.0
1704110620.5523736,44005,180.0
1704110626.938932,46504,220.0
1704110827.7783735,50009,340.0
1704111026.2658918,52996,440.0
1704111028.0310812,53709,220.0
1704111030.042963,54532,300.0
1704111032.0399876,55319,300.0
1704111228.8331013,56918,240.0
1704111231.1653216,57877,260.0
1704111234.5940657,59305,440.0
1704111236.809965,60231,280.0
1704111433.7005696,62240,420.0
1704111434.7892978,62692,120.0
1704111637.8258188,67495,320.0
1704111644.4681232,69907,380.0
1704111838.7308793,70597,160.0
1704111842.1159625,71951,180.0
1704112040.2971756,74097,340.0
1704112052.3008835,78942,540.0
1704112459.3891392,87622,300.0
1704112658.447168,88748,340.0
1704112664.9868357,90990,260.0
1704112870.7678268,94361,240.0
1704112873.5573893,95380,300.0
1704112876.7667549,96670,240.0
1704113280.5860405,102619,120.0
1704113487.0314474,106698,320.0
1704113697.2358263,111303,340.0
1704113699.3817763,112106,280.0
1704113703.6125612,113597,120.0
1704113906.8258722,114892,220.0
1704113908.235447,115425,120.0
1704114120.8975375,119728,180.0
1704114123.2674572,120673,160.0
1704114328.2768629,124830,60.0
1704114521.2727988,125847,120.0
1704114522.449468,126341,40.0
1704114719.4200814,128272,80.0
1704114921.8110387,131989,140.0
1704115120.9526951,134144,160.0
1704115125.2884684,135905,180.0
1704115129.1240351,137467,340.0
1704115526.1939912,140712,20.0
1704115528.440337,141630,20.0
1704115529.5676153,142095,20.0
1704115727.4178874,143867,20.0
1704115728.706657,144389,100.0
1704115730.1060677,144959,140.0
1704115930.0547876,147217,80.0
1704115935.1326797,149161,120.0
1704116136.3271887,151659,20.0
1704116142.2521381,154153,0.0
1704116356.669197,162044,0.0
1704116357.8689995,162430,20.0
1704116358.8800514,162826,0.0
1704116563.7617648,166473,60.0
1704116762.9877322,168296,80.0
1704116764.4488351,168907,120.0
1704116765.7531836,169449,60.0
1704116962.7963543,169964,40.0
1704116965.9889793,171202,40.0
1704116968.5884447,172275,20.0
1704117166.8063598,173208,20.0
1704117169.9564147,174207,0.0
1704117375.2075179,175347,80.0
1704117376.7812383,175871,100.0
1704117382.2732441,177685,100.0
1704117582.149256,178147,0.0
1704117583.2785268,178633,0.0
1704117584.3684027,179095,0.0
