Wall time,Step,Value
1704108515.7912269,1988,20.0
1704108523.317968,6398,20.0
1704108526.5480137,8440,60.0
1704108545.6193595,11649,0.0
1704108565.508568,13766,40.0
1704108569.9217896,14242,0.0
1704108595.9009504,17025,0.0
1704108650.5811362,22040,0.0
1704108659.5758152,23025,60.0
1704108742.7744026,31839,0.0
1704108761.3960588,33843,0.0
1704108788.8985806,36824,60.0
1704108844.3321378,41423,0.0
1704108934.9019878,51224,20.0
1704108963.0720718,54248,20.0
1704108981.5334008,56252,40.0
1704109012.6835752,59637,80.0
1704109057.4924555,63110,60.0
1704109067.4073892,64207,60.0
1704109082.681673,65801,40.0
1704109118.328503,69541,0.0
1704109149.2540858,72912,0.0
1704109154.3902235,73451,0.0
1704109158.5794146,73868,80.0
1704109178.8791437,76102,40.0
1704109240.0782928,81131,60.0
1704109292.1545582,86573,20.0
1704109301.3074818,87543,0.0
1704109302.3527648,87652,0.0
1704109325.743557,90071,0.0
1704109348.0785058,92392,40.0
1704109515.5994956,108811,60.0
1704109533.4371252,110722,0.0
1704109573.265256,114983,0.0
1704109672.5372262,124528,40.0
1704109685.2455752,125848,80.0
1704109713.3800848,128843,20.0
1704109804.0789208,138457,0.0
1704109930.0399554,150818,60.0
1704109942.6644104,152225,0.0
1704109958.480387,153893,40.0
1704110014.1858346,159686,20.0
1704110083.3671782,165879,20.0
1704110108.7476478,168573,80.0
1704110118.0965805,169573,0.0
1704110146.09835,172638,60.0
1704110160.8176756,174168,40.0
1704110175.600896,175729,0.0
1704110188.0439196,177011,0.0
1704110243.6549952,181616,20.0
1704110297.4954524,187337,40.0
1704110300.3827553,187652,40.0
1704110317.914985,189532,40.0
1704110326.9915159,190467,60.0
1704110447.8724842,202112,0.0
1704110496.0020483,207144,20.0
1704110551.294065,213042,0.0
1704110630.2897468,220358,100.0
1704110631.6199431,220499,40.0
1704110695.7831693,227225,60.0
1704110723.491665,230050,0.0
1704110730.32255,230725,140.0
1704110799.3967006,238045,20.0
1704110805.3093798,238663,40.0
1704110840.3888276,240838,80.0
1704110889.5454402,246021,100.0
1704110938.9835806,251167,80.0
1704110956.4057195,252986,140.0
1704111018.9791126,259568,40.0
1704111085.9493036,265534,0.0
1704111091.101234,266056,40.0
1704111103.0499625,267291,20.0
1704111374.9126358,294242,60.0
1704111396.299781,296450,60.0
1704111478.381688,303973,120.0
1704111502.2429647,306514,0.0
1704111562.2655752,312813,100.0
1704111599.7863545,316712,60.0
1704111600.5878336,316793,0.0
1704111627.8017454,319709,60.0
1704111813.9428635,337666,140.0
1704111827.5396106,339076,20.0
1704111860.041609,341531,40.0
1704111872.6238918,342821,0.0
1704112096.3713188,364614,60.0
1704112305.6401925,385066,0.0
1704112386.0680351,393364,60.0
1704112522.8354824,406561,120.0
1704112529.8686697,407292,60.0
1704112560.638669,410447,40.0
1704112574.2296984,411878,80.0
1704112579.7689445,412447,20.0
1704112608.8211064,415427,20.0
1704112646.8456633,419217,20.0
1704112683.190273,421476,60.0
1704112706.9757783,423886,80.0
1704112788.115938,432062,0.0
1704112789.3987935,432190,20.0
1704112831.8940675,436569,80.0
1704112889.5761142,441306,80.0
1704112910.3023837,443403,120.0
1704112924.1847272,444885,80.0
1704112992.2803142,451988,40.0
1704113006.081811,453434,80.0
1704113032.7908323,456144,20.0
1704113044.8987968,457361,60.0
1704113095.4450064,461331,0.0
1704113118.0238128,463619,60.0
1704113119.3116941,463753,40.0
1704113120.9224808,463921,40.0
1704113148.4071636,466748,20.0
1704113174.2486622,469439,20.0
1704113214.4039786,473598,60.0
1704113266.5846438,479000,40.0
1704113301.7522943,481728,120.0
1704113505.9338896,501008,100.0
1704113709.4439325,520444,120.0
1704113710.572026,520568,40.0
1704113754.3163183,524962,80.0
1704113755.713649,525101,40.0
1704113790.2705457,528577,0.0
1704113848.1769009,534326,60.0
1704113968.1904633,545328,140.0
1704114008.5067892,549260,0.0
1704114053.9159524,553834,60.0
1704114101.8453763,558519,40.0
1704114106.1236918,558928,40.0
1704114282.5547335,575946,60.0
1704114375.9916065,585002,0.0
1704114485.2161748,596461,0.0
1704114527.3318703,600097,40.0
1704114542.7360795,601658,140.0
1704114553.7798254,602816,40.0
1704114601.2647812,607723,60.0
1704114665.1673791,614399,60.0
1704114670.2208822,614975,60.0
1704114727.7259943,620404,20.0
1704114749.4037125,622652,40.0
1704114823.8825877,630353,0.0
1704114828.7878966,630878,20.0
1704114835.944721,631640,60.0
1704114843.416084,632392,20.0
1704114847.9728835,632856,60.0
1704114876.371459,635752,0.0
1704114913.5668592,639663,20.0
1704115006.8926182,648426,20.0
1704115044.384522,652294,40.0
1704115149.9818552,662216,40.0
1704115151.767061,662394,20.0
1704115228.3154066,670403,0.0
1704115251.3428898,672732,20.0
1704115282.6117914,675902,40.0
1704115359.6578834,683068,40.0
1704115418.3413346,689242,0.0
1704115441.3106573,691542,20.0
1704115480.9435349,695571,60.0
1704115552.091707,702030,0.0
1704115590.4473898,705908,0.0
1704115608.0182185,707687,40.0
1704115614.1544483,708295,20.0
1704115644.6728387,711466,0.0
1704115697.5603428,717037,0.0
1704115713.6381,718694,0.0
1704115779.1065836,724743,60.0
1704115828.7132766,729851,60.0
1704115917.9850852,739072,40.0
1704115942.8665988,740786,20.0
1704116106.545759,757503,0.0
1704116240.7455955,768306,0.0
1704116244.6453538,768714,20.0
1704116275.5263457,771856,0.0
1704116339.6001,778371,0.0
1704116388.2600324,782853,0.0
1704116448.4449015,789023,20.0
1704116450.253506,789210,0.0
1704116458.3237991,790010,20.0
1704116470.0680478,791163,20.0
1704116498.90393,794062,0.0
1704116567.1843607,800355,0.0
1704116649.8871624,808925,60.0
1704116652.964264,809236,0.0
1704116653.8347974,809327,0.0
1704116668.8411584,810903,100.0
1704116726.610957,816801,0.0
1704116776.2404766,821078,0.0
1704116803.6422553,823810,40.0
1704116831.7905178,826711,0.0
1704116875.7630744,831340,20.0
1704117008.7982864,844092,40.0
1704117018.815012,845148,0.0
1704117022.977465,845574,0.0
1704117083.1541924,851654,20.0
1704117087.2186673,852062,0.0
1704117107.1480393,854116,0.0
1704117111.195916,854538,40.0
1704117149.1726024,858433,40.0
1704117174.1883233,860301,60.0
1704117207.9424186,863644,0.0
1704117227.3320863,865544,0.0
1704117252.5826187,868015,40.0
1704117263.5648525,869102,0.0
1704117309.5000255,873638,20.0
1704117344.0086205,877104,20.0
1704117347.1622827,877416,0.0
1704117407.90654,882675,0.0
1704117419.345692,883852,0.0
1704117467.6204286,888600,140.0
1704117528.3448775,894720,0.0
1704117540.0658488,895895,0.0
1704117615.4769337,902993,0.0
1704117850.5143645,926211,100.0
1704117935.8958583,934891,160.0
1704117968.418275,938143,0.0
1704118009.0131812,941038,20.0
1704118073.6502967,947488,0.0
1704118123.5418506,952647,0.0
1704118139.8052166,954325,40.0
1704118236.7528365,963519,0.0
1704118269.2659204,966764,0.0
1704118290.330218,968862,40.0
1704118302.5773745,970085,0.0
1704118355.3279696,975471,0.0
1704118434.7116966,982836,20.0
1704118465.6439528,985979,0.0
1704118471.2528267,986571,0.0
1704118475.5938792,987009,40.0
1704118582.1749313,997752,0.0
1704118615.8542955,1000547,40.0
1704118660.667316,1005131,0.0
1704118731.5304358,1012059,40.0
1704118736.439063,1012530,60.0
1704118772.4341166,1016063,0.0
1704118773.6136358,1016178,0.0
1704118779.5846634,1016757,40.0
1704118787.8985333,1017596,40.0
1704119007.7134187,1039273,20.0
1704119041.9261818,1041907,60.0
1704119048.9276006,1042609,80.0
1704119068.540041,1044620,20.0
1704119074.3806493,1045215,20.0
1704119096.4557493,1047470,0.0
1704119102.4254122,1048069,0.0
1704119117.5662575,1049618,60.0
1704119138.2741446,1051708,60.0
1704119214.4522712,1059387,0.0
1704119287.357582,1065745,20.0
1704119299.8988955,1067003,20.0
1704119329.8324132,1070022,20.0
1704119406.3143609,1077783,20.0
1704119477.0907116,1084325,0.0
1704119490.7239463,1085681,20.0
1704119502.9638405,1086906,60.0
