Wall time,Step,Value
1704283735.5862956,2483,80.0
1704283737.524603,3108,80.0
1704284441.1728911,7625,360.0
1704284452.8323464,11650,220.0
1704284672.8982062,12508,240.0
1704284680.0962796,15045,160.0
1704284682.5614424,15976,320.0
1704284906.5632918,16635,200.0
1704284910.0587077,18043,260.0
1704284911.8565717,18806,220.0
1704285140.1118624,21583,300.0
1704285142.3837616,22552,300.0
1704285609.9490676,33495,240.0
1704285839.2956736,34783,120.0
1704286079.755667,41430,180.0
1704286082.4202592,42412,240.0
1704286084.1528475,42988,200.0
1704286314.3997917,44614,280.0
1704286320.5926647,46905,300.0
1704286601.7608907,49421,200.0
1704286889.668554,51508,160.0
1704286892.3163705,52472,320.0
1704286896.0217466,53925,480.0
1704286898.344029,54769,300.0
1704287183.8783247,56869,240.0
1704287185.469532,57494,200.0
1704287186.613392,57965,100.0
1704287190.1284134,59022,320.0
1704287478.5695534,60453,300.0
1704287480.300145,61054,200.0
1704287768.5654662,65716,340.0
1704287771.2067049,66718,140.0
1704288032.321239,67327,240.0
1704288035.1894941,68451,240.0
1704288297.856443,70279,140.0
1704288304.680751,72881,260.0
1704288844.6850297,81087,100.0
1704289084.4714873,81805,220.0
1704289089.2888985,83735,160.0
1704289335.161056,86397,260.0
1704289337.7031786,87216,260.0
1704289342.4377854,88879,200.0
1704289838.3444278,93934,300.0
1704290086.8999145,97166,360.0
1704290334.2482166,100053,280.0
1704290336.7204018,100941,300.0
1704290341.629989,102574,140.0
1704290584.3550398,104529,240.0
1704290586.834238,105333,200.0
1704290837.836501,109621,260.0
1704290839.4277997,110217,200.0
1704291092.1860178,116402,340.0
1704291340.8621051,118333,400.0
1704291343.653596,119247,300.0
1704291588.7691565,121528,140.0
1704291851.6238046,128309,520.0
1704292104.9181504,131126,400.0
1704292109.9859798,132934,260.0
1704292115.2169082,134696,320.0
1704292611.6355085,141551,100.0
1704292614.097572,142459,280.0
1704292615.6419108,143087,160.0
1704292857.2889216,144946,180.0
1704292860.0566723,145950,300.0
1704292862.7076473,147032,340.0
1704293111.90748,151298,440.0
1704293119.6394713,154362,420.0
1704293361.1773562,155508,340.0
1704293363.9247258,156636,260.0
1704293613.3311646,160207,220.0
1704293615.4310257,161042,200.0
1704293618.154409,162140,280.0
1704293880.742456,169269,160.0
1704294132.0865107,172640,300.0
1704294135.8587,174042,400.0
1704294138.7351255,175154,360.0
1704294384.565172,175740,180.0
1704294388.7693603,177371,240.0
1704294393.7129834,179387,240.0
1704294639.1318812,180713,120.0
1704294643.423215,182164,240.0
1704294890.8360164,183943,280.0
1704294893.7537832,185113,340.0
1704294902.6544065,188700,340.0
1704295146.0703788,189836,440.0
1704295148.629066,190854,300.0
1704295152.3868778,192331,460.0
1704295158.4877927,194763,360.0
1704295414.3829224,199930,400.0
1704295931.6380305,212171,660.0
1704296180.8303075,214429,300.0
1704296190.5107117,218016,380.0
1704296436.2647178,219406,480.0
1704296439.0263634,220549,460.0
1704296707.0728252,229562,220.0
1704296958.1160762,233586,320.0
1704296960.880968,234692,300.0
1704297209.3680654,235958,520.0
1704297214.4321299,237868,220.0
1704297730.2662857,246906,320.0
1704297732.092508,247605,120.0
1704297741.305486,251156,400.0
1704297992.0522687,253192,340.0
1704297998.8044388,255936,420.0
1704298249.1185791,258509,240.0
1704298254.784402,260718,380.0
1704298258.870839,262376,380.0
1704298508.9949052,264441,280.0
1704298513.3614829,266124,280.0
1704298516.8740823,267446,380.0
1704298769.3270137,269256,140.0
1704299031.3068311,274864,280.0
1704299033.4758315,275690,260.0
1704299036.024168,276679,300.0
1704299039.6309903,278095,340.0
1704299550.7373552,288254,160.0
1704299555.5888126,290207,140.0
1704299559.2984962,291715,400.0
1704299817.3886554,296670,600.0
1704300083.1538072,303308,360.0
1704300090.8131006,305952,380.0
1704300096.0363576,307685,480.0
1704300360.166354,311378,280.0
1704300366.6648576,313441,240.0
1704300636.4268725,321144,600.0
1704300888.455671,322877,320.0
1704300893.2126968,324669,560.0
1704301155.4102976,331267,540.0
1704301158.6579833,332426,340.0
1704301408.522978,334314,200.0
1704301415.0171924,337045,280.0
1704301664.5931144,339003,340.0
1704301666.731614,339866,200.0
1704301925.0209093,344717,400.0
1704301930.3425598,346818,320.0
1704301937.4871566,349711,300.0
1704302201.4497757,356032,380.0
1704302469.3330986,361770,500.0
1704302472.2940686,362763,280.0
1704302475.2423759,363806,260.0
1704302727.4385216,364945,260.0
1704302729.7247255,365862,320.0
1704302733.6672277,367385,460.0
1704303005.5961182,376263,320.0
1704303260.9191263,380847,580.0
1704303264.2947216,382231,280.0
1704303793.4875453,395163,400.0
1704304059.772132,400902,320.0
1704304062.9073026,401996,260.0
1704304065.4631543,402857,200.0
1704304068.259267,403856,280.0
1704304071.442887,404910,320.0
1704304333.764076,408807,240.0
1704304609.867712,416778,680.0
1704304616.179929,418968,140.0
1704304882.5929368,424472,560.0
1704304885.4804432,425600,400.0
1704305145.2401602,430582,320.0
1704305148.6026018,431914,500.0
1704305395.4338207,433018,360.0
1704305406.9635854,437493,620.0
1704305668.0960586,442276,480.0
1704305670.6370816,443234,280.0
1704305927.618507,446733,320.0
1704305931.4051735,448156,500.0
1704306191.544513,452665,360.0
1704306458.3289278,461143,800.0
1704306461.6729045,462520,340.0
1704306466.588379,464492,640.0
1704306473.4200552,467265,300.0
1704306727.3061454,468265,220.0
1704306731.0788772,469774,260.0
1704306735.9570096,471611,200.0
1704306738.9447548,472744,240.0
1704306994.762236,474230,380.0
1704306998.306376,475655,400.0
1704307268.4979439,482050,380.0
1704307274.1740835,484407,180.0
1704307277.0947695,485617,380.0
1704307280.976467,487147,420.0
1704307536.2819414,489124,380.0
1704307795.7060716,492278,320.0
1704307800.4032993,494230,620.0
1704308070.7207866,501151,520.0
1704308073.9083817,502447,380.0
1704308082.7568018,506042,500.0
1704308338.0867014,508324,280.0
1704308348.0391343,512311,220.0
1704308605.121999,514145,640.0
1704308616.417806,518664,680.0
1704308618.7587082,519658,200.0
1704308873.2025418,520732,320.0
1704308877.8655183,522591,600.0
1704308884.0384288,525050,380.0
1704308888.5646262,526809,580.0
1704309152.8312163,530931,620.0
1704309155.6907432,532139,400.0
1704309160.1804807,533962,640.0
1704309417.3342392,535999,380.0
1704309428.0710423,540308,520.0
1704309694.6219227,546656,340.0
1704309961.7225764,552641,460.0
1704309965.334582,554042,540.0
1704310226.9942183,557742,280.0
1704310239.4193392,562655,380.0
1704310496.4814668,563975,300.0
1704310499.7310717,565267,360.0
1704310503.7167125,566896,360.0
1704310507.6975312,568378,320.0
1704310510.7742472,569555,340.0
1704310775.6375353,574156,640.0
1704310778.4250884,575281,320.0
1704310780.9859517,576338,320.0
1704311037.2489285,577900,740.0
1704311048.068987,582214,740.0
1704311584.9513035,594314,560.0
1704311595.7715905,598421,400.0
1704311599.255389,599709,360.0
1704311859.429159,601854,520.0
1704311861.8132377,602831,300.0
1704311865.0506096,604083,340.0
1704312127.5026672,607483,720.0
1704312137.344143,611506,840.0
1704312148.0090606,615573,1180.0
1704312409.5049844,618056,260.0
1704312413.1587334,619501,600.0
1704312679.3935838,624612,560.0
1704312686.234132,627393,660.0
1704312951.3105485,631424,440.0
1704312955.4269214,633131,820.0
1704313241.5505881,644404,540.0
1704313244.3145485,645379,300.0
1704313246.8734012,646193,160.0
1704313515.7095392,651678,560.0
1704313782.8367712,655940,700.0
1704313792.845227,659437,620.0
1704314061.1918454,664514,440.0
1704314336.2822993,672268,720.0
1704314355.0003092,679503,920.0
1704314608.3440213,680651,340.0
1704314611.7485695,682008,560.0
1704314619.1680171,684746,340.0
1704314876.5741138,687648,440.0
1704314881.3582058,689529,1180.0
1704314887.3224206,691847,1040.0
1704314895.7605476,695057,1000.0
1704315154.993206,698189,1120.0
1704315162.8208795,701195,600.0
1704315167.2108994,702869,760.0
1704315434.972454,709447,1360.0
1704315438.803316,710941,700.0
1704315710.4302392,719797,660.0
1704315972.7141113,723723,880.0
1704315990.7373626,730181,900.0
1704315996.7643468,732297,1120.0
1704316257.892741,735459,620.0
1704316268.6157548,739571,1360.0
1704316530.615741,743569,800.0
1704316538.049063,746444,660.0
1704316543.3484776,748566,1020.0
1704316807.409954,754362,880.0
1704316815.4910653,757574,1080.0
1704316820.4619339,759611,1500.0
1704317092.3378003,768070,1160.0
1704317363.189548,776047,680.0
1704317632.0282085,782131,1480.0
1704317636.9182317,784098,1220.0
1704317639.9961557,785327,560.0
1704317645.8551514,787659,1460.0
1704317650.1575255,789295,960.0
1704317930.9413447,799839,1340.0
1704318190.845763,803579,660.0
1704318196.0647469,805570,1020.0
1704318200.5362675,807348,700.0
1704318205.5824435,809370,880.0
1704318461.0267909,811871,1640.0
1704318476.0525646,817952,1120.0
1704318733.7884111,821723,1540.0
1704319022.465059,836852,2040.0
1704319289.81234,843178,1200.0
1704319567.8933818,853180,740.0
1704319571.0366151,854475,820.0
1704319577.2740488,856850,1440.0
1704319838.5896046,862201,1180.0
1704319849.0435708,866453,1360.0
1704319854.7698877,868751,1760.0
1704319859.8285398,870791,1180.0
1704320123.0759299,876913,1480.0
1704320396.6395423,886741,1460.0
1704320408.830126,891117,1500.0
1704320671.6173398,895784,1440.0
1704320677.1010978,898043,1300.0
1704320687.3383172,902195,1300.0
1704320948.7106245,907497,780.0
1704320953.6803126,909483,1040.0
1704321210.428349,912700,800.0
1704321224.4289398,918469,620.0
1704321480.2659686,920915,1560.0
1704321489.9857461,924870,1540.0
1704321759.8675773,931795,1460.0
1704321768.444694,935062,820.0
1704322034.5959265,941479,980.0
1704322037.7536042,942779,560.0
1704322049.1436362,947449,1560.0
1704322305.7593634,950924,820.0
1704322310.945577,953079,1340.0
1704322320.1208076,956770,1680.0
1704322325.912968,959055,1360.0
1704322586.5383506,963688,1000.0
1704322591.563464,965486,860.0
1704322597.2635963,967766,1140.0
1704322876.5825443,979001,1460.0
1704323149.1497502,988711,1880.0
1704323155.325673,991209,2300.0
1704323161.3492613,993707,2400.0
1704323959.1362221,1021771,1360.0
1704323970.8421443,1026439,1900.0
1704324262.9391875,1039642,1680.0
1704324536.996386,1041473,900.0
1704324556.285552,1048432,1080.0
1704324561.387947,1050354,940.0
1704324854.3916357,1057317,2080.0
1704325155.6575627,1064243,2000.0
1704325161.4212048,1066222,1260.0
1704325175.5468583,1071084,1900.0
1704325183.5973492,1073578,1620.0
1704325466.0229535,1075471,1320.0
1704325470.5020852,1077142,980.0
1704325476.510542,1079422,1540.0
1704325789.1450138,1091570,1100.0
1704326084.9150944,1097521,1520.0
1704326403.436764,1112979,1620.0
1704326702.0575943,1123383,1160.0
1704326976.0968318,1125625,1460.0
1704326983.7985065,1128119,2260.0
1704326991.1321588,1130469,1620.0
1704327282.217406,1136413,2000.0
1704327604.156568,1153917,1380.0
1704327609.8080747,1155997,1140.0
1704328212.715259,1173717,1040.0
1704328219.4588647,1176062,1280.0
1704328522.9110973,1184238,960.0
1704328529.9273322,1186735,1500.0
1704328821.6315994,1191581,1960.0
1704328828.5474486,1194081,1760.0
1704328835.0213072,1196535,1260.0
1704328846.864794,1201108,1600.0
1704329134.47271,1203609,2140.0
1704329150.9680789,1209311,1360.0
1704329440.404166,1213799,1460.0
1704329753.1078925,1224735,2200.0
1704329759.195797,1226949,1260.0
1704329776.759745,1233359,1180.0
1704330070.196932,1239095,1100.0
1704330370.6064515,1245542,1020.0
1704330382.9009194,1250340,1560.0
1704330668.4024427,1255849,1220.0
1704330673.6579926,1257868,1180.0
1704330976.9895437,1266779,2220.0
1704330984.1827855,1269276,2220.0
1704331614.535619,1297948,1520.0
1704331896.6571693,1300107,1500.0
1704331903.08045,1302602,2140.0
1704332205.7724118,1312133,1940.0
1704332217.1336548,1316460,1880.0
1704332513.4926848,1323150,1700.0
1704332524.759301,1327562,1140.0
1704332530.928708,1330059,2160.0
1704332834.2378516,1336924,1560.0
1704332841.3550959,1339304,1540.0
1704332851.6776357,1343293,1240.0
1704333151.9011786,1350781,1620.0
1704333157.0513818,1352750,1560.0
1704333447.273584,1357751,2440.0
1704333453.0264952,1360030,1520.0
1704333469.5389872,1366420,920.0
1704333769.0450013,1375180,2160.0
1704333775.0187392,1377487,1720.0
1704334068.4923463,1380806,600.0
1704334081.4083178,1385550,2040.0
1704334380.3435695,1394868,2040.0
1704334386.4018722,1397295,2040.0
1704334673.484435,1401800,1600.0
1704334680.1815755,1404298,2220.0
1704334686.5785067,1406731,1560.0
1704334692.844977,1409224,1300.0
1704334981.7244503,1413403,960.0
1704335005.202607,1422363,1160.0
1704335299.3094025,1427064,2100.0
1704335305.5593846,1429345,1280.0
1704335596.5489416,1434877,1060.0
1704335617.817422,1443201,780.0
1704335909.0476258,1449009,940.0
1704336206.5556087,1456316,2280.0
1704336212.9859846,1458811,2500.0
1704336513.8697135,1467798,1780.0
1704336526.7470636,1472335,1640.0
1704336533.7344816,1474766,2160.0
1704336826.0864735,1479766,1780.0
1704336839.5934615,1484251,1500.0
1704336845.1238313,1486268,1360.0
1704337140.9089997,1493523,1840.0
1704337452.915791,1505464,1780.0
1704337463.7361283,1509773,2080.0
1704337468.563346,1511628,1060.0
1704337769.4533355,1518760,2140.0
1704338070.4188623,1527912,1520.0
1704338364.3981295,1536018,1660.0
1704338375.6816518,1540330,1180.0
1704338386.6107714,1544620,1520.0
1704338673.309793,1549550,1680.0
1704338686.3199823,1554551,2260.0
1704338692.612141,1557050,1780.0
1704338991.625357,1564489,1680.0
1704338996.6634998,1566419,1380.0
1704339002.495928,1568750,1440.0
1704339291.9287622,1573556,1600.0
1704339594.4239557,1584222,780.0
1704339607.4593036,1589217,2340.0
1704339894.9382687,1594209,2480.0
1704339908.279678,1599168,2200.0
1704340218.7788079,1610632,1700.0
1704340526.3787851,1619476,2040.0
1704340536.5642705,1623090,1060.0
1704340542.1227891,1625243,1220.0
1704341131.619691,1638422,1580.0
1704341137.13514,1640554,1860.0
1704341141.1783614,1642138,1420.0
1704341146.925758,1644412,1340.0
