Wall time,Step,Value
1704283735.586354,2483,20000.0
1704283737.5246432,3108,20000.0
1704284441.172932,7625,60000.0
1704284452.8324938,11650,60000.0
1704284672.89826,12508,80000.0
1704284680.096344,15045,80000.0
1704284682.5615194,15976,80000.0
1704284906.5633378,16635,100000.0
1704284910.0587537,18043,100000.0
1704284911.8566208,18806,100000.0
1704285140.1119497,21583,120000.0
1704285142.3838007,22552,120000.0
1704285609.9491165,33495,160000.0
1704285839.2963984,34783,180000.0
1704286079.7557375,41430,200000.0
1704286082.4203377,42412,200000.0
1704286084.1529098,42988,200000.0
1704286314.3998792,44614,220000.0
1704286320.5927534,46905,220000.0
1704286601.7609339,49421,240000.0
1704286889.6686096,51508,260000.0
1704286892.3164198,52472,260000.0
1704286896.0217934,53925,260000.0
1704286898.3440921,54769,260000.0
1704287183.8783836,56869,280000.0
1704287185.4695828,57494,280000.0
1704287186.6134782,57965,280000.0
1704287190.1284735,59022,280000.0
1704287478.5696118,60453,300000.0
1704287480.3001976,61054,300000.0
1704287768.5655053,65716,320000.0
1704287771.206778,66718,320000.0
1704288032.3212924,67327,340000.0
1704288035.1895368,68451,340000.0
1704288297.85649,70279,360000.0
1704288304.6808197,72881,360000.0
1704288844.6850753,81087,400000.0
1704289084.4715297,81805,420000.0
1704289089.2889483,83735,420000.0
1704289335.1611211,86397,440000.0
1704289337.7032306,87216,440000.0
1704289342.4378936,88879,440000.0
1704289838.344478,93934,480000.0
1704290086.899976,97166,500000.0
1704290334.2482743,100053,520000.0
1704290336.720454,100941,520000.0
1704290341.6300812,102574,520000.0
1704290584.3551128,104529,540000.0
1704290586.8342948,105333,540000.0
1704290837.8365386,109621,560000.0
1704290839.427861,110217,560000.0
1704291092.1860654,116402,580000.0
1704291340.8621585,118333,600000.0
1704291343.6536522,119247,600000.0
1704291588.7692091,121528,620000.0
1704291851.62386,128309,640000.0
1704292104.918236,131126,660000.0
1704292109.9860225,132934,660000.0
1704292115.2169607,134696,660000.0
1704292611.6355984,141551,700000.0
1704292614.097615,142459,700000.0
1704292615.641956,143087,700000.0
1704292857.2889645,144946,720000.0
1704292860.0567174,145950,720000.0
1704292862.7077258,147032,720000.0
1704293111.9075458,151298,740000.0
1704293119.6395113,154362,740000.0
1704293361.177402,155508,760000.0
1704293363.9247684,156636,760000.0
1704293613.3312218,160207,780000.0
1704293615.4310725,161042,780000.0
1704293618.1544526,162140,780000.0
1704293880.742544,169269,800000.0
1704294132.0865695,172640,820000.0
1704294135.8587606,174042,820000.0
1704294138.73525,175154,820000.0
1704294384.5652864,175740,840000.0
1704294388.7694063,177371,840000.0
1704294393.713029,179387,840000.0
1704294639.13193,180713,860000.0
1704294643.4232707,182164,860000.0
1704294890.8360662,183943,880000.0
1704294893.7538242,185113,880000.0
1704294902.654452,188700,880000.0
1704295146.0704358,189836,900000.0
1704295148.62911,190854,900000.0
1704295152.386922,192331,900000.0
1704295158.4878385,194763,900000.0
1704295414.3829758,199930,920000.0
1704295931.6380749,212171,960000.0
1704296180.8303554,214429,980000.0
1704296190.5107791,218016,980000.0
1704296436.2647629,219406,1000000.0
1704296439.0264032,220549,1000000.0
1704296707.0728729,229562,1020000.0
1704296958.1161442,233586,1040000.0
1704296960.8810089,234692,1040000.0
1704297209.368113,235958,1060000.0
1704297214.4321747,237868,1060000.0
1704297730.2663388,246906,1100000.0
1704297732.0925586,247605,1100000.0
1704297741.3055484,251156,1100000.0
1704297992.0523214,253192,1120000.0
1704297998.8045046,255936,1120000.0
1704298249.11863,258509,1140000.0
1704298254.7844577,260718,1140000.0
1704298258.870879,262376,1140000.0
1704298508.9949794,264441,1160000.0
1704298513.3615396,266124,1160000.0
1704298516.8741505,267446,1160000.0
1704298769.3270972,269256,1180000.0
1704299031.3068821,274864,1200000.0
1704299033.4758854,275690,1200000.0
1704299036.0242052,276679,1200000.0
1704299039.6310515,278095,1200000.0
1704299550.7373934,288254,1240000.0
1704299555.588851,290207,1240000.0
1704299559.298539,291715,1240000.0
1704299817.3887131,296670,1260000.0
1704300083.1538663,303308,1280000.0
1704300090.813185,305952,1280000.0
1704300096.036427,307685,1280000.0
1704300360.1664023,311378,1300000.0
1704300366.664916,313441,1300000.0
1704300636.4269724,321144,1320000.0
