Wall time,Step,Value
1704283444.2608085,1988,20.0
1704283451.6248236,6398,20.0
1704283455.3102238,8440,60.0
1704283455.6095238,8552,20.0
1704283513.218899,12084,20.0
1704283562.6149888,13787,0.0
1704283568.449697,14226,0.0
1704283644.9034195,16882,20.0
1704283770.4152637,21630,0.0
1704283795.6003776,22453,0.0
1704283857.866191,24879,20.0
1704283905.9985003,26475,20.0
1704284048.7179306,31976,40.0
1704284123.0232117,34498,0.0
1704284183.386343,37187,20.0
1704284240.793733,41739,20.0
1704284311.5853107,48529,40.0
1704284337.0178106,50996,0.0
1704284370.8126996,53871,0.0
1704284400.5217988,56332,0.0
1704284433.0223572,59535,20.0
1704284494.121432,63827,40.0
1704284503.765466,64823,0.0
1704284511.7332687,65432,20.0
1704284553.5077925,69279,0.0
1704284589.6471286,72445,20.0
1704284594.1559029,72878,0.0
1704284598.425453,73292,80.0
1704284618.6074824,75161,40.0
1704284623.888001,75729,0.0
1704284690.571658,80736,60.0
1704284747.8252223,86015,0.0
1704284756.324232,86697,0.0
1704284758.0892978,86861,40.0
1704284782.3134556,88961,0.0
1704284811.217566,91565,0.0
1704284966.831372,104742,20.0
1704284983.206081,106302,20.0
1704285025.1242607,110031,0.0
1704285120.143022,118704,40.0
1704285155.9093997,120921,40.0
1704285195.3168051,124419,0.0
1704285290.0027518,133140,0.0
1704285407.2256477,142494,60.0
1704285429.015642,144538,40.0
1704285444.9757488,145923,0.0
1704285464.2820394,147761,0.0
1704285502.9673123,151136,20.0
1704285529.896482,153711,0.0
1704285593.179238,159268,0.0
1704285627.8475308,161397,40.0
1704285636.03506,162184,20.0
1704285678.2454982,165766,0.0
1704285701.5389552,167936,0.0
1704285714.3795397,169030,0.0
1704285720.3434567,169577,20.0
1704285736.9061294,171041,180.0
1704285795.7080054,176277,20.0
1704285862.5309637,181239,0.0
1704285864.531793,181433,0.0
1704285871.1775353,182045,0.0
1704285886.7709734,183405,40.0
1704285892.6871352,183944,0.0
1704285991.0768185,192800,0.0
1704286025.2623086,195869,20.0
1704286087.146505,200303,20.0
1704286167.8254404,207327,20.0
1704286232.3133578,213000,0.0
1704286235.9646013,213295,120.0
1704286308.3104184,219823,40.0
1704286347.2415705,222187,0.0
1704286355.677025,222796,80.0
1704286423.3078237,227692,0.0
1704286431.0622737,228280,60.0
1704286470.4279594,231045,0.0
1704286516.6537237,234409,20.0
1704286541.0667145,236190,120.0
1704286617.9621344,240842,0.0
1704286631.2062254,241797,40.0
1704286704.6138825,247073,80.0
1704286737.137589,249498,40.0
1704286780.1064467,252473,20.0
1704286783.9770036,252725,40.0
1704286800.189614,253883,100.0
1704286959.651976,264143,140.0
1704287129.4307437,276270,60.0
1704287162.322935,278638,0.0
1704287256.8151572,284443,0.0
1704287274.3505836,285675,40.0
1704287360.9600482,291816,0.0
1704287427.207966,296536,20.0
1704287429.0075817,296659,40.0
1704287470.1241837,299581,20.0
1704287716.7161877,316397,40.0
1704287742.665538,318417,120.0
1704287761.05551,319847,0.0
1704287791.7789452,321682,40.0
1704288055.3960373,341456,20.0
1704288123.2143023,346599,220.0
1704288326.374948,361628,100.0
1704288431.1212962,369608,60.0
1704288527.2178743,376901,20.0
1704288653.2105677,385273,20.0
1704288667.3404064,386289,60.0
1704288698.6681523,388671,60.0
1704288718.7067008,390352,80.0
1704288728.5528166,391021,40.0
1704288775.3523147,394887,160.0
1704288820.0306382,398592,0.0
1704288862.0720406,401456,20.0
1704288886.8889096,403613,40.0
1704288955.6770165,409400,0.0
1704288958.2591562,409613,40.0
1704288997.7630365,412903,40.0
1704289042.715964,416627,0.0
1704289061.0268095,418196,40.0
1704289073.2273495,419207,0.0
1704289164.327737,426219,20.0
1704289187.61157,428181,20.0
1704289214.714754,430478,20.0
1704289232.1884835,431917,20.0
1704289272.6071458,435194,40.0
1704289288.284559,436478,100.0
1704289306.7258523,438045,0.0
1704289308.042548,438164,40.0
1704289309.5901394,438299,40.0
1704289347.483913,440426,40.0
1704289381.822953,443380,0.0
1704289435.0125773,447872,0.0
1704289492.6067002,452742,60.0
1704289513.7946773,454510,80.0
1704289552.7929869,457655,40.0
1704289764.25002,474198,40.0
1704289784.255697,475838,20.0
1704289808.1568007,477830,100.0
1704289950.0861642,488884,0.0
1704290052.984729,497464,20.0
1704290054.9528077,497637,40.0
1704290101.9381788,500767,0.0
1704290103.5643349,500894,0.0
1704290136.404056,503678,60.0
1704290188.0256727,507979,140.0
1704290259.4934106,513921,0.0
1704290270.5963027,514901,0.0
1704290302.2948256,517543,0.0
1704290307.673875,517988,20.0
1704290361.9080837,521410,40.0
1704290413.8607,525756,60.0
1704290417.3382978,526071,0.0
1704290486.7177052,531964,80.0
1704290603.3920183,540793,40.0
1704290712.2431347,549793,300.0
1704290852.373136,560699,0.0
1704290907.0640922,565287,0.0
1704290925.0225313,566766,20.0
1704290942.0547268,568229,100.0
