Wall time,Step,Value
1704107963.254706,1988,20.0
1704107969.0362394,6398,20.0
1704107971.813565,8440,60.0
1704107971.9562762,8552,20.0
1704107991.0142164,12098,40.0
1704108007.0214233,14190,20.0
1704108010.2489548,14623,20.0
1704108030.9958277,17316,40.0
1704108083.8436778,22456,0.0
1704108094.4796216,23672,20.0
1704108116.3062143,26208,0.0
1704108178.2124352,33274,100.0
1704108193.1361115,34994,40.0
1704108226.2614784,38760,80.0
1704108274.471779,42989,0.0
1704108326.6348712,48938,20.0
1704108350.0178893,51607,0.0
1704108370.4120734,53880,20.0
1704108383.9335053,55395,40.0
1704108409.3346355,58201,60.0
1704108461.9887335,61728,40.0
1704108473.7934377,62931,0.0
1704108479.728529,63577,0.0
1704108519.0963457,67542,20.0
1704108544.5235407,70031,0.0
1704108552.9071605,70843,20.0
1704108558.8856337,71328,80.0
1704108584.6652536,73669,20.0
1704108648.9393487,79599,220.0
1704108728.4659433,85905,0.0
1704108740.5539253,86997,100.0
1704108741.1473973,87056,0.0
1704108761.989429,88989,0.0
1704108789.1141984,91470,40.0
1704108938.7556775,104062,0.0
1704108957.1770852,105616,0.0
1704109009.0689626,110296,20.0
1704109088.5890083,117568,20.0
1704109101.3881598,118677,40.0
1704109148.9261453,121665,0.0
1704109243.5919087,130261,0.0
1704109352.6354816,139814,20.0
1704109397.187068,142888,80.0
1704109415.0648282,144532,20.0
1704109433.3348227,146281,60.0
1704109459.2514591,148619,60.0
1704109486.0529351,151044,60.0
1704109552.8701913,157045,20.0
1704109581.6635423,159599,0.0
1704109601.1580245,160258,20.0
1704109635.3043327,163350,0.0
1704109661.3923407,165734,100.0
1704109677.29844,167150,40.0
1704109680.8637464,167458,40.0
1704109696.437415,168791,40.0
1704109762.5151894,174604,0.0
1704109838.9832013,180534,60.0
1704109843.7149901,180959,20.0
1704109847.1471303,181270,0.0
1704109863.982132,182711,20.0
1704109868.6607604,183119,0.0
1704109967.6179583,191869,100.0
1704110005.7893615,195146,40.0
