Wall time,Step,Value
1704108166.3026507,2486,80.0
1704108168.182186,3153,80.0
1704108539.5631492,7558,160.0
1704108547.5400996,10566,160.0
1704108765.7531486,11802,360.0
1704108770.6269453,13713,160.0
1704108772.6883883,14519,300.0
1704108995.6818032,15257,240.0
1704109000.7034202,17161,160.0
1704109003.5578213,18158,300.0
1704109231.4597547,20321,260.0
1704109233.3706098,20998,200.0
1704109703.5916917,29268,120.0
1704109931.927976,30439,180.0
1704110173.7168999,37650,260.0
1704110175.9312341,38528,280.0
1704110178.765612,39559,280.0
1704110407.777425,41009,260.0
1704110413.3939703,43223,120.0
1704110644.8209586,46013,320.0
1704110877.1320121,47823,240.0
1704110879.7025845,48724,340.0
1704110882.5525644,49785,380.0
1704110885.5042882,50906,400.0
1704111118.4582798,52219,220.0
1704111120.600065,52997,240.0
1704111122.7097049,53731,220.0
1704111126.1983235,54954,460.0
1704111361.5987604,56861,220.0
1704111364.294444,57807,260.0
1704111609.7374883,62063,160.0
1704111614.5796237,63788,360.0
1704111843.1090732,64516,220.0
1704111847.103296,66166,220.0
1704112079.6426995,68087,240.0
1704112088.5470722,71721,400.0
1704112570.8044071,80501,440.0
1704112803.359162,81297,200.0
1704112810.5160441,83771,220.0
1704113047.068562,85957,200.0
1704113048.6185062,86499,140.0
1704113051.4185367,87503,100.0
1704113530.9681306,94373,220.0
1704113775.901957,98406,160.0
1704114014.8435698,100807,320.0
1704114017.5559847,101822,360.0
1704114020.9275646,103042,200.0
1704114254.6704912,104083,100.0
1704114256.2190542,104618,140.0
1704114493.836825,107659,120.0
1704114495.6928504,108340,160.0
1704114739.002856,114569,340.0
1704114972.6718516,116209,140.0
1704114974.4902506,116961,200.0
1704115211.1054673,118993,100.0
1704115458.7496252,124486,160.0
1704115698.0437973,127607,400.0
1704115703.7940252,129810,300.0
1704115709.743082,132115,400.0
1704116182.8631122,137217,240.0
1704116185.4259348,138221,340.0
1704116187.0336628,138877,220.0
1704116428.5610912,141255,340.0
1704116430.697546,142051,180.0
1704116433.122726,142824,200.0
1704116675.5958943,146274,140.0
1704116680.4941037,148274,120.0
1704116914.2817693,149043,60.0
1704116915.9017706,149718,60.0
1704117156.991712,152608,300.0
1704117159.2667615,153527,240.0
1704117160.7872784,154169,120.0
1704117405.7196708,159533,200.0
1704117646.8889282,161904,260.0
1704117648.781005,162583,180.0
1704117651.3642085,163517,220.0
1704117889.659814,164237,240.0
1704117893.5742362,165761,180.0
1704117898.7328649,167794,260.0
1704118137.5152166,169647,200.0
1704118143.2916772,171980,220.0
1704118380.8976872,173584,280.0
1704118382.1724923,174090,140.0
1704118389.759116,176673,240.0
1704118623.98424,177543,180.0
1704118626.0445285,178378,140.0
1704118627.3395638,178887,60.0
1704118632.1223302,180673,160.0
1704118878.4114757,185047,300.0
1704119367.675584,193775,140.0
1704119605.3645637,195740,140.0
1704119610.8179471,198006,100.0
1704119848.634446,198639,120.0
1704119852.2778459,199899,280.0
1704120107.5389602,207412,140.0
1704120349.2201195,210503,160.0
1704120351.572999,211450,160.0
1704120586.0686405,212316,140.0
1704120591.43022,214511,160.0
1704121071.8206139,220628,140.0
1704121073.7842155,221450,220.0
1704121083.2087736,225309,340.0
1704121318.3876348,226704,200.0
1704121322.8843026,228535,320.0
1704121559.7910585,230487,300.0
1704121565.5793796,232895,220.0
1704121568.5637066,234133,260.0
1704121807.902052,236048,160.0
1704121813.1694558,238100,200.0
