Wall time,Step,Value
1704108166.302698,2486,20000.0
1704108168.1822267,3153,20000.0
1704108539.5631976,7558,60000.0
1704108547.5402017,10566,60000.0
1704108765.753189,11802,80000.0
1704108770.626985,13713,80000.0
1704108772.6884286,14519,80000.0
1704108995.6818492,15257,100000.0
1704109000.703463,17161,100000.0
1704109003.5578802,18158,100000.0
1704109231.4598117,20321,120000.0
1704109233.3706512,20998,120000.0
1704109703.5917768,29268,160000.0
1704109931.9280272,30439,180000.0
1704110173.7169738,37650,200000.0
1704110175.9312775,38528,200000.0
1704110178.765665,39559,200000.0
1704110407.7774658,41009,220000.0
1704110413.3940258,43223,220000.0
1704110644.8210351,46013,240000.0
1704110877.1320522,47823,260000.0
1704110879.7026997,48724,260000.0
1704110882.5526693,49785,260000.0
1704110885.5043306,50906,260000.0
1704111118.4583373,52219,280000.0
1704111120.600109,52997,280000.0
1704111122.7097535,53731,280000.0
1704111126.198459,54954,280000.0
1704111361.5988119,56861,300000.0
1704111364.294517,57807,300000.0
1704111609.737548,62063,320000.0
1704111614.579693,63788,320000.0
1704111843.10913,64516,340000.0
1704111847.103347,66166,340000.0
1704112079.6427448,68087,360000.0
1704112088.5471091,71721,360000.0
1704112570.804451,80501,400000.0
1704112803.3592088,81297,420000.0
1704112810.5161078,83771,420000.0
1704113047.068613,85957,440000.0
1704113048.6185555,86499,440000.0
1704113051.4185853,87503,440000.0
1704113530.9681754,94373,480000.0
1704113775.9020247,98406,500000.0
1704114014.8436155,100807,520000.0
1704114017.5560906,101822,520000.0
1704114020.9276042,103042,520000.0
1704114254.6705475,104083,540000.0
1704114256.2191033,104618,540000.0
1704114493.8368738,107659,560000.0
1704114495.6928875,108340,560000.0
1704114739.002896,114569,580000.0
1704114972.6719024,116209,600000.0
1704114974.49029,116961,600000.0
1704115211.1055558,118993,620000.0
1704115458.749695,124486,640000.0
1704115698.043838,127607,660000.0
1704115703.7940779,129810,660000.0
1704115709.7431371,132115,660000.0
1704116182.8631516,137217,700000.0
1704116185.4259822,138221,700000.0
1704116187.0336998,138877,700000.0
1704116428.5611587,141255,720000.0
1704116430.6976297,142051,720000.0
1704116433.1227705,142824,720000.0
1704116675.595931,146274,740000.0
1704116680.4941409,148274,740000.0
1704116914.2818067,149043,760000.0
1704116915.9018133,149718,760000.0
1704117156.9917607,152608,780000.0
1704117159.266812,153527,780000.0
1704117160.787338,154169,780000.0
1704117405.7197363,159533,800000.0
1704117646.8889868,161904,820000.0
1704117648.7810514,162583,820000.0
1704117651.364266,163517,820000.0
1704117889.659872,164237,840000.0
1704117893.574309,165761,840000.0
1704117898.7329009,167794,840000.0
1704118137.515265,169647,860000.0
1704118143.2917469,171980,860000.0
1704118380.8977487,173584,880000.0
1704118382.172533,174090,880000.0
1704118389.7591662,176673,880000.0
1704118623.9842837,177543,900000.0
1704118626.0445826,178378,900000.0
1704118627.3396354,178887,900000.0
1704118632.1223736,180673,900000.0
1704118878.4115155,185047,920000.0
1704119367.675628,193775,960000.0
1704119605.364609,195740,980000.0
1704119610.817999,198006,980000.0
1704119848.6344995,198639,1000000.0
1704119852.2779481,199899,1000000.0
1704120107.5390167,207412,1020000.0
1704120349.2201579,210503,1040000.0
1704120351.5730407,211450,1040000.0
1704120586.0686872,212316,1060000.0
1704120591.4302623,214511,1060000.0
1704121071.8206718,220628,1100000.0
1704121073.7842522,221450,1100000.0
1704121083.2088263,225309,1100000.0
1704121318.3876898,226704,1120000.0
1704121322.8843396,228535,1120000.0
1704121559.7911205,230487,1140000.0
1704121565.5794435,232895,1140000.0
1704121568.563762,234133,1140000.0
1704121807.9021027,236048,1160000.0
1704121813.1695113,238100,1160000.0
1704121815.8254106,239105,1160000.0
1704122053.4577947,241179,1180000.0
1704122304.548233,246744,1200000.0
1704122306.6663995,247621,1200000.0
1704122308.2978573,248309,1200000.0
1704122311.062262,249444,1200000.0
1704122800.6509297,257672,1240000.0
1704122806.1417603,259718,1240000.0
1704122807.9609156,260375,1240000.0
1704123050.52857,263441,1260000.0
1704123295.729205,268120,1280000.0
1704123301.282904,270386,1280000.0
1704123303.097052,271121,1280000.0
1704123548.8426707,274394,1300000.0
1704123557.2423744,277364,1300000.0
1704123810.9009275,282513,1320000.0
1704124054.0321887,284226,1340000.0
1704124057.5249634,285552,1340000.0
1704124309.3781188,290941,1360000.0
1704124312.1441994,292060,1360000.0
1704124553.6788058,293779,1380000.0
1704124561.5262327,296937,1380000.0
1704124800.6421535,298276,1400000.0
1704124803.3063416,299398,1400000.0
1704125049.9201689,303050,1420000.0
1704125053.982497,304787,1420000.0
1704125057.9542837,306443,1420000.0
1704125308.3883936,310638,1440000.0
1704125560.4626358,315888,1460000.0
1704125562.743736,316821,1460000.0
1704125565.6820412,318001,1460000.0
1704125805.5412834,318990,1480000.0
1704125808.0627444,320024,1480000.0
1704125810.9611108,321220,1480000.0
1704126075.4791589,331514,1500000.0
1704126322.3868828,334376,1520000.0
1704126325.372354,335391,1520000.0
1704126819.5863037,343214,1560000.0
1704127071.5627484,347987,1580000.0
1704127075.0666752,349263,1580000.0
1704127078.3441799,350432,1580000.0
1704127081.9568753,351679,1580000.0
1704127084.3770168,352604,1580000.0
1704127332.2561576,355997,1600000.0
1704127585.2738435,362135,1620000.0
1704127590.8954558,364349,1620000.0
1704127840.4024699,369649,1640000.0
1704127843.841503,370922,1640000.0
1704128096.1679885,377786,1660000.0
1704128098.5937254,378834,1660000.0
1704128339.2864683,380069,1680000.0
1704128348.4264345,383796,1680000.0
1704128597.9877572,387188,1700000.0
1704128600.9695985,388355,1700000.0
1704128850.3789132,392050,1720000.0
1704128853.5136383,393213,1720000.0
1704129105.6825328,398433,1740000.0
1704129360.3954096,405021,1760000.0
1704129363.7499368,406491,1760000.0
1704129366.1564405,407527,1760000.0
1704129372.5243833,410149,1760000.0
1704129614.3270886,411176,1780000.0
1704129616.9985187,412281,1780000.0
1704129621.9451585,414388,1780000.0
1704129624.3086424,415429,1780000.0
1704129866.8721082,416775,1800000.0
1704129869.0175798,417767,1800000.0
1704130121.9258018,424074,1820000.0
1704130128.2939043,426675,1820000.0
1704130130.5327618,427687,1820000.0
1704130133.2038352,428905,1820000.0
1704130377.1861396,431123,1840000.0
1704130626.0501156,435719,1860000.0
1704130629.4650695,437097,1860000.0
1704130881.7195601,442551,1880000.0
1704130885.685576,443995,1880000.0
1704130893.8267257,447089,1880000.0
1704131141.1049595,449488,1900000.0
1704131153.401863,454356,1900000.0
1704131400.292121,456422,1920000.0
1704131411.0727136,460234,1920000.0
1704131414.679011,461579,1920000.0
1704131659.9028926,462738,1940000.0
1704131664.9019938,464639,1940000.0
1704131673.4721854,467760,1940000.0
1704131677.0506337,469175,1940000.0
1704131925.7907982,473640,1960000.0
1704131929.0619884,475013,1960000.0
1704131931.4064305,475977,1960000.0
1704132174.3087518,478351,1980000.0
1704132183.3269753,482106,1980000.0
1704132434.7752445,488127,2000000.0
1704132682.8893325,493266,2020000.0
1704132686.3657277,494712,2020000.0
1704132931.5967956,498383,2040000.0
1704132940.8908792,502176,2040000.0
1704133180.0547764,503464,2060000.0
1704133183.404438,504747,2060000.0
1704133186.6576188,505809,2060000.0
1704133192.905983,508062,2060000.0
1704133197.3183315,509546,2060000.0
1704133445.616678,514332,2080000.0
1704133448.9377892,515543,2080000.0
1704133450.9957356,516311,2080000.0
1704133690.4921434,517230,2100000.0
1704133701.8820865,521920,2100000.0
1704134195.8368213,529839,2140000.0
1704134206.4950387,534021,2140000.0
1704134210.3232121,535627,2140000.0
1704134457.386356,540616,2160000.0
1704134460.8362038,542020,2160000.0
1704134465.5648005,543996,2160000.0
1704134707.6838937,546958,2180000.0
1704134715.0230181,550065,2180000.0
1704134725.268451,554446,2180000.0
1704134970.5111845,558007,2200000.0
1704134975.1076894,559691,2200000.0
1704135230.4677253,566348,2220000.0
1704135242.144259,570422,2220000.0
1704135491.4248815,574757,2240000.0
1704135494.9890509,576216,2240000.0
1704135749.7175522,584158,2260000.0
1704135753.6552303,585702,2260000.0
1704135758.6446435,587594,2260000.0
1704136007.9260588,592770,2280000.0
