Wall time,Step,Value
1704108629.6526911,1752,20000.0
1704108631.024413,2216,20000.0
1704109018.2924566,7628,60000.0
1704109028.721308,11753,60000.0
1704109218.376441,12842,80000.0
1704109226.760653,15701,80000.0
1704109229.63378,16700,80000.0
1704109421.7552104,17651,100000.0
1704109428.6229634,20146,100000.0
1704109430.8480668,21053,100000.0
1704109623.1894603,23351,120000.0
1704109626.756119,24619,120000.0
1704110025.4440339,33500,160000.0
1704110218.6539917,35098,180000.0
1704110423.404403,40882,200000.0
1704110425.1755714,41611,200000.0
1704110427.6458857,42616,200000.0
1704110620.5524147,44005,220000.0
1704110626.939,46504,220000.0
1704110827.7784235,50009,240000.0
1704111026.2659683,52996,260000.0
1704111028.0311353,53709,260000.0
1704111030.0429974,54532,260000.0
1704111032.0400217,55319,260000.0
1704111228.8331358,56918,280000.0
1704111231.165379,57877,280000.0
1704111234.5941005,59305,280000.0
1704111236.8100157,60231,280000.0
1704111433.700609,62240,300000.0
1704111434.7893345,62692,300000.0
1704111637.8258545,67495,320000.0
1704111644.4681747,69907,320000.0
1704111838.730934,70597,340000.0
1704111842.116016,71951,340000.0
1704112040.2972338,74097,360000.0
1704112052.300934,78942,360000.0
1704112459.389189,87622,400000.0
1704112658.4472337,88748,420000.0
1704112664.9868717,90990,420000.0
1704112870.767876,94361,440000.0
1704112873.5574713,95380,440000.0
1704112876.7667956,96670,440000.0
1704113280.586104,102619,480000.0
1704113487.0314891,106698,500000.0
1704113697.2359173,111303,520000.0
1704113699.3818204,112106,520000.0
1704113703.612609,113597,520000.0
1704113906.8259242,114892,540000.0
1704113908.2354937,115425,540000.0
1704114120.8975787,119728,560000.0
1704114123.2675962,120673,560000.0
1704114328.2769039,124830,580000.0
1704114521.2728727,125847,600000.0
1704114522.449504,126341,600000.0
1704114719.420136,128272,620000.0
1704114921.8110766,131989,640000.0
1704115120.952743,134144,660000.0
1704115125.2885075,135905,660000.0
1704115129.124068,137467,660000.0
1704115526.1940444,140712,700000.0
1704115528.4403992,141630,700000.0
1704115529.5676615,142095,700000.0
1704115727.4179242,143867,720000.0
1704115728.706693,144389,720000.0
1704115730.106109,144959,720000.0
1704115930.0548344,147217,740000.0
1704115935.1327176,149161,740000.0
1704116136.3272672,151659,760000.0
1704116142.2522116,154153,760000.0
1704116356.6692355,162044,780000.0
1704116357.8690412,162430,780000.0
1704116358.8800883,162826,780000.0
1704116563.7618117,166473,800000.0
1704116762.9877837,168296,820000.0
1704116764.448895,168907,820000.0
1704116765.75322,169449,820000.0
1704116962.7963939,169964,840000.0
1704116965.989056,171202,840000.0
1704116968.5884929,172275,840000.0
1704117166.806405,173208,860000.0
1704117169.956485,174207,860000.0
1704117375.2075834,175347,880000.0
1704117376.781285,175871,880000.0
1704117382.2732782,177685,880000.0
1704117582.1492944,178147,900000.0
1704117583.2785683,178633,900000.0
1704117584.3684402,179095,900000.0
1704117586.6241608,180034,900000.0
1704117789.4698434,182370,920000.0
1704118202.0683868,189765,960000.0
1704118402.8949153,190571,980000.0
1704118406.083062,191791,980000.0
1704118605.228259,192458,1000000.0
1704118606.550995,192945,1000000.0
1704118817.1943436,196639,1020000.0
1704119020.9774628,198811,1040000.0
1704119022.6389308,199380,1040000.0
1704119222.4937932,200092,1060000.0
1704119225.6741807,201356,1060000.0
1704119634.6340258,206179,1100000.0
1704119635.9060044,206730,1100000.0
1704119642.8031034,209542,1100000.0
1704119845.3994162,210515,1120000.0
1704119848.2794197,211595,1120000.0
1704120050.4976315,212507,1140000.0
1704120052.702991,213424,1140000.0
1704120053.8251085,213891,1140000.0
1704120256.4454439,215348,1160000.0
1704120260.2933385,216891,1160000.0
1704120262.964652,217966,1160000.0
1704120467.5290282,219925,1180000.0
1704120677.4360313,222804,1200000.0
1704120678.825362,223377,1200000.0
1704120680.0444007,223864,1200000.0
1704120681.274147,224346,1200000.0
1704121102.6146188,229647,1240000.0
1704121106.7044394,231309,1240000.0
1704121108.5696557,232069,1240000.0
1704121313.6123407,233749,1260000.0
1704121522.2037747,236556,1280000.0
1704121526.020429,238149,1280000.0
1704121528.1952865,239063,1280000.0
1704121733.4143853,241131,1300000.0
1704121738.122956,243005,1300000.0
1704121944.3475385,246005,1320000.0
1704122147.6099293,247323,1340000.0
1704122149.6222217,248171,1340000.0
1704122362.5036695,252526,1360000.0
1704122364.976545,253550,1360000.0
