Wall time,Step,Value
1704324271.6479855,3233,140.0
1704324273.5454867,3971,140.0
1704324766.2530484,8575,160.0
1704324775.3596373,11951,260.0
1704325028.307156,12767,260.0
1704325035.9391866,15772,340.0
1704325039.4466596,17189,480.0
1704325296.7521398,18002,240.0
1704325301.7100155,19791,280.0
1704325304.919842,20847,320.0
1704325564.9933777,23370,180.0
1704325568.1171706,24607,360.0
1704326101.4686449,32520,220.0
1704326364.6738217,34090,220.0
1704326633.2680137,38955,200.0
1704326634.4533975,39410,140.0
1704326635.7839825,39948,160.0
1704326892.6286714,41316,280.0
1704326898.3009925,43507,180.0
1704327161.5295925,45000,140.0
1704327425.1585798,46644,140.0
1704327426.557791,47139,120.0
1704327428.253657,47811,200.0
1704327429.9083562,48459,240.0
1704327692.0040092,49544,100.0
1704327693.0354962,49977,60.0
1704327694.3115182,50491,140.0
1704327695.9223845,51135,180.0
1704327959.3452373,52426,140.0
1704327960.8600779,53055,160.0
1704328233.5661876,57061,340.0
1704328236.01929,58073,120.0
1704328501.3271627,58579,180.0
1704328503.6100755,59443,60.0
1704328772.939185,60880,80.0
1704328778.9001017,63201,140.0
1704329325.7287624,69876,160.0
1704329595.2486944,70740,240.0
1704329601.1365216,73059,140.0
1704329874.508202,75528,100.0
1704329878.0149755,76695,360.0
1704329884.2473004,79009,460.0
1704330429.7880633,84160,160.0
1704330703.687775,87846,100.0
1704330978.9154837,91080,180.0
1704330981.0175252,91903,240.0
1704330984.8225374,93440,160.0
1704331258.721152,95238,320.0
1704331261.3411367,96117,320.0
1704331544.547752,100649,320.0
1704331546.4180963,101349,200.0
1704331835.3457727,108219,200.0
1704332107.3801842,109901,180.0
1704332108.622171,110394,80.0
1704332378.1772797,112169,200.0
1704332663.1021602,117319,220.0
1704332936.9375644,119133,140.0
1704332941.9527097,120884,260.0
1704332946.4695742,122552,220.0
1704333496.3440218,126802,140.0
1704333498.000622,127366,160.0
1704333499.746877,127988,200.0
1704333779.4189408,130438,160.0
1704333782.1499922,131522,320.0
1704333784.0712535,132279,220.0
1704334066.115908,135248,180.0
1704334074.083296,138357,460.0
1704334348.527197,139101,220.0
1704334351.5252862,140184,320.0
1704334632.2241323,144002,280.0
1704334634.2765994,144729,220.0
1704334636.3873403,145547,280.0
1704334931.9638667,152673,320.0
1704335212.8245013,155256,120.0
1704335216.2211397,156583,440.0
1704335218.8115547,157595,220.0
1704335491.0535455,158445,280.0
1704335494.6171877,159802,200.0
1704335499.3151078,161562,260.0
1704335774.653621,163479,320.0
1704335778.3864424,164961,180.0
1704336049.5039213,166174,180.0
1704336052.591513,167371,380.0
1704336059.665096,170136,240.0
1704336334.2165387,170908,220.0
1704336336.1202323,171655,200.0
1704336337.9628468,172358,220.0
1704336341.5049963,173723,260.0
1704336630.3479311,178912,220.0
1704337205.5856717,189969,440.0
1704337487.484432,192135,340.0
1704337494.791356,194557,300.0
1704337774.8212469,195637,260.0
1704337777.2718208,196631,240.0
1704338079.877477,206018,220.0
1704338370.4683802,210794,480.0
1704338374.263141,212197,440.0
1704338656.4416728,213158,280.0
1704338662.941036,215394,340.0
1704339241.2383926,224586,240.0
1704339244.2949367,225675,300.0
1704339254.2204938,229261,220.0
1704339535.3404481,231605,260.0
1704339542.4505706,234255,400.0
1704339824.6742055,236032,220.0
1704339831.8550587,238463,340.0
1704339834.182325,239230,180.0
1704340112.3328252,240769,160.0
1704340118.4851043,243180,460.0
1704340120.41595,243971,180.0
1704340399.9753335,245734,140.0
1704340689.7567077,251676,220.0
1704340693.072829,252869,340.0
1704340696.4847538,254071,300.0
1704340699.1516826,254940,240.0
1704341272.3322122,263907,380.0
1704341279.3089793,266453,440.0
1704341283.378583,267710,400.0
1704341568.2241163,270789,240.0
1704341851.354004,274392,40.0
1704341856.3184123,276308,60.0
1704341859.2658472,277485,240.0
1704342146.3066084,280579,200.0
1704342152.4724503,282704,300.0
1704342441.7211702,288371,260.0
1704342722.9915817,290292,200.0
1704342725.1477978,291159,80.0
1704343014.420707,295734,240.0
1704343016.4049864,296389,60.0
1704343298.448915,298816,280.0
1704343307.1010084,302290,260.0
1704343583.11662,304102,180.0
1704343584.7786357,304793,100.0
1704343869.3419363,308388,240.0
1704343875.1845934,310326,220.0
1704343881.9467258,312678,300.0
1704344165.077151,316280,320.0
1704344448.9394064,320633,460.0
1704344451.3542843,321564,200.0
1704344454.9241738,322869,400.0
1704344731.9841244,324051,360.0
1704344735.160409,325264,360.0
1704344738.544041,326537,380.0
1704345030.4459379,333214,220.0
1704345312.8247142,335686,260.0
1704345315.010585,336558,200.0
1704345893.7666981,346407,360.0
1704346181.7161705,351381,300.0
1704346184.3323197,352254,240.0
1704346186.7172923,353068,220.0
1704346190.9441123,354590,760.0
1704346194.1207328,355729,300.0
1704346479.56762,359159,380.0
1704346771.3313947,365300,320.0
1704346778.3179877,368082,600.0
1704347065.7566726,372292,300.0
1704347069.5715215,373801,420.0
1704347359.0545945,377823,400.0
1704347362.1089637,378939,320.0
1704347645.8078701,380010,280.0
1704347656.549144,384308,340.0
1704347947.2627833,388602,260.0
1704347949.8409953,389656,160.0
1704348246.852397,394271,340.0
1704348250.4159546,395348,140.0
1704348543.6745782,399746,80.0
1704348837.1960044,404970,200.0
1704348840.8693938,406337,340.0
1704348845.7398593,408226,700.0
1704348850.7788918,410131,120.0
1704349131.8021567,411231,240.0
1704349134.4247434,412271,320.0
1704349141.2613418,414809,200.0
1704349144.5883505,416114,360.0
1704349422.7415123,417829,540.0
1704349428.4730308,420075,380.0
1704349718.7162526,425026,400.0
1704349725.3035843,427625,380.0
1704349728.9490795,429087,440.0
1704349733.2805078,430793,560.0
1704350021.922293,433698,380.0
