Wall time,Step,Value
1704324271.6480339,3233,20000.0
1704324273.545522,3971,20000.0
1704324766.2530835,8575,60000.0
1704324775.3596768,11951,60000.0
1704325028.3072047,12767,80000.0
1704325035.9392338,15772,80000.0
1704325039.4467072,17189,80000.0
1704325296.7521803,18002,100000.0
1704325301.710068,19791,100000.0
1704325304.9199061,20847,100000.0
1704325564.993414,23370,120000.0
1704325568.1172087,24607,120000.0
1704326101.4686794,32520,160000.0
1704326364.6739075,34090,180000.0
1704326633.2680492,38955,200000.0
1704326634.4534369,39410,200000.0
1704326635.7840247,39948,200000.0
1704326892.6287198,41316,220000.0
1704326898.3010385,43507,220000.0
1704327161.5296264,45000,240000.0
1704327425.1586196,46644,260000.0
1704327426.5578258,47139,260000.0
1704327428.2536933,47811,260000.0
1704327429.9084067,48459,260000.0
1704327692.0040596,49544,280000.0
1704327693.0355337,49977,280000.0
1704327694.3115551,50491,280000.0
1704327695.9224188,51135,280000.0
1704327959.345272,52426,300000.0
1704327960.8601296,53055,300000.0
1704328233.5662267,57061,320000.0
1704328236.019324,58073,320000.0
1704328501.3272061,58579,340000.0
1704328503.6101413,59443,340000.0
1704328772.9392264,60880,360000.0
1704328778.9001434,63201,360000.0
1704329325.72887,69876,400000.0
1704329595.2487345,70740,420000.0
1704329601.1365612,73059,420000.0
1704329874.5082595,75528,440000.0
1704329878.0150561,76695,440000.0
1704329884.2473416,79009,440000.0
1704330429.7881083,84160,480000.0
1704330703.6878424,87846,500000.0
1704330978.9155462,91080,520000.0
1704330981.01756,91903,520000.0
1704330984.8225756,93440,520000.0
1704331258.7212114,95238,540000.0
1704331261.3412213,96117,540000.0
1704331544.5478084,100649,560000.0
1704331546.418152,101349,560000.0
1704331835.3458078,108219,580000.0
1704332107.3802323,109901,600000.0
1704332108.622226,110394,600000.0
1704332378.1773164,112169,620000.0
1704332663.1022,117319,640000.0
1704332936.9376204,119133,660000.0
1704332941.9528115,120884,660000.0
1704332946.4696112,122552,660000.0
1704333496.3440673,126802,700000.0
1704333498.0006652,127366,700000.0
1704333499.7469156,127988,700000.0
1704333779.4189773,130438,720000.0
1704333782.150034,131522,720000.0
1704333784.0712872,132279,720000.0
1704334066.1159496,135248,740000.0
1704334074.0833685,138357,740000.0
1704334348.5272758,139101,760000.0
1704334351.5253365,140184,760000.0
1704334632.2241955,144002,780000.0
1704334634.2766426,144729,780000.0
1704334636.3873887,145547,780000.0
1704334931.9639034,152673,800000.0
1704335212.824553,155256,820000.0
1704335216.221196,156583,820000.0
1704335218.8116198,157595,820000.0
1704335491.0535975,158445,840000.0
1704335494.617232,159802,840000.0
1704335499.3151505,161562,840000.0
1704335774.6536767,163479,860000.0
1704335778.386513,164961,860000.0
1704336049.5039582,166174,880000.0
1704336052.5915701,167371,880000.0
1704336059.6651301,170136,880000.0
1704336334.2165987,170908,900000.0
1704336336.1202753,171655,900000.0
1704336337.9628956,172358,900000.0
1704336341.505042,173723,900000.0
1704336630.347975,178912,920000.0
1704337205.5857472,189969,960000.0
1704337487.484506,192135,980000.0
1704337494.7914116,194557,980000.0
1704337774.8212893,195637,1000000.0
1704337777.2718706,196631,1000000.0
1704338079.8775184,206018,1020000.0
1704338370.4684262,210794,1040000.0
1704338374.2632165,212197,1040000.0
1704338656.441786,213158,1060000.0
1704338662.9410744,215394,1060000.0
1704339241.2384455,224586,1100000.0
1704339244.2949817,225675,1100000.0
1704339254.220575,229261,1100000.0
1704339535.340511,231605,1120000.0
1704339542.4506042,234255,1120000.0
1704339824.6742692,236032,1140000.0
1704339831.8551564,238463,1140000.0
1704339834.182459,239230,1140000.0
1704340112.3329058,240769,1160000.0
1704340118.485144,243180,1160000.0
1704340120.415991,243971,1160000.0
1704340399.9753826,245734,1180000.0
1704340689.7567844,251676,1200000.0
1704340693.0728714,252869,1200000.0
1704340696.4848077,254071,1200000.0
1704340699.1517313,254940,1200000.0
1704341272.33226,263907,1240000.0
1704341279.309025,266453,1240000.0
1704341283.3786397,267710,1240000.0
1704341568.2241514,270789,1260000.0
1704341851.354052,274392,1280000.0
1704341856.318461,276308,1280000.0
1704341859.2658985,277485,1280000.0
1704342146.3066897,280579,1300000.0
1704342152.4725149,282704,1300000.0
1704342441.7212236,288371,1320000.0
1704342722.9916193,290292,1340000.0
1704342725.1478345,291159,1340000.0
1704343014.420764,295734,1360000.0
1704343016.405036,296389,1360000.0
1704343298.448963,298816,1380000.0
1704343307.1010425,302290,1380000.0
1704343583.1166754,304102,1400000.0
1704343584.7786922,304793,1400000.0
1704343869.3420317,308388,1420000.0
1704343875.1846333,310326,1420000.0
1704343881.9467742,312678,1420000.0
1704344165.0771909,316280,1440000.0
1704344448.9394548,320633,1460000.0
1704344451.3543708,321564,1460000.0
1704344454.9242108,322869,1460000.0
1704344731.9841685,324051,1480000.0
1704344735.160452,325264,1480000.0
1704344738.544098,326537,1480000.0
1704345030.4459763,333214,1500000.0
1704345312.824762,335686,1520000.0
1704345315.010632,336558,1520000.0
1704345893.7667394,346407,1560000.0
1704346181.7162223,351381,1580000.0
1704346184.332414,352254,1580000.0
1704346186.7173378,353068,1580000.0
1704346190.9441628,354590,1580000.0
1704346194.1207745,355729,1580000.0
1704346479.5676641,359159,1600000.0
1704346771.3314352,365300,1620000.0
1704346778.3180196,368082,1620000.0
