Wall time,Step,Value
1704324131.795268,1988,20.0
1704324138.5536077,6398,20.0
1704324141.8701909,8440,60.0
1704324142.030233,8552,20.0
1704324169.9843893,12080,40.0
1704324190.61884,13787,0.0
1704324195.8981993,14226,0.0
1704324224.453089,16648,0.0
1704324288.4727728,21293,0.0
1704324297.814098,22093,0.0
1704324323.458431,24323,0.0
1704324412.0714805,31747,20.0
1704324442.972612,34367,0.0
1704324487.3056812,38122,40.0
1704324560.1634688,43297,20.0
1704324661.4477932,51507,60.0
1704324691.7888684,54069,40.0
1704324715.988689,56022,40.0
1704324759.991339,59662,40.0
1704324827.3791046,64214,0.0
1704324843.631135,65564,0.0
1704324856.1514266,66604,40.0
1704324908.163549,70731,0.0
1704324952.326078,74201,0.0
1704324965.7956562,75267,180.0
1704324968.6615872,75489,40.0
1704324996.2938333,77609,0.0
1704325081.6394455,83350,20.0
1704325154.9466586,89090,60.0
1704325171.3837225,90441,60.0
1704325172.791486,90563,20.0
1704325198.894538,92670,40.0
1704325225.3446295,94785,0.0
1704325414.213511,108484,0.0
1704325437.7932832,110314,40.0
1704325493.8813648,114751,20.0
1704325596.4972634,121952,60.0
1704325616.0825138,123409,0.0
1704325649.968904,126201,0.0
1704325769.818239,135448,60.0
1704325924.4319472,146759,20.0
1704325941.136937,148104,20.0
1704325956.310728,149335,0.0
1704325991.1976583,152068,0.0
1704326022.250714,154426,0.0
1704326090.1285717,159676,20.0
1704326124.9744534,161779,0.0
1704326137.391263,162740,20.0
1704326175.0861728,165661,0.0
1704326200.4922454,167566,0.0
1704326218.030838,168866,80.0
1704326230.347786,169782,0.0
1704326289.4371796,174442,40.0
1704326374.4860125,180132,60.0
1704326380.9173255,180650,20.0
1704326388.8851323,181309,60.0
1704326408.9111872,182915,60.0
1704326415.6986074,183451,20.0
1704326553.0822275,194082,60.0
1704326608.0114233,198310,60.0
1704326694.5928812,204700,20.0
1704326772.5642066,210853,60.0
1704326774.3346183,210984,20.0
1704326864.3632412,218036,40.0
1704326907.9439228,220772,20.0
1704326916.1375136,221402,60.0
1704326979.281673,226256,40.0
1704326982.816551,226541,0.0
1704327008.787243,228545,20.0
1704327080.1528313,234021,20.0
1704327151.2943106,239488,0.0
1704327178.4797692,241185,20.0
1704327264.556037,247746,0.0
1704327289.559563,249770,40.0
1704327326.7720518,252657,0.0
1704327330.9201136,252990,40.0
1704327347.4401064,254257,20.0
1704327475.5734103,263448,0.0
1704327614.6872642,274225,20.0
1704327642.8396053,276488,20.0
1704327728.348898,282329,20.0
1704327751.7011359,284106,40.0
1704327814.2531033,288893,0.0
1704327850.760096,291659,40.0
1704327852.2813957,291779,20.0
1704327888.927647,294537,60.0
1704328077.482331,308475,160.0
1704328096.2930815,309963,20.0
1704328120.665755,311805,80.0
1704328148.4639816,313911,80.0
1704328379.5338423,330933,20.0
1704328586.5841568,346185,0.0
1704328670.8725278,352457,60.0
1704328843.0682058,364910,40.0
