Wall time,Step,Value
1704282873.1731145,2457,80.0
1704282874.649738,3032,80.0
1704283259.9391155,8136,340.0
1704283271.1720746,13005,320.0
1704283498.9032123,14408,400.0
1704283510.8745255,18299,380.0
1704283515.0000167,19613,400.0
1704284086.4247992,20577,240.0
1704284094.3822944,23256,200.0
1704284097.292083,24154,220.0
1704284385.1857123,26592,200.0
1704284386.4162853,27113,140.0
1704284865.4623725,37987,200.0
1704285096.7050707,39802,200.0
1704285337.8170938,44246,80.0
1704285339.2299304,44817,200.0
1704285340.7719066,45446,180.0
1704285571.9245393,47222,280.0
1704285580.3535109,50318,200.0
1704285819.5687137,52148,180.0
1704286057.232883,54622,160.0
1704286059.1452441,55378,240.0
1704286060.7297332,56018,200.0
1704286062.6909206,56695,180.0
1704286300.2940135,58376,120.0
1704286301.958719,59031,80.0
1704286303.614524,59717,180.0
1704286305.3739913,60457,200.0
1704286588.869806,61743,120.0
1704286590.5233157,62402,200.0
1704286892.6831431,66541,180.0
1704286895.236639,67594,240.0
1704287185.6327906,68088,140.0
1704287189.0719025,69135,160.0
1704287483.3942807,71539,180.0
1704287490.3633783,74280,140.0
1704288055.3323221,81604,240.0
1704288324.4933875,82543,220.0
1704288330.4368927,84711,260.0
1704288607.0875146,87235,340.0
1704288608.5565853,87815,180.0
1704288611.7945454,89015,240.0
1704289132.6369524,95521,220.0
1704289388.4565682,99764,200.0
1704289642.6795163,103686,340.0
1704289644.8336816,104534,280.0
1704289647.824655,105726,40.0
1704289899.3310897,107824,240.0
1704289901.9417295,108879,200.0
1704290157.3818738,113049,160.0
1704290159.631506,113969,160.0
1704290419.0450032,118178,240.0
1704290670.2917557,119240,80.0
1704290672.263476,119806,40.0
1704290927.2465618,121984,260.0
1704291183.082506,126148,120.0
1704291436.9985461,128094,200.0
1704291440.7673206,129443,180.0
1704291446.5248594,131681,320.0
1704291950.9036407,136752,220.0
1704291952.174663,137256,120.0
1704291953.4861515,137788,140.0
1704292205.5971267,140122,200.0
1704292207.642992,140922,200.0
1704292210.2519674,141969,300.0
1704292466.651313,146049,280.0
1704292474.0625072,149034,300.0
1704292721.1334512,149854,240.0
1704292723.9200752,150914,320.0
1704292981.5771458,154814,140.0
1704292983.2299457,155446,160.0
1704292985.8909822,156416,280.0
1704293252.03062,163418,280.0
1704293504.3248215,165727,200.0
1704293505.8065193,166243,100.0
1704293508.0102384,167110,240.0
1704293756.0219219,167813,160.0
1704293761.9552028,170103,400.0
1704293767.0041497,171975,220.0
1704294022.0978928,174221,360.0
1704294025.1690679,175201,180.0
1704294283.3255975,176484,140.0
1704294285.81351,177311,260.0
1704294294.001665,180511,300.0
1704294548.2998874,181364,300.0
1704294549.8084998,181996,180.0
1704294552.039257,182737,240.0
1704294557.1436195,184554,220.0
1704294817.706459,188704,160.0
1704295340.4397888,198391,340.0
1704295594.1518776,200245,200.0
1704295600.5684872,202771,400.0
1704295855.5131714,203345,140.0
1704295859.4364572,204795,420.0
1704296130.5104535,212722,200.0
1704296389.5254836,217159,400.0
1704296391.2456856,217859,160.0
