Wall time,Step,Value
1704282873.1731586,2457,20000.0
1704282874.6497824,3032,20000.0
1704283259.9391599,8136,60000.0
1704283271.172121,13005,60000.0
1704283498.9032674,14408,80000.0
1704283510.8745651,18299,80000.0
1704283515.0000653,19613,80000.0
1704284086.4248512,20577,100000.0
1704284094.3823314,23256,100000.0
1704284097.292141,24154,100000.0
1704284385.1857607,26592,120000.0
1704284386.4163237,27113,120000.0
1704284865.4624655,37987,160000.0
1704285096.705129,39802,180000.0
1704285337.817141,44246,200000.0
1704285339.2299838,44817,200000.0
1704285340.7719436,45446,200000.0
1704285571.924605,47222,220000.0
1704285580.3535786,50318,220000.0
1704285819.568755,52148,240000.0
1704286057.2329285,54622,260000.0
1704286059.1452982,55378,260000.0
1704286060.7297726,56018,260000.0
1704286062.6909668,56695,260000.0
1704286300.2940876,58376,280000.0
1704286301.9587781,59031,280000.0
1704286303.6145644,59717,280000.0
1704286305.374026,60457,280000.0
1704286588.8698466,61743,300000.0
1704286590.5233543,62402,300000.0
1704286892.6831892,66541,320000.0
1704286895.236687,67594,320000.0
1704287185.632841,68088,340000.0
1704287189.0719845,69135,340000.0
1704287483.3943205,71539,360000.0
1704287490.3634152,74280,360000.0
1704288055.3323786,81604,400000.0
1704288324.49343,82543,420000.0
1704288330.4369316,84711,420000.0
1704288607.087568,87235,440000.0
1704288608.5566237,87815,440000.0
1704288611.7946358,89015,440000.0
1704289132.6370642,95521,480000.0
1704289388.4566085,99764,500000.0
1704289642.6795588,103686,520000.0
1704289644.8337352,104534,520000.0
1704289647.8246937,105726,520000.0
1704289899.3311284,107824,540000.0
1704289901.9417682,108879,540000.0
1704290157.38191,113049,560000.0
1704290159.6315565,113969,560000.0
1704290419.0450583,118178,580000.0
1704290670.2918127,119240,600000.0
1704290672.2635417,119806,600000.0
1704290927.2466455,121984,620000.0
1704291183.0825448,126148,640000.0
1704291436.9986038,128094,660000.0
1704291440.7673633,129443,660000.0
1704291446.5249321,131681,660000.0
1704291950.9037158,136752,700000.0
1704291952.1747007,137256,700000.0
1704291953.4862187,137788,700000.0
1704292205.5971937,140122,720000.0
1704292207.6430464,140922,720000.0
1704292210.2520058,141969,720000.0
1704292466.6513472,146049,740000.0
1704292474.062554,149034,740000.0
1704292721.1335173,149854,760000.0
1704292723.920117,150914,760000.0
1704292981.5771942,154814,780000.0
1704292983.2300026,155446,780000.0
1704292985.8910346,156416,780000.0
1704293252.030663,163418,800000.0
1704293504.3248808,165727,820000.0
1704293505.8065798,166243,820000.0
1704293508.010276,167110,820000.0
1704293756.0219846,167813,840000.0
1704293761.955249,170103,840000.0
1704293767.0041986,171975,840000.0
1704294022.0979612,174221,860000.0
1704294025.169141,175201,860000.0
1704294283.3256662,176484,880000.0
1704294285.8135607,177311,880000.0
1704294294.0017185,180511,880000.0
1704294548.2999983,181364,900000.0
1704294549.8085878,181996,900000.0
1704294552.0393324,182737,900000.0
1704294557.143663,184554,900000.0
1704294817.706502,188704,920000.0
1704295340.4398258,198391,960000.0
1704295594.1519668,200245,980000.0
1704295600.568534,202771,980000.0
1704295855.5132108,203345,1000000.0
1704295859.4365127,204795,1000000.0
1704296130.5104969,212722,1020000.0
1704296389.5255203,217159,1040000.0
1704296391.2457426,217859,1040000.0
1704296643.411039,218619,1060000.0
1704296648.3622887,220489,1060000.0
1704297170.9113433,229445,1100000.0
1704297175.3401635,230914,1100000.0
1704297183.9498923,234128,1100000.0
1704297441.9957905,236382,1120000.0
1704297446.538739,238046,1120000.0
1704297705.1288266,240473,1140000.0
1704297710.5446,242687,1140000.0
1704297713.4959674,243850,1140000.0
1704297972.403052,245690,1160000.0
1704297977.308373,247640,1160000.0
1704297980.417976,248906,1160000.0
1704298236.7008755,250720,1180000.0
1704298505.9661481,256211,1200000.0
1704298508.975302,257314,1200000.0
1704298512.2035239,258500,1200000.0
1704298514.5069387,259475,1200000.0
1704299041.881505,267595,1240000.0
1704299049.4935782,270739,1240000.0
1704299051.7956076,271688,1240000.0
1704299316.6775835,276373,1260000.0
1704299579.5452025,280523,1280000.0
1704299587.214037,283633,1280000.0
1704299589.696817,284657,1280000.0
1704299849.1027713,288447,1300000.0
1704299854.9822228,290793,1300000.0
1704300115.6313467,295914,1320000.0
1704300376.9784322,297470,1340000.0
1704300379.4284241,298484,1340000.0
1704300644.6584523,303800,1360000.0
1704300646.3934193,304430,1360000.0
1704300908.8135393,306391,1380000.0
1704300918.089066,309608,1380000.0
1704301175.3273158,310960,1400000.0
1704301177.1319273,311599,1400000.0
1704301442.2396162,316385,1420000.0
1704301449.2885234,319248,1420000.0
1704301454.8259456,321525,1420000.0
1704301717.8903534,326853,1440000.0
1704301981.3602889,331547,1460000.0
1704301985.8193681,333140,1460000.0
1704301991.3348074,334961,1460000.0
1704302246.9808774,336053,1480000.0
1704302250.54273,337529,1480000.0
1704302253.3666666,338672,1480000.0
1704302528.1278822,347959,1500000.0
1704302786.8839378,351371,1520000.0
1704302790.0927267,352679,1520000.0
1704303304.9358907,358469,1560000.0
1704303567.2672427,363155,1580000.0
1704303570.3518898,364326,1580000.0
1704303573.2026682,365336,1580000.0
1704303575.5478964,366271,1580000.0
1704303577.096809,366910,1580000.0
1704303837.1645074,370294,1600000.0
1704304106.250912,377501,1620000.0
1704304114.0016236,380565,1620000.0
1704304374.2936025,384397,1640000.0
1704304377.8207166,385838,1640000.0
1704304642.2681854,391036,1660000.0
1704304645.2669406,392273,1660000.0
1704304902.5706513,394135,1680000.0
1704304913.190029,398393,1680000.0
1704305175.222899,402910,1700000.0
1704305179.033922,404411,1700000.0
1704305441.4521437,408669,1720000.0
1704305444.0880773,409651,1720000.0
1704305707.4774966,414022,1740000.0
1704305981.1801038,421827,1760000.0
1704305985.2792673,423458,1760000.0
1704305989.3109705,425078,1760000.0
1704305995.6399856,427680,1760000.0
1704306251.170345,429552,1780000.0
1704306254.4295778,430895,1780000.0
1704306260.83181,433460,1780000.0
1704306262.8540285,434276,1780000.0
1704306514.305367,434859,1800000.0
1704306517.3498132,436093,1800000.0
1704306783.0855744,440854,1820000.0
1704306788.8510072,443216,1820000.0
1704306792.0495923,444522,1820000.0
1704306795.2284544,445823,1820000.0
1704307057.730915,448196,1840000.0
1704307323.9549155,452366,1860000.0
1704307326.8242874,453426,1860000.0
1704307601.9420094,458878,1880000.0
1704307604.2215426,459789,1880000.0
1704307613.2094142,463388,1880000.0
1704307876.6402183,466220,1900000.0
1704307887.2127757,470325,1900000.0
1704308149.456632,471933,1920000.0
1704308162.5281105,476889,1920000.0
1704308166.7148066,478484,1920000.0
1704308429.7033145,479926,1940000.0
1704308433.1289446,481329,1940000.0
1704308438.0240371,483334,1940000.0
1704308441.1760602,484603,1940000.0
1704308712.5571296,489300,1960000.0
1704308717.4002209,491220,1960000.0
1704308721.3338685,492757,1960000.0
1704308989.8134706,496229,1980000.0
1704308999.700611,500170,1980000.0
1704309272.516931,506061,2000000.0
1704309548.1002913,512327,2020000.0
1704309551.0411844,513551,2020000.0
1704309819.038377,517034,2040000.0
1704309831.3726459,521527,2040000.0
1704310094.573627,522957,2060000.0
1704310099.1213627,524828,2060000.0
1704310101.059234,525592,2060000.0
1704310105.050375,527184,2060000.0
1704310109.0736084,528824,2060000.0
1704310384.1575675,534899,2080000.0
1704310388.0298398,536481,2080000.0
1704310392.284459,538200,2080000.0
1704310655.3193,539932,2100000.0
1704310665.717464,544151,2100000.0
