Wall time,Step,Value
1704282762.5231104,1988,20.0
1704282769.4313266,6398,20.0
1704282773.399477,8440,60.0
1704282796.1937108,12098,40.0
1704282811.1595576,13787,0.0
1704282818.7438772,14535,40.0
1704282844.4739532,17433,60.0
1704282889.7347455,21682,0.0
1704282899.261031,22725,20.0
1704282991.105279,32582,0.0
1704283014.758394,35124,20.0
1704283050.577093,39168,60.0
1704283105.591167,44111,40.0
1704283197.868136,53707,20.0
1704283221.613782,56224,20.0
1704283239.1986096,58004,60.0
1704283274.9462926,60428,0.0
1704283308.2879097,63970,0.0
1704283318.8237555,64997,0.0
1704283324.760577,65629,0.0
1704283363.5491707,69672,20.0
1704283393.1088023,72835,60.0
1704283398.870653,73432,0.0
1704283401.6914222,73656,0.0
1704283427.4618566,76228,0.0
1704283559.1706443,81378,60.0
1704283708.6568463,86789,80.0
1704283741.299319,87833,40.0
1704283744.0726995,87922,0.0
1704283773.3928869,89297,0.0
1704283850.8888645,91841,20.0
1704284203.3608658,104877,0.0
1704284215.8282685,106074,0.0
1704284272.9816988,111033,0.0
1704284356.4403093,118273,60.0
1704284377.8177388,119803,80.0
1704284423.9224033,122963,0.0
1704284520.1252067,131528,40.0
1704284660.0171506,142685,20.0
1704284678.5719094,144442,0.0
1704284706.0183241,146813,0.0
1704284762.5714471,151984,40.0
1704284835.3639657,158256,40.0
1704284872.7394488,160314,20.0
1704284890.0043445,161759,20.0
1704284920.552902,164766,40.0
1704284941.8374863,166668,40.0
1704284963.5717926,168522,20.0
1704284974.6685574,169587,40.0
1704285032.2861843,174571,40.0
1704285104.618126,180108,0.0
1704285107.2234254,180352,0.0
1704285127.505735,181973,40.0
1704285131.712194,182306,0.0
1704285276.282268,195060,40.0
1704285343.3665774,200234,0.0
1704285419.3198297,206976,80.0
1704285496.2916296,213820,60.0
1704285500.7595313,214168,100.0
1704285566.7008219,219967,0.0
1704285621.568172,223543,40.0
1704285629.2176719,224245,20.0
1704285699.8240092,230323,100.0
1704285708.2255888,231095,160.0
1704285737.2014961,233481,80.0
1704285797.0710194,238571,40.0
1704285851.5531535,242516,0.0
1704285868.9982786,244014,60.0
1704285934.3253314,249569,200.0
1704285995.236887,254858,40.0
1704285997.7936325,255082,0.0
1704286011.3507478,256247,0.0
1704286282.7898808,278648,20.0
1704286315.3697119,280717,20.0
1704286403.098074,287189,120.0
1704286423.2893705,288600,80.0
1704286493.1570082,293548,20.0
1704286527.4710166,295988,160.0
1704286532.0512276,296259,100.0
1704286567.1919117,298667,0.0
1704286791.3179622,313475,100.0
1704286812.1156309,314874,80.0
1704286842.3032289,317008,20.0
1704286874.5147762,319113,60.0
1704287123.8209257,335811,40.0
1704287380.2344255,352849,40.0
1704287467.627901,359062,20.0
1704287664.770807,372087,0.0
1704287671.5382652,372587,20.0
1704287703.4400935,374922,0.0
1704287719.9181519,376105,0.0
1704287726.3141294,376565,80.0
1704287778.608386,380004,0.0
1704287810.4843147,382495,0.0
1704287851.4595866,385482,100.0
1704287873.7951207,387234,80.0
1704287980.0007179,395138,20.0
1704287981.1320367,395217,0.0
1704288018.78049,397979,100.0
1704288082.3316834,401986,0.0
1704288092.567,402790,40.0
1704288109.715295,404141,140.0
1704288175.9266725,409158,0.0
1704288188.3310955,410096,0.0
1704288219.6349416,412464,0.0
1704288241.0122917,414071,0.0
1704288287.7283053,417561,60.0
1704288316.4348552,419542,0.0
1704288317.7947545,419654,20.0
1704288319.2135086,419766,20.0
1704288351.8665843,421457,0.0
1704288383.5676897,423712,20.0
1704288441.2623773,427959,80.0
1704288495.0870256,431913,0.0
1704288517.685793,433679,0.0
1704288706.1944923,447171,40.0
1704288909.6784582,462427,0.0
1704288912.6763153,462663,100.0
1704288946.8386066,465440,0.0
1704288948.1328638,465551,20.0
1704288974.885305,467713,0.0
1704289026.3221753,471714,40.0
1704289118.3890061,479233,0.0
1704289162.3712313,481661,40.0
1704289198.9211257,484645,0.0
1704289242.4495888,488174,20.0
1704289246.4969509,488484,0.0
1704289412.5508664,501457,40.0
1704289487.16963,507610,20.0
1704289606.4297357,517339,40.0
1704289665.8750212,521247,0.0
1704289684.124219,522729,20.0
1704289708.3135984,524710,120.0
1704289757.7121053,528710,40.0
1704289846.2159555,535920,40.0
1704289849.3908179,536184,0.0
1704289934.6964424,542106,120.0
1704289960.908336,544304,60.0
1704290031.7832816,550150,100.0
1704290036.7016058,550543,20.0
1704290052.5395784,551793,40.0
1704290065.1452937,552792,0.0
1704290073.1924486,553428,60.0
1704290100.2861712,555661,0.0
1704290140.209606,558903,0.0
1704290237.1172142,566117,20.0
1704290280.5258503,569633,40.0
1704290384.3031683,577987,60.0
1704290386.8184588,578195,0.0
1704290495.7119355,586258,40.0
1704290519.2191846,588097,20.0
1704290552.7944753,590847,20.0
1704290632.8224304,597328,80.0
1704290711.6563904,602823,0.0
1704290732.9541728,604588,20.0
1704290794.0483444,609419,100.0
1704290859.6518412,614819,0.0
1704290919.4013183,619591,0.0
