Wall time,Step,Value
1704282850.2780244,1716,40.0
1704282851.0195384,2043,0.0
1704283245.0702152,8208,240.0
1704283254.2609038,11947,260.0
1704283478.6782334,12936,340.0
1704283488.8217888,16394,240.0
1704283492.1077898,17260,260.0
1704284063.365766,17921,180.0
1704284069.7176628,19977,380.0
1704284071.657095,20650,160.0
1704284386.495685,23151,360.0
1704284388.399802,23952,240.0
1704284910.3522077,35528,340.0
1704285159.9396222,37209,160.0
1704285424.3872426,44203,400.0
1704285426.9921272,45235,300.0
1704285428.9387398,46058,240.0
1704285684.0832033,47285,120.0
1704285690.9782302,50212,280.0
1704285950.0909755,52190,160.0
1704286205.6018643,54855,140.0
1704286207.049323,55349,120.0
1704286209.0470514,56059,240.0
1704286210.1876466,56475,80.0
1704286486.0938802,57466,180.0
1704286488.067952,58266,200.0
1704286489.9835138,59035,240.0
1704286492.1264315,59855,280.0
1704286797.8591866,61522,200.0
1704286799.185468,62047,180.0
1704287115.3882473,66518,320.0
1704287119.0964303,67825,140.0
1704287425.6714525,69150,440.0
1704287430.7598934,70911,220.0
1704287743.694885,73977,140.0
1704287749.669346,75972,140.0
1704288340.9651036,82812,180.0
1704288629.1987538,83703,280.0
1704288637.7155416,86962,520.0
1704288912.8006668,89620,220.0
1704288915.5200253,90626,260.0
1704288919.8997598,92154,280.0
1704289448.29175,96188,160.0
1704289718.251241,99159,160.0
1704289988.3087955,101625,140.0
1704289990.5428884,102467,220.0
1704289995.7993603,104245,160.0
1704290262.377819,105820,200.0
1704290263.9102428,106441,200.0
1704290536.5115318,109982,240.0
1704290538.4334824,110657,140.0
1704290815.8593287,115786,140.0
1704291078.4974391,117529,200.0
1704291081.0869136,118526,360.0
1704291350.749169,120965,340.0
1704291631.061883,129052,220.0
1704291900.6290839,131489,200.0
1704291907.7032251,134088,300.0
1704291914.0454855,136618,280.0
1704292452.1384416,141206,220.0
1704292453.6547136,141789,100.0
1704292456.116023,142706,220.0
1704292729.6186283,145230,260.0
1704292732.003578,146108,300.0
1704292734.311913,146891,240.0
1704293008.420167,149421,160.0
1704293017.0286744,152538,340.0
1704293286.5739534,153422,260.0
1704293288.2172432,153967,120.0
1704293568.4106958,158073,240.0
1704293570.4872444,158782,160.0
1704293572.2971702,159391,160.0
1704293855.9147804,165935,200.0
1704294126.1498024,168226,200.0
1704294128.261272,168992,280.0
1704294131.039419,170060,320.0
1704294400.4775722,171191,420.0
1704294406.4401996,173539,620.0
1704294411.4927824,175558,260.0
1704294680.6580124,177127,260.0
1704294685.3823922,178838,200.0
1704294959.3464034,180364,160.0
1704294962.1456518,181390,220.0
1704294970.7263906,184359,200.0
1704295242.4260054,185572,420.0
1704295246.4176953,187137,500.0
1704295249.4386737,188318,380.0
1704295253.0421984,189781,200.0
1704295533.4584055,194055,200.0
1704296099.285784,205473,420.0
1704296370.6537344,207882,180.0
1704296379.3115358,211442,380.0
1704296646.9581738,212906,420.0
1704296649.8689518,214034,360.0
1704296934.7467988,222408,360.0
1704297213.355247,227095,320.0
1704297215.3640816,227938,220.0
1704297481.5645843,228858,160.0
1704297486.0293305,230584,240.0
1704298039.3431072,239330,320.0
1704298041.767312,240319,300.0
1704298050.7819912,243944,240.0
1704298320.2200086,245714,280.0
1704298325.6438923,247909,340.0
1704298596.2240682,250293,240.0
1704298601.4281695,252409,260.0
1704298603.7130814,253303,240.0
1704298874.708336,255140,220.0
1704298878.505685,256690,300.0
1704298882.5057306,258309,480.0
1704299150.481929,259787,160.0
1704299426.3596158,263999,140.0
1704299431.9715574,266018,680.0
1704299437.2355917,267838,520.0
1704299441.9995894,269563,560.0
1704299993.4373457,278094,220.0
1704299998.8731318,280312,420.0
1704300002.743048,281888,500.0
1704300280.179629,284659,100.0
1704300558.3795195,289272,320.0
1704300563.6083543,291368,200.0
1704300567.2016017,292632,360.0
1704300841.3243065,295931,180.0
1704300847.1236575,298365,420.0
1704301127.192831,303678,360.0
