Wall time,Step,Value
1704282850.278064,1716,20000.0
1704282851.0195806,2043,20000.0
1704283245.0702739,8208,60000.0
1704283254.2609432,11947,60000.0
1704283478.6782882,12936,80000.0
1704283488.821825,16394,80000.0
1704283492.1078389,17260,80000.0
1704284063.3658435,17921,100000.0
1704284069.7177103,19977,100000.0
1704284071.6571581,20650,100000.0
1704284386.4957466,23151,120000.0
1704284388.3998582,23952,120000.0
1704284910.3522522,35528,160000.0
1704285159.939715,37209,180000.0
1704285424.387296,44203,200000.0
1704285426.9921653,45235,200000.0
1704285428.9387796,46058,200000.0
1704285684.0832539,47285,220000.0
1704285690.9782715,50212,220000.0
1704285950.0910192,52190,240000.0
1704286205.601917,54855,260000.0
1704286207.0493796,55349,260000.0
1704286209.0470953,56059,260000.0
1704286210.1877635,56475,260000.0
1704286486.093935,57466,280000.0
1704286488.0679946,58266,280000.0
1704286489.9835591,59035,280000.0
1704286492.1264706,59855,280000.0
1704286797.8592284,61522,300000.0
1704286799.1855187,62047,300000.0
1704287115.3883011,66518,320000.0
1704287119.0964804,67825,320000.0
1704287425.6715584,69150,340000.0
1704287430.7599435,70911,340000.0
1704287743.6949265,73977,360000.0
1704287749.669384,75972,360000.0
1704288340.965147,82812,400000.0
1704288629.198795,83703,420000.0
1704288637.715613,86962,420000.0
1704288912.800703,89620,440000.0
1704288915.5200822,90626,440000.0
1704288919.899845,92154,440000.0
1704289448.2917926,96188,480000.0
1704289718.2512782,99159,500000.0
1704289988.3088589,101625,520000.0
1704289990.542958,102467,520000.0
1704289995.7994134,104245,520000.0
1704290262.3778834,105820,540000.0
1704290263.9102976,106441,540000.0
1704290536.5115738,109982,560000.0
1704290538.4335506,110657,560000.0
1704290815.8593814,115786,580000.0
1704291078.4974995,117529,600000.0
1704291081.0869572,118526,600000.0
1704291350.7492232,120965,620000.0
1704291631.0619237,129052,640000.0
1704291900.6291342,131489,660000.0
1704291907.7032728,134088,660000.0
1704291914.045532,136618,660000.0
1704292452.1385055,141206,700000.0
1704292453.6547747,141789,700000.0
1704292456.1160698,142706,700000.0
1704292729.6186664,145230,720000.0
1704292732.0036201,146108,720000.0
1704292734.3119617,146891,720000.0
1704293008.4202116,149421,740000.0
1704293017.0287426,152538,740000.0
1704293286.5740201,153422,760000.0
1704293288.2172844,153967,760000.0
1704293568.4107633,158073,780000.0
1704293570.4873302,158782,780000.0
1704293572.297206,159391,780000.0
1704293855.9148211,165935,800000.0
1704294126.1498396,168226,820000.0
1704294128.2613163,168992,820000.0
1704294131.0394533,170060,820000.0
1704294400.4776132,171191,840000.0
1704294406.4402385,173539,840000.0
1704294411.492822,175558,840000.0
1704294680.6580613,177127,860000.0
1704294685.3824363,178838,860000.0
1704294959.346453,180364,880000.0
1704294962.1457233,181390,880000.0
1704294970.7264502,184359,880000.0
1704295242.426066,185572,900000.0
1704295246.4177363,187137,900000.0
1704295249.4387224,188318,900000.0
1704295253.0422356,189781,900000.0
1704295533.4584594,194055,920000.0
1704296099.2858462,205473,960000.0
1704296370.6537757,207882,980000.0
1704296379.3115711,211442,980000.0
1704296646.9582148,212906,1000000.0
1704296649.8690007,214034,1000000.0
1704296934.746842,222408,1020000.0
1704297213.3553,227095,1040000.0
1704297215.3641317,227938,1040000.0
1704297481.5647058,228858,1060000.0
1704297486.0293767,230584,1060000.0
1704298039.3431468,239330,1100000.0
1704298041.7673798,240319,1100000.0
1704298050.7820446,243944,1100000.0
1704298320.2200623,245714,1120000.0
1704298325.643935,247909,1120000.0
1704298596.224114,250293,1140000.0
1704298601.428219,252409,1140000.0
1704298603.7131183,253303,1140000.0
1704298874.7083864,255140,1160000.0
1704298878.5057285,256690,1160000.0
1704298882.5057712,258309,1160000.0
1704299150.4819658,259787,1180000.0
1704299426.3596587,263999,1200000.0
1704299431.9716346,266018,1200000.0
1704299437.235646,267838,1200000.0
1704299441.999668,269563,1200000.0
1704299993.437397,278094,1240000.0
1704299998.873169,280312,1240000.0
1704300002.7431095,281888,1240000.0
1704300280.1796784,284659,1260000.0
1704300558.379609,289272,1280000.0
