Wall time,Step,Value
1704282745.5132873,1988,20.0
1704282751.7082427,6398,20.0
1704282754.7916043,8440,60.0
1704282754.9411674,8552,20.0
1704282775.2501705,12082,20.0
1704282788.1508913,13623,20.0
1704282793.9053166,14282,100.0
1704282814.2077456,16541,0.0
1704282857.0349727,20674,0.0
1704282867.065221,21829,0.0
1704282961.0769637,31930,0.0
1704282982.7622607,34194,0.0
1704283008.9807293,36950,0.0
1704283063.2742145,41410,20.0
1704283147.6282952,50304,0.0
1704283172.11953,52692,20.0
1704283189.725835,54538,60.0
1704283219.1397974,57607,0.0
1704283264.5523832,61096,0.0
1704283278.0386043,62538,0.0
1704283286.3888705,63343,0.0
1704283332.818517,67868,80.0
1704283361.4216893,70609,20.0
1704283366.633068,71192,20.0
1704283368.872781,71417,0.0
1704283390.2211292,73538,20.0
1704283454.9762096,78946,0.0
1704283632.4443676,84807,20.0
1704283655.329283,85559,0.0
1704283656.2705514,85635,0.0
1704283713.0494244,87638,0.0
1704283764.293624,89668,40.0
1704284141.5859642,102181,40.0
1704284175.0745277,103480,0.0
1704284241.3768742,108737,0.0
1704284330.60177,116148,40.0
1704284348.5920858,117570,20.0
1704284402.1130302,120766,0.0
1704284511.4488533,129853,0.0
1704284682.0525286,142495,20.0
1704284707.4002266,144491,40.0
1704284731.1509068,146514,0.0
1704284771.2720177,149662,80.0
1704284798.5509014,151897,20.0
1704284889.1793962,159172,100.0
1704284927.0547292,161249,0.0
1704284938.9916568,162157,0.0
1704284967.5453324,164449,0.0
1704284994.9047182,166701,0.0
1704285018.6703029,168584,20.0
1704285037.466519,170139,80.0
1704285096.7725885,174937,20.0
1704285182.1831686,180978,60.0
1704285184.580861,181189,0.0
1704285209.4064963,183114,140.0
1704285214.69688,183573,20.0
1704285367.2324812,196042,60.0
1704285442.5129523,201032,20.0
1704285520.7389545,207258,40.0
1704285600.09487,213624,20.0
1704285602.005224,213795,80.0
1704285666.100147,218831,60.0
1704285700.6262867,220683,40.0
1704285704.5114305,221013,0.0
1704285777.9045167,226718,0.0
1704285782.9823503,227118,40.0
1704285810.6101649,229236,60.0
1704285875.6012473,234398,0.0
1704285929.8636389,238782,20.0
1704285944.4697537,239993,80.0
1704286022.005758,245347,20.0
1704286050.9891865,247568,0.0
1704286085.490505,250594,80.0
1704286088.3243198,250859,20.0
1704286102.4079792,251998,0.0
1704286234.3373835,261735,40.0
1704286391.0538511,273783,60.0
1704286423.7106187,275931,20.0
1704286526.6462953,282173,40.0
1704286559.6504123,284298,20.0
1704286637.283457,289480,20.0
1704286681.2086139,292493,20.0
1704286685.1911688,292788,40.0
1704286722.0894678,295237,0.0
1704286978.445697,311387,20.0
1704287001.2645314,312811,20.0
1704287023.5847518,314265,40.0
1704287054.1058764,316252,60.0
1704287329.4609873,333930,40.0
