Wall time,Step,Value
1704458473.864025,1575,80.0
1704458474.9321914,1973,80.0
1704459069.9774241,4985,180.0
1704459081.2748334,8983,460.0
1704459584.989735,10112,420.0
1704459596.095591,13758,440.0
1704459600.1114838,15165,400.0
1704459878.451162,15916,240.0
1704459883.8552938,17647,380.0
1704459886.7953537,18552,120.0
1704460152.9721081,20923,100.0
1704460154.845227,21566,140.0
1704461056.4083512,30227,420.0
1704461303.2069592,31534,220.0
1704461557.3343499,37287,160.0
1704461558.3234274,37713,80.0
1704461561.0381393,38880,460.0
1704461931.2822924,40009,140.0
1704461936.0170612,41740,160.0
1704462414.9954872,43516,160.0
1704462669.590039,45786,260.0
1704462670.7455382,46277,100.0
1704462673.740705,47468,320.0
1704462676.167496,48347,240.0
1704462920.3030946,49362,160.0
1704462922.987565,50224,280.0
1704462926.8654091,51664,440.0
1704462928.7035625,52340,200.0
1704463337.5020587,54025,200.0
1704463340.373104,55008,300.0
1704463791.5163765,59700,220.0
1704463794.730152,60962,160.0
1704464039.3426497,61522,160.0
1704464044.9882119,63486,220.0
1704464300.860751,67059,560.0
1704464307.1468499,69327,100.0
1704465173.5907607,76530,180.0
1704465422.8345304,77258,260.0
1704465429.4015887,79708,280.0
1704465681.5090477,82387,200.0
1704465683.3945801,83044,140.0
1704465687.677573,84644,300.0
1704466550.037207,91273,160.0
1704466803.6805332,95303,180.0
1704467055.5713592,98078,140.0
1704467057.8927205,98966,240.0
1704467060.9505672,100182,160.0
1704467549.478793,102709,480.0
1704467553.477901,104137,440.0
1704467930.3184755,110047,280.0
1704467933.2567456,111201,400.0
1704468192.9119585,117477,220.0
1704468448.8125305,118706,180.0
1704468450.7049675,119357,240.0
1704468948.57427,121469,120.0
1704469309.1924021,129035,260.0
1704469506.0821652,131866,100.0
1704469509.6223958,133457,160.0
1704469512.963493,134966,240.0
1704470081.1632743,140345,320.0
1704470083.5406928,141395,320.0
1704470087.0090618,142883,360.0
1704470396.966821,145794,100.0
1704470398.338603,146371,20.0
1704470399.5188615,146859,80.0
1704470631.2418964,150074,140.0
1704470638.912139,153284,300.0
1704470865.4346106,154184,220.0
1704470867.243781,154995,320.0
1704471097.2651293,158620,140.0
1704471098.8267233,159303,140.0
1704471101.6472745,160547,320.0
1704471340.4307523,167665,400.0
1704471571.6418657,171735,380.0
1704471573.7418218,172614,260.0
1704471576.2096756,173603,260.0
1704471801.3724477,174392,160.0
1704471805.5254912,176147,140.0
1704471811.1228218,178579,380.0
1704472038.5193446,180869,400.0
1704472043.477267,182882,280.0
1704472348.6070864,184201,220.0
1704472351.1403234,185078,260.0
1704472356.620056,187340,180.0
1704472720.4031765,188620,280.0
1704472721.861369,189147,100.0
1704472724.75795,190197,340.0
1704472727.640956,191289,160.0
1704472976.7191513,198231,520.0
1704473448.2079945,206950,140.0
1704473679.9048173,209179,380.0
1704473686.754843,212131,300.0
1704473912.9028852,213127,200.0
1704473915.8286018,214405,420.0
1704474163.3962286,224027,400.0
1704474446.1150315,227143,140.0
1704474448.8567815,228029,120.0
1704474649.473511,229008,280.0
1704474654.9902875,231343,320.0
1704475448.6316147,239815,180.0
1704475451.2727356,240780,220.0
1704475459.898639,243855,200.0
1704475704.159329,246388,400.0
1704475707.1157727,247633,140.0
1704475948.775913,249685,400.0
1704475954.1765618,251985,200.0
1704475956.4350698,252966,360.0
1704476192.7750075,254775,200.0
1704476197.0453548,256634,260.0
1704476199.5267763,257665,280.0
1704476435.6248329,259439,380.0
1704476680.395139,264136,220.0
1704476681.842613,264771,60.0
1704476683.730513,265581,280.0
1704476686.1678357,266603,280.0
1704477410.3026433,275971,340.0
1704477416.005352,278374,300.0
1704477418.8858082,279476,380.0
1704477748.3479965,283067,280.0
1704477992.0230572,288750,440.0
1704477997.3662965,291032,440.0
1704478000.4221635,292227,380.0
1704478216.2260396,296042,360.0
1704478223.3662703,299269,580.0
1704478452.678496,304890,140.0
1704478875.984027,307889,560.0
1704478879.0060906,308945,280.0
1704479252.2645721,314601,440.0
1704479254.8221023,315684,280.0
1704479493.2361226,317859,360.0
1704479502.6883538,321532,280.0
1704479749.0593708,324494,560.0
1704479751.970828,325452,360.0
1704480019.2167828,329822,320.0
1704480025.1944087,332311,360.0
1704480031.776637,334979,520.0
1704480279.0092745,340209,560.0
1704480522.4762607,344451,340.0
1704480525.4609096,345646,400.0
1704480527.5867536,346404,240.0
1704480762.5223534,347448,240.0
1704480764.5855408,348293,300.0
1704480767.9296968,349624,320.0
1704481019.1637492,356938,300.0
1704481260.4493144,360953,360.0
1704481262.9366672,361943,400.0
1704481891.49363,371631,500.0
1704482314.3941824,375775,420.0
1704482318.2270184,377261,540.0
1704482320.2478106,378110,240.0
1704482323.5851097,379403,440.0
1704482326.23373,380281,240.0
1704482562.8105626,382818,100.0
1704482806.0756044,388712,440.0
1704482810.3087275,390543,220.0
1704483054.776266,395634,240.0
1704483058.2972753,396947,440.0
1704483300.3229294,401616,320.0
1704483303.1486797,402830,520.0
1704483535.0574095,403972,300.0
1704483543.7295656,407610,360.0
1704483782.434874,411837,860.0
1704483784.2194417,412612,240.0
1704484024.484977,416873,300.0
1704484026.280969,417588,180.0
1704484266.2012432,421291,160.0
1704484513.9305563,428014,280.0
1704484516.1728787,428899,280.0
1704484519.8082628,430287,620.0
1704484526.1368918,432860,400.0
1704484812.354025,433656,260.0
1704484816.563602,435327,720.0
1704484823.093204,437899,620.0
1704484826.816983,439230,540.0
1704485247.6961892,440164,300.0
1704485250.645118,441295,320.0
1704485578.2799058,445103,260.0
1704485586.3093007,448004,460.0
1704485590.1519887,449610,600.0
1704485595.9564598,452003,680.0
1704485836.270123,454605,300.0
1704486083.7213447,460575,500.0
1704486086.8861458,461816,520.0
1704486328.629306,466415,580.0
1704486329.9924803,466988,100.0
1704486334.67079,468782,160.0
1704486570.9563968,470919,360.0
1704486582.6009848,475835,320.0
1704486817.7378435,477451,620.0
1704486827.1075673,481358,360.0
1704486829.251679,482286,240.0
1704487051.869257,483731,700.0
1704487054.9357705,484964,400.0
1704487060.8495967,487467,360.0
1704487063.3213942,488558,520.0
1704487277.2530546,493135,580.0
1704487280.208883,494481,640.0
1704487283.0629792,495770,460.0
1704487495.6911175,499843,1000.0
1704487506.4119325,504656,440.0
1704487725.0731418,510071,420.0
1704487942.874656,514904,320.0
1704487944.8449674,515641,140.0
1704488171.1973321,518757,320.0
1704488180.3738391,522182,380.0
1704488437.4922712,523458,480.0
1704488442.6794093,525284,760.0
1704488447.607404,527205,780.0
1704488450.6598353,528468,380.0
1704488454.1590843,529904,360.0
1704488718.5018113,534577,520.0
1704488723.0753193,536316,580.0
1704488727.263838,538008,780.0
1704488982.2289908,539270,500.0
1704488992.9638283,543525,420.0
1704489524.7377129,554985,720.0
1704489534.950891,559117,620.0
1704489538.566029,560622,560.0
1704489790.5049658,563664,760.0
1704489794.4202774,565105,700.0
1704489800.8714578,567602,1260.0
1704490060.8233025,570691,900.0
1704490070.8667789,574741,980.0
1704490080.6431262,578353,1180.0
1704490336.8472118,581692,660.0
1704490341.1057122,583402,600.0
1704490600.8840415,588840,1100.0
1704490608.3313127,591964,980.0
1704490867.8920555,597225,620.0
1704490872.8106887,599206,1100.0
1704491140.7607358,609958,880.0
1704491144.3564065,611506,720.0
1704491148.6401663,613350,1000.0
1704491407.6550703,619352,860.0
1704491666.3078897,623842,960.0
1704491674.245167,627131,680.0
1704491928.9490683,631078,700.0
1704492188.170659,636324,640.0
1704492204.2015178,642912,1180.0
1704492453.5088918,644639,900.0
1704492459.805904,647134,1320.0
1704492468.856707,650746,1440.0
1704492714.279038,652998,620.0
1704492717.3145618,654245,520.0
1704492723.1254244,656630,1160.0
1704492733.6904716,660970,1080.0
1704492985.4591203,663752,860.0
1704492993.5362215,667126,840.0
1704492999.717022,669626,1340.0
1704493263.4309363,675028,1160.0
1704493267.9079406,676725,1080.0
1704493540.9051065,685204,980.0
1704493803.7595646,688906,1560.0
1704493814.843912,693490,860.0
1704493818.2540562,694871,800.0
1704494076.8163412,698097,840.0
1704494086.933512,702094,1620.0
1704494300.2174163,704582,860.0
1704494308.5622385,708259,1100.0
1704494313.116113,710257,1380.0
1704494527.0800157,715753,1040.0
1704494534.404372,719055,1140.0
1704494539.1944563,721172,1460.0
1704494751.763274,725849,560.0
1704494967.3769531,731730,360.0
1704495177.9833264,735747,920.0
1704495180.9919286,737017,920.0
1704495186.5183017,739514,1900.0
1704495190.1654856,741148,1020.0
1704495193.4842975,742617,960.0
1704495411.6434975,750127,1480.0
1704495625.1906953,754623,1080.0
1704495628.0004854,755860,820.0
1704495632.6384943,757914,1260.0
