Wall time,Step,Value
1704458473.8640676,1575,20000.0
1704458474.932237,1973,20000.0
1704459069.9774694,4985,60000.0
1704459081.2748709,8983,60000.0
1704459584.9898026,10112,80000.0
1704459596.0956404,13758,80000.0
1704459600.111536,15165,80000.0
1704459878.451261,15916,100000.0
1704459883.8554013,17647,100000.0
1704459886.795457,18552,100000.0
1704460152.9721515,20923,120000.0
1704460154.8453164,21566,120000.0
1704461056.408402,30227,160000.0
1704461303.2070084,31534,180000.0
1704461557.3343875,37287,200000.0
1704461558.323465,37713,200000.0
1704461561.03818,38880,200000.0
1704461931.282331,40009,220000.0
1704461936.0171103,41740,220000.0
1704462414.9955497,43516,240000.0
1704462669.5900803,45786,260000.0
1704462670.7455766,46277,260000.0
1704462673.7407572,47468,260000.0
1704462676.1675503,48347,260000.0
1704462920.3031638,49362,280000.0
1704462922.9876466,50224,280000.0
1704462926.865453,51664,280000.0
1704462928.703598,52340,280000.0
1704463337.5021033,54025,300000.0
1704463340.373151,55008,300000.0
1704463791.5164194,59700,320000.0
1704463794.7301924,60962,320000.0
1704464039.342704,61522,340000.0
1704464044.9882584,63486,340000.0
1704464300.86081,67059,360000.0
1704464307.1469028,69327,360000.0
1704465173.5907965,76530,400000.0
1704465422.8345723,77258,420000.0
1704465429.4016294,79708,420000.0
1704465681.509097,82387,440000.0
1704465683.3946214,83044,440000.0
1704465687.6776114,84644,440000.0
1704466550.0372941,91273,480000.0
1704466803.680578,95303,500000.0
1704467055.571412,98078,520000.0
1704467057.8927665,98966,520000.0
1704467060.9506302,100182,520000.0
1704467549.478833,102709,540000.0
1704467553.4779482,104137,540000.0
1704467930.3185165,110047,560000.0
1704467933.2567983,111201,560000.0
1704468192.9119956,117477,580000.0
1704468448.8125842,118706,600000.0
1704468450.7050033,119357,600000.0
1704468948.57431,121469,620000.0
1704469309.192443,129035,640000.0
1704469506.08221,131866,660000.0
1704469509.6224556,133457,660000.0
1704469512.963547,134966,660000.0
1704470081.163319,140345,700000.0
1704470083.5407305,141395,700000.0
1704470087.0091028,142883,700000.0
1704470396.9668646,145794,720000.0
1704470398.3386602,146371,720000.0
1704470399.5188963,146859,720000.0
1704470631.2419372,150074,740000.0
1704470638.9121757,153284,740000.0
1704470865.434667,154184,760000.0
1704470867.2438245,154995,760000.0
1704471097.265169,158620,780000.0
1704471098.8267596,159303,780000.0
1704471101.6473467,160547,780000.0
1704471340.4308283,167665,800000.0
1704471571.641951,171735,820000.0
1704471573.7418694,172614,820000.0
1704471576.2097092,173603,820000.0
1704471801.3724878,174392,840000.0
1704471805.5255306,176147,840000.0
1704471811.1229,178579,840000.0
1704472038.5193846,180869,860000.0
1704472043.4773169,182882,860000.0
1704472348.6071284,184201,880000.0
1704472351.140365,185078,880000.0
1704472356.6200962,187340,880000.0
1704472720.4032366,188620,900000.0
1704472721.8614106,189147,900000.0
1704472724.757991,190197,900000.0
1704472727.641,191289,900000.0
1704472976.7191885,198231,920000.0
1704473448.2080314,206950,960000.0
1704473679.9048696,209179,980000.0
1704473686.7548795,212131,980000.0
1704473912.902922,213127,1000000.0
1704473915.8286397,214405,1000000.0
1704474163.396286,224027,1020000.0
1704474446.1150744,227143,1040000.0
1704474448.8568227,228029,1040000.0
1704474649.4735677,229008,1060000.0
1704474654.9903398,231343,1060000.0
1704475448.631655,239815,1100000.0
1704475451.2727852,240780,1100000.0
1704475459.8986757,243855,1100000.0
1704475704.1593695,246388,1120000.0
1704475707.115809,247633,1120000.0
1704475948.775965,249685,1140000.0
1704475954.1766098,251985,1140000.0
1704475956.4351082,252966,1140000.0
1704476192.7750478,254775,1160000.0
1704476197.045408,256634,1160000.0
1704476199.5268147,257665,1160000.0
1704476435.6248696,259439,1180000.0
1704476680.3951833,264136,1200000.0
1704476681.8426619,264771,1200000.0
1704476683.7305548,265581,1200000.0
1704476686.167874,266603,1200000.0
1704477410.3026798,275971,1240000.0
1704477416.005389,278374,1240000.0
1704477418.8858516,279476,1240000.0
1704477748.348049,283067,1260000.0
1704477992.023102,288750,1280000.0
1704477997.3663418,291032,1280000.0
1704478000.4222062,292227,1280000.0
1704478216.2260754,296042,1300000.0
1704478223.366312,299269,1300000.0
1704478452.6785374,304890,1320000.0
1704478875.984063,307889,1340000.0
1704478879.0061283,308945,1340000.0
1704479252.2646127,314601,1360000.0
1704479254.8221395,315684,1360000.0
1704479493.2361698,317859,1380000.0
1704479502.6884165,321532,1380000.0
1704479749.0594125,324494,1400000.0
1704479751.9709144,325452,1400000.0
1704480019.2168355,329822,1420000.0
1704480025.1944504,332311,1420000.0
1704480031.7766845,334979,1420000.0
1704480279.009312,340209,1440000.0
1704480522.4762993,344451,1460000.0
1704480525.4609704,345646,1460000.0
1704480527.5867903,346404,1460000.0
1704480762.5224228,347448,1480000.0
1704480764.585587,348293,1480000.0
1704480767.9297404,349624,1480000.0
1704481019.1637883,356938,1500000.0
1704481260.4493563,360953,1520000.0
1704481262.9367213,361943,1520000.0
1704481891.4936714,371631,1560000.0
1704482314.3942792,375775,1580000.0
1704482318.2270763,377261,1580000.0
1704482320.2479062,378110,1580000.0
1704482323.5851538,379403,1580000.0
1704482326.233851,380281,1580000.0
1704482562.8106658,382818,1600000.0
1704482806.0756574,388712,1620000.0
1704482810.3087628,390543,1620000.0
1704483054.776306,395634,1640000.0
1704483058.2973292,396947,1640000.0
1704483300.3229704,401616,1660000.0
1704483303.1487155,402830,1660000.0
