Wall time,Step,Value
1704458331.9979894,1988,20.0
1704458338.5617833,6398,20.0
1704458341.7033272,8440,60.0
1704458341.8556843,8552,20.0
1704458371.734958,12098,40.0
1704458391.4526753,13676,80.0
1704458399.5888386,14325,40.0
1704458425.6539178,16564,0.0
1704458491.9151127,21361,100.0
1704458503.1687477,22298,20.0
1704458535.2350373,24939,20.0
1704458624.957319,32255,100.0
1704458645.3147526,33851,20.0
1704458682.540491,36847,0.0
1704458751.2537122,42066,40.0
1704458823.3193161,47805,60.0
1704458863.7811923,50805,0.0
1704458889.1189399,52768,0.0
1704458934.688175,54714,60.0
1704459023.077629,58187,40.0
1704459131.7073882,62000,20.0
1704459167.7746365,63415,0.0
1704459180.8456163,63975,0.0
1704459274.122528,67666,0.0
1704459347.6544323,70653,0.0
1704459365.7397377,71351,40.0
1704459372.70509,71604,60.0
1704459414.8961432,73323,0.0
1704459564.6558335,79308,0.0
1704459677.7630641,84839,0.0
1704459687.1982403,85624,0.0
1704459688.9701343,85757,20.0
1704459720.2623253,88183,40.0
1704459755.6440926,90763,0.0
1704459934.0561368,103391,40.0
1704459957.6197655,105233,0.0
1704460008.1327598,109147,60.0
1704460123.4180274,118021,40.0
1704460135.774274,119007,20.0
1704460194.2945826,122727,40.0
1704460300.4135044,130461,20.0
1704460538.7056003,139817,60.0
1704460604.2567158,141955,0.0
1704460654.855235,143902,40.0
1704460691.5637405,145447,20.0
1704460774.7587028,148741,100.0
1704460822.99055,150630,0.0
1704460972.8058884,156633,60.0
1704461026.2128906,158735,20.0
1704461042.171964,159630,80.0
1704461092.7605963,162934,60.0
1704461115.7887022,164857,0.0
1704461133.6396556,166313,0.0
1704461137.9167898,166640,40.0
1704461155.819533,167975,0.0
1704461219.41574,173282,0.0
1704461281.3085454,178388,0.0
1704461285.3108933,178716,0.0
1704461289.5291066,179040,0.0
1704461323.7276678,180983,60.0
1704461334.4181237,181864,40.0
1704461443.8140705,190942,0.0
1704461483.0441334,194225,60.0
1704461550.3605807,199833,0.0
1704461634.7160225,206069,40.0
1704461761.3000038,213164,0.0
