Wall time,Step,Value
1704458312.7512987,9985,0.0
1704458318.5466535,12485,0.0
1704458815.3851871,18022,220.0
1704458823.9239662,21371,160.0
1704459247.775913,22694,420.0
1704459257.9001575,25979,240.0
1704459262.4740188,27579,500.0
1704459689.2871044,28325,200.0
1704459693.6906054,30057,140.0
1704459696.170731,31079,300.0
1704459954.4406352,33565,200.0
1704459956.1937354,34242,240.0
1704460651.2183685,42988,240.0
1704461083.4608595,45430,340.0
1704461332.7473009,51538,200.0
1704461334.3711905,52158,240.0
1704461335.7851665,52767,180.0
1704461569.9614532,54538,260.0
1704461576.8187053,57305,280.0
1704461945.0871365,59457,140.0
1704462405.160436,61491,180.0
1704462408.004805,62664,340.0
1704462409.6525168,63325,220.0
1704462412.448728,64516,420.0
1704462653.2110715,67064,700.0
1704462655.9106529,68214,380.0
1704462658.143119,69180,260.0
1704462661.4886763,70526,440.0
1704462897.7066839,72140,240.0
1704462899.765216,72872,180.0
1704463263.7806787,77934,340.0
1704463270.1713786,80269,260.0
1704463738.7968605,81613,420.0
1704463744.3156347,83757,240.0
1704463991.4688723,86832,240.0
1704464000.3340893,90300,220.0
1704464628.2764063,100939,380.0
1704465086.3901107,101507,220.0
1704465093.6103597,104323,200.0
1704465340.9117758,106989,360.0
1704465342.5562143,107615,160.0
1704465346.637017,109259,300.0
1704465957.6660507,116764,200.0
1704466438.2287474,121344,240.0
1704466684.2113776,124274,80.0
1704466687.3405945,125558,420.0
1704466691.054894,127025,200.0
1704466932.878088,128548,220.0
1704466935.4555712,129424,220.0
1704467305.4011273,134566,440.0
1704467308.138113,135553,280.0
1704467804.310444,143216,220.0
1704468054.866053,146473,460.0
1704468058.4368298,147935,480.0
1704468305.11469,151588,200.0
1704468682.4628363,158285,460.0
1704469166.5791867,161079,500.0
1704469175.2766397,164694,420.0
1704469183.0135856,167617,460.0
1704469598.3226032,174241,240.0
1704469599.9004202,174947,160.0
1704469601.6810923,175740,220.0
1704469874.2724304,177957,120.0
1704469875.611246,178509,160.0
1704469877.5113678,179248,140.0
1704470232.0393026,182079,100.0
1704470238.8347023,184505,140.0
1704470477.0235798,185303,140.0
1704470478.8660364,186114,180.0
1704470703.2399828,189285,240.0
1704470705.3256764,190146,240.0
1704470707.0919569,190824,220.0
1704470941.8835428,197457,420.0
1704471164.943337,200421,460.0
1704471166.7642016,201196,200.0
1704471168.4332664,201913,220.0
1704471387.7511666,202979,380.0
1704471392.5499399,205037,420.0
1704471396.996306,206947,420.0
1704471617.1569345,208686,180.0
1704471621.181513,210446,100.0
1704471842.1903923,211797,160.0
1704471844.7567666,212934,240.0
1704471852.1956556,216102,240.0
1704472073.2834363,216646,100.0
1704472074.6177425,217240,140.0
1704472076.5173469,217943,100.0
1704472080.3766165,219208,160.0
1704472392.727435,225510,360.0
1704472980.7357883,234476,80.0
1704473207.326547,236285,260.0
1704473214.9910958,239633,460.0
1704473437.179282,240965,420.0
1704473439.538649,241887,260.0
1704473678.1069238,249729,300.0
1704473909.9762576,253977,260.0
1704473912.8666494,255300,380.0
1704474136.8010232,256250,220.0
1704474141.31041,258243,220.0
1704474632.1379218,265839,200.0
1704474634.8509994,266912,320.0
1704474644.006937,270560,360.0
1704474974.9825118,272606,260.0
1704474980.5419044,274635,420.0
1704475394.8965516,276990,240.0
1704475402.3417048,279803,280.0
1704475405.5447657,280966,340.0
1704475665.7507591,282867,280.0
1704475671.3669899,285113,360.0
1704475674.3341563,286397,360.0
1704475908.3520844,288189,120.0
1704476145.3555984,291630,300.0
1704476149.3742766,293293,500.0
1704476151.0812001,294028,240.0
1704476153.3151796,294938,220.0
1704476631.782122,303406,80.0
1704476637.8508003,305969,380.0
1704476639.9705787,306859,280.0
1704476889.361254,310832,360.0
1704477301.9422846,314749,360.0
1704477307.5904527,316776,420.0
1704477310.0448146,317754,380.0
1704477678.6730826,321485,460.0
1704477684.3088324,323893,360.0
1704477929.3535678,330445,480.0
1704478150.012154,333075,620.0
1704478152.224307,334072,380.0
1704478357.9385455,338130,160.0
1704478360.015432,339018,220.0
1704478714.3025813,341143,460.0
1704478725.057402,345027,440.0
1704479132.4903853,347498,400.0
1704479135.7424846,348684,500.0
1704479381.5884073,352680,140.0
1704479387.2063816,355089,520.0
1704479393.213324,357656,580.0
1704479632.7183003,363058,480.0
1704479901.2835426,369035,480.0
1704479903.9406002,370002,380.0
1704479907.2984495,371288,520.0
1704480140.4187727,372855,700.0
1704480143.321309,374030,500.0
1704480145.8314874,375024,380.0
1704480392.3351398,383841,360.0
1704480627.4672499,387894,480.0
1704480629.8732991,388908,320.0
1704481108.2893636,398335,420.0
1704481351.2453198,404285,600.0
1704481355.3609483,405874,660.0
1704481359.4020875,407465,700.0
1704481363.6031294,409256,720.0
1704481366.5454624,410356,480.0
1704481635.8613393,414453,680.0
1704482047.5600972,419038,200.0
1704482052.1996293,420663,180.0
1704482402.6254728,426058,460.0
1704482406.615908,427727,420.0
1704482646.5315497,433504,540.0
1704482649.1062267,434611,300.0
1704482878.632526,435973,600.0
1704482888.714838,440141,520.0
1704483124.959597,444714,660.0
1704483128.4522777,446168,580.0
1704483364.8547115,450500,960.0
1704483368.1467588,451940,680.0
1704483606.9947689,457534,600.0
1704483848.5807548,463861,260.0
1704483850.996212,464893,380.0
1704483853.4352682,465945,300.0
1704483858.1103642,467799,220.0
1704484088.3082638,469509,580.0
1704484090.2815888,470335,260.0
1704484096.7848663,473208,720.0
1704484099.0986238,474198,400.0
1704484327.1249344,475339,300.0
1704484331.0350554,476996,780.0
1704484571.8061876,482981,920.0
1704484579.738468,486226,840.0
1704484582.2712305,487308,540.0
1704484585.17633,488558,540.0
1704484914.7598817,491943,880.0
1704485342.0446968,499621,860.0
1704485347.1859481,501353,800.0
1704485629.9003031,506801,740.0
1704485632.7081563,507990,620.0
1704485640.4438846,511326,740.0
1704485871.3360565,513658,760.0
1704485883.740221,518976,500.0
1704486113.9371352,520594,840.0
1704486124.8626723,524493,560.0
1704486127.8487823,525693,480.0
1704486359.99124,527099,620.0
1704486364.1853213,528841,800.0
1704486370.4863496,531210,440.0
1704486374.9826555,532820,740.0
1704486618.5115108,538372,1240.0
1704486622.2144387,539792,900.0
1704486627.5995426,541728,1300.0
1704486866.503625,545173,460.0
1704486879.594614,550232,500.0
1704487104.0582361,556347,780.0
1704487313.6065595,561444,760.0
1704487317.7092216,563198,980.0
1704487526.3121567,568431,1200.0
1704487535.8977525,572839,520.0
1704487737.0654438,574494,980.0
1704487741.0376298,576330,1080.0
1704487744.6550272,577919,920.0
1704487746.9959035,578987,520.0
1704487749.3295708,580053,640.0
1704487960.9013991,585472,960.0
1704487964.7457137,587249,980.0
1704487968.4886923,588983,1080.0
1704488188.78044,590681,1100.0
1704488200.476421,595362,820.0
1704488710.8401392,606456,740.0
1704488723.9577842,611915,1360.0
1704488727.3687181,613311,780.0
1704488974.9345493,615253,620.0
1704488977.4450634,616255,420.0
1704488981.2992766,617851,900.0
1704489231.3102708,621310,1020.0
1704489238.6852942,624356,920.0
1704489247.481058,627865,820.0
1704489496.2361743,630928,800.0
1704489499.5204058,632291,760.0
1704489747.646969,636692,1200.0
1704489757.183413,640116,1040.0
1704490015.5134614,645263,980.0
1704490019.924765,647088,1300.0
1704490292.3012035,658326,1160.0
1704490298.3224804,660821,1880.0
1704490302.8002703,662456,1100.0
1704490561.8861115,668996,1220.0
1704490819.9812016,675089,1400.0
1704490826.605944,677759,640.0
1704491078.6061141,681993,700.0
1704491328.795824,688603,2040.0
1704491344.3398266,695038,580.0
1704491590.8291771,697159,1440.0
1704491594.7756512,698807,1160.0
1704491602.1399148,701796,1200.0
1704491851.3351822,705058,900.0
1704491855.4800723,706819,1220.0
1704491858.7181683,708188,720.0
1704491867.8630733,712003,1460.0
1704492119.9669876,715350,1280.0
1704492127.8717954,718689,1220.0
1704492132.8143992,720777,1500.0
1704492391.0284398,726320,2020.0
1704492395.5278087,728157,1260.0
1704492657.2383149,736477,920.0
1704492909.6346579,740051,1860.0
1704492923.881351,745937,2000.0
1704492928.6088486,747909,1600.0
1704493180.048679,751571,1400.0
1704493188.2690027,755180,1320.0
1704493436.891451,759472,1360.0
1704493445.2271705,762839,1120.0
1704493449.403392,764564,980.0
1704493702.593241,771209,2380.0
1704493711.6497767,775055,1820.0
1704493716.3015125,776993,1340.0
1704493977.0343602,785310,1640.0
1704494220.884848,792839,1240.0
1704494433.402308,798461,1180.0
1704494437.6771061,800230,1240.0
1704494442.6047213,802467,1620.0
1704494448.2284393,804941,2020.0
1704494450.841108,806074,700.0
1704494674.8636727,816663,1880.0
1704494883.5401912,820916,1840.0
1704494888.9004238,823412,2280.0
1704494891.6967373,824718,940.0
1704494894.7219214,826088,920.0
1704495096.0120995,827605,840.0
1704495108.1797168,833123,2380.0
1704495315.442794,836785,1060.0
1704495547.3031087,850415,1700.0
1704495760.1386616,856447,1020.0
1704495986.3883934,866645,1680.0
1704495993.0414114,869145,2120.0
1704495998.224504,871054,1460.0
1704496213.678873,877360,1760.0
1704496220.8071787,880448,1260.0
1704496224.4132288,881868,1020.0
1704496229.768297,884313,2240.0
1704496444.2299926,890148,1880.0
1704496665.3454297,900102,1740.0
1704496675.5818696,904564,2320.0
1704496886.5753841,908520,1840.0
1704496891.4209049,910461,1960.0
1704496899.6435888,914306,1740.0
1704497114.1497421,919720,1900.0
1704497117.6793356,921316,1260.0
1704497328.7115655,924993,1800.0
1704497346.64232,932577,1900.0
1704497550.8658109,933908,1160.0
1704497560.0376372,937591,1760.0
1704497776.6119676,944730,2320.0
1704497784.7336173,948196,1460.0
1704497997.9715297,953220,1800.0
1704498002.5901604,955224,1660.0
1704498011.7416182,959402,1680.0
1704498218.5424724,963598,1500.0
1704498223.1648138,965586,1820.0
1704498231.971828,969462,1880.0
1704498235.8006067,971175,1480.0
1704498445.4970324,975581,2080.0
1704498449.2740915,977237,1260.0
1704498454.0270612,979336,1560.0
1704498677.1230679,990021,1540.0
1704498891.612291,998408,2080.0
1704498896.8947384,1000868,1980.0
1704498900.698709,1002652,1080.0
1704499543.499187,1025742,1480.0
1704499551.335448,1029066,2120.0
1704499783.5042317,1041281,1080.0
1704499988.70742,1043325,1700.0
1704500005.4177322,1050054,1800.0
1704500006.9458654,1050635,160.0
1704500219.983475,1056243,1220.0
1704500435.517963,1062440,1740.0
1704500438.8978853,1063988,1080.0
1704500448.2165418,1068221,2440.0
1704500451.5020196,1069700,1000.0
1704500656.5564048,1071835,1540.0
1704500661.1971855,1073686,1680.0
1704500665.878082,1075596,1420.0
1704500896.0198162,1087479,1740.0
1704501111.3252819,1093738,1620.0
1704501352.020542,1110317,1940.0
1704501578.8739514,1120926,3020.0
1704501783.2867298,1122390,1200.0
1704501788.392885,1124479,1760.0
1704501794.5179794,1126975,3320.0
1704502007.9827356,1132494,1160.0
1704502246.7206953,1149081,1920.0
1704502252.468746,1151494,2240.0
1704502693.559753,1168498,2200.0
1704502699.128794,1170961,2420.0
1704502916.0177255,1178853,1200.0
1704502920.8642604,1180919,1780.0
1704503129.2189867,1185420,1840.0
1704503133.1876278,1187055,1400.0
1704503138.8258517,1189554,2960.0
1704503148.582803,1193964,2620.0
1704503350.879364,1196157,2200.0
1704503362.846162,1201615,1300.0
1704503570.0129886,1206116,3120.0
1704503795.5432684,1217446,2020.0
1704503801.066297,1219715,1980.0
1704503816.9878316,1226645,1780.0
1704504033.7517998,1233523,2280.0
1704504246.8729007,1239875,1940.0
1704504256.596342,1244335,2520.0
1704504468.2813115,1250831,1640.0
1704504473.3359869,1253130,2700.0
1704504693.439706,1261876,1800.0
1704504698.5485153,1263979,1940.0
1704505167.747844,1293107,2500.0
1704505373.0669334,1295603,2480.0
1704505378.4148884,1298036,2280.0
1704505595.5124679,1306373,2940.0
1704505606.8391726,1311302,2220.0
1704505815.5839558,1315939,380.0
1704505822.1725519,1318991,360.0
1704505827.3405411,1321366,2620.0
1704506041.340148,1328725,2860.0
1704506046.7305472,1331193,3740.0
1704506057.6836736,1336194,3420.0
1704506267.7882128,1341728,1980.0
1704506273.2044027,1344222,2280.0
1704506482.7902434,1349037,2320.0
1704506488.3393812,1351538,2880.0
1704506504.9899573,1359027,2860.0
1704506721.97875,1366237,1360.0
1704506727.8265727,1368733,2600.0
1704506936.004458,1372954,1480.0
1704506946.5216343,1377610,2660.0
1704507169.4100797,1386686,2480.0
1704507173.9231744,1388462,1740.0
1704507384.6250515,1393024,1160.0
1704507390.5537767,1395290,1440.0
1704507395.7909846,1397433,1280.0
1704507400.9673703,1399424,960.0
