Wall time,Step,Value
1704458312.7513545,9985,20000.0
1704458318.5466952,12485,20000.0
1704458815.3852453,18022,60000.0
1704458823.9240425,21371,60000.0
1704459247.7759516,22694,80000.0
1704459257.9001925,25979,80000.0
1704459262.4740653,27579,80000.0
1704459689.2871494,28325,100000.0
1704459693.6906662,30057,100000.0
1704459696.1707633,31079,100000.0
1704459954.4406815,33565,120000.0
1704459956.1937726,34242,120000.0
1704460651.2184095,42988,160000.0
1704461083.460896,45430,180000.0
1704461332.7473392,51538,200000.0
1704461334.371238,52158,200000.0
1704461335.7852066,52767,200000.0
1704461569.9614933,54538,220000.0
1704461576.8187387,57305,220000.0
1704461945.087171,59457,240000.0
1704462405.1604729,61491,260000.0
1704462408.0048409,62664,260000.0
1704462409.6525486,63325,260000.0
1704462412.4487662,64516,260000.0
1704462653.2111082,67064,280000.0
1704462655.9106863,68214,280000.0
1704462658.143165,69180,280000.0
1704462661.488713,70526,280000.0
1704462897.7067397,72140,300000.0
1704462899.7652843,72872,300000.0
1704463263.7807148,77934,320000.0
1704463270.1714196,80269,320000.0
1704463738.7969136,81613,340000.0
1704463744.3156793,83757,340000.0
1704463991.4689205,86832,360000.0
1704464000.334122,90300,360000.0
1704464628.2764444,100939,400000.0
1704465086.3901746,101507,420000.0
1704465093.6104414,104323,420000.0
1704465340.911809,106989,440000.0
1704465342.556248,107615,440000.0
1704465346.6370523,109259,440000.0
1704465957.6660907,116764,480000.0
1704466438.228782,121344,500000.0
1704466684.211432,124274,520000.0
1704466687.3406315,125558,520000.0
1704466691.0549326,127025,520000.0
1704466932.8781464,128548,540000.0
1704466935.4556892,129424,540000.0
1704467305.4011621,134566,560000.0
1704467308.138151,135553,560000.0
1704467804.310485,143216,580000.0
1704468054.8660898,146473,600000.0
1704468058.4369133,147935,600000.0
1704468305.114727,151588,620000.0
1704468682.4628692,158285,640000.0
1704469166.5792444,161079,660000.0
1704469175.276674,164694,660000.0
1704469183.0136309,167617,660000.0
1704469598.3226457,174241,700000.0
1704469599.9004662,174947,700000.0
1704469601.6811361,175740,700000.0
1704469874.2724822,177957,720000.0
1704469875.6112967,178509,720000.0
1704469877.5114062,179248,720000.0
1704470232.0393436,182079,740000.0
1704470238.834736,184505,740000.0
1704470477.0236177,185303,760000.0
1704470478.8660684,186114,760000.0
1704470703.240024,189285,780000.0
1704470705.3257139,190146,780000.0
1704470707.0919976,190824,780000.0
1704470941.8836205,197457,800000.0
1704471164.9433718,200421,820000.0
1704471166.764233,201196,820000.0
1704471168.4333026,201913,820000.0
1704471387.7512624,202979,840000.0
1704471392.549973,205037,840000.0
1704471396.996343,206947,840000.0
1704471617.156971,208686,860000.0
1704471621.181557,210446,860000.0
1704471842.1904418,211797,880000.0
1704471844.756815,212934,880000.0
1704471852.1956885,216102,880000.0
1704472073.283471,216646,900000.0
1704472074.6177766,217240,900000.0
1704472076.517381,217943,900000.0
1704472080.37665,219208,900000.0
1704472392.7274687,225510,920000.0
1704472980.73583,234476,960000.0
