Wall time,Step,Value
1704458133.7823095,1988,20.0
1704458139.6896439,6398,20.0
1704458142.3100932,8440,60.0
1704458142.443287,8552,20.0
1704458192.5820234,12098,40.0
1704458224.7513127,13787,0.0
1704458232.3138433,14515,40.0
1704458261.8903098,17316,40.0
1704458344.678063,22423,60.0
1704458353.89581,23255,40.0
1704458396.9313114,26807,0.0
1704458475.9204202,33364,0.0
1704458500.6298192,35422,0.0
1704458535.0475833,38269,0.0
1704458603.5776324,42827,20.0
1704458667.3816717,47968,0.0
1704458701.619554,50770,20.0
1704458725.050276,52774,0.0
1704458743.8813646,54380,0.0
1704458779.1296566,57221,20.0
1704458842.3315425,61473,20.0
1704458858.6109793,62607,0.0
1704458867.6624622,63309,0.0
1704458925.2773638,66665,40.0
1704459001.0813308,69895,20.0
1704459022.0122309,70735,80.0
1704459027.5247965,70929,0.0
1704459065.5966837,72588,40.0
1704459230.21924,79464,0.0
1704459401.3857138,85812,40.0
1704459432.121629,87053,0.0
1704459432.8706222,87118,0.0
1704459473.019313,88805,40.0
1704459547.5450656,91932,60.0
1704459766.3413465,105231,120.0
1704459781.4469829,106478,0.0
1704459839.3173354,111054,0.0
1704459939.1984496,119053,80.0
1704459960.8027654,120073,40.0
1704460000.2576833,123235,80.0
1704460108.3915002,131835,20.0
1704460230.4369633,140673,20.0
1704460261.2655454,142956,0.0
1704460286.7940857,144878,0.0
1704460309.7184548,146250,20.0
1704460372.8448763,148806,0.0
1704460433.9785872,151382,40.0
1704460570.1673276,157087,40.0
1704460618.2587128,159051,100.0
1704460638.7479107,159912,0.0
1704460733.4208431,163309,40.0
1704460765.235266,164646,40.0
1704460799.255253,166065,20.0
1704460807.2991164,166379,40.0
1704460827.653622,167274,20.0
1704460962.2433264,172927,60.0
1704461058.384393,177999,0.0
1704461063.612614,178523,100.0
1704461070.4304347,179123,60.0
1704461108.2869475,181403,0.0
1704461112.2850964,181733,0.0
1704461209.8491042,189986,20.0
1704461261.412109,194456,100.0
1704461313.3100986,198850,0.0
1704461408.7595813,206407,60.0
1704461482.50614,212748,40.0
1704461483.9100933,212892,40.0
1704461554.9301114,219036,40.0
1704461588.3329172,220981,0.0
1704461591.9836717,221322,20.0
1704461661.9609632,227021,120.0
1704461667.4216871,227444,40.0
1704461721.1746185,230535,40.0
1704461836.5108824,235624,40.0
1704461966.345672,240710,80.0
1704461993.644019,241950,20.0
1704462145.489553,248488,60.0
1704462204.3559518,250966,0.0
1704462276.0044754,254046,60.0
1704462281.5138924,254294,0.0
1704462308.9846735,255536,120.0
1704462496.8638484,267167,20.0
1704462668.7192583,280497,0.0
1704462692.392643,282572,0.0
1704462777.8846319,289859,40.0
1704462798.4000103,291646,40.0
1704462852.4070516,296230,0.0
1704462913.5346117,300676,40.0
1704462915.722541,300876,60.0
1704462959.4840033,304594,20.0
1704463329.1469164,322559,0.0
1704463371.3014205,324454,120.0
1704463427.2856443,326787,0.0
1704463479.1579006,328976,40.0
1704463888.3593988,351585,20.0
1704463947.2995608,356509,40.0
1704464109.2650256,369255,40.0
1704464217.6358588,378394,60.0
1704464313.986894,385530,40.0
1704464489.8114088,394614,0.0
1704464513.5605927,395669,100.0
1704464593.7880452,399203,80.0
1704464644.8980641,400694,40.0
1704464657.1532257,401215,0.0
1704464738.9925718,404588,40.0
1704464826.9771328,408262,0.0
1704464899.6966193,411384,60.0
1704464964.872042,414142,20.0
1704465121.7089891,422262,60.0
1704465122.7529657,422337,0.0
1704465166.7088504,425967,100.0
1704465221.9766972,430508,20.0
1704465239.8798218,431999,100.0
1704465269.246439,434447,60.0
1704465383.4594111,443158,40.0
1704465402.790329,444797,40.0
1704465441.663219,448038,120.0
1704465458.5219095,449485,0.0
1704465491.550456,452271,60.0
1704465506.5629916,453496,40.0
1704465546.1844447,456960,60.0
1704465548.1895127,457139,80.0
