Wall time,Step,Value
1704458295.65113,3303,160.0
1704458297.6598148,4163,200.0
1704458785.9229507,8042,120.0
1704458795.1233585,11459,140.0
1704459190.4328923,12171,300.0
1704459198.8611927,15253,220.0
1704459201.022857,15988,260.0
1704459663.847536,17490,520.0
1704459668.7138526,19364,340.0
1704459671.1468613,20263,300.0
1704459930.343102,23078,260.0
1704459932.321305,23819,200.0
1704460602.3511488,32188,320.0
1704461058.7905233,33380,160.0
1704461305.8021283,38228,200.0
1704461307.3192859,38895,260.0
1704461309.3501406,39719,320.0
1704461544.7723293,40744,120.0
1704461549.6485405,42458,140.0
1704461894.6994362,44616,160.0
1704462371.2594726,47198,160.0
1704462372.5885432,47775,80.0
1704462375.0295062,48655,220.0
1704462376.635069,49227,80.0
1704462624.2584715,50930,180.0
1704462625.5592558,51399,80.0
1704462628.142672,52255,180.0
1704462629.7440667,52878,200.0
1704462867.212669,54456,260.0
1704462869.118001,55268,240.0
1704463201.2865546,59869,180.0
1704463204.6600313,61086,120.0
1704463674.105928,61555,60.0
1704463677.4285128,62602,100.0
1704463946.9777236,64039,100.0
1704463951.7589667,66035,80.0
1704464509.5093052,72111,100.0
1704464983.1728187,73113,300.0
1704464989.7355413,75406,320.0
1704465268.5874484,77584,160.0
1704465270.7987256,78322,260.0
1704465274.789604,79944,200.0
1704465798.8479128,85153,380.0
1704466278.7424343,88545,80.0
1704466599.4526832,92283,240.0
1704466601.9483633,93179,260.0
1704466605.9801655,94599,180.0
1704466848.7830374,95831,100.0
1704466850.9469726,96573,180.0
1704467119.2883484,100321,220.0
1704467121.4291737,101085,200.0
1704467614.2668633,107711,220.0
1704467943.1860392,109061,100.0
1704467946.2825918,110275,340.0
1704468192.0869658,112812,240.0
1704468466.3480773,119039,180.0
1704468945.9433484,121206,200.0
1704468950.06932,122813,200.0
1704468955.1744509,124653,240.0
1704469495.9769099,128590,120.0
1704469497.4054768,129249,180.0
1704469500.1019075,130470,300.0
1704469697.6643374,132569,120.0
1704469701.1368153,133890,360.0
1704469702.8596752,134656,180.0
1704470056.0000875,138247,160.0
1704470063.1059701,140981,220.0
1704470370.1280167,141567,180.0
1704470371.9545352,142347,160.0
1704470597.727498,146023,160.0
1704470600.1198063,147009,220.0
1704470601.6259193,147662,100.0
1704470836.2304676,153718,140.0
1704471061.683165,156897,400.0
1704471063.6146185,157731,140.0
1704471066.209243,158637,200.0
1704471286.2499366,159343,160.0
1704471290.016355,160968,260.0
1704471294.8885412,162966,300.0
1704471519.1973772,165482,460.0
1704471523.5461445,167192,160.0
1704471744.0538957,168917,320.0
1704471747.1606336,170260,420.0
1704471754.5038295,173275,320.0
1704471974.252897,174470,280.0
1704471976.1975503,175201,180.0
1704471979.3259385,176435,380.0
1704471985.865837,179142,360.0
1704472254.606037,184869,340.0
1704472895.898778,194089,340.0
1704473119.2889092,195943,180.0
1704473127.4268656,199457,160.0
1704473350.3383265,200459,300.0
1704473351.8902252,201133,160.0
1704473591.5814757,209311,240.0
1704473821.1887403,213053,180.0
1704473823.4216654,213994,140.0
1704474047.2359233,214750,220.0
1704474053.0152504,217228,380.0
1704474562.3714497,227761,300.0
1704474566.1714046,229428,620.0
1704474575.777846,233406,340.0
1704474840.191727,236217,500.0
1704474845.5904741,238267,240.0
1704475256.5981724,240773,360.0
1704475263.3774507,243347,400.0
1704475265.6327138,244125,240.0
1704475590.9559808,246893,440.0
1704475596.6214292,249246,180.0
1704475600.2804341,250759,360.0
1704475839.2639894,253771,340.0
1704476085.410019,259974,380.0
1704476088.8856616,261460,400.0
1704476090.6649768,262177,180.0
1704476092.945205,263150,260.0
1704476573.9665923,272357,260.0
1704476578.5456707,274298,240.0
1704476580.3498864,275017,200.0
1704476818.8469207,277748,180.0
1704477211.3977087,282558,500.0
1704477218.9052482,285243,320.0
1704477222.1351066,286389,380.0
1704477628.5483804,289612,280.0
1704477634.3616633,292005,380.0
1704477880.779258,298447,180.0
1704478108.3244438,300095,140.0
1704478113.445029,302120,780.0
1704478325.05097,307741,360.0
1704478329.3763742,309513,580.0
1704478662.1350343,311564,300.0
1704478672.6860127,315075,540.0
1704479083.976781,318148,380.0
1704479088.357624,319691,460.0
1704479356.436218,324542,240.0
1704479361.4600928,326651,300.0
1704479367.0186112,328914,380.0
1704479597.2876184,332286,160.0
1704479856.4673066,336761,200.0
1704479859.7516305,338112,360.0
1704479861.9129956,338970,200.0
1704480097.844543,340138,340.0
1704480101.5979655,341743,580.0
1704480105.037336,343197,520.0
1704480347.419223,351020,200.0
1704480579.5332904,354893,180.0
1704480583.0392728,356376,320.0
1704481055.188186,364832,340.0
1704481293.6946652,369480,440.0
1704481297.2885044,371032,380.0
1704481301.4827313,372862,500.0
1704481304.7214494,374219,320.0
1704481308.3328729,375715,300.0
1704481545.5702672,380534,420.0
1704481968.875571,388245,380.0
1704481976.6842628,391117,440.0
1704482363.8543422,396623,260.0
1704482367.1187112,397959,320.0
1704482614.377598,405218,480.0
1704482616.737797,406242,280.0
1704482845.1976888,407450,320.0
1704482855.8103933,411782,600.0
1704483092.4036922,416002,340.0
1704483097.014932,417827,700.0
1704483332.427333,422067,300.0
1704483336.193795,423665,460.0
1704483572.1729584,429135,620.0
1704483813.0349662,435784,360.0
1704483816.9644177,437359,420.0
1704483820.222902,438734,500.0
1704483827.465968,441805,280.0
1704484057.6313002,443158,400.0
1704484062.2363882,444997,520.0
1704484072.7621238,449276,660.0
1704484076.1012795,450651,300.0
1704484305.102311,451935,360.0
1704484309.2199147,453496,480.0
1704484547.3983536,459146,360.0
1704484553.181321,461581,360.0
1704484556.8488736,463063,560.0
1704484559.982733,464416,460.0
1704484861.134822,466809,400.0
1704485273.244579,471260,380.0
1704485277.6191647,472855,440.0
1704485589.7322485,479317,340.0
1704485594.9472241,481550,1060.0
1704485604.6488178,485655,1400.0
1704485839.130397,489801,540.0
1704485854.1328797,496345,580.0
1704486087.2042928,498499,760.0
1704486103.742385,505606,980.0
1704486108.3960707,507577,640.0
1704486338.8706203,508597,220.0
1704486342.6082842,510127,480.0
1704486351.6273103,513775,620.0
