Wall time,Step,Value
1704458295.6511629,3303,20000.0
1704458297.6598587,4163,20000.0
1704458785.9229896,8042,60000.0
1704458795.1234071,11459,60000.0
1704459190.4329326,12171,80000.0
1704459198.8612645,15253,80000.0
1704459201.0229044,15988,80000.0
1704459663.8475907,17490,100000.0
1704459668.7139058,19364,100000.0
1704459671.1469011,20263,100000.0
1704459930.343169,23078,120000.0
1704459932.321351,23819,120000.0
1704460602.3511834,32188,160000.0
1704461058.7905746,33380,180000.0
1704461305.8021631,38228,200000.0
1704461307.3193262,38895,200000.0
1704461309.3501754,39719,200000.0
1704461544.7723718,40744,220000.0
1704461549.6486218,42458,220000.0
1704461894.6994855,44616,240000.0
1704462371.2595112,47198,260000.0
1704462372.588583,47775,260000.0
1704462375.0295446,48655,260000.0
1704462376.6351056,49227,260000.0
1704462624.258528,50930,280000.0
1704462625.5593162,51399,280000.0
1704462628.1427147,52255,280000.0
1704462629.7441187,52878,280000.0
1704462867.212713,54456,300000.0
1704462869.1180446,55268,300000.0
1704463201.2865953,59869,320000.0
1704463204.6600661,61086,320000.0
1704463674.1059911,61555,340000.0
1704463677.4285548,62602,340000.0
1704463946.9777598,64039,360000.0
1704463951.7589998,66035,360000.0
1704464509.5093424,72111,400000.0
1704464983.1728575,73113,420000.0
1704464989.7355766,75406,420000.0
1704465268.5875056,77584,440000.0
1704465270.798802,78322,440000.0
1704465274.7896392,79944,440000.0
1704465798.8479526,85153,480000.0
1704466278.7424781,88545,500000.0
1704466599.452735,92283,520000.0
1704466601.948417,93179,520000.0
1704466605.9802153,94599,520000.0
1704466848.783087,95831,540000.0
1704466850.947025,96573,540000.0
1704467119.2883961,100321,560000.0
1704467121.42921,101085,560000.0
1704467614.2668972,107711,580000.0
1704467943.1860795,109061,600000.0
1704467946.282633,110275,600000.0
1704468192.0870268,112812,620000.0
1704468466.3481214,119039,640000.0
1704468945.9433906,121206,660000.0
1704468950.0693557,122813,660000.0
1704468955.174487,124653,660000.0
1704469495.9769642,128590,700000.0
1704469497.405531,129249,700000.0
1704469500.101947,130470,700000.0
1704469697.6643906,132569,720000.0
1704469701.136866,133890,720000.0
1704469702.8597307,134656,720000.0
1704470056.0001435,138247,740000.0
1704470063.106004,140981,740000.0
1704470370.1280568,141567,760000.0
1704470371.9545906,142347,760000.0
1704470597.7275574,146023,780000.0
1704470600.1198626,147009,780000.0
1704470601.6259716,147662,780000.0
1704470836.2305067,153718,800000.0
1704471061.6832075,156897,820000.0
1704471063.614708,157731,820000.0
1704471066.2092834,158637,820000.0
1704471286.2499924,159343,840000.0
1704471290.0164266,160968,840000.0
1704471294.8885944,162966,840000.0
1704471519.1974382,165482,860000.0
1704471523.546188,167192,860000.0
1704471744.0539374,168917,880000.0
1704471747.1606898,170260,880000.0
1704471754.503872,173275,880000.0
1704471974.2529635,174470,900000.0
1704471976.1976197,175201,900000.0
1704471979.3259783,176435,900000.0
1704471985.8658755,179142,900000.0
1704472254.6060743,184869,920000.0
1704472895.8988223,194089,960000.0
1704473119.288961,195943,980000.0
1704473127.4269004,199457,980000.0
1704473350.3383698,200459,1000000.0
1704473351.8902662,201133,1000000.0
1704473591.5815241,209311,1020000.0
1704473821.1887827,213053,1040000.0
1704473823.421704,213994,1040000.0
1704474047.235982,214750,1060000.0
1704474053.0152915,217228,1060000.0
1704474562.3714855,227761,1100000.0
1704474566.1714478,229428,1100000.0
1704474575.777885,233406,1100000.0
1704474840.1917796,236217,1120000.0
1704474845.590545,238267,1120000.0
1704475256.598235,240773,1140000.0
1704475263.377496,243347,1140000.0
1704475265.6327486,244125,1140000.0
1704475590.9560375,246893,1160000.0
1704475596.6214795,249246,1160000.0
1704475600.2804863,250759,1160000.0
1704475839.264048,253771,1180000.0
1704476085.4100597,259974,1200000.0
1704476088.8857365,261460,1200000.0
1704476090.6650116,262177,1200000.0
1704476092.945245,263150,1200000.0
1704476573.966636,272357,1240000.0
1704476578.5457418,274298,1240000.0
1704476580.349922,275017,1240000.0
1704476818.8469722,277748,1260000.0
1704477211.3977563,282558,1280000.0
1704477218.9052901,285243,1280000.0
1704477222.1351464,286389,1280000.0
1704477628.5484147,289612,1300000.0
1704477634.361699,292005,1300000.0
1704477880.7793012,298447,1320000.0
1704478108.3244867,300095,1340000.0
1704478113.4450803,302120,1340000.0
1704478325.0510106,307741,1360000.0
1704478329.376412,309513,1360000.0
1704478662.1350768,311564,1380000.0
1704478672.68607,315075,1380000.0
1704479083.9768412,318148,1400000.0
1704479088.3576696,319691,1400000.0
1704479356.4362893,324542,1420000.0
1704479361.460135,326651,1420000.0
1704479367.018652,328914,1420000.0
1704479597.2876797,332286,1440000.0
1704479856.4673476,336761,1460000.0
1704479859.7516742,338112,1460000.0
1704479861.9130507,338970,1460000.0
1704480097.8445857,340138,1480000.0
1704480101.598006,341743,1480000.0
1704480105.0373797,343197,1480000.0
1704480347.4192567,351020,1500000.0
1704480579.533328,354893,1520000.0
1704480583.0393066,356376,1520000.0
1704481055.1882298,364832,1560000.0
1704481293.6947086,369480,1580000.0
1704481297.2885427,371032,1580000.0
1704481301.4827735,372862,1580000.0
1704481304.721498,374219,1580000.0
1704481308.3329136,375715,1580000.0
1704481545.570306,380534,1600000.0
1704481968.8756106,388245,1620000.0
1704481976.684315,391117,1620000.0
1704482363.8543794,396623,1640000.0
1704482367.1187768,397959,1640000.0
1704482614.3776555,405218,1660000.0
1704482616.7378309,406242,1660000.0
1704482845.1977327,407450,1680000.0
1704482855.8104324,411782,1680000.0
1704483092.4037662,416002,1700000.0
1704483097.014979,417827,1700000.0
1704483332.4273772,422067,1720000.0
1704483336.1938326,423665,1720000.0
1704483572.1730025,429135,1740000.0
1704483813.0350099,435784,1760000.0
1704483816.964461,437359,1760000.0
1704483820.2229457,438734,1760000.0
1704483827.4660213,441805,1760000.0
1704484057.6313684,443158,1780000.0
1704484062.2364416,444997,1780000.0
1704484072.7621734,449276,1780000.0
1704484076.101326,450651,1780000.0
1704484305.10235,451935,1800000.0
1704484309.2199602,453496,1800000.0
1704484547.398404,459146,1820000.0
1704484553.1813757,461581,1820000.0
1704484556.8489203,463063,1820000.0
1704484559.9827685,464416,1820000.0
1704484861.1348636,466809,1840000.0
1704485273.2446208,471260,1860000.0
1704485277.6192079,472855,1860000.0
1704485589.7322907,479317,1880000.0
1704485594.947266,481550,1880000.0
1704485604.648861,485655,1880000.0
1704485839.1304362,489801,1900000.0
1704485854.1329167,496345,1900000.0
1704486087.2043424,498499,1920000.0
1704486103.742424,505606,1920000.0
1704486108.3961074,507577,1920000.0
1704486338.870659,508597,1940000.0
1704486342.6083407,510127,1940000.0
1704486351.6273673,513775,1940000.0
1704486355.474882,515319,1940000.0
1704486593.1312635,519889,1960000.0
1704486597.4525805,521727,1960000.0
1704486601.6114898,523450,1960000.0
1704486835.0481348,526383,1980000.0
1704486846.523322,531193,1980000.0
1704487073.1960256,536635,2000000.0
1704487283.0921683,541953,2020000.0
1704487285.974341,543247,2020000.0
1704487491.2334223,547202,2040000.0
1704487500.283522,551404,2040000.0
1704487701.537273,552794,2060000.0
1704487706.455538,554706,2060000.0
1704487712.0149589,556907,2060000.0
1704487717.0623639,559077,2060000.0
1704487721.6835725,561074,2060000.0
1704487928.7470737,564983,2080000.0
1704487932.3081937,566571,2080000.0
1704487935.4338212,567995,2080000.0
1704488148.2467725,569776,2100000.0
1704488161.693131,575359,2100000.0
1704488671.2840495,589411,2140000.0
1704488684.1529493,594730,2140000.0
1704488689.6091259,597010,2140000.0
1704488939.1035235,601800,2160000.0
1704488943.6097436,603700,2160000.0
1704488949.445696,606046,2160000.0
1704489197.5198991,609720,2180000.0
1704489207.440371,613728,2180000.0
1704489215.705941,617117,2180000.0
1704489464.8384898,621401,2200000.0
1704489468.19322,622706,2200000.0
1704489715.0354207,628281,2220000.0
1704489723.2232013,631636,2220000.0
1704489971.015245,635908,2240000.0
1704489973.960552,636992,2240000.0
1704490246.712735,649045,2260000.0
1704490252.138022,651207,2260000.0
1704490258.1369624,653353,2260000.0
1704490526.0861356,661805,2280000.0
1704490785.633349,667688,2300000.0
1704490793.3919678,670664,2300000.0
1704491049.6054626,675968,2320000.0
1704491309.3964312,684547,2340000.0
1704491330.181726,692177,2340000.0
1704491579.2977726,693851,2360000.0
1704491584.4566767,695520,2360000.0
1704491594.021583,699026,2360000.0
1704491850.5280774,703751,2380000.0
1704491854.7534013,705410,2380000.0
1704491861.008221,707904,2380000.0
1704491872.9446454,712010,2380000.0
1704492128.1250458,716718,2400000.0
1704492137.2561972,720558,2400000.0
1704492143.138688,722948,2400000.0
1704492398.8110933,728625,2420000.0
1704492403.0679183,730364,2420000.0
1704492662.710293,739097,2440000.0
1704492914.0107121,742445,2460000.0
1704492930.336785,749012,2460000.0
1704492935.7874596,751161,2460000.0
1704493189.6397896,755611,2480000.0
1704493199.6873233,759658,2480000.0
1704493456.392738,764651,2500000.0
1704493468.1925325,769508,2500000.0
1704493474.4104466,772006,2500000.0
1704493730.9428906,777252,2520000.0
1704493739.3517342,780643,2520000.0
1704493745.030913,782920,2520000.0
1704494007.5945513,791087,2540000.0
1704494245.930336,799589,2560000.0
1704494461.6913493,806715,2580000.0
1704494466.2357733,808790,2580000.0
1704494471.6355126,811287,2580000.0
1704494477.4384208,813785,2580000.0
1704494483.1399674,816280,2580000.0
1704494707.3855364,828168,2600000.0
1704494918.8217828,831940,2620000.0
1704494923.13472,833872,2620000.0
1704494926.9773417,835549,2620000.0
1704494931.814646,837543,2620000.0
1704495134.6340954,839775,2640000.0
1704495148.0828416,845855,2640000.0
1704495354.275389,849805,2660000.0
1704495586.6189053,866068,2680000.0
1704495796.6145577,872058,2700000.0
1704496013.0473223,881316,2720000.0
1704496017.005016,882991,2720000.0
1704496022.3037686,885204,2720000.0
1704496232.357025,890786,2740000.0
1704496241.7826204,895105,2740000.0
1704496245.9472144,897004,2740000.0
1704496248.4875686,898154,2740000.0
1704496461.3964336,905226,2760000.0
1704496682.2432675,915707,2780000.0
1704496691.5626943,919960,2780000.0
1704496900.6983614,924953,2800000.0
1704496906.1095,927283,2800000.0
1704496917.184825,932008,2800000.0
1704497129.2934277,938455,2820000.0
1704497134.7067354,940944,2820000.0
1704497342.7863328,945773,2840000.0
1704497363.563169,955214,2840000.0
1704497566.9386392,957713,2860000.0
1704497577.070734,962354,2860000.0
1704497789.168457,968557,2880000.0
1704497799.2703986,973221,2880000.0
1704498011.1084514,979154,2900000.0
1704498014.9106038,980982,2900000.0
1704498024.3367484,985446,2900000.0
1704498232.0390294,990440,2920000.0
1704498237.4234354,992934,2920000.0
1704498246.644469,997022,2920000.0
1704498251.9753163,999455,2920000.0
1704498458.948459,1004374,2940000.0
1704498464.4340515,1006868,2940000.0
1704498469.9500637,1009362,2940000.0
1704498695.802305,1020824,2960000.0
1704498914.9465516,1029948,2980000.0
1704498920.6229193,1032446,2980000.0
1704498925.2580197,1034556,2980000.0
1704499574.9218209,1059119,3040000.0
1704499585.829085,1063786,3040000.0
1704499814.1796906,1077328,3060000.0
1704500018.9878232,1079828,3080000.0
1704500034.2724338,1086441,3080000.0
1704500040.4689221,1088891,3080000.0
1704500251.8365188,1094237,3100000.0
1704500466.3312094,1100743,3120000.0
1704500471.5202684,1103055,3120000.0
1704500481.952269,1107574,3120000.0
1704500487.4648674,1110055,3120000.0
1704500691.5824819,1112468,3140000.0
1704500697.441104,1114968,3140000.0
1704500703.1249437,1117448,3140000.0
1704500934.227753,1131601,3160000.0
1704501147.8113883,1136969,3180000.0
1704501386.9705236,1154538,3200000.0
1704501612.858013,1166470,3220000.0
1704501816.0996418,1168537,3240000.0
1704501821.5454886,1170978,3240000.0
1704501826.5524836,1173209,3240000.0
1704502042.5998082,1180084,3260000.0
1704502282.9084983,1198128,3280000.0
1704502288.292717,1200625,3280000.0
1704502727.3355274,1217505,3320000.0
1704502731.336875,1219346,3320000.0
1704502951.6005597,1228742,3340000.0
1704502957.0955868,1231239,3340000.0
1704503169.8060348,1235820,3360000.0
1704503172.8523743,1237141,3360000.0
1704503178.7983384,1239640,3360000.0
1704503189.2548895,1244433,3360000.0
1704503393.6966476,1246621,3380000.0
1704503409.823904,1254112,3380000.0
1704503618.005077,1259106,3400000.0
1704503842.6910722,1271378,3420000.0
1704503848.5595465,1273877,3420000.0
1704503862.9299412,1280059,3420000.0
1704504078.7438369,1287549,3440000.0
1704504297.679799,1294645,3460000.0
1704504307.6190507,1298937,3460000.0
1704504526.0658631,1306217,3480000.0
1704504531.5407484,1308644,3480000.0
1704504751.3341513,1318434,3500000.0
1704504756.6276848,1320851,3500000.0
1704505219.4767637,1352165,3540000.0
1704505422.4324536,1354661,3560000.0
1704505428.384928,1357156,3560000.0
1704505647.5950902,1366732,3580000.0
1704505657.6382785,1371224,3580000.0
1704505872.625331,1378547,3600000.0
1704505883.7375062,1383543,3600000.0
1704505889.1371734,1385915,3600000.0
1704506103.6480806,1392831,3620000.0
1704506109.2041433,1395328,3620000.0
1704506119.6926603,1400139,3620000.0
1704506333.5777123,1407114,3640000.0
1704506339.4543605,1409608,3640000.0
1704506547.1525986,1413918,3660000.0
1704506552.669034,1416419,3660000.0
1704506566.2787406,1422490,3660000.0
1704506782.9610035,1431543,3680000.0
1704506788.2878785,1433950,3680000.0
1704506995.1122084,1437854,3700000.0
1704507005.3830347,1442554,3700000.0
1704507223.1671546,1452081,3720000.0
1704507228.637337,1454572,3720000.0
1704507436.856999,1459563,3740000.0
1704507440.5805855,1461219,3740000.0
1704507446.343277,1463718,3740000.0
1704507451.584915,1466064,3740000.0
