Wall time,Step,Value
1704458128.3588607,1988,20.0
1704458134.208814,6398,20.0
1704458137.2587523,8440,60.0
1704458137.4010532,8552,20.0
1704458189.874374,12098,40.0
1704458225.4732683,13999,180.0
1704458229.594837,14413,0.0
1704458257.3781145,17062,0.0
1704458312.087805,21451,20.0
1704458323.0126712,22349,0.0
1704458343.9882448,24306,0.0
1704458427.2205415,31372,0.0
1704458447.3847709,33000,0.0
1704458481.5474203,35784,40.0
1704458564.934246,42012,40.0
1704458635.2229276,47718,0.0
1704458669.4973938,50516,0.0
1704458699.0734546,52970,20.0
1704458714.8382325,54308,0.0
1704458744.9947665,56902,0.0
1704458796.3519309,60089,0.0
1704458812.1116195,61359,20.0
1704458820.549171,62077,40.0
1704458870.439644,65883,0.0
1704458931.5240092,69306,40.0
1704458948.3821092,69990,40.0
1704458955.4145224,70247,20.0
1704459011.7830343,72589,40.0
1704459153.667477,78534,40.0
1704459315.8140335,84758,0.0
1704459339.1994765,85686,40.0
1704459343.1401792,85831,40.0
1704459410.691052,88637,20.0
1704459448.8120124,90298,0.0
1704459723.4224997,104010,40.0
1704459745.2369998,105587,80.0
1704459806.2103603,110441,0.0
1704459895.3609872,117551,0.0
1704459910.2425144,118809,80.0
1704459956.347648,121590,40.0
1704460066.631036,130527,0.0
1704460161.895105,138033,20.0
1704460203.3137908,140651,0.0
1704460221.3875525,142052,20.0
1704460239.3383472,143466,0.0
1704460281.905595,146547,0.0
1704460319.8866746,148732,20.0
1704460452.740505,154251,60.0
1704460505.1070874,156369,20.0
1704460531.6056743,157410,40.0
1704460611.1403785,160319,20.0
1704460643.5241642,161649,0.0
1704460672.9303303,162803,20.0
1704460678.6733222,163132,20.0
1704460703.0052388,164066,40.0
1704460826.4185505,169306,40.0
1704460939.66937,174022,0.0
1704460943.9614081,174183,0.0
1704460960.9827092,174906,60.0
1704460983.6115177,175926,0.0
1704460994.652496,176421,0.0
1704461139.0488198,186359,20.0
1704461183.8432992,190067,0.0
1704461252.8046288,195940,40.0
1704461314.609264,200490,0.0
1704461315.887028,200608,20.0
1704461393.7034302,207361,0.0
1704461423.3668587,209895,80.0
1704461431.759268,210617,80.0
1704461489.509428,215559,40.0
1704461496.8954856,216170,20.0
1704461516.857365,217912,0.0
1704461578.053194,222470,60.0
1704461623.640559,226246,0.0
1704461639.439047,227559,20.0
1704461696.9365222,231691,20.0
1704461752.3100169,234156,40.0
1704461808.630767,236584,40.0
1704461814.3436077,236784,0.0
1704461834.7092152,237646,0.0
1704462054.0856006,246631,0.0
1704462280.6683054,256218,20.0
1704462320.8669314,257918,60.0
1704462435.299443,264233,40.0
1704462447.1963835,265233,0.0
1704462494.9545898,269296,0.0
1704462524.9278336,271670,40.0
1704462529.8500428,272108,120.0
1704462554.6231294,274237,0.0
1704462720.2549047,287503,40.0
1704462732.719562,288596,40.0
1704462745.7629788,289724,20.0
1704462764.6519194,291343,0.0
1704462962.6118264,307536,60.0
1704463263.894279,322543,20.0
1704463406.1345332,328718,20.0
1704463514.343061,333369,60.0
1704463646.807066,338926,0.0
1704463663.3337245,339636,0.0
1704463713.2469454,341443,60.0
1704463741.1533108,342790,60.0
1704463747.934659,343413,60.0
1704463778.2258773,345996,0.0
