Wall time,Step,Value
1704282788.163282,1615,80.0
1704282789.5549881,2231,80.0
1704283168.0548098,7351,240.0
1704283175.2516778,10378,200.0
1704283363.6652768,11272,260.0
1704283371.7859778,14664,300.0
1704283374.6593688,15926,400.0
1704283794.415749,16914,340.0
1704283799.2811372,18400,220.0
1704283802.3980908,19340,220.0
1704284254.913198,21859,280.0
1704284257.4413073,22861,320.0
1704284732.3130522,31991,180.0
1704284960.978687,33449,220.0
1704285206.6372948,39581,400.0
1704285209.3449323,40443,300.0
1704285211.1425564,41106,200.0
1704285444.7592034,42707,320.0
1704285450.377638,44799,140.0
1704285686.3828394,47150,160.0
1704285925.1901572,49404,300.0
1704285926.8559194,50118,180.0
1704285929.0901225,50972,240.0
1704285931.2058432,51838,200.0
1704286163.4515283,53379,160.0
1704286165.2969267,54124,160.0
1704286167.2987115,54948,220.0
1704286169.6322567,55912,300.0
1704286422.1981807,57977,420.0
1704286424.7657125,58838,260.0
1704286721.6875997,62691,160.0
1704286725.635121,64089,200.0
1704287014.566314,64650,200.0
1704287017.926772,65979,320.0
1704287308.1676145,68231,260.0
1704287315.8201654,70636,120.0
1704287880.7299035,78085,240.0
1704288143.3355281,79020,300.0
1704288150.7255824,81970,360.0
1704288419.266883,84618,200.0
1704288421.3918808,85370,180.0
1704288427.6678398,87765,360.0
1704288950.2501266,94015,160.0
1704289201.1263642,98573,440.0
1704289447.6842525,102958,320.0
1704289450.3866389,104088,320.0
1704289454.6790056,105883,320.0
1704289698.5577595,107202,120.0
1704289700.7155626,108058,200.0
1704289953.7114677,112631,260.0
1704289956.1630676,113567,300.0
1704290213.341064,120266,180.0
1704290457.3404045,122010,280.0
1704290459.5231075,122720,160.0
1704290710.6314776,125584,240.0
1704290971.7827787,131568,240.0
1704291221.8449187,134152,140.0
1704291227.452805,136215,360.0
1704291234.8585215,138906,420.0
1704291745.4797187,144675,100.0
1704291747.2353375,145374,140.0
1704291749.350826,146140,180.0
1704291997.316219,148549,180.0
1704292000.0424912,149586,260.0
1704292001.4220946,150152,180.0
1704292251.2575676,153679,80.0
