Wall time,Step,Value
1704282696.0294206,1988,20.0
1704282702.037298,6398,20.0
1704282704.8983278,8440,60.0
1704282705.0464203,8552,20.0
1704282722.9357839,12082,20.0
1704282736.2864275,13992,40.0
1704282740.1465108,14425,0.0
1704282761.8136365,17316,40.0
1704282811.6242402,22449,0.0
1704282819.6169856,23237,40.0
1704282844.492905,26086,0.0
1704282901.5543754,32478,0.0
1704282919.7398767,34387,20.0
1704282954.0260887,38180,40.0
1704283006.46087,42579,0.0
1704283062.798259,48886,120.0
1704283089.8990803,51836,40.0
1704283109.6101012,53999,40.0
1704283130.8097079,56232,40.0
1704283162.2262883,59509,0.0
1704283204.202459,63071,20.0
1704283215.480592,64328,20.0
1704283224.4106333,65268,0.0
1704283260.4999652,69227,120.0
1704283288.731195,72348,20.0
1704283293.1369874,72815,0.0
1704283294.9310188,73017,0.0
1704283316.872585,75288,40.0
1704283391.295466,81719,60.0
1704283458.5172606,87746,20.0
1704283477.2130778,88663,20.0
1704283483.2030501,88854,0.0
1704283564.3383038,91594,40.0
1704283626.7596629,93867,20.0
1704284022.3725312,107717,20.0
1704284055.3089402,109179,0.0
1704284197.8865426,115302,20.0
1704284296.7225177,123164,0.0
1704284309.2664735,124217,40.0
1704284335.670248,126651,0.0
1704284436.9107692,135276,140.0
1704284538.820836,143271,0.0
1704284562.090614,145415,0.0
1704284578.7066143,146835,40.0
1704284599.4696527,148636,100.0
1704284628.8791976,151371,40.0
1704284661.1171682,154244,80.0
1704284749.4748282,161391,40.0
1704284777.2572758,163739,0.0
1704284786.1014924,164554,20.0
1704284819.493409,167543,40.0
1704284836.502922,168986,0.0
1704284849.443417,170172,0.0
1704284854.3773847,170626,80.0
1704284867.4130998,171958,0.0
1704284930.1402621,177685,60.0
1704285005.1597378,183060,20.0
1704285007.7761352,183250,0.0
1704285015.7771645,183951,120.0
1704285037.9893,185938,100.0
1704285044.2658713,186509,20.0
1704285169.8480148,197757,0.0
1704285248.7216825,203237,0.0
1704285328.0149431,210088,60.0
1704285408.8735955,217344,80.0
1704285410.2738643,217469,40.0
1704285488.3988588,223359,40.0
1704285514.4513028,225552,0.0
1704285519.1559243,225980,0.0
1704285577.898108,231138,0.0
1704285582.6715965,231616,60.0
1704285607.0927603,233720,0.0
1704285668.9664881,239026,20.0
1704285736.2696493,243991,60.0
1704285753.6615546,245452,80.0
1704285824.1941469,251463,60.0
1704285855.275485,254304,20.0
1704285896.0556335,257760,40.0
1704285899.0463023,258007,0.0
1704285915.71761,259397,140.0
1704286072.392404,272262,80.0
1704286212.9794464,283677,0.0
1704286248.9545314,286722,40.0
1704286331.0107932,293717,40.0
1704286345.433414,294910,0.0
1704286447.9058924,301147,20.0
1704286495.1566663,304507,20.0
1704286496.7841198,304617,40.0
1704286538.9432778,307543,60.0
1704286799.76095,325110,40.0
1704286818.8585904,326461,60.0
1704286832.8719668,327452,40.0
1704286864.2115102,329560,0.0
1704287111.355682,346296,40.0
1704287371.9901268,363945,40.0
1704287480.7460115,371799,80.0
1704287559.816349,377582,20.0
1704287702.1120555,386898,40.0
1704287713.503832,387797,40.0
1704287752.6795003,390823,40.0
1704287771.0341363,392213,20.0
1704287776.4343116,392640,60.0
1704287827.2415824,396634,0.0
1704287862.0875037,399257,0.0
1704287903.0240307,401687,120.0
1704287938.6983354,404340,80.0
1704288050.6590285,413131,40.0
1704288052.5208037,413272,40.0
1704288102.8887138,417167,20.0
1704288181.6000347,422139,80.0
1704288199.310523,423468,80.0
1704288209.6453233,424281,0.0
1704288310.4879353,431890,20.0
1704288333.818045,433827,80.0
1704288370.6639495,436605,0.0
1704288389.209791,438052,60.0
1704288438.6999123,440724,60.0
1704288449.4989667,441534,40.0
1704288485.8941212,444226,100.0
1704288487.7903965,444360,20.0
1704288493.7123492,444741,120.0
1704288518.0540586,446622,20.0
1704288562.3073077,449857,40.0
1704288632.5210233,455354,40.0
1704288684.9058092,459332,120.0
1704288714.6580591,460730,0.0
1704288753.0788667,463748,100.0
1704288998.5634542,483481,40.0
1704289037.9729757,486673,20.0
