Wall time,Step,Value
1704630815.297835,1906,40.0
1704630816.5552285,2451,40.0
1704631185.137789,7300,320.0
1704631194.3716412,11143,720.0
1704631381.4683797,12271,300.0
1704631386.2673268,14501,360.0
1704631388.4187615,15478,300.0
1704631578.003178,16669,400.0
1704631582.1337693,18607,240.0
1704631583.384813,19171,160.0
1704631777.8719378,21980,260.0
1704631779.990342,22933,320.0
1704632180.3082569,34509,360.0
1704632374.022848,36696,420.0
1704632579.0589325,44002,280.0
1704632581.25279,45043,320.0
1704632582.8654578,45722,200.0
1704632776.3133132,47474,480.0
1704632781.5011873,49933,240.0
1704632976.525103,52189,240.0
1704633172.7089753,54971,260.0
1704633176.0683079,56548,580.0
1704633177.598047,57265,240.0
1704633178.9532232,57820,160.0
1704633372.948771,59244,220.0
1704633375.0220006,60217,260.0
1704633377.238547,61267,280.0
1704633379.8748252,62485,420.0
1704633573.9054003,64868,240.0
1704633575.1747842,65415,160.0
1704633776.605602,70151,160.0
1704633779.8812296,71401,180.0
1704633971.46394,71977,180.0
1704633977.2893112,74506,340.0
1704634171.589873,76758,300.0
1704634178.6629221,79855,240.0
1704634576.5691698,87602,380.0
1704634770.4316962,88973,300.0
1704634776.2325933,91390,140.0
1704634971.301842,93839,220.0
1704634972.8399508,94534,240.0
1704634976.0382328,95923,160.0
1704635367.8153179,100692,80.0
1704635569.8731894,104823,280.0
1704635770.8415463,107931,260.0
1704635774.536292,109297,360.0
1704635779.1191447,111147,220.0
1704635974.2651122,112659,140.0
1704635975.773393,113273,140.0
1704636174.7401328,116703,300.0
1704636176.2645457,117356,180.0
1704636379.7958796,122604,120.0
1704636573.7402556,124596,340.0
1704636575.7084076,125503,280.0
1704636772.3289933,127304,260.0
1704636979.6230383,132970,200.0
1704637177.250697,135322,220.0
1704637181.7151368,137310,300.0
1704637185.4021804,138900,100.0
1704637583.757217,143747,280.0
1704637585.7463078,144624,260.0
1704637589.4643412,146271,460.0
1704637786.9380345,148699,340.0
1704637789.0666614,149544,240.0
1704637790.9671595,150413,220.0
1704637995.8593028,154858,500.0
1704638002.1439736,157272,220.0
1704638199.495565,158417,400.0
1704638201.84011,159444,260.0
1704638409.8955743,164990,460.0
1704638412.8748128,166188,440.0
1704638414.9341972,167045,280.0
1704638624.8135848,174579,320.0
1704638823.544998,176714,240.0
1704638825.3307977,177516,200.0
1704638827.7976155,178624,300.0
1704639023.8515692,179368,180.0
1704639029.697897,181725,420.0
1704639034.236975,183696,220.0
1704639233.7882354,185834,360.0
1704639237.5860736,187563,280.0
1704639437.2792447,189389,380.0
1704639438.9382002,190109,200.0
1704639446.2200773,192954,320.0
1704639643.5372279,193744,280.0
1704639646.6639297,195098,380.0
1704639649.069667,196013,220.0
1704639655.3969567,198665,520.0
1704639861.3162951,203482,460.0
1704640275.9123151,214656,180.0
1704640474.7513137,216233,120.0
1704640480.2108634,218623,260.0
1704640677.282833,219675,180.0
1704640680.9811602,221268,220.0
1704640898.8637512,230346,260.0
1704641100.2094657,232821,120.0
1704641101.3468702,233353,100.0
1704641298.5255506,233959,160.0
1704641304.9794085,236919,580.0
1704641714.078447,244372,360.0
1704641716.5028944,245494,420.0
1704641723.6617424,248779,220.0
1704641925.622195,250711,260.0
1704641930.181834,252720,280.0
1704642131.709501,254997,220.0
1704642139.0442805,258305,380.0
1704642140.340022,258901,120.0
1704642343.0670502,262095,540.0
1704642346.924438,263659,240.0
1704642350.0500288,265058,440.0
1704642555.9857275,267418,340.0
1704642764.950663,272744,400.0
1704642767.14446,273768,240.0
1704642769.1329813,274682,220.0
1704642771.0730257,275581,180.0
1704643182.955977,283205,200.0
1704643188.233981,285633,300.0
1704643190.9859073,286866,300.0
1704643394.553202,289801,400.0
1704643601.8616135,294257,440.0
1704643608.4901135,297331,600.0
1704643612.4807851,299186,580.0
1704643819.246852,303469,460.0
1704643825.6278787,306474,620.0
1704644037.296675,312521,260.0
1704644241.17672,315761,840.0
1704644243.7279375,316945,480.0
1704644456.52078,323934,800.0
1704644459.9944592,325520,680.0
1704644664.4715133,327742,340.0
1704644675.807799,332963,600.0
1704644881.7962706,335815,460.0
1704644884.640127,337129,340.0
1704645094.6559749,342752,560.0
1704645099.1065774,344834,180.0
1704645104.9441586,347614,660.0
1704645320.241758,355201,1040.0
1704645534.333719,361971,560.0
1704645536.943969,363178,400.0
1704645540.3578084,364745,600.0
1704645743.6093798,366480,540.0
1704645747.6198845,368368,640.0
1704645752.1386256,370515,860.0
1704645973.4686034,380387,360.0
1704646183.0522995,385264,620.0
1704646186.7550495,386943,760.0
1704646607.6431217,396371,240.0
1704646818.2770271,401329,340.0
1704646819.6031399,401928,140.0
1704646821.865384,402942,300.0
1704646824.552793,404157,580.0
1704646825.8577294,404751,100.0
1704647032.8654137,408994,560.0
1704647251.954445,417368,920.0
1704647260.102195,420932,920.0
1704647474.6760302,427780,1020.0
1704647478.6266398,429504,780.0
1704647700.6994493,437620,1040.0
1704647706.668033,439909,1300.0
1704647909.4754431,440925,340.0
1704647918.194237,444885,540.0
1704648130.4053977,450410,1020.0
1704648135.307881,452364,800.0
1704648346.859503,458185,1540.0
1704648350.7721572,459927,880.0
1704648571.3170052,469194,1000.0
1704648790.0492036,477849,920.0
1704648793.011091,479221,780.0
1704648795.9288218,480565,480.0
1704648801.6226747,483171,420.0
1704649003.562443,484737,720.0
1704649006.3099267,485911,420.0
1704649015.3665457,489503,1000.0
1704649018.6135015,490706,600.0
1704649221.079911,491829,460.0
1704649223.3917687,492827,360.0
1704649435.9427354,497969,1080.0
1704649443.480916,501165,640.0
1704649448.231115,503078,900.0
1704649453.5744817,505196,900.0
1704649664.213862,509253,1020.0
1704649884.0325463,516408,1020.0
1704649889.471026,518698,1360.0
1704650104.4160178,524648,760.0
1704650110.0071008,527077,1000.0
1704650118.028939,530510,620.0
1704650328.3713343,534221,1040.0
1704650344.9724135,541705,1320.0
1704650548.9017692,543963,1560.0
1704650561.5218084,549905,1320.0
1704650567.2545378,552401,1560.0
1704650771.2561328,553989,900.0
1704650774.9879956,555770,840.0
1704650781.1413245,558539,840.0
1704650784.622163,560117,720.0
1704650991.5513232,563938,580.0
1704650994.0324488,565058,440.0
1704650999.1485214,567232,1220.0
1704651208.5042322,571762,1700.0
1704651221.396224,577461,940.0
1704651438.020892,585179,1080.0
1704651656.9637883,592569,1660.0
1704651659.5343678,593737,660.0
1704651871.3369293,597970,800.0
1704651880.7396262,601646,300.0
1704652083.9401155,603283,1040.0
1704652089.5443444,605770,1540.0
1704652092.4249635,607093,740.0
1704652096.4783983,608938,1500.0
1704652099.7393832,610444,980.0
1704652315.820503,616792,1240.0
1704652320.4171185,618807,1380.0
1704652324.7972832,620704,1140.0
1704652533.7884254,622499,1200.0
1704652544.5453055,627493,1320.0
1704653024.4547713,641748,860.0
1704653035.2597075,646108,760.0
1704653038.671216,647472,720.0
1704653289.2778885,651600,1320.0
1704653292.0370111,652682,460.0
