Wall time,Step,Value
1704630709.2063317,1988,20.0
1704630716.2093253,6398,20.0
1704630719.3147914,8440,60.0
1704630719.4766402,8552,20.0
1704630741.2922263,12082,20.0
1704630758.8196375,14115,20.0
1704630763.8360176,14674,0.0
1704630787.9767532,17396,0.0
1704630831.0318375,21693,20.0
1704630839.7612224,22699,20.0
1704630860.5111222,25013,40.0
1704630879.4049127,27130,0.0
1704630931.1925294,32931,80.0
1704630950.3312304,35076,20.0
1704630986.2445147,39134,40.0
1704630989.0120916,39449,20.0
1704631038.82612,44151,20.0
1704631086.5221422,49396,20.0
1704631107.637709,51715,0.0
1704631123.9657419,53524,0.0
1704631145.5426652,55905,0.0
1704631171.6959188,58761,20.0
1704631223.0823295,63159,120.0
1704631233.8248997,64330,0.0
1704631245.5118556,65567,80.0
1704631287.6399426,70125,20.0
1704631318.6140537,73428,0.0
1704631325.0362194,74101,0.0
1704631328.2137735,74453,40.0
1704631357.2305472,77560,20.0
1704631367.5912452,78683,40.0
1704631428.7451558,84350,140.0
1704631491.5601766,91030,0.0
1704631499.8312654,91948,20.0
1704631500.4552798,92009,0.0
1704631514.9898715,93572,40.0
1704631541.0511587,96342,40.0
1704631662.6061888,108279,40.0
1704631675.958606,109677,40.0
1704631711.3074281,113364,0.0
1704631801.7198372,121743,60.0
1704631818.164174,123483,80.0
1704631846.5497851,126436,20.0
1704631923.9183006,134680,120.0
1704632010.4362137,142775,0.0
1704632033.4961255,145220,140.0
1704632044.6335733,146373,0.0
1704632056.5165546,147597,40.0
1704632079.9855433,150102,0.0
1704632105.423557,152832,40.0
1704632157.4756062,158476,0.0
1704632188.3532698,160590,0.0
1704632194.7503364,161268,0.0
1704632222.3053386,164183,60.0
1704632237.1789732,165749,0.0
1704632255.9227405,167781,60.0
1704632257.9568462,167997,20.0
1704632266.482664,168899,0.0
1704632312.3870354,173711,0.0
1704632361.4537487,178935,20.0
1704632363.598474,179164,0.0
1704632371.3875768,179993,60.0
1704632397.228426,181415,40.0
1704632402.1043644,181937,40.0
1704632494.744264,191700,20.0
1704632528.1188984,195217,20.0
1704632572.5805547,199952,0.0
1704632649.5865521,207063,0.0
1704632716.4496853,214145,0.0
1704632717.3683527,214251,40.0
1704632785.8960152,220475,0.0
1704632810.5662198,223117,40.0
1704632813.4439986,223430,0.0
1704632869.171751,229217,80.0
1704632873.8299072,229711,40.0
1704632896.898607,232097,0.0
1704632924.0777626,235027,40.0
1704632941.0638757,236798,40.0
1704633005.5209515,242640,0.0
1704633018.515012,243950,140.0
1704633069.257246,249267,80.0
1704633090.5389607,251492,20.0
1704633124.2360232,255109,100.0
1704633126.3970296,255349,20.0
1704633138.1446717,256592,100.0
1704633267.9731393,269094,60.0
1704633386.3539271,280358,0.0
1704633411.093759,282897,100.0
1704633482.5054111,290369,60.0
1704633485.8759916,290721,40.0
1704633495.8783374,291827,100.0
1704633552.2715704,297936,100.0
1704633598.6209393,301784,60.0
1704633603.680389,302308,180.0
1704633631.3439336,305179,20.0
1704633808.481729,322981,0.0
1704633831.6631317,325393,200.0
1704633845.8783424,326883,80.0
1704633869.6108305,329343,80.0
1704634073.9799058,349823,60.0
1704634126.979558,355477,20.0
1704634290.3572595,371827,80.0
1704634349.2591538,377950,0.0
1704634426.9386053,385199,60.0
1704634499.771942,392888,60.0
1704634509.9521568,393962,0.0
1704634532.4761467,396320,20.0
1704634545.6070447,397700,60.0
1704634550.2341917,398203,20.0
1704634595.7659981,401983,180.0
1704634629.3890727,405476,20.0
1704634657.390493,408442,60.0
1704634683.2162683,411240,100.0
1704634765.5108657,419824,40.0
1704634766.946805,419971,40.0
1704634811.4692771,423471,0.0
1704634861.4850194,428681,60.0
1704634881.0568097,430810,40.0
1704634898.2893739,432607,0.0
1704634965.65359,439834,140.0
1704634992.0143545,441613,40.0
1704635015.2783563,444036,40.0
1704635028.7697406,445436,20.0
1704635052.1194088,447882,40.0
1704635063.3541267,449080,80.0
1704635080.7404008,450905,20.0
1704635081.3578477,450971,0.0
1704635082.832376,451121,20.0
1704635102.4635358,453166,40.0
1704635125.689109,455635,0.0
1704635156.562406,458883,40.0
1704635188.8484251,461314,0.0
1704635209.2220206,463496,0.0
1704635235.6692176,466283,0.0
1704635363.9351988,479895,0.0
1704635386.888232,481442,0.0
1704635400.0100904,482789,0.0
1704635478.022624,490943,0.0
1704635550.2253006,498436,40.0
1704635550.7827837,498498,0.0
1704635587.045362,501179,20.0
1704635588.2673132,501298,20.0
1704635613.4612064,503930,20.0
1704635646.7661228,507413,80.0
1704635693.3283868,512184,20.0
1704635724.6296873,515431,0.0
1704635731.8040018,516185,0.0
1704635759.9063172,519142,0.0
1704635763.9484265,519554,0.0
1704635806.8099084,522608,0.0
1704635838.9173372,525978,40.0
1704635841.7894726,526302,40.0
1704635898.9977183,532253,40.0
1704635968.1889997,539571,40.0
1704636045.1733563,546853,0.0
1704636119.8589828,554618,60.0
1704636145.6759899,557290,0.0
1704636153.6858704,558132,0.0
1704636160.366834,558877,40.0
1704636199.2614985,562135,0.0
1704636239.0188699,566336,0.0
1704636242.174928,566672,20.0
1704636285.684285,571200,60.0
1704636304.6105,573179,40.0
1704636357.3030338,578668,20.0
1704636360.7058022,579031,0.0
1704636367.2514522,579734,20.0
1704636386.000512,580634,0.0
1704636393.1568844,581380,100.0
1704636424.4743943,584678,100.0
1704636462.2207246,588706,40.0
1704636544.2472448,597301,20.0
1704636595.262466,601785,60.0
1704636705.6015918,613238,120.0
1704636707.991799,613490,40.0
1704636822.8756795,624385,20.0
1704636837.8454719,625996,0.0
1704636846.2056184,626871,0.0
1704636862.269073,628494,120.0
1704636886.5970995,630956,20.0
1704636889.9760883,631305,40.0
1704636964.5680115,639059,40.0
1704637035.1958752,645400,20.0
1704637036.814142,645576,20.0
1704637058.8182638,647841,60.0
1704637084.5753713,650525,40.0
1704637098.412379,651963,140.0
1704637109.094135,653096,60.0
1704637171.675039,659660,40.0
1704637230.147053,664652,0.0
1704637239.6184304,665653,40.0
1704637248.2525346,666535,40.0
1704637251.7494292,666903,0.0
1704637288.4613392,670643,20.0
1704637359.3636336,677952,40.0
1704637398.9261289,681087,80.0
1704637471.350234,688596,120.0
1704637541.3744328,695790,120.0
1704637666.043042,707700,40.0
1704637689.9507816,710147,0.0
1704637928.784038,733666,20.0
1704637944.6265438,735281,40.0
1704638107.159857,750853,140.0
1704638114.5723693,751611,0.0
1704638162.8856037,756482,40.0
1704638286.0762906,767651,0.0
1704638374.4325755,776704,0.0
1704638480.3251252,786297,40.0
1704638483.887043,786673,80.0
1704638500.836966,788426,0.0
1704638518.4489524,790215,20.0
1704638567.0868514,795207,20.0
1704638675.5305865,805256,0.0
1704638790.8416195,817064,0.0
1704638793.9174802,817399,60.0
1704638799.6795077,818024,60.0
1704638803.9655683,818476,120.0
1704638835.7631943,820795,100.0
1704638916.3197956,829169,80.0
1704638972.7299154,834911,0.0
1704639008.7797225,838631,20.0
1704639064.46684,843152,100.0
1704639121.7267916,848937,0.0
1704639140.0699785,850806,20.0
1704639308.908333,867187,20.0
1704639339.4490778,870323,120.0
1704639363.176518,872708,20.0
1704639372.4059322,873633,160.0
1704639483.143708,883797,60.0
1704639493.1690495,884820,80.0
1704639514.8540902,887020,40.0
1704639523.5907688,887919,0.0
1704639525.5028307,888110,100.0
1704639600.465267,895734,120.0
1704639620.4542813,897815,120.0
1704639689.9859302,903529,20.0
1704639721.9175224,906772,40.0
1704639755.909493,910230,100.0
1704639774.929681,912161,20.0
1704639784.159322,913114,20.0
1704639845.8369868,919534,60.0
1704639905.092202,924556,80.0
1704639912.9834301,925349,40.0
1704639984.8485432,932793,20.0
1704640007.9359534,935178,40.0
1704640093.7723434,942845,40.0
1704640192.4745054,952960,60.0
1704640212.9888656,955032,60.0
1704640224.61457,956221,20.0
1704640367.013762,969208,40.0
1704640396.0477438,972190,180.0
1704640762.8548243,1007532,40.0
1704640905.627917,1020703,0.0
1704640966.0596943,1026832,20.0
1704641016.414609,1031897,140.0
1704641122.7375298,1042196,40.0
1704641199.9364438,1050003,40.0
1704641223.009887,1052386,80.0
1704641386.6005116,1067815,60.0
1704641402.9067025,1069481,20.0
1704641458.6568625,1075191,20.0
1704641488.128243,1078200,20.0
1704641516.980149,1080180,60.0
1704641608.165792,1089369,80.0
1704641758.0588326,1103383,100.0
1704641762.1481316,1103793,80.0
1704641806.9485397,1108302,40.0
1704641821.0901845,1109719,80.0
1704641825.3948977,1110157,120.0
1704641828.26602,1110459,20.0
1704642015.6174183,1128300,40.0
1704642056.5768504,1132487,40.0
1704642123.2111478,1139366,20.0
1704642175.6109295,1143229,120.0
1704642238.6371336,1149656,160.0
1704642242.8486638,1150107,160.0
1704642304.4755163,1156308,180.0
1704642307.3661478,1156595,60.0
1704642321.635433,1158106,200.0
1704642330.8721821,1159120,180.0
1704642623.4096336,1185814,40.0
1704642752.6227083,1199016,60.0
1704642758.4444366,1199641,80.0
1704642807.7940197,1203543,20.0
1704642819.0729914,1204656,100.0
1704642846.4698708,1207435,40.0
1704642862.108159,1209065,60.0
1704642889.186589,1211793,20.0
1704642896.6824617,1212530,60.0
1704642916.6371017,1214497,100.0
1704642958.886708,1218797,60.0
1704643110.3647845,1232976,40.0
1704643233.1609075,1244236,160.0
1704643259.180354,1246892,100.0
1704643314.1299832,1252503,120.0
1704643449.246489,1265160,220.0
1704643568.2628632,1277192,160.0
1704643613.5144758,1280107,40.0
1704643628.9991791,1281697,20.0
1704643674.3149009,1286166,100.0
1704643801.6903887,1299175,220.0
1704643807.8036847,1299796,20.0
1704643863.9290454,1303866,0.0
1704643980.061105,1315606,60.0
1704644039.274444,1320220,60.0
1704644056.6852381,1321978,140.0
1704644059.9165113,1322313,20.0
1704644199.4714491,1336421,60.0
1704644396.262724,1354984,20.0
1704644402.1579654,1355575,20.0
1704644424.1301467,1357841,60.0
1704644565.6936436,1370351,140.0
1704644605.0659313,1374305,120.0
1704644708.3326674,1383006,20.0
1704644845.0008652,1396633,0.0
1704644918.9226215,1402613,140.0
1704645029.6561527,1413786,160.0
1704645143.937719,1424032,180.0
1704645208.8810441,1430573,100.0
1704645251.27184,1434815,300.0
1704645461.208608,1453707,80.0
1704645497.4899328,1457310,240.0
1704645500.5101135,1457606,80.0
1704645614.7585843,1467546,220.0
1704645628.3728616,1468888,40.0
1704645633.9521682,1469450,120.0
1704645678.9741333,1473958,160.0
1704645776.3519833,1481622,60.0
1704645822.7617025,1486214,80.0
1704645852.8407848,1489164,240.0
1704645869.5099134,1490833,60.0
1704645899.5811732,1493891,40.0
1704645918.863019,1495815,300.0
1704645925.0645928,1496435,100.0
1704646059.3110645,1508591,160.0
1704646093.3554294,1512068,100.0
1704646103.7058206,1513103,120.0
1704646228.9385302,1523863,40.0
1704646247.5841956,1525729,100.0
1704646301.3707082,1531042,40.0
1704646537.0302098,1553257,20.0
1704646542.9931426,1553847,20.0
1704646618.8155136,1560202,60.0
1704646725.3274868,1570883,40.0
1704646726.0638084,1570954,0.0
1704646806.8828547,1579088,40.0
1704646860.2201385,1583456,180.0
1704646893.4835005,1586793,80.0
1704646907.7195215,1588216,40.0
1704646913.3368778,1588763,200.0
1704646932.5215518,1590723,200.0
1704647051.8722427,1601115,40.0
1704647068.2141824,1602773,40.0
1704647169.795674,1612795,200.0
1704647425.0134058,1636508,40.0
1704647669.7560973,1658872,40.0
1704647792.5694623,1668542,20.0
1704647972.691047,1685007,60.0
1704648036.3101492,1691428,20.0
1704648105.959757,1698543,200.0
1704648113.0343711,1699237,360.0
1704648232.1800675,1708869,480.0
1704648323.9312084,1718218,260.0
1704648404.3956172,1723720,220.0
1704648508.992489,1734170,260.0
1704648616.891288,1742991,160.0
1704648660.401422,1747378,120.0
1704648673.7736738,1748728,60.0
1704648884.9801357,1768375,120.0
1704648928.1772618,1772742,240.0
1704648969.7058825,1776888,260.0
1704649052.6403744,1783294,180.0
1704649088.9761329,1786978,120.0
1704649105.012585,1788589,0.0
1704649359.2922754,1812853,40.0
1704649498.5672376,1824457,400.0
1704649609.5656023,1835567,40.0
1704649632.2653556,1837875,40.0
1704649694.9750922,1841675,240.0
1704649935.3987162,1863533,40.0
1704649968.754907,1866836,280.0
1704650089.8819804,1878906,220.0
1704650126.3987803,1880427,120.0
1704650270.1952188,1894554,720.0
1704650300.2572682,1897619,620.0
1704650391.2895563,1904619,160.0
1704650409.0995722,1906428,240.0
1704650527.8731399,1918372,60.0
1704650541.2176816,1919710,440.0
1704650672.9036212,1930482,500.0
1704650679.848723,1931170,320.0
1704650881.6497002,1949753,100.0
1704650923.9765224,1953949,320.0
1704651072.9304743,1967402,180.0
1704651091.6691883,1969250,80.0
1704651126.689103,1972669,200.0
1704651169.0421395,1976900,380.0
1704651300.2011883,1987877,20.0
1704651318.5055983,1989699,260.0
1704651582.3110561,2013823,280.0
1704651687.3848317,2022446,120.0
1704651801.402399,2033610,80.0
1704651921.0021226,2044057,20.0
1704652214.684211,2071359,440.0
1704652240.2311256,2073840,760.0
1704652373.0333848,2084758,20.0
1704652666.7246315,2111400,300.0
1704652728.312433,2117551,480.0
1704652873.2295651,2127847,120.0
1704653076.7334332,2143139,140.0
1704653146.7776737,2148895,140.0
1704653162.596618,2150217,300.0
1704653204.7443895,2153800,220.0
1704653302.8607037,2160270,160.0
1704653410.8577554,2169086,100.0
1704653490.9420981,2175636,300.0
1704653598.6586416,2182774,620.0
1704653619.2700078,2184384,160.0
1704653684.7526078,2189721,240.0
1704654177.3958855,2226107,1240.0
1704654389.0157878,2242473,280.0
1704654685.5978324,2264978,180.0
1704654716.0310218,2267420,20.0
1704654758.124549,2271093,360.0
1704654818.8789232,2276083,380.0
1704655005.650119,2289470,200.0
1704655071.2566934,2294879,60.0
1704655489.10399,2326042,360.0
1704655491.8667865,2326290,100.0
1704655603.7798092,2335731,300.0
1704655709.3286614,2342662,720.0
1704655751.5285964,2346158,280.0
1704656050.7667246,2368970,280.0
1704656057.2603266,2369481,340.0
1704656173.4878688,2379123,80.0
1704656415.1142766,2396591,380.0
1704656508.604764,2402083,640.0
1704656584.6070433,2408202,340.0
1704656663.4206688,2414663,20.0
1704656789.6247642,2422910,360.0
1704656960.608411,2436816,340.0
1704657050.47537,2442553,180.0
1704657146.1787238,2450380,380.0
1704657357.6377172,2465552,40.0
1704657363.9628527,2466107,360.0
1704657367.806633,2466424,160.0
1704657439.2665389,2472309,260.0
1704657509.344477,2478094,420.0
1704657582.0252383,2482041,1100.0
1704657623.9856665,2485505,40.0
1704657656.8644001,2488252,60.0
1704658099.5895734,2521003,500.0
1704658266.648963,2534664,360.0
1704658463.0807493,2548877,40.0
1704658573.173267,2557886,140.0
1704658957.9458833,2585126,520.0
1704659047.5581725,2592315,80.0
1704659099.2127802,2596658,780.0
1704659454.9420016,2621628,100.0
1704659538.5950813,2628425,300.0
1704659940.665612,2659355,300.0
1704659992.8422322,2661553,600.0
1704659999.91247,2662099,300.0
1704660309.5136118,2685116,240.0
1704660637.3419802,2710021,560.0
1704660675.166313,2713039,80.0
1704660677.554816,2713271,160.0
1704660722.0899138,2716856,540.0
1704661025.8449986,2739271,340.0
1704661147.824487,2746695,60.0
1704661442.9774241,2768920,380.0
1704661519.1240773,2775099,260.0
1704661690.3384466,2786843,420.0
1704661814.4311206,2797041,1400.0
1704661965.4778545,2807094,320.0
1704662038.7581854,2813150,180.0
1704662042.8135858,2813515,260.0
1704662512.3786097,2846846,460.0
1704662574.7276506,2851947,60.0
1704662626.503046,2856316,120.0
1704662652.288647,2858440,520.0
1704662785.3107014,2867304,500.0
1704662834.2476864,2871294,600.0
1704662989.400031,2881648,540.0
1704663395.3191478,2917009,840.0
1704663776.3316095,2945894,1140.0
1704664499.6362286,2988907,140.0
1704664839.245254,3016631,600.0
1704664840.7824502,3016764,60.0
1704664867.555377,3019083,220.0
1704664937.3714151,3022930,180.0
1704665055.2915149,3033257,520.0
1704665333.7942355,3055444,500.0
1704665523.3753881,3069762,220.0
1704665556.2876036,3072641,160.0
1704665563.0891526,3073234,440.0
1704665807.479385,3092447,620.0
1704665886.382736,3099395,480.0
1704666182.349902,3120472,480.0
1704666205.4161768,3122447,40.0
1704666253.026891,3126615,1100.0
1704666320.292668,3130960,860.0
1704666324.058367,3131080,100.0
1704667262.7766674,3189412,360.0
1704667264.7106,3189564,60.0
1704667751.7519855,3227150,420.0
1704667814.0679505,3232704,20.0
1704667847.7824495,3235636,420.0
1704668063.2209272,3252169,300.0
1704668094.9016757,3254901,400.0
1704668198.5899763,3261580,460.0
1704668208.0502295,3262371,160.0
1704668626.5379255,3296920,380.0
1704669003.464937,3320039,0.0
1704669074.5368426,3323521,480.0
1704669421.7635486,3340701,460.0
1704670020.4820516,3388545,1000.0
1704670276.7940323,3408800,560.0
1704670399.1311843,3419612,140.0
1704670480.282324,3424635,180.0
1704670613.3039987,3436279,320.0
1704670830.354172,3453339,100.0
1704670850.5922701,3455143,880.0
1704670870.1384506,3456903,20.0
1704671036.8330715,3468928,80.0
1704671054.0454695,3470521,440.0
1704671077.6599865,3472676,0.0
1704671221.0749185,3482700,1020.0
1704671272.4177167,3487163,420.0
1704671319.1718524,3491244,1000.0
1704671699.8570483,3512711,320.0
1704672033.6571455,3531257,340.0
1704672181.0337467,3541311,560.0
1704672546.1884067,3570901,60.0
1704672836.3055515,3594153,0.0
1704672890.9551423,3598790,860.0
1704673326.734307,3631934,480.0
1704673638.2379193,3656897,1140.0
1704673645.0590599,3657488,60.0
1704673876.6522589,3675457,480.0
1704674113.794888,3689995,460.0
1704674557.0748293,3711837,700.0
1704674784.7936106,3729226,720.0
1704674805.1995883,3731004,1600.0
1704674880.0490487,3737445,480.0
1704675190.408719,3760204,80.0
1704675287.4774337,3768691,1360.0
1704675507.2038937,3785542,1160.0
1704675537.7299156,3788223,620.0
1704675545.6583912,3788907,100.0
1704675725.262288,3802169,680.0
1704675730.4439406,3802619,720.0
1704675818.2846332,3810261,1160.0
1704675908.4393766,3818123,640.0
1704676090.5439165,3831627,60.0
1704676107.8430037,3833118,80.0
1704676115.2870858,3833773,400.0
1704676583.7299294,3871062,480.0
1704677082.1556625,3896416,400.0
1704677469.7299254,3922785,460.0
1704677502.4045436,3925500,580.0
1704677896.4942966,3957055,120.0
1704678412.4641616,3997170,80.0
1704678503.0474987,4002430,300.0
1704679040.8146656,4043926,980.0
1704679444.7078178,4067544,500.0
1704679494.8565993,4069935,980.0
1704679682.1691754,4079327,820.0
1704679858.82865,4091854,540.0
1704680064.624924,4107467,540.0
1704680088.7928596,4109473,540.0
1704680238.5247655,4120397,500.0
1704680326.544577,4128026,540.0
1704680415.7463276,4135587,1160.0
1704680518.9244926,4142193,620.0
1704680528.8399386,4143039,940.0
1704680584.9907677,4147892,500.0
1704680847.5638971,4168600,540.0
1704680876.0769901,4171038,820.0
1704681571.013497,4224450,60.0
1704681723.4682608,4237434,700.0
1704681950.5774505,4248300,500.0
1704682224.7757328,4260435,280.0
1704682318.167087,4266976,620.0
1704682630.9168572,4291571,500.0
1704682965.8051534,4317911,100.0
1704683249.1152155,4339627,240.0
1704683491.6606262,4358006,240.0
1704683761.080532,4378882,280.0
1704684271.7075894,4418250,880.0
1704684376.884189,4423081,840.0
1704684386.7050757,4423475,460.0
