Wall time,Step,Value
1704630484.9983695,3615,180.0
1704630486.9065533,4523,180.0
1704630827.7800329,7993,240.0
1704630834.5665433,11042,180.0
1704631018.7225895,12049,260.0
1704631025.3611107,14649,260.0
1704631028.1842177,15793,360.0
1704631211.17685,16745,300.0
1704631217.2141778,19369,300.0
1704631219.794598,20545,420.0
1704631407.9364176,23141,300.0
1704631410.321137,24238,300.0
1704631794.1629605,33356,220.0
1704631981.07758,34660,200.0
1704632181.6472604,41219,280.0
1704632183.7435932,42158,260.0
1704632186.8153703,43508,480.0
1704632379.427636,45290,300.0
1704632386.0769756,48060,460.0
1704632583.44322,51286,320.0
1704632778.857219,53762,260.0
1704632780.708904,54540,220.0
1704632782.5928643,55309,240.0
1704632785.4876854,56533,420.0
1704632976.8160777,57765,100.0
1704632978.0387166,58344,180.0
1704632979.1840293,58910,140.0
1704632980.534027,59521,160.0
1704633172.1121802,60877,200.0
1704633173.2771466,61429,180.0
1704633374.4419718,67368,340.0
1704633378.622948,69301,420.0
1704633567.9606636,69835,140.0
1704633571.0493045,71254,220.0
1704633760.714886,73194,120.0
1704633768.0564349,76390,200.0
1704634160.847069,84436,380.0
1704634350.0955245,85205,240.0
1704634355.652913,87684,260.0
1704634549.757361,90649,380.0
1704634552.0376916,91688,320.0
1704634556.9258614,93896,260.0
1704634947.8605187,101901,120.0
1704635146.2740314,106165,160.0
1704635345.3606045,110675,480.0
1704635349.072337,112348,500.0
1704635355.7813084,115343,560.0
1704635548.9846036,117831,60.0
1704635550.5236344,118400,100.0
1704635749.867745,122738,280.0
1704635752.71334,123992,380.0
1704635960.266877,131163,200.0
1704636151.0060878,132643,280.0
1704636154.232459,134107,480.0
1704636354.4380608,137753,420.0
1704636563.7220259,145694,300.0
1704636759.855196,148693,220.0
1704636763.3920183,150127,200.0
1704636767.1959364,151815,200.0
1704637160.1267023,157684,420.0
1704637162.337774,158635,280.0
1704637164.8412747,159648,340.0
1704637361.1591856,162774,220.0
1704637362.8895578,163545,160.0
1704637364.6087246,164293,200.0
1704637563.5860865,167834,200.0
1704637569.6532817,170411,140.0
1704637764.0800023,171188,280.0
1704637767.2206402,172602,520.0
1704637967.7603042,177126,200.0
1704637969.144975,177754,200.0
1704637971.3598773,178733,360.0
1704638174.9010782,184376,360.0
1704638375.5601287,188171,580.0
1704638378.1242151,189347,320.0
1704638380.061692,190183,240.0
1704638576.5433576,191716,560.0
1704638582.9914718,194237,540.0
1704638588.9911435,196746,580.0
1704638786.1984758,198677,300.0
1704638792.5080585,201397,360.0
1704638993.7247033,204584,580.0
1704638995.862352,205548,320.0
1704639003.0105722,208634,260.0
1704639198.5857182,210055,520.0
1704639200.1121213,210736,240.0
1704639203.1497958,212003,420.0
1704639209.9193776,214869,400.0
1704639415.0828736,220566,380.0
1704639827.6165395,231535,360.0
1704640025.1482399,232943,160.0
1704640032.3141563,235730,140.0
1704640227.2267115,236331,140.0
1704640228.9197123,237080,280.0
1704640447.6623106,247971,640.0
1704640658.0158646,254957,440.0
1704640662.1923945,256821,560.0
1704640857.629322,258024,280.0
1704640862.9432127,260229,440.0
1704641274.2767742,269343,540.0
1704641277.1016393,270611,460.0
1704641287.544378,275037,420.0
1704641487.1545012,276949,380.0
1704641491.5966535,278665,220.0
1704641688.6886358,280181,160.0
1704641693.486748,282345,380.0
1704641695.9183986,283453,300.0
1704641894.667392,285773,320.0
1704641898.8363326,287660,300.0
1704641901.093876,288693,260.0
1704642102.467042,291566,500.0
1704642316.2984498,298211,680.0
1704642321.5344734,300406,860.0
1704642326.1987126,302019,660.0
1704642329.5859804,303594,420.0
1704642755.9025414,317624,1060.0
1704642762.8461506,320758,380.0
1704642766.100967,322299,620.0
1704642973.3785136,326534,420.0
1704643184.0386178,332633,780.0
1704643189.78279,335269,380.0
1704643191.9035532,336174,320.0
1704643398.2926261,339749,480.0
1704643407.3912578,343489,420.0
1704643622.716079,351029,560.0
1704643822.2921882,353239,460.0
1704643824.5499613,354309,380.0
1704644035.959748,361371,780.0
1704644039.462033,362951,600.0
1704644241.8168395,365834,540.0
1704644249.9756634,369541,460.0
1704644455.413362,372841,620.0
1704644458.9830735,374470,600.0
1704644667.7588995,380946,640.0
1704644673.7831502,383773,600.0
1704644680.8775342,387078,580.0
1704644892.132299,393705,320.0
1704645104.1898112,400193,520.0
1704645107.437743,401525,400.0
1704645111.264678,403076,520.0
1704645308.984953,403915,220.0
1704645311.3095386,404988,420.0
1704645314.1981063,406333,420.0
1704645533.7199728,415696,280.0
1704645743.3421335,421102,520.0
1704645746.8021677,422731,600.0
1704646165.0203364,433861,780.0
1704646375.6775084,440565,560.0
1704646378.6187305,441900,480.0
1704646382.2082756,443446,680.0
1704646384.836745,444574,340.0
1704646388.1009624,446049,520.0
1704646596.8218923,450839,460.0
1704646808.4917703,455749,100.0
1704646814.3477678,458235,380.0
1704647026.57165,463770,420.0
1704647029.9954805,465343,440.0
1704647241.8383315,471588,560.0
1704647245.951378,473468,600.0
1704647449.2891078,475296,1120.0
1704647463.247767,481130,980.0
1704647671.0163484,485538,380.0
1704647672.9530215,486405,200.0
1704647876.8151631,489490,500.0
1704647879.010128,490489,360.0
