Wall time,Step,Value
1704630484.998411,3615,20000.0
1704630486.9065902,4523,20000.0
1704630827.7800753,7993,60000.0
1704630834.5665839,11042,60000.0
1704631018.7226448,12049,80000.0
1704631025.361152,14649,80000.0
1704631028.184266,15793,80000.0
1704631211.176901,16745,100000.0
1704631217.2142305,19369,100000.0
1704631219.7946424,20545,100000.0
1704631407.9364583,23141,120000.0
1704631410.3211977,24238,120000.0
1704631794.162997,33356,160000.0
1704631981.0776289,34660,180000.0
1704632181.647296,41219,200000.0
1704632183.7436361,42158,200000.0
1704632186.815429,43508,200000.0
1704632379.4276807,45290,220000.0
1704632386.0770373,48060,220000.0
1704632583.4432578,51286,240000.0
1704632778.8572745,53762,260000.0
1704632780.7089415,54540,260000.0
1704632782.592933,55309,260000.0
1704632785.487745,56533,260000.0
1704632976.8161147,57765,280000.0
1704632978.038753,58344,280000.0
1704632979.1840649,58910,280000.0
1704632980.5340745,59521,280000.0
1704633172.1122222,60877,300000.0
1704633173.277183,61429,300000.0
1704633374.442009,67368,320000.0
1704633378.6229842,69301,320000.0
1704633567.960706,69835,340000.0
1704633571.0493393,71254,340000.0
1704633760.7149258,73194,360000.0
1704633768.0564933,76390,360000.0
1704634160.8471074,84436,400000.0
1704634350.095578,85205,420000.0
1704634355.6529493,87684,420000.0
1704634549.7573977,90649,440000.0
1704634552.0377352,91688,440000.0
1704634556.9258997,93896,440000.0
1704634947.8605688,101901,480000.0
1704635146.2740712,106165,500000.0
1704635345.3606489,110675,520000.0
1704635349.0723834,112348,520000.0
1704635355.7813475,115343,520000.0
1704635548.9846935,117831,540000.0
1704635550.5236723,118400,540000.0
1704635749.867794,122738,560000.0
1704635752.713378,123992,560000.0
1704635960.266944,131163,580000.0
1704636151.0061252,132643,600000.0
1704636154.2325077,134107,600000.0
1704636354.438102,137753,620000.0
1704636563.7220721,145694,640000.0
1704636759.855241,148693,660000.0
1704636763.3920732,150127,660000.0
1704636767.1959777,151815,660000.0
1704637160.1267595,157684,700000.0
1704637162.337827,158635,700000.0
1704637164.841317,159648,700000.0
1704637361.1592236,162774,720000.0
1704637362.8895986,163545,720000.0
1704637364.6087694,164293,720000.0
1704637563.5861351,167834,740000.0
1704637569.6533191,170411,740000.0
1704637764.0800614,171188,760000.0
1704637767.220684,172602,760000.0
1704637967.7603476,177126,780000.0
1704637969.1450121,177754,780000.0
1704637971.3599186,178733,780000.0
1704638174.901127,184376,800000.0
1704638375.560166,188171,820000.0
1704638378.1242573,189347,820000.0
1704638380.0617373,190183,820000.0
1704638576.543409,191716,840000.0
1704638582.9915175,194237,840000.0
1704638588.991194,196746,840000.0
1704638786.1985254,198677,860000.0
1704638792.5081174,201397,860000.0
1704638993.7247674,204584,880000.0
1704638995.8624008,205548,880000.0
1704639003.0106244,208634,880000.0
1704639198.5857644,210055,900000.0
1704639200.1121726,210736,900000.0
1704639203.1498659,212003,900000.0
1704639209.9194288,214869,900000.0
1704639415.0829117,220566,920000.0
1704639827.6165855,231535,960000.0
1704640025.1483042,232943,980000.0
1704640032.3142073,235730,980000.0
1704640227.2267547,236331,1000000.0
1704640228.9197745,237080,1000000.0
1704640447.6623569,247971,1020000.0
1704640658.015922,254957,1040000.0
1704640662.1924436,256821,1040000.0
1704640857.6293702,258024,1060000.0
1704640862.9432654,260229,1060000.0
1704641274.2768204,269343,1100000.0
1704641277.1016953,270611,1100000.0
1704641287.5444212,275037,1100000.0
1704641487.1545658,276949,1120000.0
1704641491.5967658,278665,1120000.0
1704641688.6886785,280181,1140000.0
1704641693.4867985,282345,1140000.0
1704641695.9184465,283453,1140000.0
1704641894.6674378,285773,1160000.0
1704641898.8363845,287660,1160000.0
1704641901.0939376,288693,1160000.0
1704642102.4670944,291566,1180000.0
1704642316.298512,298211,1200000.0
1704642321.5345235,300406,1200000.0
1704642326.198757,302019,1200000.0
1704642329.5860193,303594,1200000.0
1704642755.9025872,317624,1240000.0
1704642762.8461993,320758,1240000.0
1704642766.1010077,322299,1240000.0
1704642973.3785632,326534,1260000.0
1704643184.0386584,332633,1280000.0
1704643189.7828321,335269,1280000.0
1704643191.9036033,336174,1280000.0
1704643398.2926705,339749,1300000.0
1704643407.3913176,343489,1300000.0
1704643622.7161186,351029,1320000.0
1704643822.2922275,353239,1340000.0
1704643824.5499988,354309,1340000.0
1704644035.959795,361371,1360000.0
1704644039.4620688,362951,1360000.0
1704644241.8169,365834,1380000.0
1704644249.9757435,369541,1380000.0
1704644455.4134097,372841,1400000.0
1704644458.983117,374470,1400000.0
1704644667.7589371,380946,1420000.0
1704644673.7831888,383773,1420000.0
1704644680.877569,387078,1420000.0
1704644892.1323366,393705,1440000.0
1704645104.1898496,400193,1460000.0
1704645107.437788,401525,1460000.0
1704645111.26472,403076,1460000.0
1704645308.984999,403915,1480000.0
1704645311.309581,404988,1480000.0
1704645314.1981485,406333,1480000.0
1704645533.7200158,415696,1500000.0
1704645743.342179,421102,1520000.0
1704645746.8022127,422731,1520000.0
1704646165.0203762,433861,1560000.0
1704646375.6775458,440565,1580000.0
1704646378.618786,441900,1580000.0
1704646382.2083144,443446,1580000.0
1704646384.8367934,444574,1580000.0
1704646388.1009984,446049,1580000.0
1704646596.821954,450839,1600000.0
1704646808.491846,455749,1620000.0
1704646814.3478272,458235,1620000.0
1704647026.5716944,463770,1640000.0
1704647029.9955306,465343,1640000.0
1704647241.838392,471588,1660000.0
1704647245.9514184,473468,1660000.0
1704647449.289167,475296,1680000.0
1704647463.2478116,481130,1680000.0
