Wall time,Step,Value
1704630384.4942183,1988,20.0
1704630390.5500386,6398,20.0
1704630393.4868991,8440,60.0
1704630393.7403932,8552,20.0
1704630414.4402816,12082,20.0
1704630427.8000648,13733,120.0
1704630430.636752,14101,0.0
1704630457.1135232,17451,60.0
1704630512.5872192,23144,0.0
1704630524.128048,24531,60.0
1704630543.5003715,26921,0.0
1704630555.5158584,28395,0.0
1704630595.8182352,33373,0.0
1704630610.5836856,35244,0.0
1704630638.1219387,38738,0.0
1704630645.111978,39633,120.0
1704630685.1614578,43838,20.0
1704630732.127202,49391,0.0
1704630763.312199,52898,0.0
1704630786.5473173,55445,0.0
1704630806.4918392,57675,20.0
1704630835.1631017,60068,0.0
1704630870.8782704,64045,80.0
1704630881.191603,65199,0.0
1704630886.4530017,65796,0.0
1704630932.9727025,70835,60.0
1704630962.3585405,74059,0.0
1704630973.217512,75242,40.0
1704630975.0295467,75440,0.0
1704630999.3431275,78164,40.0
1704631005.8230236,78889,0.0
1704631059.5178344,83461,0.0
1704631104.8188868,88389,0.0
1704631110.9156845,89067,0.0
1704631111.6571918,89145,0.0
1704631132.9979575,91515,180.0
1704631156.5268328,94110,20.0
1704631228.4226372,100669,0.0
1704631289.9379778,107424,20.0
1704631303.9811623,108967,20.0
1704631354.0799582,114381,40.0
1704631436.8965173,122425,40.0
1704631447.1425443,123540,100.0
1704631473.153936,126385,0.0
1704631545.0474472,134285,20.0
1704631634.3989604,143113,20.0
1704631660.3070784,145936,60.0
1704631677.1684363,147728,80.0
1704631690.753823,149209,60.0
1704631716.14642,151960,80.0
1704631735.2627366,154038,40.0
1704631781.6056063,159285,40.0
1704631783.1266472,159460,0.0
1704631805.510478,161096,0.0
1704631818.6502898,162509,40.0
1704631839.8324728,164785,0.0
1704631852.5048876,166154,0.0
1704631868.544423,167872,20.0
1704631870.0766373,168036,0.0
1704631879.3620973,169060,0.0
1704631934.0661159,175051,0.0
1704631994.8061702,180465,40.0
1704631996.4052002,180645,0.0
1704631998.7809374,180898,40.0
1704632009.638995,182038,20.0
