Wall time,Step,Value
1704630473.550597,2577,60.0
1704630474.9080353,3227,100.0
1704630817.2530282,8381,240.0
1704630825.6397772,12124,360.0
1704631004.6959972,13074,240.0
1704631011.2406218,16014,440.0
1704631012.884229,16769,240.0
1704631192.2438118,17458,220.0
1704631195.7799678,19146,300.0
1704631197.6867638,19971,260.0
1704631383.9491348,22420,200.0
1704631385.7671928,23257,240.0
1704631774.243212,33983,280.0
1704631963.0554886,35741,120.0
1704632159.777292,41292,180.0
1704632162.549866,42458,400.0
1704632165.6169686,43582,300.0
1704632351.8690546,45268,180.0
1704632356.8662107,47515,240.0
1704632546.2206068,50564,420.0
1704632735.372275,53411,140.0
1704632736.8631055,54069,200.0
1704632739.0680218,55086,380.0
1704632741.9323988,56401,460.0
1704632927.9855382,57943,260.0
1704632929.2464871,58508,200.0
1704632930.4443693,59063,220.0
1704632932.5429897,60010,380.0
1704633118.8247912,61278,280.0
1704633121.8328276,62445,380.0
1704633316.7724805,67318,220.0
1704633320.110071,68820,180.0
1704633507.7872016,69920,360.0
1704633512.88068,72026,200.0
1704633703.7794397,75275,240.0
1704633712.1854181,78791,160.0
1704634100.3234286,87167,380.0
1704634285.2204983,87905,200.0
1704634289.424601,89823,120.0
1704634477.246361,91457,140.0
1704634478.4980567,92027,80.0
1704634482.5419955,93840,120.0
1704634864.9540489,99703,280.0
1704635058.1723068,102852,180.0
1704635252.218608,105820,180.0
1704635253.8987856,106586,220.0
1704635257.226702,108018,120.0
1704635448.0846996,109645,220.0
1704635449.4954014,110293,280.0
1704635646.101281,114660,240.0
1704635647.47403,115291,160.0
1704635845.2206066,120491,100.0
1704636035.1041715,122180,240.0
1704636036.7485762,122845,160.0
1704636229.054638,125112,280.0
1704636429.6748853,130290,120.0
1704636624.665079,133519,200.0
1704636629.758236,135629,220.0
1704636633.8805745,137525,120.0
1704637023.2701926,142515,160.0
1704637024.7662103,143147,120.0
1704637026.6572268,143987,200.0
1704637222.7442567,147402,380.0
1704637225.5900319,148624,320.0
1704637227.417142,149464,280.0
1704637424.140613,152886,240.0
1704637429.0898058,155222,200.0
1704637620.6457648,156080,120.0
1704637623.093173,157226,200.0
1704637820.725474,160465,240.0
1704637822.9653351,161495,300.0
1704637825.1322222,162498,280.0
1704638033.9531238,170159,380.0
1704638230.738074,173045,160.0
1704638233.330764,174146,160.0
1704638235.6576886,175120,260.0
1704638430.2758243,176517,460.0
1704638434.9201052,178539,260.0
1704638440.2157094,180777,260.0
1704638636.576403,183264,400.0
1704638641.320109,185143,400.0
1704638836.2627,186976,220.0
1704638838.8302913,187892,260.0
1704638848.5129313,191600,180.0
1704639043.4292424,192822,320.0
1704639046.2386909,193796,200.0
1704639048.8757746,194696,200.0
1704639053.7450778,196710,280.0
1704639256.0841548,201391,280.0
1704639667.0564153,212571,440.0
1704639863.0178506,214229,260.0
1704639872.4540677,218156,620.0
