Wall time,Step,Value
1705187002.847146,7178,40000.0
1705187005.0485773,7949,40000.0
1705187371.8117366,11481,60000.0
1705187374.625568,12405,60000.0
1705187384.1177735,15338,60000.0
1705187741.096696,16116,80000.0
1705187749.7563758,19184,80000.0
1705187751.8938797,19887,80000.0
1705188111.9642808,20577,100000.0
1705188120.7961345,23624,100000.0
1705189242.9888625,33772,160000.0
1705189613.820859,37256,180000.0
1705189618.0429122,38632,180000.0
1705189623.859178,40506,180000.0
1705189987.7784622,40988,200000.0
1705189990.9619431,41993,200000.0
1705189994.410773,43056,200000.0
1705190367.2975802,45161,220000.0
1705190368.9806988,45818,220000.0
1705190739.0136757,46295,240000.0
1705190740.5883996,46753,240000.0
1705190744.2175856,47907,240000.0
1705191120.8527057,51921,260000.0
1705191489.245511,53956,280000.0
1705191490.880136,54506,280000.0
1705191492.3600345,54989,280000.0
1705191494.0851548,55532,280000.0
1705191864.7520947,57222,300000.0
1705191866.0386305,57629,300000.0
1705191867.7986703,58158,300000.0
1705191870.8422906,59143,300000.0
1705192246.088391,62676,320000.0
1705192628.0204778,66726,340000.0
1705193007.206626,68790,360000.0
1705193008.369161,69209,360000.0
1705193386.5687504,72956,380000.0
1705194132.1437912,78766,420000.0
1705194506.5537517,80725,440000.0
1705194509.3512428,81749,440000.0
1705194893.73695,87251,460000.0
1705195272.4563491,89918,480000.0
1705195278.89894,92061,480000.0
1705196032.6140954,98062,520000.0
1705196033.829491,98581,520000.0
1705196040.9006085,100823,520000.0
1705196416.4685023,101733,540000.0
1705196810.3356385,108786,560000.0
1705196817.0271986,111151,560000.0
1705197187.937767,112550,580000.0
1705197190.7703207,113600,580000.0
1705197194.1496463,114713,580000.0
1705197960.0057108,121909,620000.0
1705198345.3286061,126054,640000.0
1705198349.9797268,127611,640000.0
1705198352.517053,128464,640000.0
1705198355.3451307,129321,640000.0
1705198735.3687048,131682,660000.0
1705199121.6074612,134218,680000.0
1705199125.5170608,135729,680000.0
1705199127.763569,136671,680000.0
1705199506.5467365,138963,700000.0
1705199889.0143597,143188,720000.0
1705199891.448943,144162,720000.0
1705200268.2539704,145528,740000.0
1705200275.0715554,148028,740000.0
1705200646.3025966,149762,760000.0
1705200647.8634305,150341,760000.0
1705200649.9835567,151191,760000.0
1705201027.073706,152720,780000.0
1705201030.2168968,153853,780000.0
1705201424.8022425,161120,800000.0
1705202191.630217,168179,840000.0
1705202194.1654375,169067,840000.0
1705202196.5515697,169888,840000.0
1705202582.1056244,174040,860000.0
1705203346.8589454,181395,900000.0
1705203349.448541,182237,900000.0
1705203727.7929623,184270,920000.0
1705203736.5358853,187253,920000.0
1705203746.6234002,190572,920000.0
1705204128.215315,193324,940000.0
1705204130.5461657,194101,940000.0
1705204134.1148112,195535,940000.0
1705204519.72121,199057,960000.0
1705205292.204394,208254,1000000.0
1705205297.425333,209804,1000000.0
1705206061.6760614,215506,1040000.0
1705206070.5243747,218302,1040000.0
1705206073.0444007,219145,1040000.0
1705206452.0211537,221410,1060000.0
1705206455.5720053,222653,1060000.0
1705206462.1489468,225198,1060000.0
1705206851.3564909,229730,1080000.0
1705206855.315477,231274,1080000.0
1705207230.0060496,233189,1100000.0
1705207236.365154,235207,1100000.0
1705207630.9750695,242059,1120000.0
1705208020.4924695,249162,1140000.0
1705208805.1542358,258770,1180000.0
1705208808.035824,259917,1180000.0
1705209204.212577,265456,1200000.0
1705209209.751433,267168,1200000.0
1705209597.0150483,271717,1220000.0
1705209601.5205748,273106,1220000.0
1705209604.9621885,274216,1220000.0
1705209992.037348,279438,1240000.0
1705209995.6861832,280680,1240000.0
1705210377.3912046,282837,1260000.0
1705210386.2325492,286004,1260000.0
1705210775.526389,289394,1280000.0
1705210777.5399196,290046,1280000.0
1705210779.4516847,290783,1280000.0
1705211154.1830833,291433,1300000.0
1705211159.8315198,293371,1300000.0
1705211547.7245374,297103,1320000.0
1705211552.1103241,298444,1320000.0
1705211558.2271621,300290,1320000.0
1705211944.5250473,303529,1340000.0
1705211953.50111,306170,1340000.0
1705212347.0705378,312586,1360000.0
1705212720.650946,314614,1380000.0
1705212731.6944146,318106,1380000.0
1705213118.3597102,319947,1400000.0
1705213123.0294693,321724,1400000.0
1705213126.3811471,322857,1400000.0
1705213524.9409926,329788,1420000.0
1705213530.2123659,331694,1420000.0
1705213924.5863035,338563,1440000.0
1705214303.0879614,341080,1460000.0
1705214312.5356438,344027,1460000.0
1705214699.1172993,348354,1480000.0
1705215093.6483755,355449,1500000.0
1705215105.264258,359115,1500000.0
1705215494.0522041,363801,1520000.0
1705215497.5756726,365002,1520000.0
1705215500.6806896,366047,1520000.0
1705215881.9679818,367540,1540000.0
1705216278.3738184,372831,1560000.0
1705216281.4659336,374050,1560000.0
1705216681.0398388,380385,1580000.0
1705216687.9157255,382683,1580000.0
1705216692.971124,384638,1580000.0
1705217493.9762542,398382,1620000.0
1705217889.4513967,404965,1640000.0
1705218678.7007244,415943,1680000.0
1705218682.2095904,417271,1680000.0
1705219079.6512713,420967,1700000.0
1705219081.7105842,421705,1700000.0
1705219088.8847017,424413,1700000.0
1705219481.989383,427380,1720000.0
1705219871.216134,432175,1740000.0
1705220294.0060039,446358,1760000.0
1705220676.7311707,448129,1780000.0
1705220680.1714683,449300,1780000.0
1705221063.9615107,452463,1800000.0
1705221463.6359785,459246,1820000.0
1705221870.4859009,469234,1840000.0
1705222257.708742,470579,1860000.0
1705222260.3259294,471598,1860000.0
1705222265.377053,473496,1860000.0
1705222267.316456,474151,1860000.0
1705222662.958026,478213,1880000.0
1705222665.494573,479063,1880000.0
1705223069.724409,486807,1900000.0
1705223075.0986447,488525,1900000.0
1705224256.3810613,503828,1960000.0
1705224264.7618961,506744,1960000.0
1705224268.2269022,507695,1960000.0
1705224657.0721638,511328,1980000.0
1705224668.3320134,515066,1980000.0
1705225061.1238036,519473,2000000.0
1705225861.134222,535206,2040000.0
1705226250.84519,540000,2060000.0
1705226257.7078393,541875,2060000.0
1705226265.2023711,544220,2060000.0
1705226649.0500698,547778,2080000.0
1705226656.331748,550239,2080000.0
1705227054.8064053,557710,2100000.0
1705227437.905395,558852,2120000.0
1705227849.9359734,568195,2140000.0
1705227859.3145308,571616,2140000.0
1705227864.0231159,573310,2140000.0
1705228247.8667707,574628,2160000.0
1705228251.8030558,575864,2160000.0
1705228255.44568,577182,2160000.0
1705228259.255636,578478,2160000.0
1705228644.6959724,581589,2180000.0
1705228652.9810865,584290,2180000.0
1705229055.1141777,592175,2200000.0
1705229059.3467662,593465,2200000.0
1705229064.8016193,595289,2200000.0
1705229448.6875908,598894,2220000.0
1705229844.1930625,604852,2240000.0
1705229852.4609842,607977,2240000.0
1705229862.6458542,611225,2240000.0
1705230264.9438329,617802,2260000.0
1705230267.883247,618875,2260000.0
1705230657.49566,620150,2280000.0
1705230680.0383255,628872,2280000.0
1705231082.8223755,634023,2300000.0
1705231086.2216659,635387,2300000.0
1705231529.821875,639537,2320000.0
1705231536.9623764,642136,2320000.0
1705231969.77292,643822,2340000.0
1705231973.1738045,644674,2340000.0
1705231976.1083848,645504,2340000.0
1705231980.01773,646525,2340000.0
1705231984.9146676,648117,2340000.0
1705232415.4199824,651812,2360000.0
1705232419.685225,653324,2360000.0
1705232815.0881038,658997,2380000.0
1705232822.6536715,661440,2380000.0
1705233220.9430525,666982,2400000.0
1705233226.602145,668761,2400000.0
1705233629.0295925,674241,2420000.0
1705233640.7537448,677861,2420000.0
1705234045.4618204,685053,2440000.0
1705234055.5557475,688398,2440000.0
1705234453.5811136,692420,2460000.0
1705234465.6515977,696368,2460000.0
1705234868.3192644,701461,2480000.0
1705234887.8520036,708381,2480000.0
1705235279.8520818,709607,2500000.0
1705235288.0701163,712851,2500000.0
1705235688.1000566,718886,2520000.0
1705235703.2976568,724285,2520000.0
1705236100.218369,730766,2540000.0
1705236895.6619556,742790,2580000.0
1705236901.6505055,744975,2580000.0
1705236911.7763796,748476,2580000.0
1705237299.626992,750409,2600000.0
1705237303.3225777,751808,2600000.0
1705237308.2515392,753584,2600000.0
1705237315.989457,756396,2600000.0
1705237708.491742,760788,2620000.0
