Wall time,Step,Value
1704630375.7549112,1988,20.0
1704630381.7247543,6398,20.0
1704630384.5256703,8440,60.0
1704630384.7616935,8552,20.0
1704630404.3133373,12082,20.0
1704630419.688466,13987,0.0
1704630426.340552,14777,120.0
1704630446.8004754,17315,0.0
1704630489.5151348,21854,20.0
1704630496.910075,22750,20.0
1704630518.9838767,25486,0.0
1704630580.023065,32939,40.0
1704630595.1534848,34800,0.0
1704630616.2699099,37406,0.0
1704630665.3964467,42385,0.0
1704630715.5318608,48499,0.0
1704630739.3927367,51288,60.0
1704630758.9011068,53536,0.0
1704630771.9667335,55001,0.0
1704630798.0265028,57953,20.0
1704630841.6880631,61841,0.0
1704630857.735248,63630,60.0
1704630862.4875553,64172,0.0
1704630891.9828484,67495,0.0
1704630921.1800728,70813,20.0
1704630931.5503232,71974,140.0
1704630933.4850235,72183,40.0
1704630953.8468769,74471,0.0
1704631021.2896855,80965,60.0
1704631076.2737606,87165,80.0
1704631081.2681055,87722,0.0
1704631082.7737648,87883,20.0
1704631099.8605075,89785,0.0
1704631121.605369,92245,0.0
1704631253.6694982,105871,0.0
1704631274.0858278,108116,20.0
1704631309.409888,112019,0.0
1704631390.8643265,120129,20.0
1704631409.1486566,122133,140.0
1704631435.1896875,125031,20.0
1704631517.843456,134077,20.0
1704631608.2789063,142838,0.0
1704631631.1077921,145309,0.0
1704631642.7295685,146586,0.0
1704631658.3034694,148303,0.0
1704631685.3379471,151268,20.0
1704631706.3011496,153566,20.0
1704631754.259739,158803,0.0
1704631785.1408138,160918,40.0
1704631793.648959,161849,0.0
1704631830.618013,165787,0.0
1704631843.3094938,167169,0.0
1704631858.504746,168782,0.0
1704631859.8221936,168929,0.0
1704631872.3855176,170297,0.0
1704631918.224297,175226,0.0
1704631971.5778267,180095,60.0
1704631973.534231,180307,0.0
1704631979.5264525,181003,20.0
1704631989.4967787,182187,40.0
1704631995.4201546,182840,60.0
1704632104.882881,194636,20.0
1704632149.899611,199502,40.0
1704632228.7938228,206939,60.0
1704632289.4956918,213534,40.0
1704632290.602068,213659,20.0
1704632346.7392323,219855,40.0
1704632380.4341793,222628,100.0
1704632384.5023468,223086,40.0
1704632436.371779,228752,40.0
1704632440.2872348,229185,40.0
1704632470.9204178,232511,80.0
1704632525.695648,238477,60.0
1704632582.1944258,243438,20.0
1704632598.8838928,245289,60.0
1704632652.1020553,251043,120.0
1704632674.7625873,253488,40.0
1704632699.2542272,256169,60.0
1704632703.6268985,256647,20.0
1704632712.644445,257652,60.0
1704632833.5219462,269957,120.0
1704632960.4233634,282964,20.0
1704632978.0721335,284948,0.0
1704633043.813921,292071,60.0
1704633060.9540265,293905,20.0
1704633108.421825,299124,80.0
1704633166.7645993,304256,40.0
1704633167.9768193,304391,20.0
1704633200.20366,307986,40.0
1704633362.3692408,324500,20.0
1704633377.440474,326146,120.0
1704633392.2076564,327786,40.0
1704633410.2461927,329758,180.0
1704633610.6976056,350114,20.0
1704633811.2489066,370725,80.0
1704633878.5407894,378047,60.0
1704633952.024363,384965,20.0
1704634026.317746,392982,40.0
1704634035.5342252,393978,160.0
1704634054.073817,395994,0.0
1704634062.8484068,396934,40.0
1704634068.452567,397546,40.0
1704634103.3947127,400332,80.0
1704634131.8700688,403443,20.0
1704634161.3126025,406642,40.0
1704634179.7719934,408668,0.0
1704634250.5378127,416394,20.0
1704634251.116349,416459,0.0
1704634280.571264,419677,0.0
1704634327.5261464,423948,0.0
1704634335.7671766,424859,0.0
1704634347.4234588,426093,40.0
1704634402.097968,432051,20.0
1704634413.07963,433221,0.0
1704634429.2506669,434987,0.0
1704634439.5162292,436088,0.0
1704634462.152456,438575,0.0
1704634469.6360705,439415,40.0
1704634493.3344345,441153,0.0
1704634494.4899428,441283,60.0
1704634495.8758557,441436,20.0
1704634514.3580055,443450,120.0
1704634535.3946588,445676,0.0
1704634566.0600421,448974,20.0
1704634600.427275,452701,20.0
1704634614.5155659,454216,20.0
1704634639.461435,456898,40.0
1704634803.7217603,473860,80.0
1704634822.2032332,475860,40.0
1704635016.6680179,495890,60.0
1704635018.0177696,496031,40.0
1704635052.6512833,499739,20.0
1704635053.6089416,499850,40.0
1704635090.892766,502943,40.0
1704635133.0057352,507403,0.0
1704635217.8125553,516565,100.0
1704635267.47129,520865,40.0
1704635300.2549703,524355,40.0
1704635342.2390234,528797,20.0
1704635349.0342484,529555,0.0
1704635526.0554726,547494,20.0
1704635615.7769017,557117,120.0
1704635721.7063205,567581,80.0
1704635758.1619499,571520,0.0
1704635774.204333,573267,40.0
1704635786.3862927,574594,100.0
1704635818.5807788,578046,120.0
1704635889.455989,584791,20.0
1704635891.8375518,585048,0.0
1704635955.350467,591868,0.0
1704635976.3931582,594122,20.0
1704636031.3147666,599996,0.0
1704636043.32572,600370,40.0
