Wall time,Step,Value
1705152861.0599444,3403,200.0
1705152862.2253098,3931,120.0
1705153032.8233814,7143,280.0
1705153034.237672,7823,180.0
1705153040.923042,11050,280.0
1705153208.0010853,12389,400.0
1705153214.9397686,15610,340.0
1705153216.8085952,16419,320.0
1705153380.3198516,17201,220.0
1705153387.3987017,20615,200.0
1705153900.5026143,28583,240.0
1705154071.9985218,32275,220.0
1705154074.0145438,33325,120.0
1705154076.0700696,34391,100.0
1705154243.4933116,35018,220.0
1705154246.7819824,36573,240.0
1705154249.128378,37736,180.0
1705154417.2332053,39601,140.0
1705154418.6530254,40317,180.0
1705154587.1008344,40918,200.0
1705154589.090328,41894,260.0
1705154591.140825,42808,300.0
1705154765.2528129,47350,220.0
1705154932.4722471,48923,240.0
1705154934.3513203,49865,340.0
1705154935.8059518,50545,200.0
1705154937.3477154,51183,140.0
1705155106.1120336,52956,220.0
1705155107.736673,53675,200.0
1705155109.6420143,54583,300.0
1705155111.6420364,55613,320.0
1705155284.4485352,59285,200.0
1705155459.7098136,63544,280.0
1705155630.070182,65666,120.0
1705155631.6863515,66512,320.0
1705155807.9186378,71880,220.0
1705156147.533276,76751,140.0
1705156319.8270347,78933,260.0
1705156321.2255585,79640,240.0
1705156500.7772443,85356,240.0
1705156671.173059,88171,260.0
1705156673.5253518,89374,180.0
1705157021.2692788,95457,160.0
1705157022.1545622,95874,100.0
1705157025.7056756,97448,200.0
1705157194.0194163,98136,200.0
1705157378.23767,106883,460.0
1705157382.6419497,109101,340.0
1705157553.1317046,111803,400.0
1705157555.2190008,112854,300.0
1705157556.5997853,113448,100.0
1705157898.0522823,119372,200.0
1705158074.3648875,125362,320.0
1705158077.1986759,126848,260.0
1705158078.89141,127662,300.0
1705158080.8472037,128615,300.0
1705158254.3027446,130882,200.0
1705158422.5374134,133005,340.0
1705158425.3837936,134438,240.0
1705158427.1843328,135375,220.0
1705158596.268201,137282,220.0
1705158782.2855809,142850,320.0
1705158784.1386182,143624,160.0
1705159007.5839381,145483,240.0
1705159013.0626078,147927,260.0
1705159179.0832002,149090,160.0
1705159181.6597946,150352,420.0
1705159184.2969625,151725,200.0
1705159357.4857504,154082,460.0
1705159359.4380648,154997,220.0
1705159537.026311,161517,380.0
1705159882.3659592,167905,240.0
1705159884.6686342,169062,360.0
1705159886.9322834,170195,320.0
1705160060.6296396,174030,360.0
1705160423.5514774,185725,480.0
1705160426.2758832,186890,420.0
1705160596.403053,188806,320.0
1705160599.8352382,190480,240.0
1705160603.180549,192117,160.0
1705160776.383238,195724,420.0
1705160778.193792,196659,320.0
1705160780.6659653,197788,400.0
1705160955.5514264,200300,200.0
1705161308.1893146,209394,360.0
1705161314.1966913,212368,600.0
1705161659.9856782,218487,240.0
1705161667.4669347,222006,420.0
1705161669.348258,222971,260.0
1705161838.0663664,223796,300.0
1705161840.2525713,224916,320.0
1705161843.8815897,226779,460.0
1705162017.8461564,230821,360.0
1705162023.685228,233730,440.0
1705162195.5881274,236602,420.0
1705162201.448076,239356,440.0
1705162382.7023087,246488,480.0
1705162560.6010776,252450,400.0
1705162908.4105198,259317,140.0
1705162911.821052,261059,700.0
1705163090.4056532,267263,320.0
1705163093.6908274,268788,560.0
1705163267.149316,272414,520.0
1705163269.8534122,273618,360.0
1705163274.4401617,275623,620.0
1705163450.8314607,280945,440.0
1705163453.1168664,281922,260.0
1705163623.379876,284191,220.0
1705163630.4155316,287371,220.0
1705163801.178323,290914,340.0
1705163803.191798,291924,400.0
1705163804.9870117,292830,260.0
1705163971.3508332,293925,300.0
1705163977.1911356,296845,300.0
1705164149.7415276,300933,340.0
1705164153.117386,302433,440.0
1705164154.9522858,303390,320.0
1705164326.758739,306006,180.0
1705164335.452878,310078,400.0
1705164517.9787564,317785,420.0
1705164689.1860251,319768,280.0
1705164695.3407269,322903,200.0
1705164862.306849,323774,240.0
1705164866.7605255,325941,160.0
1705164868.7659419,326954,340.0
1705165045.4753094,331993,320.0
1705165047.0839908,332783,180.0
1705165220.213613,336901,200.0
1705165392.0608478,339041,320.0
1705165398.3302808,341905,240.0
1705165576.0476716,347130,420.0
1705165751.8076012,352528,500.0
1705165759.4722354,356114,640.0
1705165933.4804904,360843,140.0
1705165936.3135867,362144,340.0
1705165938.0575225,362932,140.0
1705166110.9498873,366191,500.0
1705166290.7214274,373314,480.0
1705166293.551859,374800,420.0
1705166470.0045304,380152,260.0
1705166472.815781,381577,520.0
1705166475.6967852,383052,460.0
1705166833.6123457,395875,500.0
1705167012.3622897,401502,200.0
1705167357.4214208,409743,320.0
1705167358.7865593,410376,100.0
1705167537.3854601,415869,260.0
1705167539.267675,416808,380.0
1705167543.6378498,418727,360.0
1705167715.8993938,420868,160.0
1705167888.104016,425305,160.0
1705168076.2217364,435439,400.0
1705168247.9256773,437787,220.0
1705168250.3004763,439091,420.0
1705168428.9133012,442730,260.0
1705168615.7545004,450334,460.0
1705168809.083872,461804,360.0
1705168983.5945594,463283,620.0
1705168986.6845796,465014,680.0
1705168991.837547,467921,420.0
1705168994.6346836,469487,580.0
1705169171.099491,472176,400.0
1705169173.356315,473491,520.0
1705169359.046269,480184,420.0
1705169360.409986,480905,140.0
1705169891.4973567,493245,300.0
1705169899.1187131,497073,320.0
1705169901.449858,498242,380.0
1705170075.3329651,501447,380.0
1705170083.0730443,505094,780.0
1705170259.6012425,510459,600.0
1705170631.1445117,527597,400.0
1705170813.2994423,533423,560.0
1705170815.077346,534379,260.0
1705170820.9618108,537498,680.0
1705170996.0967865,541228,280.0
1705171000.1396098,543473,280.0
1705171184.2110333,550904,520.0
1705171352.004992,552135,520.0
1705171535.731355,560904,900.0
1705171541.833576,564067,660.0
1705171543.8074558,565106,360.0
1705171712.1988404,566106,320.0
1705171715.6858838,567828,700.0
1705171718.7926655,569290,540.0
1705171722.5403745,570882,680.0
1705171892.6616893,573933,480.0
1705171900.13803,577124,580.0
1705172077.7592628,583708,600.0
1705172081.2726824,585403,620.0
1705172084.19565,586799,580.0
1705172255.0457802,589981,760.0
1705172432.0784802,596917,580.0
1705172439.4645488,600463,820.0
1705172445.9890277,603787,580.0
1705172620.2711754,609298,260.0
1705172622.9272563,610469,360.0
1705172789.2053797,611422,420.0
1705172802.7960894,618205,820.0
1705172981.249083,624858,840.0
1705172985.6837718,627126,1000.0
1705173156.7323587,631623,640.0
1705173162.9609022,634522,840.0
1705173329.9666276,636236,820.0
1705173333.9969637,637883,520.0
1705173337.119324,639416,560.0
1705173339.4594672,640412,420.0
1705173341.9006174,641662,480.0
1705173510.8647988,644181,500.0
1705173513.7397616,645517,440.0
1705173690.3937259,653135,600.0
1705173694.493712,655152,880.0
1705173865.6588974,659662,700.0
1705173869.045592,661106,680.0
1705174040.9217613,665915,620.0
1705174047.47351,668907,640.0
1705174222.938846,675667,640.0
1705174230.034749,678933,920.0
1705174399.4362118,681892,720.0
1705174405.6644459,684942,700.0
1705174577.0844162,688676,460.0
1705174588.4178581,694077,620.0
1705174759.4282267,696466,1240.0
1705174764.9848213,699255,560.0
1705174940.6461446,704057,880.0
1705174954.811459,710716,1200.0
1705175137.7443814,719918,1040.0
1705175492.4841897,730458,800.0
1705175497.4414637,732585,1000.0
1705175503.248273,735299,660.0
1705175674.2481954,736493,200.0
1705175675.7268145,737271,80.0
1705175676.870203,737873,120.0
1705175680.1685286,739609,60.0
1705175857.0331,744856,900.0
1705176036.0836806,752529,1080.0
1705176040.277794,754543,1060.0
1705176214.9879441,760753,660.0
1705176227.4331088,766785,1260.0
1705176400.7279477,773084,840.0
1705176572.2425902,777906,1080.0
1705176576.2966678,779969,1060.0
1705176581.1112661,782274,1480.0
1705176586.5052679,784560,1360.0
1705176751.4298754,786495,1140.0
1705176758.2113593,789862,1200.0
1705176761.8513308,791550,900.0
1705176764.2629375,792795,540.0
1705176935.8609157,797663,1420.0
1705176941.6756651,800160,1980.0
1705176945.665053,802205,1380.0
1705176949.3378642,803809,920.0
1705177121.0103977,808292,920.0
1705177127.7853768,811485,880.0
1705177131.1385474,812899,700.0
1705177480.6768763,825067,1440.0
1705177494.266993,831642,1540.0
1705177659.9620695,832749,620.0
1705177663.4403768,834537,980.0
1705177674.4104097,839423,1860.0
1705177847.9549863,845075,820.0
1705177853.9540904,848017,620.0
1705178028.1981006,852086,1760.0
1705178041.0384262,858557,640.0
1705178217.8280396,865760,1000.0
1705178393.8442721,871848,1300.0
1705178397.1394536,873500,1000.0
1705178401.0675628,875531,1220.0
1705178404.5654294,877180,920.0
1705178569.6413803,878942,1180.0
1705178750.567263,887908,1480.0
1705178937.5186229,901193,1480.0
1705178944.5161517,904742,1220.0
1705178949.2767546,907012,2160.0
1705179112.4609463,908957,1360.0
1705179124.9278781,915064,2200.0
1705179305.6529672,921745,1620.0
1705179307.974103,922936,500.0
1705179480.6534934,928720,1440.0
1705179485.487411,930843,1860.0
1705179490.5475578,933104,1460.0
1705179498.1736555,936875,1200.0
1705179666.6478264,940160,900.0
1705179857.564008,953617,1480.0
1705180032.4855306,960632,1660.0
1705180036.9756665,962829,1720.0
1705180051.2417045,969617,1320.0
1705180219.1839879,971538,980.0
1705180224.438203,973940,1620.0
1705180233.6252234,978434,1220.0
1705180238.099885,980727,1480.0
1705180588.9589527,994076,1680.0
1705180607.7615232,1002645,1860.0
1705180774.3303518,1004714,1140.0
1705180781.2239954,1008117,1140.0
1705180789.0271075,1011868,1060.0
1705180959.4675186,1015947,1300.0
1705180964.9847183,1018446,2400.0
1705180970.1376863,1020946,2580.0
1705180974.1552567,1023004,1880.0
1705181140.2523322,1025314,2000.0
1705181153.5881157,1031317,1220.0
1705181324.2698357,1035952,1860.0
1705181333.225115,1040063,1780.0
1705181509.3094308,1046824,2700.0
1705181518.812389,1051665,1780.0
1705181523.8471897,1054162,2980.0
1705181528.437278,1056410,2040.0
1705181711.2630067,1065956,2420.0
1705181882.907997,1070212,1400.0
1705181887.9049463,1072613,2060.0
1705181897.8551037,1077333,1800.0
1705182074.474804,1084027,1740.0
1705182259.2054071,1093286,2440.0
1705182273.7520585,1100058,1740.0
1705182451.2207367,1107537,2580.0
1705182454.6710613,1109115,1020.0
1705182464.1253488,1113797,2040.0
1705182639.1983545,1118346,1680.0
1705182648.468566,1122832,1380.0
1705182833.6399665,1134623,2080.0
1705183009.5560725,1140655,1000.0
1705183015.3845747,1143085,2000.0
1705183019.0489774,1144973,1420.0
1705183194.6137605,1151897,2120.0
1705183382.778225,1164695,1080.0
1705183546.6941755,1166321,1280.0
1705183558.5978491,1172329,1840.0
1705183740.8971949,1181956,2540.0
1705183750.0565274,1186655,1980.0
1705183915.0165498,1188765,2040.0
1705183933.6172712,1197946,1800.0
1705184104.9412737,1202134,1280.0
1705184109.797943,1204635,2500.0
1705184284.305009,1210934,1820.0
1705184293.4249518,1215577,1840.0
1705184301.8515067,1219500,880.0
1705184478.4422612,1226300,1620.0
1705184488.8738916,1231183,2240.0
1705184654.9989867,1233009,1120.0
1705184665.4213161,1237897,2280.0
1705184670.069362,1240281,2180.0
1705184840.2770152,1244909,1140.0
1705184850.548588,1249524,800.0
1705185015.2532792,1251701,2060.0
1705185207.8109195,1266392,1640.0
1705185212.9506295,1268886,1940.0
1705185216.9810507,1270624,1140.0
1705185383.0828757,1272788,1340.0
1705185392.567393,1277441,1500.0
1705185398.111792,1279941,2580.0
1705185570.2960505,1284529,1420.0
1705185575.631242,1287028,1440.0
1705185579.071712,1288783,1260.0
1705185749.1952245,1293410,1180.0
1705185754.4049551,1295911,2200.0
1705185757.4365914,1297437,1300.0
1705185761.5572715,1299376,1500.0
1705185931.4428654,1302843,980.0
1705186116.0911286,1312954,1260.0
1705186121.1356094,1315453,2480.0
1705186365.8667512,1321480,1120.0
1705186782.565395,1335918,1900.0
1705187190.338993,1342373,2700.0
1705187615.9355133,1357265,2560.0
1705187623.3606133,1359745,2460.0
1705187630.801061,1362242,2660.0
1705188028.40305,1366345,2540.0
1705188036.0112906,1368843,2480.0
1705188041.3866286,1370611,1520.0
1705188445.3069444,1377316,1620.0
1705188452.2552724,1379456,1380.0
1705188467.8121767,1384450,2320.0
1705188865.680747,1389135,1340.0
1705188872.8930438,1391634,1940.0
1705189286.9514873,1401155,2500.0
1705189294.2826736,1403404,2240.0
1705189712.1488657,1413040,2400.0
1705189719.5796573,1415537,2600.0
1705189725.6876464,1417461,1500.0
1705189732.4377892,1419650,2120.0
1705190142.2459998,1426861,2320.0
1705190148.7914746,1429103,2240.0
1705190156.254658,1431602,2680.0
1705190562.899448,1439087,2280.0
1705190570.049321,1441583,2300.0
1705191389.2457805,1458638,1200.0
1705191805.3075335,1468223,1880.0
1705191819.1283212,1472713,1220.0
1705191831.2529185,1476704,1660.0
1705192226.4469266,1479199,2220.0
1705192246.8715107,1486300,2560.0
1705192253.9015663,1488794,2640.0
1705192651.3399513,1493694,1600.0
1705192659.034069,1496194,2540.0
1705192665.0048635,1498189,1860.0
1705192672.5821543,1500686,2740.0
1705193072.015613,1506525,1900.0
1705193888.666114,1523934,1720.0
1705193904.9959898,1528932,2340.0
1705193916.7190711,1532919,1200.0
1705194310.7092223,1536824,2240.0
1705194317.7524123,1539321,2820.0
1705194324.2776473,1541363,1840.0
1705194723.5662491,1546269,2180.0
1705194737.0663784,1550739,2380.0
1705194744.058916,1553029,2200.0
1705194750.7588186,1555302,1940.0
1705195161.7239738,1562355,2500.0
1705195178.1744888,1567348,2740.0
1705195994.5147457,1584190,2220.0
1705196000.1657803,1586131,1540.0
1705196407.6425738,1592944,2640.0
1705196418.9020948,1596944,1420.0
1705196841.1551318,1610444,2640.0
1705196847.757194,1612527,1760.0
1705197242.2190952,1617031,2020.0
1705197256.8458912,1622024,2400.0
1705197666.3659024,1631541,2120.0
1705198081.5008135,1641434,2640.0
1705198096.9681933,1646430,2560.0
1705198498.295605,1651116,2840.0
1705198521.6113248,1658539,2500.0
1705198528.6766572,1660807,2240.0
1705198921.1111994,1663302,3380.0
1705199353.1581645,1680058,2920.0
1705199361.037289,1682469,3080.0
1705199791.0996823,1694700,1660.0
1705200184.5684216,1699474,1840.0
1705200199.5580602,1704476,2580.0
1705200206.5289388,1706813,2240.0
1705200598.0754955,1709310,2940.0
1705201047.5092652,1731539,3280.0
1705201446.0623112,1736482,2720.0
1705201467.179351,1743580,2200.0
1705201874.5033078,1752132,2520.0
1705202275.2855837,1756812,3220.0
1705202282.7999833,1759309,2800.0
1705202693.6093464,1768539,2080.0
1705202700.8597968,1771034,2420.0
1705202714.785987,1776029,2620.0
1705202719.5639017,1777552,1140.0
1705203107.6417155,1780053,3260.0
1705203126.4438238,1786278,1600.0
1705203130.9015908,1787682,860.0
1705203963.5359893,1811003,2600.0
1705204358.6879857,1815506,2100.0
1705204365.868839,1818004,2780.0
1705204772.020476,1825394,3040.0
1705204779.4976096,1827888,2340.0
1705204786.0510952,1830205,2180.0
1705205190.8185506,1837664,2720.0
1705205197.1781764,1839739,2340.0
1705205205.2806494,1842234,2960.0
1705206454.1234193,1878582,2620.0
1705206858.1212788,1886076,2780.0
1705206871.4378657,1890658,1540.0
1705206878.1326969,1893158,2300.0
1705207274.7507443,1897286,1100.0
1705207281.717388,1899491,1620.0
1705207304.2432628,1906859,1660.0
1705207707.2566314,1913915,2980.0
1705207714.5074909,1916412,3120.0
1705207722.4111304,1918908,2940.0
1705208108.0740736,1920580,1480.0
1705208122.4349144,1925182,2860.0
1705208137.702536,1930172,2640.0
1705208534.8778532,1934713,2480.0
1705208550.2117043,1939706,2700.0
1705208557.3368435,1942206,2660.0
1705208956.055658,1947201,2780.0
1705208970.6101213,1952139,2460.0
1705209365.9751065,1956857,2860.0
1705209373.888072,1959353,2560.0
1705209381.5497963,1961851,2560.0
1705209389.1790633,1964350,2900.0
1705209397.036554,1966848,2680.0
1705210230.5765026,1990475,2520.0
1705210638.6663256,1999882,2480.0
1705211044.2021074,2008967,2380.0
1705211050.8176312,2011165,2260.0
1705211057.818625,2013523,2500.0
1705211449.9581466,2017970,2800.0
1705211471.536541,2024732,2440.0
1705211870.4903324,2030841,2640.0
1705211884.0433807,2035130,1440.0
1705212278.442864,2039665,1800.0
1705212285.9734254,2042166,2360.0
1705212298.7951424,2046522,1700.0
1705212707.0868886,2056007,2580.0
1705212714.6625743,2058504,2360.0
1705213107.5227282,2061001,2840.0
1705213119.9806147,2065557,2120.0
1705213127.202322,2068057,2840.0
1705213531.6776798,2075226,2720.0
1705213538.9912884,2077724,3040.0
1705213543.265038,2079377,1800.0
1705213550.0492942,2081876,2740.0
1705213947.675415,2086464,3380.0
1705214361.5987155,2098095,2720.0
1705214383.388742,2105397,3220.0
1705214796.1961048,2116790,2160.0
1705215184.7742138,2120763,1120.0
1705215598.6582077,2130761,2800.0
1705215614.2873318,2135754,2940.0
1705216025.5736146,2144789,2140.0
1705216033.5269456,2147283,2720.0
1705216041.563162,2149783,2780.0
1705216048.7399035,2152284,2720.0
1705216444.125425,2156727,2000.0
1705216466.7930672,2163941,3280.0
1705216847.5404325,2166436,3100.0
1705216863.06723,2171216,2700.0
1705216870.5415835,2173702,1860.0
1705216875.5060399,2175366,1360.0
1705217680.1020808,2189865,2040.0
1705217694.8382816,2194796,2820.0
1705217702.264865,2197296,2300.0
1705218095.9501622,2202289,2720.0
1705218103.1374202,2204787,2700.0
1705218123.662944,2211567,2260.0
1705218512.8632593,2214063,2700.0
1705218932.724463,2225605,1560.0
1705218940.2997968,2228102,2640.0
1705218946.450507,2230221,2100.0
1705219348.7839758,2237377,2840.0
1705219363.124719,2242187,2220.0
1705219369.8434217,2244465,1960.0
1705219377.7440104,2246966,2740.0
1705219761.723724,2249463,3120.0
1705219766.8953896,2251061,1000.0
1705219774.5550363,2253557,2320.0
1705220199.9142835,2267920,1960.0
1705220616.0139952,2279097,1840.0
1705220619.6588268,2280273,800.0
1705221002.999947,2282119,1840.0
1705221414.273219,2293021,2100.0
1705221442.0090866,2302159,1620.0
1705221843.093459,2307153,2600.0
1705221850.7321296,2309649,2360.0
1705222258.7496974,2317818,2640.0
1705222666.9043849,2326564,2920.0
1705223093.9771557,2342804,2540.0
1705223105.7101064,2347207,2720.0
1705223509.684077,2354311,2100.0
1705223522.0584402,2358476,1800.0
1705223909.3781605,2360410,1600.0
1705223929.19476,2367094,3200.0
1705223936.6213725,2369590,2900.0
1705224326.9730246,2372541,300.0
1705224334.5982459,2375024,2480.0
1705224731.6562545,2381152,2320.0
1705225993.855041,2419075,2240.0
1705226001.575316,2421406,2140.0
1705226008.8056638,2423823,2400.0
1705226394.7526388,2426245,2140.0
1705226423.5384324,2435703,1760.0
1705226821.481924,2441979,2160.0
1705226829.2998354,2444476,2380.0
1705227228.1307535,2451972,1960.0
1705227235.1682253,2454318,2180.0
1705227241.5640864,2456504,1460.0
1705227651.1901145,2466492,2760.0
1705227658.0297132,2468647,2040.0
1705227665.5651054,2471141,3000.0
1705228052.0446799,2475172,2060.0
1705228066.5888898,2480097,2440.0
1705228457.0691164,2484075,2040.0
1705228469.9344404,2488317,2040.0
1705228891.37896,2501314,1160.0
1705229283.2679152,2506310,2760.0
1705229695.8313096,2517597,3120.0
1705229703.8760812,2520094,2660.0
1705230523.347276,2540124,1480.0
1705230529.6726642,2542104,2020.0
1705231377.7914433,2564979,1760.0
1705231820.072021,2572144,1460.0
1705231826.8822386,2574230,1660.0
1705232270.4767559,2579530,2040.0
1705232279.268081,2581705,2120.0
1705232306.522066,2589159,2700.0
1705232701.6956732,2592493,920.0
1705232708.1381063,2594582,1640.0
1705232715.1966345,2597012,2840.0
1705233525.214634,2612891,1900.0
1705233532.221523,2615062,2160.0
1705233539.9195178,2617561,3100.0
1705233547.1560664,2619966,2540.0
1705233951.6649702,2626405,1980.0
1705233964.6685898,2630763,2560.0
1705233972.5011418,2633232,2460.0
1705234361.3060477,2635730,2960.0
1705234369.0829532,2638224,2300.0
1705234781.7892063,2648921,1420.0
1705234790.6590555,2651845,1500.0
1705235200.3382926,2660907,1600.0
1705235206.9542363,2663078,1760.0
1705235602.8807604,2669830,1840.0
1705236030.5309389,2686158,2060.0
1705236419.8094158,2690128,1420.0
1705237241.7051115,2711610,1120.0
1705237257.2999194,2716605,2480.0
1705237263.3557885,2718636,1540.0
1705237654.452784,2722653,1540.0
1705237661.9579043,2725148,2820.0
1705237676.9383757,2729968,2080.0
1705238063.984651,2732387,2340.0
1705238480.3370743,2743721,1860.0
1705238487.7607863,2746221,2640.0
1705238902.198134,2759223,1940.0
1705238908.5351021,2761259,1900.0
1705239716.3470516,2778803,2460.0
1705240128.2902408,2788178,2960.0
1705240143.1251886,2793054,2560.0
1705240549.470043,2802538,2640.0
1705240966.3960674,2816029,1480.0
1705241367.2027094,2821758,1980.0
1705241378.041611,2825811,2860.0
1705241780.2862473,2832442,2580.0
1705241792.8150532,2836764,2060.0
1705242180.1685543,2838821,1820.0
1705242202.8985126,2847124,1880.0
1705242591.9299963,2849524,2780.0
1705242605.540593,2853847,2600.0
1705242612.3868005,2856343,2740.0
1705243004.7958968,2860749,3000.0
1705243026.0690215,2867956,2960.0
1705243033.072514,2870450,2940.0
1705243429.421706,2872914,2640.0
1705243453.6381972,2881685,1960.0
1705243855.4108663,2886419,2240.0
1705243862.0500772,2888709,2780.0
1705243868.975764,2891208,3040.0
1705244268.8730874,2894994,1100.0
1705244280.2634404,2899025,1840.0
1705244292.8689308,2903596,1760.0
1705244696.85894,2910395,2500.0
1705245098.7119231,2916981,2720.0
1705245104.8599164,2919188,2680.0
1705245111.4047318,2921558,2360.0
1705245512.8040464,2928412,1960.0
1705245525.206149,2932952,1800.0
1705245530.595557,2935011,1640.0
1705245932.5571718,2942126,2420.0
1705245939.1749263,2944621,2500.0
1705246337.9871907,2951076,2360.0
1705246357.0340273,2958200,1200.0
1705246746.6453168,2960422,2740.0
1705246752.3438334,2962518,1660.0
1705247170.4610562,2976636,2460.0
1705247564.9955618,2981055,2460.0
1705247572.036854,2983552,2880.0
1705247575.9354253,2985145,1260.0
1705247975.890202,2991752,2420.0
1705247982.416726,2994119,2600.0
1705247995.1823096,2998663,2240.0
1705248400.2493637,3007793,1960.0
1705248406.7025545,3010088,3240.0
1705248413.2620735,3012383,2220.0
1705248810.417984,3018477,1940.0
1705249217.9404526,3027735,2320.0
1705249224.300378,3030131,2200.0
1705249236.676883,3034404,1720.0
1705249623.344427,3036696,2220.0
1705249630.082479,3039159,2740.0
1705249636.689387,3041318,2060.0
1705249649.105575,3045322,2200.0
1705250045.587547,3051638,2120.0
1705250054.1213946,3054136,2700.0
1705250057.6672764,3055330,920.0
1705250443.554903,3057123,1940.0
1705250468.4750519,3066101,1600.0
1705250853.995878,3068500,2400.0
1705251263.7222018,3079664,1480.0
1705251277.948493,3084637,2660.0
1705251284.3174868,3086917,2520.0
1705251292.2738266,3089366,2780.0
1705251695.1127954,3097401,1280.0
1705252091.9489357,3103245,1940.0
1705252106.6336808,3107940,2300.0
1705252505.778521,3114248,1700.0
1705252513.7139874,3116742,2480.0
1705252519.1637988,3118553,1300.0
1705252525.6571786,3120448,1980.0
1705252910.1112528,3122267,1520.0
1705252919.0014458,3125394,1440.0
1705252929.3461843,3128766,1880.0
1705253327.4701834,3134998,2540.0
1705253334.483393,3137499,2120.0
1705253783.7878525,3141604,2560.0
1705253790.92511,3144103,2720.0
1705253796.954245,3146214,1720.0
1705254244.1922462,3153110,2580.0
1705254257.167809,3157450,1600.0
1705254264.6903226,3159949,2720.0
1705254271.2144637,3161971,2000.0
1705254697.9779396,3164470,2400.0
1705255127.0463085,3180165,2700.0
1705255133.5429316,3182665,2980.0
1705255531.1357005,3188510,1800.0
1705255943.6257765,3199857,2100.0
1705256346.3875313,3208684,2000.0
1705256760.9619355,3221413,1460.0
1705256766.2887993,3223059,1320.0
1705256776.2466562,3226289,1220.0
1705257178.0989366,3234110,1600.0
1705257184.9071558,3236159,1040.0
1705257567.9550958,3238398,1800.0
1705257580.5838642,3242548,1580.0
1705257588.1844287,3245047,2600.0
1705257595.1125445,3247450,1800.0
1705257996.9818387,3255670,1720.0
1705258393.2453651,3262858,1140.0
1705258402.4488678,3266284,1320.0
1705258781.3929114,3267854,1220.0
1705259209.1306796,3284755,1280.0
1705259216.5276575,3287250,2800.0
1705259607.59014,3293525,1960.0
1705260008.8316908,3300368,2120.0
1705260033.0252068,3308335,2140.0
1705260423.9334402,3312468,1760.0
1705260825.5032933,3320423,1840.0
1705261234.304678,3330307,2860.0
1705261239.577794,3332063,1140.0
1705261641.8979158,3340456,1980.0
1705261649.532208,3342827,2260.0
1705261671.4378643,3349927,2620.0
1705262056.7092476,3352020,2300.0
