Wall time,Step,Value
1705152861.0600328,3403,40000.0
1705152862.2254097,3931,40000.0
1705153032.8234575,7143,60000.0
1705153034.23773,7823,60000.0
1705153040.9230986,11050,60000.0
1705153208.001139,12389,80000.0
1705153214.9398265,15610,80000.0
1705153216.8086514,16419,80000.0
1705153380.3199096,17201,100000.0
1705153387.3987558,20615,100000.0
1705153900.5027077,28583,160000.0
1705154071.9985712,32275,180000.0
1705154074.0146024,33325,180000.0
1705154076.0701208,34391,180000.0
1705154243.4934177,35018,200000.0
1705154246.7820327,36573,200000.0
1705154249.1285264,37736,200000.0
1705154417.2332916,39601,220000.0
1705154418.6530814,40317,220000.0
1705154587.100885,40918,240000.0
1705154589.0904162,41894,240000.0
1705154591.1409073,42808,240000.0
1705154765.2528706,47350,260000.0
1705154932.4723065,48923,280000.0
1705154934.3513772,49865,280000.0
1705154935.806041,50545,280000.0
1705154937.3478365,51183,280000.0
1705155106.1120896,52956,300000.0
1705155107.7367485,53675,300000.0
1705155109.6420612,54583,300000.0
1705155111.6420958,55613,300000.0
1705155284.4486187,59285,320000.0
1705155459.709891,63544,340000.0
1705155630.0702507,65666,360000.0
1705155631.6864038,66512,360000.0
1705155807.9186924,71880,380000.0
1705156147.5333264,76751,420000.0
1705156319.8270893,78933,440000.0
1705156321.2256064,79640,440000.0
1705156500.7773015,85356,460000.0
1705156671.17311,88171,480000.0
1705156673.525411,89374,480000.0
1705157021.2693448,95457,520000.0
1705157022.1546373,95874,520000.0
1705157025.7057552,97448,520000.0
1705157194.0194974,98136,540000.0
1705157378.237724,106883,560000.0
1705157382.6420105,109101,560000.0
1705157553.1317782,111803,580000.0
1705157555.2190568,112854,580000.0
1705157556.5998623,113448,580000.0
1705157898.052375,119372,620000.0
1705158074.3649697,125362,640000.0
1705158077.1987314,126848,640000.0
1705158078.8914888,127662,640000.0
1705158080.8472567,128615,640000.0
1705158254.3028002,130882,660000.0
1705158422.537492,133005,680000.0
1705158425.383851,134438,680000.0
1705158427.184397,135375,680000.0
1705158596.2682583,137282,700000.0
1705158782.285656,142850,720000.0
1705158784.1386795,143624,720000.0
1705159007.584002,145483,740000.0
1705159013.0626812,147927,740000.0
1705159179.0832558,149090,760000.0
1705159181.6598494,150352,760000.0
1705159184.2970192,151725,760000.0
1705159357.4858334,154082,780000.0
1705159359.4381192,154997,780000.0
1705159537.0263708,161517,800000.0
1705159882.3660161,167905,840000.0
1705159884.668692,169062,840000.0
1705159886.9323318,170195,840000.0
1705160060.6296964,174030,860000.0
1705160423.551564,185725,900000.0
1705160426.2759526,186890,900000.0
1705160596.403146,188806,920000.0
1705160599.8352954,190480,920000.0
1705160603.1806042,192117,920000.0
1705160776.38329,195724,940000.0
1705160778.1938424,196659,940000.0
1705160780.6660528,197788,940000.0
1705160955.551483,200300,960000.0
1705161308.189375,209394,1000000.0
1705161314.1967475,212368,1000000.0
1705161659.985734,218487,1040000.0
1705161667.4669917,222006,1040000.0
1705161669.3483129,222971,1040000.0
1705161838.0664623,223796,1060000.0
1705161840.2526274,224916,1060000.0
1705161843.8816466,226779,1060000.0
1705162017.846211,230821,1080000.0
1705162023.685317,233730,1080000.0
1705162195.5881774,236602,1100000.0
1705162201.4481351,239356,1100000.0
1705162382.7023683,246488,1120000.0
1705162560.6011329,252450,1140000.0
1705162908.4105756,259317,1180000.0
1705162911.8211038,261059,1180000.0
1705163090.4057121,267263,1200000.0
1705163093.6909096,268788,1200000.0
1705163267.1493797,272414,1220000.0
1705163269.8534818,273618,1220000.0
1705163274.44022,275623,1220000.0
1705163450.831517,280945,1240000.0
1705163453.116922,281922,1240000.0
1705163623.3799648,284191,1260000.0
1705163630.4155889,287371,1260000.0
1705163801.1784186,290914,1280000.0
1705163803.1918461,291924,1280000.0
1705163804.987061,292830,1280000.0
1705163971.3508973,293925,1300000.0
1705163977.1911836,296845,1300000.0
1705164149.7416093,300933,1320000.0
1705164153.1174402,302433,1320000.0
1705164154.9523473,303390,1320000.0
1705164326.758822,306006,1340000.0
1705164335.4529338,310078,1340000.0
1705164517.9788098,317785,1360000.0
1705164689.1860754,319768,1380000.0
1705164695.3407762,322903,1380000.0
1705164862.3069036,323774,1400000.0
1705164866.7605834,325941,1400000.0
1705164868.7659955,326954,1400000.0
1705165045.4753654,331993,1420000.0
1705165047.0840404,332783,1420000.0
1705165220.2136614,336901,1440000.0
1705165392.0609057,339041,1460000.0
1705165398.3303444,341905,1460000.0
1705165576.047726,347130,1480000.0
1705165751.807682,352528,1500000.0
1705165759.472293,356114,1500000.0
1705165933.4805446,360843,1520000.0
1705165936.3136346,362144,1520000.0
1705165938.0575786,362932,1520000.0
1705166110.9499466,366191,1540000.0
1705166290.7214868,373314,1560000.0
1705166293.5519185,374800,1560000.0
1705166470.0045793,380152,1580000.0
1705166472.815838,381577,1580000.0
1705166475.6968465,383052,1580000.0
1705166833.6124313,395875,1620000.0
1705167012.3623533,401502,1640000.0
1705167357.4214904,409743,1680000.0
1705167358.7866123,410376,1680000.0
1705167537.3855562,415869,1700000.0
1705167539.2677298,416808,1700000.0
1705167543.6379282,418727,1700000.0
1705167715.8994517,420868,1720000.0
1705167888.104063,425305,1740000.0
1705168076.2217853,435439,1760000.0
1705168247.9257283,437787,1780000.0
1705168250.300525,439091,1780000.0
1705168428.9133985,442730,1800000.0
1705168615.7545483,450334,1820000.0
1705168809.083917,461804,1840000.0
1705168983.5946226,463283,1860000.0
1705168986.6846356,465014,1860000.0
1705168991.837597,467921,1860000.0
1705168994.6347332,469487,1860000.0
1705169171.0995457,472176,1880000.0
1705169173.3563778,473491,1880000.0
1705169359.0463161,480184,1900000.0
1705169360.4100404,480905,1900000.0
1705169891.497408,493245,1960000.0
1705169899.1187668,497073,1960000.0
1705169901.4499106,498242,1960000.0
1705170075.333046,501447,1980000.0
1705170083.0730908,505094,1980000.0
1705170259.6012993,510459,2000000.0
1705170631.1446095,527597,2040000.0
1705170813.2994921,533423,2060000.0
1705170815.0773983,534379,2060000.0
1705170820.961859,537498,2060000.0
1705170996.0968373,541228,2080000.0
1705171000.1396585,543473,2080000.0
1705171184.2111146,550904,2100000.0
1705171352.0050511,552135,2120000.0
1705171535.7314203,560904,2140000.0
1705171541.8336344,564067,2140000.0
1705171543.807513,565106,2140000.0
1705171712.1988897,566106,2160000.0
1705171715.6859453,567828,2160000.0
1705171718.7927551,569290,2160000.0
1705171722.5404243,570882,2160000.0
1705171892.6617472,573933,2180000.0
1705171900.1381128,577124,2180000.0
1705172077.7593563,583708,2200000.0
1705172081.2727313,585403,2200000.0
1705172084.1957042,586799,2200000.0
1705172255.045839,589981,2220000.0
1705172432.0785615,596917,2240000.0
1705172439.4646046,600463,2240000.0
1705172445.9890847,603787,2240000.0
1705172620.2712264,609298,2260000.0
1705172622.9273524,610469,2260000.0
1705172789.2054317,611422,2280000.0
1705172802.7961369,618205,2280000.0
1705172981.2491417,624858,2300000.0
1705172985.683829,627126,2300000.0
1705173156.7324457,631623,2320000.0
