Wall time,Step,Value
1705152562.548076,1988,20.0
1705152568.5690322,5945,20.0
1705152568.8488166,6176,0.0
1705152573.2902792,9468,40.0
1705152603.1482868,12645,20.0
1705152694.3926077,21033,20.0
1705152709.2353473,22439,20.0
1705152781.3129802,30454,20.0
1705152785.3437953,30995,20.0
1705152804.3566787,33524,0.0
1705152822.7545354,35699,40.0
1705152867.865076,40017,0.0
1705152869.2215118,40169,0.0
1705152879.0223112,41324,140.0
1705152932.6287801,47641,0.0
1705152984.7860436,54475,20.0
1705153027.0781476,59562,0.0
1705153053.7942681,61488,0.0
1705153127.161272,70348,80.0
1705153151.6379025,73625,40.0
1705153170.1830204,75833,0.0
1705153176.8034034,76635,0.0
1705153177.2842422,76694,0.0
1705153244.1703603,83241,20.0
1705153259.5624027,85029,0.0
1705153275.7582664,86952,20.0
1705153287.2254026,88328,0.0
1705153335.14003,94752,0.0
1705153345.4748118,95992,20.0
1705153409.409846,102578,40.0
1705153419.532639,103735,60.0
1705153439.3787425,106108,100.0
1705153441.9688647,106408,0.0
1705153460.380289,108538,60.0
1705153465.6175654,109164,20.0
1705153492.5962498,112708,60.0
1705153629.1847472,128242,0.0
1705153658.440097,131926,0.0
1705153660.5208852,132173,100.0
1705153667.4102535,133136,20.0
1705153695.8849869,136675,20.0
1705153705.3272483,137807,0.0
1705153775.6733136,145309,60.0
1705153778.820898,145672,0.0
1705153815.7556977,149933,0.0
1705153830.0819492,151877,20.0
1705153907.5974069,160097,0.0
1705153929.8419044,162731,40.0
1705153995.977972,170752,0.0
1705154014.2492354,173163,140.0
1705154087.200064,181289,20.0
1705154090.0929806,181628,0.0
1705154108.04608,183783,100.0
1705154111.4851878,184169,0.0
1705154175.481624,191915,0.0
1705154182.752752,192759,0.0
1705154207.3230293,195909,20.0
1705154219.9530747,197352,0.0
1705154235.7034273,199217,120.0
1705154284.0495276,204065,40.0
1705154296.6293337,205594,0.0
1705154312.5655305,207522,0.0
1705154353.7286193,212689,80.0
1705154392.555815,217563,100.0
1705154418.6764913,220004,0.0
1705154441.893978,222725,20.0
1705154446.8829079,223306,60.0
1705154472.6382496,226240,20.0
1705154523.9524457,232467,140.0
1705154603.7040174,241171,100.0
1705154632.584307,244536,20.0
1705154648.345435,246430,80.0
1705154662.6800241,248139,60.0
1705154666.1200798,248531,120.0
1705154669.5154305,248917,0.0
1705154734.0695522,257005,60.0
1705154810.1780365,265177,20.0
1705154840.994434,268748,20.0
1705154856.0505726,270628,20.0
1705154871.2916443,272624,40.0
1705154876.0542705,273183,100.0
1705154887.2895956,274615,60.0
1705154957.2138102,282207,20.0
1705154984.2076042,285354,60.0
1705154997.6622396,286890,80.0
1705155000.0634456,287187,20.0
1705155072.3802273,296353,0.0
1705155127.9100952,301969,60.0
1705155191.1142232,309355,140.0
1705155202.0546236,310722,0.0
1705155205.3178973,311193,0.0
1705155222.5874822,313292,100.0
1705155349.8502715,327661,20.0
1705155369.312561,329897,0.0
1705155380.2287998,331397,40.0
1705155405.3040013,334420,60.0
1705155411.6642718,335353,40.0
1705155412.2723513,335446,0.0
1705155437.1948981,338409,40.0
1705155442.0274963,338966,40.0
1705155512.5207486,346204,0.0
1705155531.078933,348448,60.0
1705155567.893304,353009,40.0
1705155581.25722,354648,40.0
1705155634.7415853,360187,40.0
1705155635.7484732,360304,20.0
1705155638.085262,360583,40.0
1705155711.0085611,369083,20.0
1705155735.2345722,372169,40.0
1705155737.1429355,372404,60.0
1705155745.7874587,373435,40.0
1705155776.5343788,377405,80.0
1705155777.273754,377489,0.0
1705155792.552708,379262,40.0
1705155794.3751485,379475,20.0
1705155809.6258268,380198,0.0
1705155829.1659846,382503,0.0
1705155838.2715855,383558,20.0
1705155850.070349,384995,0.0
1705155873.8677752,387785,20.0
1705155885.0769765,389074,20.0
1705156083.6071815,412586,0.0
1705156104.9184318,415398,160.0
1705156182.158836,423681,80.0
1705156203.151572,426149,20.0
1705156258.1517448,432821,20.0
1705156449.63129,454599,40.0
1705156578.5549107,469001,200.0
1705156654.635981,478559,60.0
1705156722.094534,485506,140.0
1705156725.9093258,485956,100.0
1705156807.442064,496025,80.0
1705156930.9541056,509227,100.0
1705156993.174521,516902,60.0
1705157059.1340468,523952,20.0
1705157077.1616783,525985,20.0
1705157086.4300823,527057,60.0
1705157090.7705958,527560,80.0
1705157094.9147992,528019,100.0
1705157183.8278775,539001,20.0
1705157258.618624,546321,20.0
1705157304.846007,552139,100.0
1705157361.7334223,559028,40.0
1705157418.0310042,564200,0.0
1705157452.7682974,568296,0.0
1705157476.5218744,571411,80.0
1705157503.9863894,574839,40.0
1705157745.5590842,601424,20.0
1705157783.9783614,605979,120.0
1705157787.6735184,606425,80.0
1705157854.8491015,615017,180.0
1705157881.4358943,618156,140.0
1705157990.1259902,629902,160.0
1705157997.0071816,630838,60.0
1705158013.3361118,633042,80.0
1705158137.2547443,646549,60.0
1705158166.6788135,650081,20.0
1705158174.244972,651108,40.0
1705158178.2767336,651580,60.0
1705158194.8557088,653672,40.0
1705158264.5059187,660949,80.0
1705158381.3994331,675542,20.0
1705158434.6037788,680706,40.0
1705158483.1565874,686380,200.0
1705158543.0229526,694122,40.0
1705158561.5313022,696263,80.0
1705158567.5767102,696959,40.0
1705158681.6739392,709549,80.0
1705158695.7644253,711322,180.0
1705158716.7558765,714139,60.0
1705158924.6457763,731124,40.0
1705158939.5412598,732893,40.0
1705158944.284675,733483,100.0
1705158961.19036,735006,60.0
1705159015.5484703,740132,0.0
1705159024.6381953,741236,120.0
1705159030.3085845,741888,40.0
1705159079.5936146,747787,80.0
1705159085.0170665,748427,60.0
1705159152.0607727,756926,20.0
1705159171.7614594,759253,100.0
1705159174.5712545,759593,80.0
1705159317.1602757,775645,20.0
1705159383.8764567,782269,60.0
1705159468.0118423,792817,0.0
1705159495.3138194,796021,40.0
1705159523.920112,799404,20.0
1705159631.5753708,810894,40.0
1705159714.1936631,820189,0.0
1705159768.713148,826479,60.0
1705159779.4309907,827724,120.0
1705159788.3693972,828762,0.0
1705159851.3466055,836851,20.0
1705159918.0176706,843407,0.0
1705159930.788714,844915,20.0
1705159981.2717586,850768,80.0
1705160001.2935307,853654,160.0
1705160003.8757353,853970,100.0
1705160090.477078,862787,220.0
1705160107.1256523,864664,80.0
1705160176.6425815,873297,0.0
1705160325.5828638,889514,200.0
1705160343.4295752,891624,80.0
1705160348.857108,892377,20.0
1705160503.91062,908868,120.0
1705160506.4978917,909158,60.0
1705160509.5068688,909503,100.0
1705160621.5735147,922156,60.0
1705160674.3805852,928194,40.0
1705160809.6274576,943347,20.0
1705160904.0838337,954748,40.0
1705161100.466827,977231,180.0
1705161144.920404,981267,0.0
1705161170.3380542,984233,60.0
1705161314.6439416,1000051,20.0
1705161351.984131,1004313,20.0
1705161504.4224606,1021236,100.0
1705161510.2674255,1021914,160.0
1705161571.7990007,1029148,60.0
1705161640.9396648,1037968,100.0
1705161787.8019679,1054176,160.0
1705161791.859739,1054754,60.0
1705161820.5048497,1058201,140.0
1705161922.494014,1068837,40.0
