Wall time,Step,Value
1704792440.0841744,9985,0.0
1704792446.3033206,12485,0.0
1704792864.3205612,17263,400.0
1704792874.7497716,21183,220.0
1704793083.619563,22302,420.0
1704793091.7716928,25728,280.0
1704793093.6795595,26579,180.0
1704793303.5551386,27555,380.0
1704793307.77798,29434,220.0
1704793309.7362578,30296,240.0
1704793525.3722694,32994,300.0
1704793527.545679,33927,320.0
1704794184.1235476,43474,140.0
1704794401.323154,45760,240.0
1704794631.2031446,52770,480.0
1704794632.9235225,53507,200.0
1704794634.173309,54022,120.0
1704794853.522656,56148,400.0
1704794858.0329647,58079,200.0
1704795084.1825707,61984,440.0
1704795306.1602728,64705,320.0
1704795308.6268692,65658,280.0
1704795310.5351555,66307,200.0
1704795312.7269504,67091,300.0
1704795532.9038012,68921,200.0
1704795533.958911,69375,60.0
1704795535.1601439,69895,140.0
1704795537.130572,70692,200.0
1704795757.0826263,72772,380.0
1704795758.869478,73544,220.0
1704795984.3360858,78311,140.0
1704795989.8326287,80501,420.0
1704796316.0900857,81547,360.0
1704796320.0345316,83233,340.0
1704796645.4636536,85782,100.0
1704796651.737121,88092,160.0
1704797103.5956151,95124,140.0
1704797323.7823825,95845,200.0
1704797329.646137,98226,100.0
1704797552.0599308,100283,300.0
1704797553.9703836,101115,220.0
1704797558.7827384,103188,360.0
1704798010.0370107,109427,120.0
1704798237.2321,113590,240.0
1704798466.6520722,116496,160.0
1704798468.5974972,117212,180.0
1704798473.059255,118874,240.0
1704798803.806573,120578,340.0
1704798805.9828353,121178,200.0
1704799150.2335815,127478,360.0
1704799152.809318,128525,300.0
1704799389.992395,134971,260.0
1704799613.4462752,136664,300.0
1704799615.766198,137597,280.0
1704799845.6916757,140342,240.0
1704800086.2998304,147077,220.0
1704800315.452862,149952,180.0
1704800320.7069223,151867,340.0
1704800322.7576857,152710,20.0
1704800775.8407059,158624,440.0
1704800777.7550986,159435,200.0
1704800779.9634945,160378,280.0
1704801012.877478,163539,240.0
1704801014.479492,164171,160.0
1704801017.364486,165155,300.0
1704801376.267294,168304,180.0
1704801384.499978,171223,240.0
1704801696.5448706,172780,400.0
1704801699.739129,173981,360.0
1704801933.349377,177772,60.0
1704801936.1276417,178760,260.0
1704801937.703122,179361,80.0
1704802180.3483377,186799,440.0
1704802410.4857342,189671,180.0
1704802412.8375463,190514,200.0
1704802415.4155786,191528,300.0
1704802641.9767008,192249,200.0
1704802645.0002666,193453,160.0
1704802650.6376162,195725,260.0
1704802878.0451593,198869,540.0
1704802887.176548,202902,660.0
1704803113.6750746,205572,280.0
1704803115.9093623,206531,340.0
1704803124.7230191,210141,360.0
1704803349.3568046,210936,260.0
1704803351.427831,211656,180.0
1704803353.7590811,212556,280.0
1704803357.5830832,214033,280.0
1704803595.1788905,219495,200.0
1704804281.0367332,231054,500.0
1704804508.1262922,233353,320.0
1704804516.9793162,237083,500.0
1704804741.91523,238350,280.0
1704804744.500967,239365,260.0
1704804988.6131685,247544,180.0
1704805221.6935604,251280,200.0
1704805224.944876,252684,440.0
1704805452.209029,253838,320.0
1704805457.430278,255844,360.0
1704805930.3300843,263263,260.0
1704805931.8565743,263809,100.0
1704805938.0475254,266211,180.0
1704806189.8744462,269125,560.0
1704806195.4818497,271310,400.0
1704806584.1126013,273839,120.0
1704806589.4574609,275848,220.0
1704806592.100394,276615,200.0
1704806841.6673336,278636,440.0
1704806848.4263053,281491,300.0
1704806852.322018,283194,420.0
1704807077.841255,285250,280.0
1704807316.7269752,292401,800.0
1704807321.1099336,294272,660.0
1704807323.5423217,295309,320.0
1704807326.8962915,296753,500.0
1704807798.6756213,307384,380.0
1704807804.1383336,309627,480.0
1704807806.407694,310551,220.0
1704808037.814384,314185,180.0
1704808269.2110822,317627,240.0
1704808274.719585,320004,340.0
1704808277.6751556,321212,360.0
1704808511.771161,325933,540.0
1704808518.8354454,328788,400.0
1704808803.6899703,335484,420.0
1704809198.780442,339328,760.0
