Wall time,Step,Value
1704792305.6553466,1988,20.0
1704792311.5553815,6398,20.0
1704792314.298745,8440,60.0
1704792314.4396641,8552,20.0
1704792337.3370893,12080,40.0
1704792359.4406424,14378,140.0
1704792365.2220764,14959,40.0
1704792389.4340768,17430,20.0
1704792468.6402936,22212,0.0
1704792478.2163763,23173,20.0
1704792508.966784,26196,0.0
1704792575.8784614,32793,20.0
1704792593.4456851,34517,0.0
1704792630.4784698,38148,20.0
1704792687.0268798,42775,100.0
1704792754.3663476,49409,0.0
1704792784.3193135,52364,20.0
1704792806.6450422,54567,60.0
1704792825.0483341,56387,0.0
1704792859.5851912,59818,0.0
1704792906.4783869,63121,0.0
1704792929.3070157,65308,80.0
1704792934.5290105,65821,0.0
1704792975.2712293,69781,0.0
1704793008.050481,72992,40.0
1704793015.2241204,73683,20.0
1704793020.1181111,74138,140.0
1704793043.9386969,76442,40.0
1704793117.4242048,82324,0.0
1704793182.9767573,88678,40.0
1704793191.9667861,89532,40.0
1704793192.7322888,89608,0.0
1704793217.2245634,91951,40.0
1704793246.1416135,94708,40.0
1704793393.8131933,107852,100.0
1704793414.040423,109789,100.0
1704793451.931928,113441,20.0
1704793539.725641,120731,0.0
1704793554.2696013,122141,0.0
1704793593.8548026,125398,60.0
1704793730.8006158,132688,0.0
1704793906.260817,141624,0.0
1704793957.318562,144299,20.0
1704793982.537496,145640,20.0
1704794005.8776648,146954,0.0
1704794054.4418893,149708,0.0
1704794091.859398,152036,0.0
1704794157.255599,158319,100.0
1704794198.5627096,160981,20.0
1704794207.530423,161824,0.0
1704794236.5334015,164627,0.0
1704794261.3409605,167010,40.0
1704794279.696661,168728,20.0
1704794285.7542534,169297,20.0
1704794300.2882936,170664,40.0
1704794359.3400257,176125,80.0
1704794416.2324533,180536,20.0
1704794418.4095066,180745,0.0
1704794424.178259,181251,0.0
1704794440.2864575,182768,0.0
1704794444.6966448,183175,20.0
1704794561.5325277,194041,20.0
1704794614.068123,199055,40.0
1704794694.3884318,205634,0.0
1704794752.253507,210996,100.0
1704794753.1020303,211077,0.0
1704794817.45221,217087,0.0
1704794845.8587554,219749,0.0
1704794858.1798909,220013,0.0
1704794919.6089578,225693,0.0
1704794925.958742,226256,100.0
1704794951.123287,228577,140.0
1704794997.3657808,232881,20.0
1704795046.9053428,237589,80.0
1704795057.2025971,238528,60.0
1704795133.5580022,244198,20.0
1704795161.667098,246823,80.0
1704795187.8471394,249235,20.0
1704795190.9572306,249522,60.0
1704795207.1129262,251028,60.0
1704795341.0770469,262374,0.0
1704795460.1485791,273347,0.0
1704795481.0826962,275307,40.0
1704795569.040375,282738,20.0
1704795583.7252326,284091,20.0
1704795645.8367136,289833,0.0
1704795686.032422,293622,100.0
1704795689.8255253,293988,80.0
1704795719.1493475,296738,20.0
1704795900.7178473,312712,60.0
1704795913.4129825,313877,0.0
1704795925.375905,315006,40.0
1704795949.1331072,317301,100.0
1704796241.2326152,336002,20.0
1704796578.8316257,353914,20.0
1704796656.4694448,360454,0.0
1704796705.0947669,364934,0.0
1704796782.4423552,372062,40.0
1704796791.689259,372926,40.0
1704796814.0434608,375012,60.0
1704796830.380012,376557,60.0
1704796835.7456048,377070,80.0
1704796878.2806947,380090,40.0
1704796905.6008606,382598,20.0
1704796932.5269473,385057,40.0
1704796962.113225,387775,20.0
1704797046.1662045,395484,0.0
1704797047.5201766,395616,40.0
1704797084.9187975,399075,40.0
1704797142.3204582,403535,60.0
1704797157.5801482,404898,0.0
1704797176.1085727,406568,80.0
1704797243.3025646,412734,60.0
1704797258.8985662,414202,0.0
1704797284.8554342,416609,0.0
1704797297.9522665,417832,40.0
1704797337.4748893,420623,100.0
1704797350.7011452,421848,40.0
1704797370.9389305,423703,0.0
1704797372.248789,423823,40.0
1704797374.1108458,423981,40.0
1704797395.4262207,425991,40.0
1704797429.000609,429074,60.0
1704797481.5501301,433858,80.0
1704797525.2056108,437907,0.0
1704797562.020763,440278,120.0
1704797585.3688574,442431,0.0
1704797792.1346824,460280,20.0
1704797817.4105334,462608,60.0
1704798050.5644536,483026,40.0
1704798051.8061812,483142,20.0
1704798098.9598157,487515,80.0
1704798101.945496,487795,120.0
1704798135.8309631,490944,80.0
1704798180.3073592,495069,40.0
1704798304.1507332,505523,20.0
1704798344.151203,509082,140.0
1704798390.115151,513258,0.0
1704798440.3497362,517829,140.0
1704798442.963658,518079,40.0
1704798635.8532004,531451,40.0
1704798790.6617386,539553,20.0
1704799024.8827283,550957,20.0
1704799086.2745297,554909,20.0
1704799104.7213218,556542,20.0
1704799122.4483593,558152,0.0
1704799197.7588115,563701,40.0
1704799286.1098764,571661,40.0
1704799290.6371355,572072,40.0
1704799348.618651,577350,40.0
1704799395.022683,580467,40.0
1704799488.7468152,588968,20.0
1704799492.6836677,589338,20.0
1704799501.9470806,590226,80.0
1704799515.9663823,591515,40.0
1704799525.1036344,592367,200.0
1704799579.2135909,597277,80.0
1704799637.9305556,601583,60.0
1704799760.751416,612668,40.0
1704799809.8611207,617016,80.0
1704799970.232316,630291,120.0
1704799973.5109472,630589,40.0
1704800103.4365346,641031,20.0
1704800136.7132084,644020,60.0
1704800152.923459,645488,0.0
1704800178.7524285,647824,20.0
1704800183.4708488,648246,0.0
1704800259.145091,655072,40.0
1704800331.9869096,660885,40.0
1704800353.4617198,662802,120.0
1704800375.8967474,664809,20.0
1704800384.670216,665602,0.0
1704800403.1193829,667304,160.0
1704800482.7309692,674484,20.0
1704800559.252086,680398,140.0
1704800596.1480277,683757,100.0
1704800600.0306513,684115,0.0
1704800645.2808194,688333,40.0
1704800720.7166088,695300,80.0
