Wall time,Step,Value
1704792472.1329396,9985,0.0
1704792477.7581506,12485,0.0
1704792881.5358772,16921,280.0
1704792889.286398,20259,200.0
1704793090.8990989,21020,200.0
1704793098.3526032,24305,400.0
1704793100.552326,25227,280.0
1704793305.1745446,25952,180.0
1704793310.0088804,28047,340.0
1704793312.481421,29153,340.0
1704793525.259987,31408,340.0
1704793527.4297223,32379,320.0
1704794180.6868951,41144,120.0
1704794390.0910313,42470,260.0
1704794612.4317236,47571,300.0
1704794614.5889492,48492,280.0
1704794617.186981,49590,280.0
1704794830.258824,51224,260.0
1704794837.8456678,54330,220.0
1704795052.3144262,57139,300.0
1704795269.7593184,61122,500.0
1704795273.2165604,62656,580.0
1704795274.5751228,63172,120.0
1704795276.9333596,64193,360.0
1704795491.8359742,66062,320.0
1704795493.7296689,66873,260.0
1704795495.2970245,67481,200.0
1704795496.9000251,68181,220.0
1704795712.8420703,69845,260.0
1704795715.177011,70711,320.0
1704795946.7405007,77562,280.0
1704795951.4517055,79405,260.0
1704796249.428886,81106,480.0
1704796256.2040625,83537,460.0
1704796606.4298372,86647,360.0
1704796614.120745,89995,200.0
1704797056.7565281,98101,300.0
1704797272.557087,98952,320.0
1704797279.0674274,101391,320.0
1704797499.5880654,103562,300.0
1704797501.0973406,104146,180.0
1704797504.1909392,105385,280.0
1704797947.4416142,111491,340.0
1704798171.2816367,116688,200.0
1704798392.724637,119902,260.0
1704798394.5532367,120676,260.0
1704798396.9775949,121704,100.0
1704798660.7434638,123174,300.0
1704798662.6644995,123809,200.0
1704799042.6722791,127935,320.0
1704799044.3394167,128525,140.0
1704799277.444114,133703,100.0
1704799497.7303843,136014,400.0
1704799499.538872,136807,220.0
1704799720.236442,139366,260.0
1704799949.541353,145579,220.0
1704800170.670989,148921,200.0
1704800174.8791566,150796,380.0
1704800178.4707758,152358,300.0
1704800625.5774722,160006,540.0
1704800628.2153182,160975,260.0
1704800630.490648,161971,320.0
1704800851.3926883,164676,280.0
1704800852.7082992,165233,180.0
1704800854.5923936,166042,240.0
1704801087.1130672,170310,360.0
1704801094.5911028,173077,380.0
1704801475.0575173,174186,340.0
1704801478.1763935,175444,380.0
1704801743.9001923,179912,240.0
1704801745.242185,180413,100.0
1704801746.5452719,180990,160.0
1704801978.9473088,187930,180.0
1704802202.9658036,191744,300.0
1704802205.5371745,192837,360.0
1704802207.4982905,193663,240.0
1704802424.4311168,194238,160.0
1704802429.1048856,196269,240.0
1704802435.2711213,198868,440.0
1704802653.6205237,200366,200.0
1704802657.6854117,202117,260.0
1704802879.6361723,204869,600.0
1704802883.2443798,206503,540.0
1704802893.9293718,211221,440.0
1704803112.5599546,212347,240.0
1704803114.5825856,213259,220.0
1704803115.98174,213887,140.0
1704803120.724725,215983,320.0
1704803348.221023,220870,440.0
1704803956.489622,231185,200.0
1704804248.466665,233276,240.0
1704804255.1910436,235807,180.0
1704804478.156971,236854,280.0
1704804480.4370806,237772,240.0
1704804721.843794,245409,300.0
1704804957.0267587,251632,520.0
1704804960.1595619,252836,300.0
1704805181.4428852,253406,80.0
1704805184.8455207,254701,160.0
1704805637.4017313,261304,360.0
1704805640.2286217,262408,320.0
1704805646.0099792,264790,140.0
1704805871.1688943,267612,400.0
1704805876.2515006,269736,180.0
1704806105.8078187,273126,560.0
1704806111.8432372,275796,300.0
1704806115.370107,277240,420.0
1704806485.961254,280122,480.0
1704806491.8505995,282427,320.0
1704806494.1652055,283351,200.0
1704806788.4442744,286541,220.0
1704807023.7300882,293021,280.0
1704807027.420599,294614,440.0
1704807030.4045343,295920,280.0
1704807032.4763927,296838,220.0
1704807491.4928987,305645,540.0
1704807496.491987,307825,160.0
1704807498.7044606,308807,280.0
1704807725.1776304,311668,140.0
1704807955.4874384,316010,300.0
1704807961.7828658,318743,240.0
1704807963.4548593,319467,180.0
1704808192.4888225,323283,400.0
1704808198.3827558,325823,280.0
1704808431.4873087,330414,200.0
1704808659.5185766,333197,380.0
1704808663.8979886,335125,580.0
1704809050.9150653,342585,500.0
1704809053.3292167,343438,180.0
1704809342.4740937,345927,300.0
1704809352.796958,350393,460.0
1704809581.5842457,353327,360.0
1704809584.1013138,354323,200.0
1704809820.362085,360050,540.0
1704809827.3838224,362802,460.0
1704809835.9738464,366051,420.0
1704810066.3378217,370491,420.0
1704810299.7193923,374549,100.0
1704810303.0979886,375803,320.0
1704810305.3699782,376631,240.0
1704810530.936678,377753,300.0
1704810535.1723936,379248,340.0
1704810539.6802192,380992,380.0
1704810789.977302,390734,340.0
1704811022.3534193,395207,460.0
1704811024.776441,396315,220.0
1704811668.4886143,406510,400.0
1704811932.2249146,411916,300.0
1704811935.733198,413448,440.0
1704811939.9895482,415242,480.0
1704811943.3761053,416703,440.0
1704811946.686271,418106,380.0
1704812177.0584764,421560,440.0
1704812413.1366613,427962,400.0
1704812418.4183073,430271,200.0
1704812650.5868626,435659,320.0
1704812652.9277496,436688,300.0
1704812883.5214553,441058,220.0
1704812886.1973443,442228,300.0
1704813108.7362065,443476,260.0
1704813116.4184215,446856,320.0
1704813345.3042114,450920,540.0
1704813349.536232,452781,560.0
1704813581.6236095,457050,380.0
1704813583.769757,458036,320.0
1704813833.8934405,463330,340.0
1704814242.3449805,469562,240.0
1704814244.1354005,470160,120.0
1704814247.1454873,471132,300.0
1704814251.2771354,472574,200.0
1704814504.364233,473736,380.0
1704814506.5924473,474628,220.0
1704814514.078288,477381,400.0
1704814518.685109,479214,540.0
1704814746.0462496,480040,220.0
1704814748.794649,481266,260.0
1704814986.7258976,486762,420.0
1704814992.7077863,489263,380.0
1704814995.181324,490187,280.0
1704814999.6340065,492085,620.0
1704815231.3967311,495354,520.0
1704815469.4579349,501929,400.0
1704815472.9611006,503498,420.0
1704815710.4380288,508797,300.0
1704815714.540436,510632,560.0
1704815721.152738,513530,340.0
1704815949.7122238,516230,440.0
1704815964.9795046,522979,320.0
1704816189.4337797,523959,240.0
1704816197.4694145,527529,400.0
1704816199.9324768,528588,300.0
1704816486.0101314,530406,500.0
1704816490.5364506,531937,420.0
1704816500.3542821,535586,520.0
1704816502.9689758,536608,340.0
1704816890.9402401,542100,720.0
1704816893.6101406,543271,400.0
1704816897.0661168,544656,480.0
1704817125.888192,547976,600.0
1704817136.984905,552697,420.0
1704817375.4651608,559252,480.0
1704817610.429193,564456,440.0
1704817615.5821068,566725,780.0
1704817847.1658034,570778,400.0
1704817854.9563282,573900,80.0
1704818082.3635094,576087,740.0
1704818087.513202,578358,780.0
1704818092.1902108,580142,600.0
1704818097.9203272,582382,740.0
1704818101.864092,584112,600.0
1704818334.614363,588824,460.0
1704818338.973697,590726,780.0
1704818343.9268157,592624,660.0
1704818567.6548843,593488,180.0
1704818579.0492747,598144,480.0
1704819150.8063982,608921,800.0
1704819167.111279,614481,600.0
1704819172.015349,616313,620.0
1704819517.8121622,620284,700.0
1704819522.5719357,622255,640.0
1704819527.3859522,624370,780.0
1704819762.3938782,627999,480.0
1704819771.1815584,631482,620.0
1704819779.8309555,634803,680.0
1704820017.6840174,638947,860.0
1704820022.1239514,640827,680.0
1704820263.127551,645798,560.0
1704820269.1524286,648359,440.0
1704820508.3290904,652441,480.0
1704820513.5977979,654709,720.0
1704820766.1015408,665785,800.0
1704820771.0352156,667915,880.0
1704820775.6158717,669885,720.0
1704821020.633196,676245,500.0
1704821261.6296227,681840,1060.0
1704821268.7837849,684977,700.0
1704821507.6451445,690419,780.0
1704821908.3647766,696735,700.0
1704821928.5919662,704240,580.0
1704822192.4619036,705419,540.0
1704822195.0885878,706568,440.0
1704822202.012993,709454,380.0
1704822448.9907453,712745,820.0
1704822453.0038042,714368,640.0
1704822456.5821352,715847,680.0
1704822466.8777497,719833,940.0
1704822707.378598,722857,560.0
1704822715.762916,726378,740.0
1704822718.875275,727737,440.0
1704822956.8893557,733047,620.0
1704822960.9498441,734824,880.0
1704823185.9785242,741977,760.0
1704823396.5576053,745175,900.0
1704823406.1892843,749407,640.0
1704823410.902622,751391,820.0
1704823627.5699859,755188,880.0
1704823635.9952335,758848,860.0
1704823958.2911541,763188,1180.0
1704823966.3610787,766820,800.0
1704823971.0260355,768494,860.0
1704824274.785706,773618,940.0
1704824281.372861,776584,860.0
1704824286.1103063,778661,1180.0
1704824628.8324678,782953,500.0
1704824973.2930326,790377,600.0
1704825214.4898477,795158,680.0
1704825218.2036743,796706,580.0
1704825222.4763525,798595,860.0
1704825225.4581661,799892,500.0
1704825228.406761,801176,440.0
1704825477.4274104,809622,1040.0
1704825713.554398,812437,540.0
1704825717.0971718,813922,660.0
1704825720.2844713,815289,580.0
1704825722.875718,816427,480.0
1704825955.7963214,817236,200.0
1704825968.225347,821812,660.0
1704826364.346699,824055,420.0
1704826660.8343503,835754,380.0
1704826898.8472931,839814,580.0
1704827143.6199987,846704,860.0
1704827145.8272352,847584,400.0
1704827150.6705713,849705,1200.0
1704827388.4634125,855040,340.0
1704827395.183395,857878,660.0
1704827399.2674708,859565,920.0
1704827402.7133102,861116,800.0
1704827708.0813887,865407,660.0
1704828105.3464816,874284,1880.0
1704828116.0033853,878487,1220.0
1704828355.7994862,882174,860.0
1704828360.537372,884067,1320.0
1704828371.169664,888162,1480.0
1704828617.4729476,894806,1580.0
1704828622.7815142,897111,1480.0
1704828860.3512142,901125,1380.0
1704828880.5452461,909811,1420.0
1704829116.1135554,911960,1480.0
1704829124.6975257,915119,680.0
1704829533.7231655,921586,1320.0
1704829545.9346676,926188,1300.0
1704829821.1385207,932706,1520.0
1704829826.4451349,935016,1300.0
1704829836.7765214,939404,1140.0
1704830072.9268646,942831,500.0
1704830076.525491,944480,880.0
1704830081.6927266,946823,300.0
1704830084.3699112,948046,500.0
1704830321.9256783,952390,1500.0
1704830326.7338357,954559,1620.0
1704830332.3280497,957053,1980.0
1704830584.4048338,967922,1400.0
1704830945.534256,976749,2140.0
1704830951.3327239,978946,1340.0
1704830957.7730412,981230,1500.0
1704831799.7339778,1007826,1420.0
1704831811.2214131,1012629,1600.0
1704832071.3477917,1025151,900.0
1704832350.7194264,1027598,1780.0
1704832366.1252737,1033296,1160.0
1704832371.0282784,1035050,1100.0
1704832770.0397406,1042494,1660.0
1704833012.9295545,1049270,1540.0
1704833017.792276,1051182,1460.0
1704833029.4203584,1056183,1800.0
1704833034.6323538,1058448,1620.0
1704833265.1952474,1060058,800.0
1704833269.574266,1061997,1200.0
1704833275.0882714,1064382,1420.0
1704833530.4394217,1076547,1260.0
1704833773.0990956,1083010,1560.0
1704834156.0098011,1098973,1540.0
1704834500.4727402,1109453,1160.0
1704834733.9036827,1111922,1580.0
1704834739.8157487,1114416,1620.0
1704834745.4215417,1116912,2080.0
1704834985.4368267,1122799,1140.0
1704835249.896827,1138675,1360.0
1704835253.9991145,1140428,1200.0
1704835938.28212,1157436,880.0
1704835944.4289186,1159638,1640.0
1704836198.7934182,1168431,960.0
1704836201.1251342,1169450,420.0
1704836438.0957255,1173856,1680.0
1704836442.154156,1175684,1160.0
1704836447.7365954,1178183,1800.0
