Wall time,Step,Value
1704792472.13298,9985,20000.0
1704792477.7581856,12485,20000.0
1704792881.5359175,16921,60000.0
1704792889.2864387,20259,60000.0
1704793090.8991368,21020,80000.0
1704793098.3526409,24305,80000.0
1704793100.5523655,25227,80000.0
1704793305.1745842,25952,100000.0
1704793310.0089214,28047,100000.0
1704793312.4814727,29153,100000.0
1704793525.2600384,31408,120000.0
1704793527.429761,32379,120000.0
1704794180.686944,41144,160000.0
1704794390.091103,42470,180000.0
1704794612.4317732,47571,200000.0
1704794614.5890334,48492,200000.0
1704794617.1870184,49590,200000.0
1704794830.258874,51224,220000.0
1704794837.8457084,54330,220000.0
1704795052.3144784,57139,240000.0
1704795269.7593534,61122,260000.0
1704795273.2166038,62656,260000.0
1704795274.575167,63172,260000.0
1704795276.9333944,64193,260000.0
1704795491.8360271,66062,280000.0
1704795493.7297096,66873,280000.0
1704795495.297061,67481,280000.0
1704795496.9000747,68181,280000.0
1704795712.8421402,69845,300000.0
1704795715.1770644,70711,300000.0
1704795946.7405427,77562,320000.0
1704795951.4517777,79405,320000.0
1704796249.428922,81106,340000.0
1704796256.2040973,83537,340000.0
1704796606.4298887,86647,360000.0
1704796614.1207817,89995,360000.0
1704797056.7565732,98101,400000.0
1704797272.5571628,98952,420000.0
1704797279.0674722,101391,420000.0
1704797499.5881255,103562,440000.0
1704797501.0974188,104146,440000.0
1704797504.1909842,105385,440000.0
1704797947.4416652,111491,480000.0
1704798171.2816772,116688,500000.0
1704798392.7246823,119902,520000.0
1704798394.5532873,120676,520000.0
1704798396.9776325,121704,520000.0
1704798660.743505,123174,540000.0
1704798662.6645586,123809,540000.0
1704799042.672318,127935,560000.0
1704799044.3394856,128525,560000.0
1704799277.4441602,133703,580000.0
1704799497.7304459,136014,600000.0
1704799499.5389082,136807,600000.0
1704799720.2364867,139366,620000.0
1704799949.5414016,145579,640000.0
1704800170.6710389,148921,660000.0
1704800174.8791926,150796,660000.0
1704800178.4708304,152358,660000.0
1704800625.577524,160006,700000.0
1704800628.215374,160975,700000.0
1704800630.4906914,161971,700000.0
1704800851.3927333,164676,720000.0
1704800852.708344,165233,720000.0
1704800854.5924363,166042,720000.0
1704801087.1131132,170310,740000.0
1704801094.591147,173077,740000.0
1704801475.057558,174186,760000.0
1704801478.1764297,175444,760000.0
1704801743.9002368,179912,780000.0
1704801745.2422278,180413,780000.0
1704801746.545318,180990,780000.0
1704801978.9473572,187930,800000.0
1704802202.9658473,191744,820000.0
1704802205.5372193,192837,820000.0
1704802207.4983308,193663,820000.0
1704802424.4311683,194238,840000.0
1704802429.1049283,196269,840000.0
1704802435.2711964,198868,840000.0
1704802653.6205664,200366,860000.0
1704802657.685448,202117,860000.0
1704802879.6362226,204869,880000.0
1704802883.2444196,206503,880000.0
1704802893.9294088,211221,880000.0
1704803112.5599985,212347,900000.0
1704803114.582621,213259,900000.0
1704803115.9817855,213887,900000.0
1704803120.7247603,215983,900000.0
1704803348.2211046,220870,920000.0
1704803956.4896748,231185,960000.0
1704804248.4667084,233276,980000.0
1704804255.1910794,235807,980000.0
1704804478.1570187,236854,1000000.0
1704804480.4371293,237772,1000000.0
1704804721.843841,245409,1020000.0
1704804957.0267975,251632,1040000.0
1704804960.1596065,252836,1040000.0
1704805181.4429374,253406,1060000.0
1704805184.8455837,254701,1060000.0
1704805637.4017687,261304,1100000.0
1704805640.2286625,262408,1100000.0
1704805646.010031,264790,1100000.0
1704805871.1689298,267612,1120000.0
1704805876.2515383,269736,1120000.0
1704806105.8078609,273126,1140000.0
1704806111.8432734,275796,1140000.0
1704806115.3701758,277240,1140000.0
1704806485.9612994,280122,1160000.0
1704806491.8506358,282427,1160000.0
1704806494.1652403,283351,1160000.0
1704806788.4443402,286541,1180000.0
1704807023.7301862,293021,1200000.0
1704807027.4206402,294614,1200000.0
1704807030.4045722,295920,1200000.0
1704807032.4764407,296838,1200000.0
1704807491.4929435,305645,1240000.0
1704807496.4920282,307825,1240000.0
1704807498.7044966,308807,1240000.0
1704807725.1776657,311668,1260000.0
1704807955.487514,316010,1280000.0
1704807961.7829041,318743,1280000.0
1704807963.4549167,319467,1280000.0
1704808192.4889007,323283,1300000.0
1704808198.382802,325823,1300000.0
1704808431.4873667,330414,1320000.0
1704808659.5186327,333197,1340000.0
1704808663.8980436,335125,1340000.0
1704809050.9150999,342585,1360000.0
1704809053.329261,343438,1360000.0
1704809342.4741364,345927,1380000.0
1704809352.796995,350393,1380000.0
1704809581.5842943,353327,1400000.0
1704809584.1013546,354323,1400000.0
1704809820.3621354,360050,1420000.0
1704809827.383867,362802,1420000.0
1704809835.9738948,366051,1420000.0
1704810066.337866,370491,1440000.0
1704810299.7194457,374549,1460000.0
1704810303.0980496,375803,1460000.0
1704810305.3700304,376631,1460000.0
1704810530.9367194,377753,1480000.0
1704810535.1724422,379248,1480000.0
1704810539.6802742,380992,1480000.0
1704810789.9773445,390734,1500000.0
1704811022.3534575,395207,1520000.0
1704811024.7764814,396315,1520000.0
1704811668.4886587,406510,1560000.0
1704811932.224962,411916,1580000.0
1704811935.7332473,413448,1580000.0
1704811939.9895968,415242,1580000.0
1704811943.376141,416703,1580000.0
1704811946.6863165,418106,1580000.0
1704812177.0585165,421560,1600000.0
1704812413.13672,427962,1620000.0
1704812418.4183474,430271,1620000.0
1704812650.5869038,435659,1640000.0
1704812652.9277868,436688,1640000.0
1704812883.5214925,441058,1660000.0
1704812886.1973903,442228,1660000.0
1704813108.7362468,443476,1680000.0
1704813116.4184558,446856,1680000.0
1704813345.3042526,450920,1700000.0
1704813349.5362663,452781,1700000.0
1704813581.6236503,457050,1720000.0
1704813583.7697952,458036,1720000.0
1704813833.8934846,463330,1740000.0
1704814242.3450372,469562,1760000.0
1704814244.13545,470160,1760000.0
1704814247.1455367,471132,1760000.0
1704814251.2771862,472574,1760000.0
1704814504.364277,473736,1780000.0
1704814506.5925002,474628,1780000.0
1704814514.0783732,477381,1780000.0
1704814518.6851573,479214,1780000.0
1704814746.0462878,480040,1800000.0
1704814748.7946997,481266,1800000.0
1704814986.7259398,486762,1820000.0
1704814992.707839,489263,1820000.0
1704814995.1813784,490187,1820000.0
1704814999.6340475,492085,1820000.0
1704815231.396781,495354,1840000.0
1704815469.4579778,501929,1860000.0
1704815472.9611387,503498,1860000.0
1704815710.4380872,508797,1880000.0
1704815714.5404744,510632,1880000.0
1704815721.1527746,513530,1880000.0
1704815949.7122686,516230,1900000.0
1704815964.9795492,522979,1900000.0
1704816189.4338279,523959,1920000.0
1704816197.4694486,527529,1920000.0
1704816199.9325216,528588,1920000.0
1704816486.0101757,530406,1940000.0
1704816490.5364952,531937,1940000.0
1704816500.354326,535586,1940000.0
1704816502.9690266,536608,1940000.0
1704816890.940283,542100,1960000.0
1704816893.6101768,543271,1960000.0
1704816897.066158,544656,1960000.0
1704817125.8882291,547976,1980000.0
1704817136.9849427,552697,1980000.0
