Wall time,Step,Value
1704792335.9924417,1988,20.0
1704792342.9537282,6398,20.0
1704792346.5703142,8440,60.0
1704792346.734154,8552,20.0
1704792371.1609497,12080,40.0
1704792388.0417159,13787,0.0
1704792395.219241,14515,40.0
1704792422.5680592,17315,0.0
1704792492.6183631,21535,0.0
1704792501.737061,22449,40.0
1704792524.4369593,24814,0.0
1704792599.4387572,32459,0.0
1704792618.3048198,34387,20.0
1704792654.562943,38057,100.0
1704792708.7383711,42710,20.0
1704792771.970744,49186,0.0
1704792800.3203468,52024,60.0
1704792822.8196065,54282,0.0
1704792844.8897188,56528,0.0
1704792889.8661432,60063,0.0
1704792926.078088,63747,0.0
1704792942.7560174,65403,140.0
1704792950.7572472,66174,20.0
1704792989.010634,70001,0.0
1704793018.670504,72997,80.0
1704793025.4002583,73663,0.0
1704793026.9073927,73816,0.0
1704793056.0526795,76695,120.0
1704793119.2452269,81851,40.0
1704793182.2710202,88172,40.0
1704793189.6668088,88899,0.0
1704793190.7386894,89003,20.0
1704793219.6963437,91838,60.0
1704793240.5180576,93893,0.0
1704793412.094993,109552,80.0
1704793428.469673,111163,0.0
1704793473.138003,115441,40.0
1704793559.6169899,122688,40.0
1704793573.74634,124046,20.0
1704793623.676383,127095,0.0
1704793786.9957805,135844,0.0
1704793962.515447,144773,40.0
1704794017.117792,147692,100.0
1704794044.6421542,149372,0.0
1704794087.7975578,151783,20.0
1704794119.9283664,154882,60.0
1704794147.5049362,157546,80.0
1704794215.3175027,163216,0.0
1704794235.853007,165212,0.0
1704794243.8430407,165990,40.0
1704794269.5673378,168471,0.0
1704794288.0134873,170226,0.0
1704794301.3521295,171530,0.0
1704794303.7526302,171765,60.0
1704794316.9657428,173063,0.0
1704794373.3175702,178521,60.0
1704794434.6992416,183602,0.0
1704794438.183045,183965,40.0
1704794441.8912861,184330,0.0
1704794462.4725406,186246,20.0
1704794471.6550565,187125,20.0
1704794547.3789163,194389,0.0
1704794573.9570494,196914,20.0
1704794630.9861434,201316,0.0
1704794706.5218167,208523,160.0
1704794783.4862227,215908,40.0
1704794787.7465487,216311,140.0
1704794854.0150461,221584,0.0
1704794890.1929283,225072,100.0
1704794894.1388412,225433,20.0
1704794947.921356,230622,40.0
1704794951.606124,230970,60.0
1704794976.0990727,233332,160.0
1704795020.894526,237630,0.0
1704795085.6651196,242694,20.0
1704795099.5971093,244067,20.0
1704795163.7034755,250231,0.0
1704795188.399258,252609,20.0
1704795223.3163223,255998,20.0
1704795225.6866693,256222,20.0
1704795242.2324872,257773,60.0
1704795392.5777402,271004,0.0
1704795540.251687,283926,40.0
1704795566.090898,286343,0.0
1704795646.0244071,293889,80.0
1704795669.1894774,296109,20.0
1704795736.4396398,301236,80.0
1704795781.7318513,305464,80.0
1704795785.878515,305853,160.0
1704795830.3511965,309996,20.0
1704796028.800647,327187,40.0
1704796051.5855036,329363,80.0
1704796080.7093503,331146,40.0
1704796115.6351829,333074,60.0
1704796520.4417357,354049,20.0
1704796778.0629125,375538,20.0
1704796862.8137147,382695,40.0
1704796930.9651947,389136,0.0
1704797024.38364,397875,20.0
1704797032.5993364,398662,0.0
1704797065.3770483,400830,20.0
1704797078.488725,402055,20.0
1704797086.4708803,402785,80.0
1704797130.0377958,406921,40.0
1704797157.4601052,409540,60.0
1704797189.498,412537,40.0
1704797217.563176,415157,20.0
1704797319.37323,423566,20.0
1704797320.8507357,423690,20.0
1704797364.962175,427838,0.0
1704797416.8599105,432650,60.0
1704797430.9045596,433971,40.0
1704797449.4407952,435710,20.0
1704797552.627857,444468,0.0
1704797568.0108347,445910,100.0
