Wall time,Step,Value
1705152798.9916923,3767,40000.0
1705152800.6122963,4493,40000.0
1705152967.9457324,7195,60000.0
1705152970.1305337,8234,60000.0
1705152975.8826795,11024,60000.0
1705153142.6996124,12288,80000.0
1705153147.1994274,14510,80000.0
1705153149.4053788,15471,80000.0
1705153316.083169,16833,100000.0
1705153325.983894,21392,100000.0
1705153841.3613493,31419,160000.0
1705154011.0784802,34653,180000.0
1705154015.394279,36739,180000.0
1705154019.4450297,38591,180000.0
1705154188.998933,39132,200000.0
1705154191.2579403,40290,200000.0
1705154194.5772712,41986,200000.0
1705154368.0251307,45116,220000.0
1705154369.8050616,45867,220000.0
1705154538.012794,46779,240000.0
1705154539.577534,47460,240000.0
1705154542.408933,48668,240000.0
1705154717.5005438,53406,260000.0
1705154884.625687,54933,280000.0
1705154886.7550642,55938,280000.0
1705154888.2950668,56635,280000.0
1705154889.413165,57162,280000.0
1705155059.3686519,59633,300000.0
1705155061.4209337,60638,300000.0
1705155062.4436133,61128,300000.0
1705155064.8846917,62293,300000.0
1705155241.434227,67606,320000.0
1705155412.9930084,70978,340000.0
1705155582.824524,73435,360000.0
1705155584.3668668,74249,360000.0
1705155759.630013,79068,380000.0
1705156104.0002513,87155,420000.0
1705156276.4086678,89517,440000.0
1705156277.7365103,90211,440000.0
1705156453.1107962,94947,460000.0
1705156622.091831,96827,480000.0
1705156624.6926763,98016,480000.0
1705156971.848077,104539,520000.0
1705156973.1535897,105215,520000.0
1705156976.9252212,107110,520000.0
1705157146.395043,108483,540000.0
1705157321.0121017,113713,560000.0
1705157324.1806211,115351,560000.0
1705157492.1794102,116503,580000.0
1705157493.3719363,117130,580000.0
1705157494.7039409,117787,580000.0
1705157834.6387742,122910,620000.0
1705158007.4063122,127276,640000.0
1705158011.080528,129214,640000.0
1705158012.5686262,130008,640000.0
1705158014.1783042,130674,640000.0
1705158182.7422855,132770,660000.0
1705158352.3439822,135568,680000.0
1705158355.3367007,137070,680000.0
1705158357.6068761,138242,680000.0
1705158527.8949084,140883,700000.0
1705158704.1928122,145478,720000.0
1705158705.6462574,146251,720000.0
1705158935.1823072,148422,740000.0
1705158942.126837,151371,740000.0
1705159115.6595395,152565,760000.0
1705159117.1237235,153340,760000.0
1705159119.7304993,154697,760000.0
1705159287.3201878,156175,780000.0
