Wall time,Step,Value
1705152516.2212691,1988,20.0
1705152521.9195871,5945,20.0
1705152522.2128446,6176,0.0
1705152526.3085105,9468,40.0
1705152547.3697002,13143,100.0
1705152617.7942863,20861,20.0
1705152633.2556572,22373,20.0
1705152717.3326123,30790,0.0
1705152722.4769945,31294,0.0
1705152755.08658,34457,40.0
1705152773.1917613,36694,0.0
1705152814.1954381,41190,0.0
1705152815.2618403,41330,0.0
1705152824.9515636,42513,0.0
1705152860.2359564,46767,60.0
1705152880.5854769,49383,60.0
1705152952.775961,58206,20.0
1705153012.6382983,64397,160.0
1705153032.5851915,66786,120.0
1705153107.4044724,75774,60.0
1705153138.4908412,79804,0.0
1705153167.5537183,82138,0.0
1705153173.6689441,82826,0.0
1705153174.5751414,82932,20.0
1705153224.511776,89223,20.0
1705153241.952305,91260,60.0
1705153255.3853626,92896,0.0
1705153273.6529944,95064,40.0
1705153337.3591423,101358,80.0
1705153347.7964413,102611,20.0
1705153399.5329254,109054,60.0
1705153407.376403,109991,60.0
1705153412.073597,110554,100.0
1705153440.0196276,113880,140.0
1705153442.5908868,114182,80.0
1705153464.206638,116701,40.0
1705153470.5978303,117449,0.0
1705153521.2681541,122790,0.0
1705153645.692786,137803,80.0
1705153689.5425336,141844,0.0
1705153690.5629683,141958,20.0
1705153696.6059284,142641,0.0
1705153723.0094082,145691,0.0
1705153725.9550068,146100,0.0
1705153732.2398672,147052,0.0
1705153798.1257815,154912,60.0
1705153801.6752355,155308,40.0
1705153832.5979915,159200,0.0
1705153838.7675705,159938,40.0
1705153849.7729528,160539,0.0
1705153911.3917716,168218,20.0
1705153915.916831,168721,20.0
1705153916.9936929,168834,20.0
1705153942.9726143,171906,0.0
1705154028.971955,181120,60.0
1705154049.040634,183456,100.0
1705154111.9259298,190917,40.0
1705154114.7082949,191260,20.0
1705154136.6435568,193785,0.0
1705154141.645924,194355,0.0
1705154200.8275163,200713,40.0
1705154212.1292398,202070,100.0
1705154241.0149484,205451,0.0
1705154252.793184,207083,100.0
1705154268.2262049,208901,40.0
1705154306.6264062,213337,40.0
1705154322.6550677,215242,20.0
1705154339.8978534,217477,0.0
1705154389.4271898,222394,100.0
1705154420.1761155,226187,0.0
1705154446.9454594,229310,40.0
1705154475.0067115,232614,40.0
1705154480.392333,233241,40.0
1705154505.0246484,236128,220.0
1705154558.452917,241488,40.0
1705154604.0147579,247121,60.0
1705154613.7066798,248292,40.0
1705154634.2480679,250750,0.0
1705154644.1505275,251898,0.0
1705154661.6893036,253934,40.0
1705154664.8005722,254307,40.0
1705154670.153435,254874,40.0
1705154745.233781,263137,40.0
1705154814.3662572,271526,140.0
1705154840.0555298,274614,160.0
1705154849.5242739,275686,0.0
1705154867.8891098,278196,80.0
1705154872.2603269,278744,20.0
1705154893.2101235,280236,60.0
1705154958.2196617,288174,100.0
1705154978.0817142,290601,40.0
1705154999.5399094,293139,200.0
