Wall time,Step,Value
1704792375.2081375,1971,0.0
1704792376.4904747,2532,80.0
1704792775.9843585,7460,400.0
1704792785.815554,11696,340.0
1704792983.725805,12277,160.0
1704792989.9971392,14973,320.0
1704792992.694612,16130,340.0
1704793195.6914146,17217,400.0
1704793199.1294649,18519,240.0
1704793201.1721172,19168,180.0
1704793409.5054283,21328,120.0
1704793411.1654522,22000,220.0
1704794017.920376,30971,120.0
1704794248.8938656,32515,180.0
1704794463.8065908,37651,100.0
1704794464.9186633,38137,100.0
1704794465.8894312,38557,60.0
1704794671.6864629,39913,220.0
1704794675.46356,41619,100.0
1704794882.989835,43640,160.0
1704795089.9974375,45805,200.0
1704795091.5208561,46464,160.0
1704795092.635009,46948,80.0
1704795094.704346,47845,300.0
1704795302.1050577,49263,220.0
1704795303.4477994,49762,120.0
1704795305.0308027,50375,160.0
1704795306.062551,50801,80.0
1704795515.0831692,52194,340.0
1704795516.947129,52925,200.0
1704795731.1554947,57020,200.0
1704795733.3296258,57980,100.0
1704795941.7857354,59348,440.0
1704795945.4449556,60938,280.0
1704796234.24714,63887,260.0
1704796246.355518,68326,180.0
1704796823.5662096,81131,300.0
1704797032.7312322,81790,200.0
1704797038.6991618,84260,260.0
1704797253.8603067,87208,420.0
1704797256.1526644,88215,280.0
1704797261.4201481,90484,340.0
1704797694.786525,98602,380.0
1704797912.8606086,103554,200.0
1704798131.4818838,106996,240.0
1704798132.8154402,107510,140.0
1704798137.6266534,109249,260.0
1704798351.9288557,110517,120.0
1704798353.167929,111056,60.0
1704798583.9464905,115237,280.0
1704798587.5943353,116617,520.0
1704798965.22828,124066,240.0
1704799220.0061543,125695,140.0
1704799221.7362146,126428,160.0
1704799438.9988668,129360,300.0
1704799663.9304123,134549,200.0
1704799881.2781467,137153,500.0
1704799887.4211195,139793,440.0
1704799891.2607327,141450,280.0
1704800323.3070848,146444,340.0
1704800325.9570816,147591,400.0
1704800327.5776834,148236,240.0
1704800544.7309973,150402,140.0
1704800545.818279,150832,100.0
1704800547.229101,151462,160.0
1704800764.7996614,153923,20.0
1704800769.266335,155829,60.0
1704800984.4669693,156390,140.0
1704800986.7040305,157302,260.0
1704801305.892473,161307,400.0
1704801309.9205961,162747,400.0
1704801314.6346385,164662,600.0
1704801655.5189676,172018,200.0
1704801877.3001418,176533,500.0
1704801879.5606475,177511,280.0
1704801883.6388738,179252,440.0
1704802100.963009,180671,520.0
1704802106.877515,183191,440.0
1704802111.4690619,185160,320.0
1704802329.2088506,187357,280.0
1704802334.0711942,189441,360.0
1704802550.4751966,191405,180.0
1704802553.4779935,192703,380.0
1704802564.1406276,197291,320.0
1704802779.2334735,197966,220.0
1704802781.6171217,198958,360.0
1704802784.3023508,200102,300.0
1704802789.1628587,202192,420.0
1704803020.0915508,209947,400.0
1704803473.476067,221943,500.0
1704803760.2640848,224438,360.0
1704803768.6539345,227699,260.0
1704804132.848271,229205,460.0
1704804136.0010512,230570,380.0
1704804368.956934,239685,200.0
1704804591.6197531,243323,320.0
1704804594.7712924,244533,320.0
1704804810.346071,245966,420.0
1704804815.7438304,248252,460.0
1704805265.1834223,258393,360.0
1704805268.2663085,259658,480.0
1704805275.6793268,262817,360.0
1704805492.4413607,264880,340.0
1704805498.2222478,267188,300.0
1704805716.8859875,269160,360.0
1704805720.9614613,270931,140.0
1704805723.6422608,272067,340.0
1704805942.4594374,274145,280.0
1704805948.1537852,276595,220.0
1704805951.6654744,278134,340.0
1704806196.5365396,280572,320.0
1704806577.8541954,285782,220.0
1704806580.4703074,286677,280.0
1704806583.7488413,287957,280.0
1704806586.4945881,289081,300.0
1704807066.6620383,300235,700.0
1704807071.4689944,302301,220.0
1704807075.9542003,304045,540.0
1704807298.1204178,306543,160.0
1704807530.2451077,310889,340.0
1704807536.7574563,313308,320.0
1704807541.773412,315214,640.0
1704807772.088998,319607,320.0
1704807777.9713008,321839,400.0
1704808013.973438,328262,440.0
1704808241.1987634,331012,260.0
1704808243.486284,331846,160.0
1704808477.5096984,338534,640.0
1704808480.6625273,339709,380.0
1704808715.5795035,342510,420.0
1704808726.837819,346659,340.0
1704809105.1302643,349426,280.0
