Wall time,Step,Value
1704792375.208184,1971,20000.0
1704792376.4905298,2532,20000.0
1704792775.9844034,7460,60000.0
1704792785.815595,11696,60000.0
1704792983.7258503,12277,80000.0
1704792989.99718,14973,80000.0
1704792992.694648,16130,80000.0
1704793195.6914513,17217,100000.0
1704793199.1295028,18519,100000.0
1704793201.172221,19168,100000.0
1704793409.5054934,21328,120000.0
1704793411.1654935,22000,120000.0
1704794017.92041,30971,160000.0
1704794248.8939056,32515,180000.0
1704794463.806623,37651,200000.0
1704794464.9186964,38137,200000.0
1704794465.889481,38557,200000.0
1704794671.6865003,39913,220000.0
1704794675.4636033,41619,220000.0
1704794882.989873,43640,240000.0
1704795089.9974844,45805,260000.0
1704795091.5208955,46464,260000.0
1704795092.6350455,46948,260000.0
1704795094.7043953,47845,260000.0
1704795302.1050982,49263,280000.0
1704795303.4478464,49762,280000.0
1704795305.0308423,50375,280000.0
1704795306.0625904,50801,280000.0
1704795515.0832098,52194,300000.0
1704795516.9471698,52925,300000.0
1704795731.155542,57020,320000.0
1704795733.329677,57980,320000.0
1704795941.7857773,59348,340000.0
1704795945.4450147,60938,340000.0
1704796234.2471797,63887,360000.0
1704796246.3555527,68326,360000.0
1704796823.5662522,81131,400000.0
1704797032.7312953,81790,420000.0
1704797038.6992023,84260,420000.0
1704797253.8603673,87208,440000.0
1704797256.152698,88215,440000.0
1704797261.4201832,90484,440000.0
1704797694.786563,98602,480000.0
1704797912.8606648,103554,500000.0
1704798131.481948,106996,520000.0
1704798132.8154795,107510,520000.0
1704798137.626716,109249,520000.0
1704798351.9289112,110517,540000.0
1704798353.1679623,111056,540000.0
1704798583.9465272,115237,560000.0
1704798587.5943718,116617,560000.0
1704798965.228333,124066,580000.0
1704799220.0061898,125695,600000.0
1704799221.7362478,126428,600000.0
1704799438.9989069,129360,620000.0
1704799663.9304867,134549,640000.0
1704799881.2781854,137153,660000.0
1704799887.4211638,139793,660000.0
1704799891.2607656,141450,660000.0
1704800323.3071225,146444,700000.0
1704800325.9571154,147591,700000.0
1704800327.5777223,148236,700000.0
1704800544.7310529,150402,720000.0
1704800545.818314,150832,720000.0
1704800547.2291617,151462,720000.0
1704800764.7997282,153923,740000.0
1704800769.2663848,155829,740000.0
1704800984.467011,156390,760000.0
1704800986.704067,157302,760000.0
1704801305.8925169,161307,780000.0
1704801309.9206407,162747,780000.0
1704801314.6346865,164662,780000.0
1704801655.5190117,172018,800000.0
1704801877.3001797,176533,820000.0
1704801879.5606847,177511,820000.0
1704801883.6389103,179252,820000.0
1704802100.9630497,180671,840000.0
1704802106.8775585,183191,840000.0
1704802111.469099,185160,840000.0
1704802329.2088854,187357,860000.0
1704802334.071229,189441,860000.0
1704802550.475274,191405,880000.0
1704802553.4780467,192703,880000.0
1704802564.1406627,197291,880000.0
1704802779.2335515,197966,900000.0
1704802781.617182,198958,900000.0
1704802784.3023877,200102,900000.0
1704802789.1629007,202192,900000.0
1704803020.0915968,209947,920000.0
1704803473.4761152,221943,960000.0
1704803760.2641618,224438,980000.0
1704803768.6539767,227699,980000.0
1704804132.8483143,229205,1000000.0
1704804136.0010877,230570,1000000.0
1704804368.956967,239685,1020000.0
1704804591.6198008,243323,1040000.0
1704804594.771343,244533,1040000.0
1704804810.3461134,245966,1060000.0
1704804815.7438626,248252,1060000.0
1704805265.183463,258393,1100000.0
1704805268.2663434,259658,1100000.0
1704805275.6793754,262817,1100000.0
1704805492.4414127,264880,1120000.0
1704805498.2223089,267188,1120000.0
1704805716.886042,269160,1140000.0
1704805720.9614954,270931,1140000.0
1704805723.6422963,272067,1140000.0
1704805942.4594748,274145,1160000.0
1704805948.1538265,276595,1160000.0
1704805951.6655085,278134,1160000.0
1704806196.5365815,280572,1180000.0
1704806577.8542516,285782,1200000.0
1704806580.4703445,286677,1200000.0
1704806583.74888,287957,1200000.0
1704806586.4946232,289081,1200000.0
1704807066.6620831,300235,1240000.0
1704807071.4690356,302301,1240000.0
1704807075.9542623,304045,1240000.0
1704807298.1204607,306543,1260000.0
1704807530.2451463,310889,1280000.0
1704807536.757501,313308,1280000.0
1704807541.7735136,315214,1280000.0
1704807772.0891268,319607,1300000.0
1704807777.9713466,321839,1300000.0
1704808013.9734983,328262,1320000.0
1704808241.1988087,331012,1340000.0
1704808243.4863434,331846,1340000.0
1704808477.5097332,338534,1360000.0
1704808480.662585,339709,1360000.0
1704808715.5795405,342510,1380000.0
1704808726.8378537,346659,1380000.0
1704809105.130342,349426,1400000.0
1704809110.5892322,351232,1400000.0
1704809382.8866947,358711,1420000.0
1704809388.8439395,360851,1420000.0
1704809396.1837337,363696,1420000.0
1704809630.8511474,368898,1440000.0
1704809862.8302402,374594,1460000.0
1704809865.457559,375726,1460000.0
1704809870.4080865,377559,1460000.0
1704810092.7136183,379181,1480000.0
1704810096.5692418,380783,1480000.0
1704810098.9995058,381789,1480000.0
1704810337.748875,390603,1500000.0
1704810563.5371692,394792,1520000.0
1704810566.5811281,396057,1520000.0
1704811025.535934,405339,1560000.0
1704811271.9045968,409810,1580000.0
1704811276.5061512,411446,1580000.0
1704811280.0433674,412754,1580000.0
1704811282.6204267,413879,1580000.0
1704811285.1841254,414927,1580000.0
1704811671.8749561,419805,1600000.0
1704811933.1417234,425092,1620000.0
1704811938.4691527,427397,1620000.0
1704812173.854823,433744,1640000.0
1704812176.6446648,434964,1640000.0
1704812405.6948488,439641,1660000.0
1704812408.8101509,440989,1660000.0
1704812631.6266708,442489,1680000.0
1704812642.8092113,447004,1680000.0
1704812869.684621,450899,1700000.0
1704812873.082223,452248,1700000.0
1704813101.8196604,456669,1720000.0
1704813104.9208753,457978,1720000.0
1704813340.5678177,464937,1740000.0
1704813581.568298,472774,1760000.0
1704813584.3609157,473884,1760000.0
1704813586.6318703,474797,1760000.0
1704813593.3417423,477558,1760000.0
1704813833.4162722,479009,1780000.0
1704813836.8531759,480183,1780000.0
1704813842.189201,482006,1780000.0
1704813845.3417878,483269,1780000.0
1704814224.469771,484631,1800000.0
1704814228.4796526,486073,1800000.0
1704814489.9717906,491764,1820000.0
1704814495.1225216,494063,1820000.0
1704814497.6631258,495149,1820000.0
1704814500.3478389,496255,1820000.0
1704814726.2812908,498953,1840000.0
1704814953.7751493,503435,1860000.0
1704814957.5233917,505056,1860000.0
1704815187.4593647,510480,1880000.0
1704815190.0639675,511589,1880000.0
1704815198.2129502,514794,1880000.0
1704815419.803126,516952,1900000.0
1704815429.3715713,521044,1900000.0
1704815648.328432,521733,1920000.0
1704815661.2420692,527016,1920000.0
1704815663.977167,528035,1920000.0
1704815889.8779776,530042,1940000.0
1704815894.8693504,532032,1940000.0
1704815906.6501408,536571,1940000.0
1704815911.360001,538458,1940000.0
1704816146.7516472,543599,1960000.0
