Wall time,Step,Value
1704792267.3129003,1988,20.0
1704792273.5342073,6398,20.0
1704792276.3791447,8440,60.0
1704792276.6220155,8552,20.0
1704792299.1551044,12098,40.0
1704792313.5299852,13787,0.0
1704792317.0919335,14226,0.0
1704792339.0189295,16648,0.0
1704792385.9936562,20972,0.0
1704792397.3833237,22163,0.0
1704792418.802828,24386,0.0
1704792484.0089989,31194,0.0
1704792509.2987614,33789,20.0
1704792539.198997,36902,20.0
1704792591.4838755,41401,0.0
1704792651.7217252,47516,0.0
1704792674.7202458,49907,80.0
1704792692.7757974,51767,0.0
1704792713.397501,53904,40.0
1704792739.919463,56670,0.0
1704792772.1488183,59938,40.0
1704792800.542533,61479,0.0
1704792807.9621804,62220,0.0
1704792851.7922466,66726,60.0
1704792886.1543982,70279,20.0
1704792893.3133898,71015,40.0
1704792897.7048416,71467,100.0
1704792918.826806,73623,20.0
1704792971.9147484,78990,40.0
1704793037.5220134,84502,20.0
1704793046.1168468,85373,60.0
1704793047.6445312,85524,20.0
1704793067.4363058,87512,60.0
1704793088.8219438,89657,0.0
1704793230.9730597,102764,20.0
1704793248.2257721,104453,40.0
1704793287.4362512,108299,0.0
1704793371.0380194,116598,20.0
1704793380.69763,117573,40.0
1704793426.786704,121128,40.0
1704793519.4423845,130224,0.0
1704793607.784887,137956,40.0
1704793662.880699,140259,120.0
1704793692.8891404,142028,20.0
1704793720.747842,143662,20.0
1704793769.7147088,146456,0.0
1704793806.5425363,148522,40.0
1704793907.7496347,154309,40.0
1704793950.2499256,156688,0.0
1704793971.8331418,157813,20.0
1704794031.0482314,160664,0.0
1704794078.1308694,163343,60.0
1704794100.2361498,165229,40.0
1704794103.7552338,165586,60.0
1704794112.2171981,166451,40.0
1704794156.8010507,170885,120.0
1704794221.302562,177398,20.0
1704794226.1984844,177892,140.0
1704794231.521014,178426,40.0
1704794244.9344213,179800,60.0
1704794259.8429434,180367,60.0
1704794340.9764233,188335,0.0
1704794374.6137052,191651,120.0
1704794425.7991164,196755,60.0
1704794491.0705516,202475,0.0
1704794558.8909738,209189,0.0
1704794562.1397583,209512,80.0
1704794626.5208898,215913,60.0
1704794654.6286213,218679,0.0
1704794661.9703515,219367,180.0
1704794733.7108874,225763,40.0
1704794738.2406142,226195,40.0
1704794767.9905884,229120,60.0
1704794809.9612098,233210,40.0
1704794858.0139906,238043,0.0
1704794871.2479901,239329,0.0
1704794931.7863839,244421,0.0
1704794959.7486525,247188,60.0
1704794982.4343927,249425,40.0
1704794985.4776006,249727,20.0
1704794996.709836,250824,100.0
1704795117.5532653,262074,0.0
1704795223.3896015,272500,40.0
1704795250.0162206,275092,20.0
1704795317.9378748,281070,0.0
1704795331.5850263,282414,20.0
1704795381.1647024,287251,0.0
1704795416.9771636,290665,100.0
1704795417.5986001,290730,0.0
1704795438.4761608,292742,0.0
1704795580.5563686,305748,0.0
1704795593.2850015,306983,20.0
1704795614.854844,309100,0.0
1704795637.2027876,311281,80.0
1704795806.4672322,327133,40.0
1704796042.4237194,348846,40.0
1704796172.5228565,356725,120.0
1704796310.8789225,363706,20.0
1704796457.159921,371849,40.0
1704796471.6404757,372829,20.0
1704796519.7376258,375503,20.0
1704796539.9360828,376680,20.0
1704796559.500413,377637,100.0
1704796611.7785127,380648,0.0
1704796649.652407,384372,40.0
1704796679.1225994,387247,80.0
1704796704.9184985,389716,60.0
1704796784.1276116,397469,20.0
1704796785.5103538,397612,0.0
1704796841.0568542,401712,40.0
1704796891.622759,406602,40.0
1704796907.6328049,408172,20.0
1704796920.2412078,409367,40.0
1704797006.6322763,417666,40.0
1704797026.027407,419530,0.0
1704797071.1574914,423028,60.0
1704797090.1168,424831,140.0
1704797122.2682784,427948,20.0
1704797131.8457093,428864,100.0
1704797157.7120178,431400,40.0
1704797159.1375463,431540,60.0
1704797162.6860666,431847,100.0
1704797197.5127294,435170,80.0
1704797242.1257432,439404,40.0
1704797326.708377,446280,20.0
1704797385.2230892,451942,60.0
1704797412.349762,454552,40.0
1704797449.9868362,458201,40.0
1704797708.9209652,480695,60.0
1704797732.4579825,482934,160.0
1704798007.1775558,508375,40.0
1704798009.219972,508590,60.0
1704798054.7813287,512888,40.0
1704798056.415768,513040,20.0
1704798079.1763997,515236,40.0
1704798127.4957461,519820,40.0
1704798274.9820175,532857,80.0
1704798311.9328444,536341,40.0
1704798374.9959466,541632,20.0
1704798424.514897,546344,80.0
1704798427.1201665,546601,0.0
1704798626.06849,561898,0.0
1704798805.4996607,571886,20.0
1704799068.5696192,585885,40.0
1704799110.5622196,589878,20.0
1704799124.6075563,591230,0.0
1704799153.2197444,594015,120.0
1704799212.4026616,599659,20.0
1704799302.8644123,607392,40.0
1704799309.9148736,608066,120.0
1704799374.7010055,614226,80.0
1704799401.1630814,616768,20.0
1704799505.667962,625683,60.0
1704799513.4211268,626417,60.0
1704799524.8047695,627493,60.0
1704799545.1826952,629366,40.0
1704799550.8913908,629895,40.0
1704799611.8848085,635669,40.0
1704799686.9227085,641813,40.0
1704799816.3877943,654107,40.0
1704799874.29237,659613,60.0
1704800037.1837523,673917,80.0
1704800043.128861,674469,40.0
1704800176.3133826,686275,40.0
1704800200.5914502,688592,60.0
1704800215.5795643,690020,40.0
1704800237.2921426,692086,40.0
1704800243.7307348,692667,20.0
1704800357.08464,702415,80.0
1704800444.2323117,710660,80.0
1704800474.0126042,713487,20.0
1704800504.4533136,716359,100.0
1704800521.5242624,717964,20.0
1704800539.1158028,719597,80.0
1704800639.3243978,728448,40.0
1704800699.3064015,734131,20.0
1704800727.618599,736794,20.0
1704800736.0260992,737574,0.0
1704800791.182938,742100,180.0
1704800859.330045,748515,60.0
1704800884.4799287,750862,20.0
1704800971.8786557,758999,80.0
1704801046.2357826,764911,100.0
1704801334.9000404,780796,120.0
1704801382.3331702,783457,20.0
1704801821.557205,815745,120.0
1704802047.0447686,835344,60.0
1704802059.8402786,836503,100.0
1704802154.7062237,844082,160.0
1704802281.913535,856064,140.0
1704802408.580732,866774,100.0
1704802503.2553327,875699,20.0
1704802509.0924256,876249,120.0
1704802524.1917062,877683,80.0
1704802543.83361,879542,40.0
1704802619.9754863,885235,160.0
1704802755.6684437,897988,20.0
1704802902.1231208,910704,0.0
1704802911.3566208,911545,200.0
1704802914.531283,911863,40.0
1704802938.1832883,914057,20.0
1704803058.7707334,923695,60.0
1704803153.0013506,932593,40.0
1704803205.3966615,937524,100.0
1704803264.7146504,942094,40.0
1704803346.340942,949672,40.0
1704803647.6493793,974174,120.0
1704803694.7623286,976789,40.0
1704803706.843422,977485,80.0
1704803930.1879995,988600,100.0
1704803941.5830448,989191,60.0
1704804000.2726479,992375,40.0
1704804012.4513612,993081,40.0
1704804023.7068646,993656,140.0
1704804159.026189,1001362,0.0
1704804192.395079,1004485,40.0
1704804268.1965997,1011705,80.0
1704804295.8053558,1014327,20.0
1704804332.880097,1017839,40.0
1704804369.4758818,1020050,20.0
1704804378.6661131,1020918,60.0
1704804461.5241065,1028637,40.0
1704804527.8938267,1034844,100.0
1704804537.4071207,1035715,20.0
1704804684.4994864,1048378,40.0
1704804714.8665814,1051235,60.0
1704804806.766973,1059986,40.0
1704804945.2960548,1071705,140.0
1704804965.2292528,1073584,60.0
1704804978.2963834,1074833,100.0
1704805129.1441708,1087403,120.0
1704805579.7173355,1127415,40.0
1704805791.945645,1146168,40.0
