Wall time,Step,Value
1705152798.9916105,3767,220.0
1705152800.612246,4493,200.0
1705152967.9456778,7195,140.0
1705152970.1304815,8234,280.0
1705152975.8826225,11024,260.0
1705153142.6995573,12288,380.0
1705153147.199378,14510,160.0
1705153149.4052901,15471,260.0
1705153316.0831103,16833,400.0
1705153325.9838386,21392,260.0
1705153841.3612876,31419,140.0
1705154011.0784218,34653,420.0
1705154015.3942223,36739,280.0
1705154019.444929,38591,320.0
1705154188.9988534,39132,160.0
1705154191.2578697,40290,120.0
1705154194.577224,41986,300.0
1705154368.025074,45116,220.0
1705154369.8050065,45867,200.0
1705154538.0127094,46779,200.0
1705154539.5774362,47460,180.0
1705154542.408838,48668,320.0
1705154717.5004873,53406,120.0
1705154884.6256325,54933,200.0
1705154886.7549853,55938,300.0
1705154888.2949839,56635,240.0
1705154889.41308,57162,160.0
1705155059.3685944,59633,160.0
1705155061.4208806,60638,360.0
1705155062.443535,61128,120.0
1705155064.884616,62293,360.0
1705155241.434134,67606,460.0
1705155412.9929512,70978,320.0
1705155582.8244765,73435,260.0
1705155584.3668125,74249,200.0
1705155759.6299605,79068,180.0
1705156104.000196,87155,380.0
1705156276.4086208,89517,240.0
1705156277.7364576,90211,180.0
1705156453.1107411,94947,200.0
1705156622.0917819,96827,100.0
1705156624.6926186,98016,180.0
1705156971.848021,104539,220.0
1705156973.1535287,105215,200.0
1705156976.9251735,107110,140.0
1705157146.3949852,108483,340.0
1705157321.0120451,113713,240.0
1705157324.1805646,115351,200.0
1705157492.1793237,116503,180.0
1705157493.3718529,117130,180.0
1705157494.7038846,117787,200.0
1705157834.6387167,122910,160.0
1705158007.4062326,127276,220.0
1705158011.0804703,129214,240.0
1705158012.5685709,130008,180.0
1705158014.1782498,130674,200.0
1705158182.7422166,132770,100.0
1705158352.3439078,135568,320.0
1705158355.3366442,137070,240.0
1705158357.6068218,138242,340.0
1705158527.8948228,140883,120.0
1705158704.1927571,145478,120.0
1705158705.6462102,146251,200.0
1705158935.18226,148422,320.0
1705158942.1267853,151371,280.0
1705159115.6594849,152565,160.0
1705159117.12367,153340,220.0
1705159119.7304442,154697,140.0
1705159287.320093,156175,180.0
1705159289.223236,157137,300.0
1705159467.2919037,163438,160.0
1705159814.618632,170342,260.0
1705159816.3998911,171245,220.0
1705159818.53801,172346,300.0
1705159992.862674,175902,160.0
1705160346.4628153,185577,220.0
1705160349.2783375,186762,280.0
1705160522.1380608,188964,280.0
1705160525.7142072,190765,260.0
1705160528.7696207,192340,160.0
1705160704.0048432,195520,200.0
1705160706.5529835,196816,340.0
1705160708.5674996,197828,240.0
1705160884.5728192,200842,280.0
1705161241.873819,210327,240.0
1705161244.5199604,211810,260.0
1705161589.0144694,216399,260.0
1705161595.9618936,219742,300.0
1705161597.9578123,220575,340.0
1705161764.2029378,221448,180.0
1705161766.1809337,222352,260.0
1705161769.2692094,223831,200.0
1705161943.700323,227680,240.0
1705161949.3527155,230426,280.0
1705162119.3748772,232299,200.0
1705162123.3059044,234179,160.0
1705162298.9992092,239279,320.0
1705162477.0564656,246270,120.0
1705162828.3999803,255080,460.0
1705162830.954205,256341,360.0
1705163006.1830642,261109,0.0
1705163007.7992089,261964,160.0
1705163180.1677032,265552,440.0
1705163183.0593994,266900,400.0
1705163184.649778,267679,160.0
1705163361.180929,273248,420.0
1705163364.8949552,275153,520.0
1705163534.4329627,277495,300.0
1705163541.3682084,280902,340.0
1705163719.0905635,286373,420.0
1705163722.8870914,288218,560.0
1705163725.8465867,289645,380.0
1705163893.4675195,290860,260.0
1705163900.0383239,294119,440.0
1705164074.6548781,298622,440.0
1705164076.584214,299580,180.0
1705164079.7106757,300985,360.0
1705164250.9049962,304256,500.0
1705164259.8564847,308558,780.0
1705164443.4937756,316634,420.0
1705164616.1712625,319628,520.0
1705164624.5574956,323596,340.0
1705164793.8667483,324891,300.0
1705164798.5548103,327213,340.0
1705164800.4126635,328176,220.0
1705164980.4248781,334285,300.0
1705164983.7675178,336001,520.0
1705165162.7692206,340368,360.0
1705165334.724416,342622,280.0
1705165340.1340034,345200,120.0
1705165518.9815788,350774,460.0
1705165700.3512108,357790,400.0
1705165706.9440153,360886,700.0
1705165885.7221391,368433,900.0
1705165888.7868319,369951,560.0
1705165890.627034,370764,300.0
1705166064.611678,374161,620.0
1705166243.7104294,381437,640.0
1705166246.2447696,382720,520.0
1705166420.6525226,388666,500.0
1705166424.1521752,390363,640.0
1705166427.034862,391758,560.0
1705166784.7828867,405626,340.0
1705166968.7630076,413650,640.0
1705167322.2028947,424191,420.0
1705167324.8776646,425445,580.0
1705167502.0213032,430892,380.0
1705167504.407573,431988,300.0
1705167509.798702,434546,540.0
1705167681.7823033,436901,460.0
1705167859.6536343,442112,740.0
1705168058.830052,457490,1560.0
1705168231.9685652,461693,1100.0
1705168236.9190261,464184,1480.0
1705168417.260665,469388,800.0
1705168616.0193143,482018,2040.0
1705168814.3224943,496062,940.0
1705168986.8508093,497547,800.0
1705168990.802437,499778,860.0
1705168996.853066,502950,860.0
1705168999.4748526,504292,580.0
1705169181.9237213,510723,1000.0
1705169184.6405034,512024,860.0
1705169367.3215632,520506,980.0
1705169372.161082,523005,1300.0
1705169914.0084803,542509,1000.0
1705169928.880131,549454,1480.0
1705169932.780796,551391,1000.0
1705170103.0377226,554827,1020.0
1705170110.3563194,558094,640.0
1705170289.6005914,564675,1260.0
1705170654.1326602,583712,1040.0
1705170834.2234404,590609,1040.0
1705170838.2078738,592510,1040.0
1705170846.0195622,596201,980.0
1705171024.4246972,602655,1540.0
1705171032.3420615,606445,1120.0
1705171217.251082,618076,860.0
1705171388.8304896,620514,1300.0
1705171578.2224689,631394,920.0
1705171583.1123216,633908,980.0
1705171587.479823,636148,1340.0
1705171757.4740896,638069,1180.0
1705171760.587315,639671,800.0
1705171764.2941582,641551,1200.0
1705171767.295951,643095,1100.0
1705171939.8873026,646549,1020.0
1705171947.0251465,649886,1260.0
1705172135.5707052,660738,2100.0
1705172140.9009986,663108,1660.0
1705172146.0277693,665453,2180.0
1705172318.4418726,669957,1620.0
1705172496.6779654,678241,1240.0
1705172505.4090486,682382,1180.0
1705172512.707577,686034,960.0
1705172696.1241474,694707,800.0
1705172699.7318697,696570,1160.0
1705172869.0988579,698967,2020.0
1705172888.155933,708008,1460.0
1705173064.7584577,716067,1600.0
1705173068.3802907,717887,1060.0
1705173244.8340044,724397,1740.0
1705173254.1142232,728913,1540.0
1705173423.2772777,731180,1120.0
1705173426.9070165,732834,1140.0
1705173430.8310308,734641,820.0
1705173435.8930118,737119,1200.0
1705173440.105844,739257,1380.0
1705173612.2725332,743254,1460.0
1705173617.4038165,745754,1680.0
1705173804.0531652,757747,1260.0
1705173809.167802,760228,1260.0
1705173986.3969917,767084,2000.0
1705173989.0241807,768380,600.0
1705174169.0830653,775471,1180.0
1705174176.568207,779086,880.0
1705174361.008203,788002,920.0
1705174369.0669322,791706,520.0
1705174544.3499124,796437,1540.0
1705174553.2565181,800761,920.0
1705174734.541125,807705,1120.0
1705174754.0391822,816761,1460.0
1705174922.0280313,819015,1460.0
1705174930.583153,823210,1480.0
1705175107.6452808,829776,1640.0
1705175126.0382142,838712,1880.0
1705175316.132496,850371,1820.0
1705175681.5677123,865780,2160.0
1705175686.807675,868277,1840.0
1705175696.8697608,873057,2400.0
1705175867.2533705,875557,2220.0
1705175871.294447,877591,1720.0
1705175875.437977,879602,1700.0
1705175883.147557,883460,1040.0
1705176059.5321655,890631,2360.0
1705176243.8011415,899718,1200.0
1705176248.4653637,901846,1400.0
1705176429.0707655,910413,980.0
1705176442.4852145,917181,960.0
1705176623.651791,926562,2180.0
1705176798.9799879,932766,1320.0
1705176804.1707776,935152,1680.0
1705176809.1342535,937650,1480.0
1705176814.090599,940117,1440.0
1705176978.9990144,942614,1600.0
1705176986.381914,946275,1220.0
1705176990.9553075,948465,1640.0
1705176995.9077659,950814,1840.0
1705177166.3320742,954438,960.0
1705177169.9515336,956209,1140.0
1705177174.7508502,958675,1940.0
1705177179.658754,961142,2540.0
1705177355.2955172,966142,1520.0
1705177362.8142302,969834,1260.0
1705177368.3924985,972330,1720.0
1705177722.8844495,986976,1420.0
1705177735.8574948,993423,1920.0
1705177903.6030946,995112,740.0
1705177905.8741999,996050,260.0
1705177911.3235145,998860,380.0
1705178085.9993563,1004585,2480.0
1705178094.7308922,1008873,1440.0
1705178267.3919485,1013280,2440.0
1705178286.2028017,1021729,1460.0
1705178467.0223536,1030158,1600.0
1705178642.1163592,1036914,2320.0
1705178647.508356,1039413,2620.0
1705178652.2627017,1041731,2700.0
1705178657.1580167,1044120,2260.0
1705178824.6293736,1046278,2120.0
1705179007.897071,1057384,2620.0
1705179196.1836047,1070912,1260.0
1705179200.9012892,1072965,0.0
1705179204.1826503,1074454,800.0
1705179367.8334734,1075897,900.0
1705179381.4305518,1082511,940.0
1705179556.8115032,1089724,1700.0
1705179561.596093,1092066,2040.0
1705179738.9764585,1099279,2040.0
1705179743.8944023,1101777,2300.0
1705179749.016243,1104274,2540.0
1705179757.3299012,1108491,1060.0
1705179928.865031,1113471,2540.0
1705180113.7480147,1124780,520.0
1705180283.5226803,1129745,1720.0
1705180287.7559617,1131869,1540.0
1705180298.306276,1137091,920.0
1705180465.5299656,1139586,2700.0
1705180470.5857964,1142081,2800.0
1705180480.3550353,1146910,2360.0
1705180486.1589158,1149409,2820.0
1705180840.9366176,1163384,2520.0
1705180861.9391913,1172600,2360.0
1705181027.0750954,1174914,1660.0
1705181036.2411091,1179548,1760.0
1705181047.2750413,1184338,1640.0
1705181218.3801713,1189117,1900.0
1705181224.0560336,1191616,1900.0
1705181228.8653452,1194116,2340.0
1705181234.111393,1196615,2700.0
1705181401.2663682,1199111,1720.0
1705181416.8874607,1206603,2220.0
1705181586.0980935,1211183,2000.0
1705181596.300041,1215929,1780.0
1705181771.9196424,1222755,2420.0
1705181782.468805,1227745,2520.0
1705181787.3807209,1230118,2320.0
1705181792.6120846,1232416,1680.0
1705181970.92411,1239993,1160.0
1705182142.3601508,1244054,2580.0
1705182147.2925286,1246555,2620.0
1705182157.755387,1251410,2000.0
1705182333.6610885,1257803,1260.0
1705182515.8703504,1267442,2360.0
1705182530.5052493,1274491,2280.0
1705182705.2780578,1281205,1800.0
1705182709.7819102,1283495,1640.0
1705182719.0771568,1288130,2400.0
1705182892.3056982,1293002,1680.0
1705182901.520706,1296967,980.0
1705183081.9346786,1306816,980.0
1705183257.1993973,1313865,1640.0
1705183262.267005,1316366,1680.0
1705183265.9576714,1318216,1260.0
1705183441.5336168,1324395,1900.0
1705183637.5510454,1342559,1740.0
1705183801.2889185,1344446,1580.0
1705183816.187297,1351568,1540.0
1705183995.7471101,1360401,1880.0
1705184006.286292,1365380,2060.0
1705184172.401404,1367463,1920.0
1705184189.1507864,1375466,1340.0
1705184358.4618728,1380256,1660.0
1705184363.3104773,1382757,2280.0
1705184535.470654,1388438,1380.0
1705184543.7293189,1392659,1180.0
1705184552.3557315,1396850,1680.0
1705184729.45828,1404092,2340.0
1705184740.3132775,1408887,2380.0
1705184907.8823247,1411177,2180.0
1705184917.6730347,1416008,2120.0
