Wall time,Step,Value
1704792317.338894,2931,180.0
1704792319.485382,3849,240.0
1704792712.3055558,9471,140.0
1704792719.8563712,12790,240.0
1704792914.9685476,13960,360.0
1704792922.98729,17067,300.0
1704792924.924261,17759,180.0
1704793122.1230984,18620,260.0
1704793127.7766268,21016,220.0
1704793130.7888012,22304,440.0
1704793337.2331185,26070,400.0
1704793340.2279143,27262,340.0
1704793893.0870733,36943,440.0
1704794176.2802088,38662,200.0
1704794390.7450905,45313,220.0
1704794394.2988498,46875,440.0
1704794397.8180985,48394,460.0
1704794603.3337653,50341,260.0
1704794608.0861433,52423,180.0
1704794814.7073648,54585,180.0
1704795020.649612,56958,240.0
1704795022.3406937,57694,160.0
1704795023.6948698,58295,160.0
1704795025.2459915,58975,180.0
1704795227.897721,60422,140.0
1704795229.9310145,61229,160.0
1704795231.5108001,61833,180.0
1704795232.5197709,62220,60.0
1704795439.5518346,63633,200.0
1704795441.0222461,64272,160.0
1704795652.743877,68710,140.0
1704795656.5812938,70330,300.0
1704795862.8329096,71096,260.0
1704795865.9431136,72399,240.0
1704796085.980397,74214,160.0
1704796092.9107141,76895,160.0
1704796716.56343,86111,200.0
1704796921.312932,86844,200.0
1704796926.54136,88954,100.0
1704797139.6384158,92568,380.0
1704797141.8373797,93537,300.0
1704797145.2206511,95030,120.0
1704797564.033757,99264,100.0
1704797780.8553765,103623,320.0
1704797996.2822158,108136,300.0
1704797997.948961,108868,240.0
1704798001.6153195,110414,320.0
1704798209.9032311,111671,140.0
1704798211.797854,112499,280.0
1704798429.947327,117157,160.0
1704798431.521914,117830,140.0
1704798715.9848254,122959,160.0
1704799076.8549988,125880,340.0
1704799079.5200844,126893,220.0
1704799292.037403,129647,380.0
1704799522.6670825,139062,300.0
1704799735.1351273,141414,280.0
1704799739.2928598,143168,240.0
1704799743.6726675,145011,220.0
1704800169.0708075,149818,180.0
1704800171.2720678,150831,300.0
1704800172.9335723,151552,220.0
1704800386.651776,154212,120.0
1704800389.1646929,155294,360.0
1704800391.129756,156168,240.0
1704800612.076805,159652,240.0
1704800620.5791051,162826,380.0
1704800833.749177,163869,320.0
1704800835.4687893,164602,180.0
1704801053.6686618,168173,160.0
1704801055.512096,168867,120.0
1704801057.4351833,169705,200.0
1704801426.842245,175060,180.0
1704801705.7550678,177798,220.0
1704801707.464834,178580,200.0
1704801710.304868,179834,320.0
1704801919.823266,180414,160.0
1704801922.4982152,181561,100.0
1704801925.409137,182840,220.0
1704802137.841012,184190,160.0
1704802141.1632075,185643,340.0
1704802353.6885107,187284,220.0
1704802355.6412997,188140,240.0
1704802361.9869516,190909,320.0
1704802572.164313,191606,200.0
1704802574.359589,192553,300.0
1704802576.8083215,193635,320.0
1704802581.4674063,195661,340.0
1704802802.8014004,199268,100.0
1704803249.6177382,208064,220.0
1704803464.684916,209743,220.0
1704803469.7477326,211996,180.0
1704803737.403047,213009,360.0
1704803739.2076814,213610,120.0
1704804122.222426,221016,460.0
1704804341.5511656,225516,440.0
1704804343.9789903,226519,260.0
1704804558.6727588,227231,200.0
1704804564.3349051,229362,380.0
1704805001.8706126,236194,260.0
1704805004.2483563,237190,240.0
1704805012.9676273,240752,220.0
1704805227.8769245,242889,260.0
1704805231.4016156,244430,200.0
1704805444.2046914,245523,100.0
1704805450.1103628,247868,220.0
1704805451.8602252,248610,200.0
1704805669.2619183,251102,460.0
1704805673.5942109,252897,120.0
1704805675.2506962,253459,140.0
1704805893.0963197,255558,240.0
1704806120.9359674,260209,160.0
1704806122.9151065,260929,140.0
1704806126.782777,262318,280.0
1704806128.613285,263005,200.0
1704806783.6910427,270431,240.0
1704806787.796867,272265,260.0
1704806790.0746872,273306,240.0
1704807014.8135457,277319,320.0
1704807239.8383856,281416,320.0
1704807245.5264754,283747,160.0
1704807248.9296267,285046,240.0
1704807471.9752305,289180,360.0
1704807476.2561598,290927,220.0
1704807700.8192372,296149,140.0
1704807916.3867106,297476,140.0
1704807918.408054,298390,160.0
1704808144.3357244,303920,320.0
1704808147.8240771,305349,280.0
