Wall time,Step,Value
1704792218.8690684,1988,20.0
1704792224.4774923,6398,20.0
1704792227.2229595,8440,60.0
1704792246.5542843,12080,40.0
1704792264.1966789,14321,40.0
1704792270.365534,15143,140.0
1704792294.0135608,17917,0.0
1704792342.2063458,22556,0.0
1704792351.8140666,23600,0.0
1704792438.8856578,32869,0.0
1704792462.4043443,35392,0.0
1704792492.5771623,38568,40.0
1704792552.516699,43543,40.0
1704792634.3879147,51971,40.0
1704792661.2102582,54776,140.0
1704792677.9348218,56533,0.0
1704792705.1007774,59397,0.0
1704792747.2726395,62841,0.0
1704792757.2056305,63874,0.0
1704792764.5615888,64614,0.0
1704792808.2399337,69158,80.0
1704792841.8429613,72641,60.0
1704792847.7663503,73265,0.0
1704792850.2786021,73524,40.0
1704792870.192387,75620,0.0
1704792938.370787,81365,60.0
1704792997.0396862,87391,20.0
1704793008.808598,88629,0.0
1704793009.5456169,88704,0.0
1704793029.0921655,90724,20.0
1704793054.0587523,93243,0.0
1704793205.4974895,107287,0.0
1704793218.6182184,108619,0.0
1704793267.5313613,113564,20.0
1704793362.6762922,121594,20.0
1704793381.1225295,123476,80.0
1704793404.310596,125792,0.0
1704793491.1997721,134492,20.0
1704793646.1229298,146493,40.0
1704793681.9835947,148439,20.0
1704793707.312384,149880,40.0
1704793758.782211,152972,80.0
1704793794.7530503,155034,0.0
1704793915.8705583,161090,80.0
1704793952.9254777,163304,80.0
1704793971.7266073,164293,0.0
1704794013.7005646,166775,80.0
1704794043.1925468,168553,40.0
1704794083.9166431,170867,160.0
1704794097.735132,172231,0.0
1704794162.4090633,178759,20.0
1704794219.426917,183546,0.0
1704794221.1944675,183739,0.0
1704794240.2455294,185685,0.0
1704794246.445583,186318,20.0
1704794368.1286542,198435,60.0
1704794437.4224832,203922,0.0
1704794492.325396,209403,20.0
1704794558.8972123,216014,20.0
1704794559.4736722,216077,0.0
1704794622.206497,221406,20.0
1704794645.5400488,223790,60.0
1704794651.424949,224363,80.0
1704794701.8817592,229343,40.0
1704794706.4721723,229781,0.0
1704794726.504521,231755,0.0
1704794777.7136152,236858,20.0
1704794828.9942946,241035,40.0
1704794841.5432198,242313,0.0
1704794896.3566866,247840,60.0
1704794921.3962083,250274,40.0
1704794949.306195,253057,0.0
1704794950.8155556,253202,0.0
1704794960.7974854,254195,0.0
1704795069.0310187,264164,60.0
1704795174.329207,274809,0.0
1704795199.2242272,277281,0.0
1704795275.981511,284101,0.0
1704795289.9763145,285467,100.0
1704795335.2799823,290015,0.0
1704795368.8718758,293304,40.0
1704795371.2000139,293537,80.0
1704795398.624742,296181,0.0
1704795567.661122,312102,20.0
1704795577.9120593,313120,40.0
1704795592.8190215,314604,0.0
1704795608.6681106,316161,20.0
1704795782.4619339,332374,120.0
1704795968.0150685,349790,40.0
1704796025.174237,355348,0.0
1704796208.5975995,366566,40.0
1704796222.8051512,367396,0.0
1704796258.1681962,369450,40.0
1704796281.0408466,370687,0.0
1704796296.1955118,371678,20.0
1704796356.7914064,375220,80.0
1704796411.7322462,378294,0.0
1704796455.3156803,380055,20.0
1704796482.1640203,381692,20.0
1704796591.3136735,388839,0.0
1704796593.6972764,389065,60.0
1704796633.3644671,393028,0.0
1704796679.423806,397549,80.0
1704796696.2030168,399183,40.0
1704796723.224055,400677,100.0
1704796803.159775,408503,80.0
1704796816.8410306,409889,80.0
1704796843.2789357,412510,40.0
1704796862.800913,414430,60.0
1704796902.3860295,418345,0.0
1704796939.0883074,420830,60.0
1704796941.0352223,421020,40.0
1704796942.5926929,421145,20.0
1704796964.4408917,423281,0.0
1704796993.5358016,426109,40.0
1704797035.1117923,430220,20.0
1704797094.8660932,436119,20.0
1704797123.0672522,438889,20.0
1704797316.1707437,456729,40.0
1704797516.135114,475604,0.0
1704797516.735747,475664,0.0
1704797551.9550772,479067,20.0
1704797552.7246077,479148,0.0
1704797592.1475515,482144,20.0
1704797631.836059,485964,0.0
1704797751.4348257,497558,40.0
1704797795.3678617,500641,20.0
1704797830.4375854,504059,40.0
1704797869.5240386,507792,20.0
1704797875.5477917,508382,20.0
1704798039.0877466,523489,40.0
1704798136.2570767,532912,20.0
1704798242.7425625,542262,40.0
1704798273.1486032,545208,0.0
1704798290.9324372,546888,160.0
1704798304.2063046,548165,40.0
1704798359.9671645,553516,100.0
1704798454.422975,561796,180.0
1704798457.7889836,562140,40.0
1704798524.0725152,568526,60.0
1704798545.9383886,570654,40.0
1704798658.8854418,577339,20.0
1704798668.9312289,577862,0.0
1704798678.157858,578335,20.0
1704798703.2242005,579811,140.0
1704798727.5074914,580594,40.0
1704798798.7085497,584541,40.0
1704798869.3976967,588492,100.0
1704799023.5895298,597270,20.0
1704799097.4589171,601392,140.0
1704799216.4456267,612965,60.0
1704799221.7832036,613492,100.0
1704799348.3095655,624082,0.0
1704799375.3898287,626709,40.0
1704799385.160645,627653,40.0
1704799407.1456947,629761,40.0
1704799488.119873,637471,80.0
1704799582.5657218,645466,160.0
1704799605.8865435,647738,40.0
1704799660.75658,653061,40.0
1704799749.2744925,660532,60.0
1704799799.7749243,665371,100.0
1704799826.158587,667903,20.0
1704799832.856499,668556,80.0
1704799877.0840404,672854,40.0
1704799949.2085865,679829,20.0
1704799987.947766,682673,40.0
1704800074.513925,691049,40.0
1704800121.130228,695574,20.0
1704800250.3533115,707002,20.0
1704800272.8214467,709150,100.0
1704800549.1147382,734659,40.0
1704800751.6149993,752453,0.0
1704800759.2092767,753147,20.0
1704800816.722584,758634,60.0
1704800928.863443,768412,120.0
1704801016.419299,776673,20.0
1704801165.1320248,785833,20.0
1704801177.143369,786503,140.0
1704801189.9355044,787284,40.0
1704801223.1164975,789058,40.0
1704801312.7116375,794070,80.0
1704801507.9187953,804504,0.0
1704801676.7451322,817792,80.0
1704801682.3496084,818334,20.0
1704801685.5666046,818625,80.0
1704801716.6172695,820577,20.0
1704801792.2662187,827876,40.0
1704801858.806087,834268,20.0
1704801899.9109466,838232,60.0
1704801945.4756842,841882,40.0
1704802010.8618379,848121,40.0
1704802251.9397118,870466,80.0
1704802267.2367935,871910,60.0
1704802271.3003948,872303,0.0
1704802376.363045,881359,40.0
1704802383.198275,882015,40.0
1704802417.2040665,885328,20.0
1704802423.3672476,885897,20.0
1704802499.5311968,893190,80.0
1704802522.1065195,895381,0.0
1704802592.8969016,901070,0.0
1704802613.282474,902991,100.0
1704802652.6350708,906740,20.0
1704802671.7273405,908559,0.0
1704802748.8653133,915749,240.0
1704802810.447628,920695,20.0
1704802817.1155174,921327,60.0
1704802913.1596665,930394,80.0
1704802936.0075345,932539,40.0
1704803032.5129697,940675,40.0
1704803119.1713462,948880,20.0
1704803136.3087595,950501,20.0
1704803148.707063,951664,60.0
1704803269.2134724,961830,100.0
1704803707.7488234,998467,160.0
1704803946.7367764,1010987,40.0
1704804058.4515262,1016945,40.0
1704804134.3323252,1021166,60.0
1704804229.8840926,1030359,40.0
1704804295.8296623,1036697,20.0
1704804318.7732031,1038856,40.0
1704804512.5357933,1055878,40.0
1704804597.1542592,1062577,160.0
