Wall time,Step,Value
1705415584.5828984,5238,0.0
1705415590.8204079,7738,2.0
1705416513.2689817,20340,0.0
1705416514.6381433,20861,0.0
1705416973.4477146,20984,0.0
1705416974.513706,21353,0.0
1705416974.8350945,21477,0.0
1705417438.8820474,23972,0.0
1705417451.236741,28968,0.0
1705417458.2785227,31468,0.0
1705417924.2758403,34334,2.0
1705417924.7806568,34532,2.0
1705418356.8164759,35543,0.0
1705418838.4887521,45768,0.0
1705419306.1182363,50763,0.0
1705419788.7109718,68250,0.0
1705419795.0288517,70744,0.0
1705419801.6859381,73244,0.0
1705420276.096689,78236,0.0
1705420294.8685653,85730,0.0
1705420775.7239673,93218,0.0
1705421236.1358428,100712,0.0
1705421242.458456,103213,0.0
1705421248.6814241,105713,0.0
1705421254.8802905,108211,0.0
1705421733.7759662,111018,5.0
1705421734.7618046,111398,13.0
1705421735.887527,111819,8.0
1705421738.4053338,112749,16.0
1705422213.8585958,115478,0.0
1705422220.1427786,117974,0.0
1705422718.3580256,132965,0.0
1705422731.359468,137960,0.0
1705423206.969617,138466,16.0
1705423210.2206209,139761,21.0
1705423692.2325904,141602,13.0
1705423698.3153446,144046,11.0
1705424175.474811,144888,26.0
1705424669.0772116,159964,0.0
1705425147.3903296,160588,13.0
1705425153.151948,162847,28.0
1705425638.4586596,164640,14.0
1705425640.2616076,165337,18.0
1705425643.4225075,166498,10.0
1705426597.8149686,174529,0.0
1705427099.2073557,183456,15.0
1705427565.4384031,186447,17.0
1705427567.1507263,187134,13.0
1705427570.3855157,188435,19.0
1705428059.2669883,191391,0.0
1705428065.4747539,193888,0.0
1705428579.6081903,206372,0.0
1705428586.65534,208867,0.0
1705429068.27092,217400,30.0
1705429564.2701259,222397,0.0
1705429570.8011618,224893,0.0
1705430075.137697,232382,0.0
1705430571.6898348,244049,16.0
1705430575.629051,245316,19.0
1705431062.7480824,247813,0.0
1705431075.408111,252814,0.0
1705431087.7582731,257809,0.0
1705432067.6072335,271059,24.0
1705432069.8385873,271971,31.0
1705432071.2550485,272535,16.0
1705432558.1246467,276439,0.0
1705432564.4336486,278934,0.0
1705432570.615392,281430,0.0
1705432576.7874415,283926,0.0
1705433062.4610345,288308,28.0
1705433069.60398,291071,29.0
1705433545.5239017,291821,22.0
1705433548.0375512,292573,25.0
1705434013.9248872,296048,19.0
1705434015.7626917,296784,22.0
1705434017.8075206,297606,27.0
1705434505.6168141,301701,0.0
1705434530.5691712,311694,0.0
1705435010.5485094,312815,45.0
1705435014.8681502,314554,38.0
1705435016.7307851,315304,24.0
1705435018.4737332,316006,23.0
1705435476.483317,316745,20.0
1705435480.0456119,318139,18.0
1705435482.83593,319223,19.0
1705435962.9888344,320647,19.0
1705435967.1630352,322330,25.0
1705436454.7724395,325716,0.0
1705436460.9076855,328211,0.0
1705436480.4338083,335699,0.0
1705436945.165676,336544,33.0
1705436947.311253,337323,20.0
1705436949.2460573,338044,17.0
1705436954.1220279,340010,42.0
1705437444.3331845,343918,13.0
1705438414.0830796,355718,0.0
1705438420.2465663,358214,0.0
1705438426.420029,360715,0.0
1705438916.9854972,365706,0.0
1705438923.1501362,368203,0.0
1705438935.4833343,373201,0.0
1705439416.2459476,374041,21.0
1705439418.06067,374770,21.0
1705439420.660942,375805,38.0
1705439906.7793558,385005,0.0
1705439912.9442685,387502,0.0
1705439919.2597232,390002,0.0
1705440425.6659906,399999,0.0
1705440432.0224342,402500,0.0
1705440910.3441496,403125,13.0
1705440914.0980372,404638,33.0
1705441895.4732125,420844,0.0
1705441901.6409154,423340,0.0
1705441920.7750757,430832,0.0
1705442407.0736876,432902,46.0
1705442410.8361974,434356,24.0
1705442899.0165708,436018,23.0
