Wall time,Step,Value
1705415584.5829382,5238,20000.0
1705415590.8204603,7738,20000.0
1705416513.2690263,20340,60000.0
1705416514.6381848,20861,60000.0
1705416973.4477623,20984,80000.0
1705416974.5137417,21353,80000.0
1705416974.8351285,21477,80000.0
1705417438.8820865,23972,100000.0
1705417451.2367792,28968,100000.0
1705417458.278559,31468,100000.0
1705417924.2758791,34334,120000.0
1705417924.7807,34532,120000.0
1705418356.8165138,35543,140000.0
1705418838.4887965,45768,160000.0
1705419306.11828,50763,180000.0
1705419788.7110147,68250,200000.0
1705419795.0288947,70744,200000.0
1705419801.6859756,73244,200000.0
1705420276.0967736,78236,220000.0
1705420294.8686078,85730,220000.0
1705420775.7240024,93218,240000.0
1705421236.1358843,100712,260000.0
1705421242.4585006,103213,260000.0
1705421248.6814673,105713,260000.0
1705421254.8803337,108211,260000.0
1705421733.7760043,111018,280000.0
1705421734.7618425,111398,280000.0
1705421735.887565,111819,280000.0
1705421738.4053748,112749,280000.0
1705422213.8586338,115478,300000.0
1705422220.1428213,117974,300000.0
1705422718.3580668,132965,320000.0
1705422731.3595097,137960,320000.0
1705423206.9696586,138466,340000.0
1705423210.22066,139761,340000.0
1705423692.2326262,141602,360000.0
1705423698.3153856,144046,360000.0
1705424175.4748497,144888,380000.0
1705424669.0772495,159964,400000.0
1705425147.3903677,160588,420000.0
1705425153.1519845,162847,420000.0
1705425638.4587007,164640,440000.0
1705425640.2616498,165337,440000.0
1705425643.4225478,166498,440000.0
1705426597.8150053,174529,480000.0
1705427099.207394,183456,500000.0
1705427565.4384406,186447,520000.0
1705427567.1507642,187134,520000.0
1705427570.3855536,188435,520000.0
1705428059.2670236,191391,540000.0
1705428065.474792,193888,540000.0
1705428579.6082277,206372,560000.0
1705428586.6553757,208867,560000.0
1705429068.2709565,217400,580000.0
1705429564.2701743,222397,600000.0
1705429570.8011982,224893,600000.0
1705430075.1377392,232382,620000.0
1705430571.6898906,244049,640000.0
1705430575.6290855,245316,640000.0
1705431062.7481198,247813,660000.0
1705431075.4081464,252814,660000.0
1705431087.7583084,257809,660000.0
1705432067.607276,271059,700000.0
1705432069.8386269,271971,700000.0
1705432071.2550955,272535,700000.0
1705432558.1246898,276439,720000.0
1705432564.433686,278934,720000.0
1705432570.6154451,281430,720000.0
1705432576.7874808,283926,720000.0
1705433062.461072,288308,740000.0
1705433069.6040158,291071,740000.0
1705433545.5239432,291821,760000.0
1705433548.0376103,292573,760000.0
1705434013.9249258,296048,780000.0
1705434015.7627296,296784,780000.0
1705434017.8075595,297606,780000.0
1705434505.6168532,301701,800000.0
1705434530.569209,311694,800000.0
1705435010.5485458,312815,820000.0
1705435014.868185,314554,820000.0
1705435016.7308202,315304,820000.0
1705435018.4737675,316006,820000.0
1705435476.4833553,316745,840000.0
1705435480.045648,318139,840000.0
1705435482.8359687,319223,840000.0
1705435962.9888742,320647,860000.0
1705435967.1630726,322330,860000.0
1705436454.772481,325716,880000.0
1705436460.907723,328211,880000.0
1705436480.433848,335699,880000.0
1705436945.1657186,336544,900000.0
1705436947.311321,337323,900000.0
1705436949.2460988,338044,900000.0
1705436954.1220636,340010,900000.0
1705437444.333221,343918,920000.0
1705438414.0831141,355718,960000.0
1705438420.2466075,358214,960000.0
1705438426.4200666,360715,960000.0
1705438916.9855359,365706,980000.0
1705438923.150175,368203,980000.0
1705438935.4833717,373201,980000.0
1705439416.2459857,374041,1000000.0
1705439418.0607047,374770,1000000.0
1705439420.660986,375805,1000000.0
1705439906.7794015,385005,1020000.0
1705439912.9443047,387502,1020000.0
1705439919.25978,390002,1020000.0
1705440425.666031,399999,1040000.0
1705440432.0224717,402500,1040000.0
1705440910.344187,403125,1060000.0
1705440914.098074,404638,1060000.0
1705441895.4732554,420844,1100000.0
1705441901.6409569,423340,1100000.0
1705441920.7751293,430832,1100000.0
1705442407.0737243,432902,1120000.0
1705442410.8362343,434356,1120000.0
1705442899.0166087,436018,1140000.0
1705442904.6469536,438203,1140000.0
1705442906.8021836,439044,1140000.0
1705443379.5704541,442470,1160000.0
1705443391.9815736,447464,1160000.0
1705443398.208521,449960,1160000.0
1705443895.901341,454956,1180000.0
1705444410.365412,467441,1200000.0
1705444416.6017058,469938,1200000.0
1705444422.851326,472433,1200000.0
1705444429.0284412,474932,1200000.0
1705445421.7039804,494915,1240000.0
1705445434.35925,499907,1240000.0
1705445440.6756206,502401,1240000.0
1705445935.8327436,506501,1260000.0
1705446416.7901335,513596,1280000.0
1705446429.2732165,518587,1280000.0
1705446435.4516408,521082,1280000.0
1705446927.4068825,523716,1300000.0
1705446933.3691156,526126,1300000.0
1705447455.1963477,538606,1320000.0
1705447926.6029088,540755,1340000.0
1705447929.561389,541925,1340000.0
1705448441.4084518,551227,1360000.0
1705448447.5448701,553724,1360000.0
1705448940.4545403,558721,1380000.0
1705448959.1380064,566218,1380000.0
1705449434.312057,569853,1400000.0
1705449437.1741881,571008,1400000.0
1705449936.8392282,576186,1420000.0
1705449949.4012828,581185,1420000.0
1705449955.584075,583685,1420000.0
1705449961.8729787,586179,1420000.0
1705450459.4388995,591683,1440000.0
1705450945.6719248,600083,1460000.0
1705450951.8205724,602580,1460000.0
1705450957.9918175,605075,1460000.0
1705451451.3849475,607575,1480000.0
1705451457.7582316,610074,1480000.0
1705451464.1342907,612572,1480000.0
1705451993.318623,630056,1500000.0
1705452459.543703,632750,1520000.0
1705452462.4468076,633900,1520000.0
1705453455.9057226,642670,1560000.0
1705453958.9658487,648907,1580000.0
1705453965.1947536,651408,1580000.0
1705453971.9043581,653903,1580000.0
1705453978.3127983,656403,1580000.0
1705453983.1173809,658904,1580000.0
1705454475.307403,661587,1600000.0
1705454976.4563165,667210,1620000.0
1705454982.3868067,669613,1620000.0
1705455484.6880062,674998,1640000.0
1705455487.9260497,676307,1640000.0
1705455977.8794975,686291,1660000.0
1705455984.1149065,688789,1660000.0
1705456462.0865185,689905,1680000.0
1705456470.831316,693250,1680000.0
1705456975.8077796,697129,1700000.0
1705456979.3255472,698464,1700000.0
1705457487.067153,703125,1720000.0
