Wall time,Step,Value
1705415328.193114,4053,1.0
1705415332.149665,6913,0.0
1705415335.7546983,9413,0.0
1705415341.5334737,10063,0.0
1705415455.6647906,15005,0.0
1705415514.467516,17570,0.0
1705415549.018232,19066,0.0
1705415600.0388966,20387,0.0
1705415616.3359048,21084,0.0
1705415648.6892397,22490,1.0
1705415700.392656,24739,0.0
1705415800.5642533,29114,0.0
1705415837.5687256,30763,1.0
1705415888.1910033,32951,0.0
1705415904.4134712,33675,0.0
1705416013.8993096,38464,0.0
1705416023.4424915,38878,0.0
1705416032.1624992,39248,0.0
1705416138.5652547,42531,0.0
1705416142.641763,42705,0.0
1705416181.341813,44400,1.0
1705416190.8394475,44823,0.0
1705416200.9645267,45254,0.0
1705416262.9447885,47957,0.0
1705416264.1983001,48009,0.0
1705416276.276262,48560,0.0
1705416370.9462864,52746,0.0
1705416404.716438,54229,0.0
1705416440.5624948,55803,0.0
1705416450.2221324,57145,0.0
1705416459.4840794,57625,0.0
1705416461.8112264,57724,0.0
1705416491.8655908,59074,0.0
1705416504.016262,59607,0.0
1705416587.482386,63193,0.0
1705416821.7870872,73359,0.0
1705416841.923671,74253,0.0
1705416843.0284522,74305,1.0
1705417197.8001196,89717,0.0
1705417269.0441175,92806,1.0
1705417274.1487634,93029,0.0
1705417289.3129468,93704,0.0
1705417292.1841264,93832,0.0
1705417326.8340702,95383,2.0
1705417398.4256012,98527,0.0
1705417480.950618,100727,1.0
1705417489.421882,101089,0.0
1705417525.4931598,102678,1.0
1705417532.5788598,102990,1.0
1705417544.251737,103494,0.0
1705417552.080829,103838,0.0
1705417591.930131,105576,2.0
1705417606.5727143,106241,0.0
1705417667.5441756,108898,0.0
1705417784.1863534,113993,0.0
1705417881.0266228,118196,0.0
1705417899.6000614,119011,1.0
1705417900.2710261,119037,0.0
1705417937.5440862,120519,0.0
1705417991.2309995,122884,0.0
1705418004.2902544,123707,2.0
1705418009.5590444,124558,0.0
1705418085.0508265,128064,0.0
1705418126.9387949,129944,1.0
1705418218.9089558,133981,1.0
1705418239.6053348,134916,0.0
1705418269.5923116,136223,0.0
1705418294.8827758,137354,0.0
1705418305.0664713,137822,0.0
1705418332.3583887,139021,0.0
1705418343.1046536,139501,1.0
1705418345.5322044,139606,1.0
1705418385.8832967,141271,1.0
1705418435.271881,143397,0.0
1705418489.7727416,145771,0.0
1705418541.049057,148048,0.0
1705418630.9008024,152055,1.0
1705418704.1205738,155209,0.0
1705418712.6723683,155585,0.0
1705418762.8435738,157783,0.0
1705418771.2905252,158142,0.0
1705418800.180125,159409,0.0
1705418917.7564926,163135,0.0
1705418928.2629538,163605,1.0
1705419108.3606997,171668,0.0
1705419129.8584225,172603,0.0
1705419219.3562903,176489,0.0
1705419261.4648762,178349,1.0
1705419415.7712774,183644,0.0
1705419418.9531,183776,0.0
1705419461.470548,185586,0.0
1705419624.7879286,193554,0.0
1705419631.80688,193873,1.0
1705419632.9998343,193926,0.0
1705419674.9080591,195769,0.0
1705419678.2683897,195919,0.0
